BLOCKID,PLACEFP
020130001001000,
020130001001001,
020130001001002,
020130001001003,
020130001001004,
020130001001005,
020130001001006,
020130001001007,
020130001001008,
020130001001009,
020130001001010,
020130001001011,
020130001001012,
020130001001013,16530
020130001001014,
020130001001015,16530
020130001001016,
020130001001017,
020130001001018,
020130001001019,
020130001001020,
020130001001021,
020130001001022,
020130001001023,
020130001001024,
020130001001025,
020130001001026,
020130001001027,
020130001001028,
020130001001029,
020130001001030,
020130001001031,
020130001001032,
020130001001033,24660
020130001001034,
020130001001035,
020130001001036,
020130001001037,
020130001001038,
020130001001039,
020130001001040,
020130001001041,
020130001001042,
020130001001043,
020130001001044,
020130001001045,
020130001001046,
020130001001047,
020130001001048,
020130001001049,
020130001001050,
020130001001051,
020130001001052,
020130001001053,
020130001001054,
020130001001055,
020130001001056,
020130001001057,16530
020130001001058,
020130001001059,
020130001001060,
020130001001061,16530
020130001001062,
020130001001063,
020130001001064,
020130001001065,
020130001001066,
020130001001067,
020130001001068,
020130001001069,
020130001001070,
020130001001071,16530
020130001001072,16530
020130001001073,16530
020130001001074,16530
020130001001075,16530
020130001001076,16530
020130001001077,16530
020130001001078,16530
020130001001079,16530
020130001001080,16530
020130001001081,16530
020130001001082,16530
020130001001083,16530
020130001001084,16530
020130001001085,16530
020130001001086,16530
020130001001087,16530
020130001001088,16530
020130001001089,
020130001001090,
020130001001091,
020130001001092,
020130001001093,24660
020130001001094,24660
020130001001095,24660
020130001001096,24660
020130001001097,24660
020130001001098,24660
020130001001099,24660
020130001001100,
020130001001101,24660
020130001001102,
020130001001103,
020130001001104,24660
020130001001105,
020130001001106,
020130001001107,
020130001001108,
020130001001109,
020130001001110,
020130001001111,
020130001001112,
020130001001113,
020130001001114,
020130001001115,
020130001001116,
020130001001117,
020130001001118,
020130001001119,
020130001001120,
020130001001121,
020130001001122,
020130001001123,
020130001001124,
020130001001125,
020130001001126,
020130001001127,
020130001001128,
020130001001129,
020130001001130,
020130001001131,
020130001001132,
020130001001133,
020130001001134,
020130001001135,
020130001001136,
020130001001137,
020130001001138,
020130001001139,
020130001001140,
020130001001141,
020130001001142,
020130001001143,
020130001001144,
020130001001145,
020130001001146,
020130001001147,
020130001001148,
020130001001149,
020130001001150,
020130001001151,
020130001001152,
020130001001153,
020130001001154,
020130001001155,
020130001001156,
020130001001157,
020130001001158,
020130001001159,
020130001001160,
020130001001161,
020130001001162,
020130001001163,
020130001001164,
020130001001165,
020130001001166,
020130001001167,
020130001001168,
020130001001169,
020130001001170,
020130001001171,
020130001001172,
020130001001173,
020130001001174,
020130001001175,
020130001001176,
020130001001177,
020130001001178,
020130001001179,
020130001001180,
020130001001181,
020130001001182,24660
020130001001183,24660
020130001001184,
020130001001185,
020130001001186,
020130001001187,
020130001001188,
020130001001189,
020130001001190,
020130001001191,
020130001001192,
020130001001193,24660
020130001001194,24660
020130001001195,24660
020130001001196,24660
020130001001197,24660
020130001001198,24660
020130001001199,24660
020130001001200,24660
020130001001201,24660
020130001001202,24660
020130001001203,24660
020130001001204,24660
020130001001205,24660
020130001001206,24660
020130001001207,24660
020130001001208,24660
020130001001209,24660
020130001001210,24660
020130001001211,24660
020130001001212,24660
020130001001213,24660
020130001001214,
020130001001215,
020130001001216,
020130001001217,
020130001001218,16530
020130001001219,16530
020130001001220,16530
020130001001221,16530
020130001001222,
020130001001223,
020130001001224,
020130001001225,16530
020130001001226,24660
020130001001227,16530
020130001001228,16530
020130001001229,16530
020130001001230,16530
020130001001231,
020130001001232,
020130001001233,
020130001001234,
020130001001235,16530
020130001001236,16530
020130001001237,16530
020130001001238,16530
020130001001239,16530
020130001001240,16530
020130001001241,16530
020130001001242,16530
020130001001243,16530
020130001001244,16530
020130001001245,16530
020130001001246,16530
020130001001247,16530
020130001001248,16530
020130001001249,16530
020130001001250,16530
020130001001251,16530
020130001001252,16530
020130001001253,16530
020130001001254,16530
020130001001255,16530
020130001001256,16530
020130001001257,16530
020130001001258,16530
020130001001259,16530
020130001001260,16530
020130001001261,16530
020130001001262,16530
020130001001263,16530
020130001001264,16530
020130001001265,16530
020130001001266,16530
020130001001267,
020130001001268,
020130001001269,
020130001001270,16530
020130001001271,16530
020130001001272,16530
020130001001273,16530
020130001001274,16530
020130001001275,
020130001001276,
020130001001277,
020130001001278,
020130001001279,16530
020130001001280,
020130001001281,
020130001001282,
020130001001283,
020130001001284,
020130001001285,
020130001001286,
020130001001287,
020130001001288,
020130001001289,
020130001001290,
020130001001291,
020130001001292,
020130001001293,
020130001001294,
020130001001295,
020130001001296,
020130001001297,
020130001001298,
020130001001299,
020130001001300,
020130001001301,
020130001001302,
020130001001303,
020130001001304,
020130001001305,
020130001001306,
020130001001307,
020130001001308,
020130001001309,
020130001001310,
020130001001311,
020130001001312,
020130001001313,
020130001001314,
020130001001315,
020130001001316,
020130001001317,
020130001001318,
020130001001319,
020130001001320,
020130001001321,
020130001001322,
020130001001323,
020130001001324,
020130001001325,
020130001001326,
020130001001327,
020130001001328,
020130001001329,
020130001001330,
020130001001331,
020130001001332,
020130001001333,
020130001001334,
020130001001335,
020130001001336,
020130001001337,
020130001001338,
020130001001339,
020130001001340,
020130001001341,
020130001001342,
020130001001343,
020130001001344,
020130001001345,
020130001001346,
020130001001347,
020130001001348,
020130001001349,
020130001001350,
020130001001351,
020130001001352,
020130001001353,
020130001001354,
020130001001355,
020130001001356,
020130001001357,
020130001001358,
020130001001359,
020130001001360,
020130001001361,
020130001001362,
020130001001363,01090
020130001001364,
020130001001365,
020130001001366,01090
020130001001367,
020130001001368,
020130001001369,01090
020130001001370,01090
020130001001371,01090
020130001001372,01090
020130001001373,01090
020130001001374,01090
020130001001375,01090
020130001001376,
020130001001377,
020130001001378,
020130001001379,
020130001001380,
020130001001381,
020130001001382,
020130001001383,
020130001001384,
020130001001385,
020130001001386,
020130001001387,
020130001001388,24660
020130001001389,24660
020130001001390,24660
020130001001391,24660
020130001001392,24660
020130001001393,24660
020130001001394,24660
020130001001395,
020130001001396,
020130001001397,
020130001001398,
020130001001399,
020130001001400,
020130001001401,
020130001001402,
020130001001403,
020130001001404,
020130001001405,
020130001001406,
020130001001407,
020130001001408,
020130001001409,
020130001001410,
020130001001411,
020130001001412,
020130001001413,
020130001001414,
020130001001415,
020130001001416,
020130001001417,
020130001001418,
020130001001419,
020130001001420,
020130001001421,
020130001001422,
020130001001423,
020130001001424,
020130001001425,
020130001001426,
020130001001427,
020130001001428,
020130001001429,
020130001001430,
020130001001431,
020130001001432,
020130001001433,
020130001001434,
020130001001435,
020130001001436,
020130001001437,
020130001001438,
020130001001439,
020130001001440,
020130001001441,
020130001001442,16530
020130001001443,
020130001001444,
020130001001445,
020130001001446,01090
020130001001447,01090
020130001001448,01090
020130001001449,01090
020130001001450,
020130001001451,
020130001001452,
020130001001453,
020130001001454,16530
020130001002000,
020130001002001,
020130001002002,
020130001002003,
020130001002004,
020130001002005,
020130001002006,
020130001002007,
020130001002008,
020130001002009,
020130001002010,
020130001002011,
020130001002012,
020130001002013,
020130001002014,
020130001002015,
020130001002016,
020130001002017,
020130001002018,
020130001002019,
020130001002020,
020130001002021,
020130001002022,
020130001002023,
020130001002024,
020130001002025,
020130001002026,
020130001002027,
020130001002028,
020130001002029,
020130001002030,
020130001002031,
020130001002032,
020130001002033,
020130001002034,
020130001002035,
020130001002036,
020130001002037,
020130001002038,
