BLOCKID,COUNTYFP,DISTRICT
020130001001000,013,37-712
020130001001001,013,37-712
020130001001002,013,37-712
020130001001003,013,37-712
020130001001004,013,37-712
020130001001005,013,37-712
020130001001006,013,37-712
020130001001007,013,37-712
020130001001008,013,37-712
020130001001009,013,37-712
020130001001010,013,37-712
020130001001011,013,37-712
020130001001012,013,37-712
020130001001013,013,37-712
020130001001014,013,37-712
020130001001015,013,37-712
020130001001016,013,37-712
020130001001017,013,37-712
020130001001018,013,37-712
020130001001019,013,37-712
020130001001020,013,37-712
020130001001021,013,37-712
020130001001022,013,37-712
020130001001023,013,37-712
020130001001024,013,37-712
020130001001025,013,37-712
020130001001026,013,37-712
020130001001027,013,37-712
020130001001028,013,37-712
020130001001029,013,37-712
020130001001030,013,37-712
020130001001031,013,37-712
020130001001032,013,37-712
020130001001033,013,37-712
020130001001034,013,37-712
020130001001035,013,37-712
020130001001036,013,37-712
020130001001037,013,37-712
020130001001038,013,37-712
020130001001039,013,37-712
020130001001040,013,37-712
020130001001041,013,37-712
020130001001042,013,37-712
020130001001043,013,37-712
020130001001044,013,37-712
020130001001045,013,37-712
020130001001046,013,37-712
020130001001047,013,37-712
020130001001048,013,37-712
020130001001049,013,37-712
020130001001050,013,37-712
020130001001051,013,37-712
020130001001052,013,37-712
020130001001053,013,37-712
020130001001054,013,37-712
020130001001055,013,37-712
020130001001056,013,37-712
020130001001057,013,37-712
020130001001058,013,37-712
020130001001059,013,37-712
020130001001060,013,37-712
020130001001061,013,37-712
020130001001062,013,37-712
020130001001063,013,37-712
020130001001064,013,37-712
020130001001065,013,37-712
020130001001066,013,37-712
020130001001067,013,37-712
020130001001068,013,37-712
020130001001069,013,37-712
020130001001070,013,37-712
020130001001071,013,37-712
020130001001072,013,37-712
020130001001073,013,37-712
020130001001074,013,37-712
020130001001075,013,37-712
020130001001076,013,37-712
020130001001077,013,37-712
020130001001078,013,37-712
020130001001079,013,37-712
020130001001080,013,37-712
020130001001081,013,37-712
020130001001082,013,37-712
020130001001083,013,37-712
020130001001084,013,37-712
020130001001085,013,37-712
020130001001086,013,37-712
020130001001087,013,37-712
020130001001088,013,37-712
020130001001089,013,37-712
020130001001090,013,37-712
020130001001091,013,37-712
020130001001092,013,37-712
020130001001093,013,37-712
020130001001094,013,37-712
020130001001095,013,37-712
020130001001096,013,37-712
020130001001097,013,37-712
020130001001098,013,37-712
020130001001099,013,37-712
020130001001100,013,37-712
020130001001101,013,37-712
020130001001102,013,37-712
020130001001103,013,37-712
020130001001104,013,37-712
020130001001105,013,37-712
020130001001106,013,37-712
020130001001107,013,37-712
020130001001108,013,37-712
020130001001109,013,37-712
020130001001110,013,37-712
020130001001111,013,37-712
020130001001112,013,37-712
020130001001113,013,37-712
020130001001114,013,37-712
020130001001115,013,37-712
020130001001116,013,37-712
020130001001117,013,37-712
020130001001118,013,37-712
020130001001119,013,37-712
020130001001120,013,37-712
020130001001121,013,37-712
020130001001122,013,37-712
020130001001123,013,37-712
020130001001124,013,37-712
020130001001125,013,37-712
020130001001126,013,37-712
020130001001127,013,37-712
020130001001128,013,37-712
020130001001129,013,37-712
020130001001130,013,37-712
020130001001131,013,37-712
020130001001132,013,37-712
020130001001133,013,37-712
020130001001134,013,37-712
020130001001135,013,37-712
020130001001136,013,37-712
020130001001137,013,37-712
020130001001138,013,37-712
020130001001139,013,37-712
020130001001140,013,37-712
020130001001141,013,37-712
020130001001142,013,37-712
020130001001143,013,37-712
020130001001144,013,37-712
020130001001145,013,37-712
020130001001146,013,37-712
020130001001147,013,37-712
020130001001148,013,37-712
020130001001149,013,37-712
020130001001150,013,37-712
020130001001151,013,37-712
020130001001152,013,37-712
020130001001153,013,37-712
020130001001154,013,37-712
020130001001155,013,37-712
020130001001156,013,37-712
020130001001157,013,37-712
020130001001158,013,37-712
020130001001159,013,37-712
020130001001160,013,37-712
020130001001161,013,37-712
020130001001162,013,37-712
020130001001163,013,37-712
020130001001164,013,37-712
020130001001165,013,37-712
020130001001166,013,37-712
020130001001167,013,37-712
020130001001168,013,37-712
020130001001169,013,37-712
020130001001170,013,37-712
020130001001171,013,37-712
020130001001172,013,37-712
020130001001173,013,37-712
020130001001174,013,37-712
020130001001175,013,37-712
020130001001176,013,37-712
020130001001177,013,37-712
020130001001178,013,37-712
020130001001179,013,37-712
020130001001180,013,37-712
020130001001181,013,37-712
020130001001182,013,37-712
020130001001183,013,37-712
020130001001184,013,37-712
020130001001185,013,37-712
020130001001186,013,37-712
020130001001187,013,37-712
020130001001188,013,37-712
020130001001189,013,37-712
020130001001190,013,37-712
020130001001191,013,37-712
020130001001192,013,37-712
020130001001193,013,37-712
020130001001194,013,37-712
020130001001195,013,37-712
020130001001196,013,37-712
020130001001197,013,37-712
020130001001198,013,37-712
020130001001199,013,37-712
020130001001200,013,37-712
020130001001201,013,37-712
020130001001202,013,37-712
020130001001203,013,37-712
020130001001204,013,37-712
020130001001205,013,37-712
020130001001206,013,37-712
020130001001207,013,37-712
020130001001208,013,37-712
020130001001209,013,37-712
020130001001210,013,37-712
020130001001211,013,37-712
020130001001212,013,37-712
020130001001213,013,37-712
020130001001214,013,37-712
020130001001215,013,37-712
020130001001216,013,37-712
020130001001217,013,37-712
020130001001218,013,37-712
020130001001219,013,37-712
020130001001220,013,37-712
020130001001221,013,37-712
020130001001222,013,37-712
020130001001223,013,37-712
020130001001224,013,37-712
020130001001225,013,37-712
020130001001226,013,37-712
020130001001227,013,37-712
020130001001228,013,37-712
020130001001229,013,37-712
020130001001230,013,37-712
020130001001231,013,37-712
020130001001232,013,37-712
