BLOCKID,DISTRICT
050014801001000,12960
050014801001001,12960
050014801001002,12960
050014801001003,12960
050014801001004,12960
050014801001005,12960
050014801001006,12960
050014801001007,12960
050014801001008,12960
050014801001009,12960
050014801001010,12960
050014801001011,12960
050014801001012,12960
050014801001013,12960
050014801001014,12960
050014801001015,12960
050014801001016,12960
050014801001017,12960
050014801001018,12960
050014801001019,12960
050014801001020,12960
050014801001021,12960
050014801001022,12960
050014801001023,00001
050014801001024,00001
050014801001025,12960
050014801001026,12960
050014801001027,12960
050014801001028,00001
050014801001029,12960
050014801001030,12960
050014801001031,12960
050014801001032,12960
050014801001033,12960
050014801001034,12960
050014801001035,00001
050014801001036,00001
050014801001037,00001
050014801001038,00001
050014801001039,00001
050014801001040,00001
050014801001041,00001
050014801001042,00001
050014801001043,00001
050014801001044,00001
050014801001045,00001
050014801001046,00001
050014801001047,00001
050014801001048,00001
050014801001049,00001
050014801001050,00001
050014801001051,00001
050014801001052,00001
050014801001053,00001
050014801001054,00001
050014801001055,00001
050014801001056,00001
050014801001057,00001
050014801001058,00001
050014801001059,00001
050014801001060,00001
050014801001061,00001
050014801001062,00001
050014801001063,00001
050014801001064,00001
050014801001065,00001
050014801001066,00001
050014801001067,00001
050014801001068,00001
050014801001069,00001
050014801001070,00001
050014801001071,00001
050014801001072,00001
050014801001073,00001
050014801001074,00001
050014801001075,00001
050014801001076,00001
050014801001077,00001
050014801001078,00001
050014801001079,00001
050014801001080,00001
050014801001081,00001
050014801001082,00001
050014801001083,00001
050014801001084,00001
050014801001085,00001
050014801001086,00001
050014801001087,00001
050014801001088,00001
050014801001089,00001
050014801001090,00001
050014801001091,00001
050014801001092,00001
050014801001093,00001
050014801001094,00001
050014801001095,00001
050014801001096,00001
050014801001097,00001
050014801001098,00001
050014801001099,00001
050014801001100,00001
050014801001101,00001
050014801001102,00001
050014801001103,00001
050014801001104,12960
050014801001105,12960
050014801001106,00001
050014801001107,00001
050014801001108,00001
050014801001109,00001
050014801001110,00001
050014801001111,00001
050014801001112,00001
050014801001113,00001
050014801001114,00001
050014801001115,00001
050014801001116,00001
050014801001117,00001
050014801001118,00001
050014801001119,00001
050014801001120,00001
050014801001121,00001
050014801001122,00001
050014801001123,00001
050014801001124,00001
050014801001125,00001
050014801001126,00001
050014801001127,00001
050014801001128,00001
050014801001129,00001
050014801001130,00001
050014801001131,00001
050014801001132,00001
050014801001133,00001
050014801001134,12960
050014801001135,12960
050014801001136,00001
050014801001137,00001
050014801001138,00001
050014801002000,00001
050014801002001,00001
050014801002002,00001
050014801002003,00001
050014801002004,00001
050014801002005,00001
050014801002006,00001
050014801002007,00001
050014801002008,00001
050014801002009,00001
050014801002010,00001
050014801002011,00001
050014801002012,00001
050014801002013,00001
050014801002014,00001
050014801002015,00001
050014801002016,00001
050014801002017,00001
050014801002018,00001
050014801002019,00001
050014801002020,00001
050014801002021,00001
050014801002022,00001
050014801002023,00001
050014801002024,00001
050014801002025,00001
050014801002026,00001
050014801002027,00001
050014801002028,00001
050014801002029,00001
050014801002030,00001
050014801002031,00001
050014801002032,00001
050014801002033,00001
050014801002034,00001
050014801002035,00001
050014801002036,00001
050014801002037,00001
050014801002038,00001
050014801002039,00001
050014801002040,00001
050014801002041,00001
050014801002042,00001
050014801002043,00001
050014801002044,00001
050014801002045,00001
050014801002046,00001
050014801002047,00001
050014801002048,00001
050014801002049,00001
050014801002050,00001
050014801002051,00001
050014801002052,00001
050014801002053,00001
050014801002054,00001
050014801002055,00001
050014801002056,00001
050014801002057,00001
050014801002058,00001
050014801002059,00001
050014801002060,00001
050014801002061,00001
050014801002062,00001
050014801002063,00001
050014801002064,00001
050014801002065,00001
050014801002066,00001
050014801002067,00001
050014801002068,00001
050014801002069,00001
050014801002070,00001
050014801002071,00001
050014801002072,00001
050014801002073,00001
050014801002074,00001
050014801002075,00001
050014801002076,00001
050014801002077,00001
050014801002078,00001
050014801002079,00001
050014801002080,00001
050014801002081,00001
050014801002082,00001
050014801002083,00001
050014801002084,00001
050014801002085,00001
050014801002086,00001
050014801002087,00001
050014801002088,00001
050014801002089,00001
050014801002090,00001
050014801002091,00001
050014801002092,00001
050014801002093,00001
050014801002094,00001
050014801002095,00001
050014801002096,00001
050014801002097,00001
050014801002098,00001
050014801002099,00001
050014801002100,00001
050014801002101,00001
050014801002102,00001
050014801002103,00001
050014801002104,00001
050014801002105,00001
050014801002106,00001
050014801002107,00001
050014801002108,00001
050014801002109,00001
050014801002110,00001
050014801002111,00001
050014801002112,00001
050014801002113,00001
050014801002114,00001
050014801002115,00001
050014801002116,00001
050014801002117,00001
050014801002118,00001
050014801002119,00001
050014801002120,00001
050014801002121,00001
050014801002122,00001
050014801002123,00001
050014801002124,00001
050014801002125,00001
050014801002126,00001
050014801002127,00001
050014801002128,00001
050014801002129,00001
050014801002130,00001
050014801002131,00001
050014801002132,00001
050014801002133,00001
050014801002134,00001
050014801002135,00001
050014801002136,00001
050014801002137,00001
050014801002138,00001
050014801002139,00001
050014801002140,00001
050014801002141,00001
050014801002142,00001
050014801002143,00001
050014801002144,00001
050014801002145,00001
050014801002146,00001
050014801002147,00001
050014801002148,00001
050014801002149,00001
050014801002150,00001
050014801002151,00001
050014801002152,00001
050014801002153,00001
050014801002154,00001
050014801002155,00001
050014801002156,00001
050014801002157,00001
050014801002158,00001
050014801002159,00001
050014801002160,00001
050014801002161,00001
050014801002162,00001
050014801002163,00001
050014801002164,00001
050014801002165,00001
050014801002166,00001
050014801002167,00001
050014801002168,00001
050014801002169,00001
050014801002170,00001
050014801002171,00001
050014801002172,00001
050014801002173,00001
050014801002174,00001
050014801002175,00001
050014801002176,00001
050014801002177,00001
050014801002178,00001
050014801002179,00001
050014801002180,00001
050014801002181,00001
050014801002182,00001
050014801002183,00001
050014801002184,00001
050014801002185,00001
050014801002186,00001
050014801002187,00001
050014801002188,00001
050014801002189,00001
050014801002190,00001
050014801002191,00001
050014801002192,00001
050014801002193,00001
050014801002194,00001
050014801002195,00001
050014801002196,00001
050014801002197,00001
050014801002198,00001
050014801002199,00001
050014801002200,00001
050014801002201,00001
050014801002202,00001
050014801002203,00001
050014801002204,00001
050014801002205,00001
050014801002206,00001
050014801002207,00001
050014801002208,00001
050014801002209,00001
050014801002210,00001
050014801002211,00001
050014801002212,00001
050014801002213,00001
050014801002214,00001
050014801002215,00001
050014801002216,00001
050014801002217,00001
050014801002218,00001
050014801002219,00001
050014801002220,00001
050014801002221,00001
050014801002222,00001
050014801002223,00001
050014801002224,00001
050014801002225,00001
050014801002226,00001
050014801002227,00001
050014801002228,00001
050014801002229,00001
050014801002230,00001
050014801002231,00001
050014801002232,00001
050014801002233,00001
050014801002234,00001
050014801002235,00001
050014801002236,00001
050014801002237,00001
050014801002238,00001
050014801002239,00001
050014801002240,00001
050014801002241,00001
050014801002242,00001
050014801002243,00001
050014801002244,00001
050014801002245,00001
050014802001000,12960
050014802001001,12960
050014802001002,12960
050014802001003,12960
050014802001004,12960
050014802001005,12960
050014802001006,12960
050014802001007,12960
050014802001008,12960
050014802001009,12960
050014802001010,12960
050014802001011,12960
050014802001012,12960
050014802001013,12960
050014802001014,12960
050014802001015,12960
050014802001016,12960
050014802001017,12960
050014802001018,12960
050014802001019,12960
050014802001020,12960
050014802001021,12960
050014802001022,12960
050014802001023,12960
050014802001024,12960
050014802001025,12960
050014802001026,12960
050014802001027,12960
050014802001028,12960
050014802001029,12960
050014802001030,12960
050014802001031,12960
050014802001032,12960
050014802001033,12960
050014802001034,12960
050014802001035,12960
050014802001036,12960
050014802001037,12960
050014802001038,12960
050014802001039,12960
050014802001040,12960
050014802001041,12960
050014802001042,12960
050014802001043,12960
050014802001044,12960
050014802001045,12960
050014802001046,12960
050014802001047,12960
050014802001048,12960
050014802001049,12960
050014802001050,12960
050014802001051,12960
050014802001052,12960
050014802001053,12960
050014802001054,12960
050014802001055,12960
050014802001056,12960
050014802001057,12960
050014802001058,12960
050014802001059,12960
050014802001060,12960
050014802001061,12960
050014802001062,12960
050014802001063,12960
050014802001064,12960
050014802001065,12960
050014802001066,12960
050014802001067,12960
050014802001068,12960
050014802001069,12960
050014802001070,12960
050014802001071,12960
050014802001072,12960
050014802001073,12960
050014802001074,12960
050014802001075,12960
050014802001076,12960
050014802001077,12960
050014802001078,12960
050014802001079,12960
050014802001080,12960
050014802001081,12960
050014802001082,12960
050014802001083,12960
050014802001084,12960
050014802001085,12960
050014802001086,12960
