BLOCKID,DISTRICT
050014801001000,014
050014801001001,014
050014801001002,014
050014801001003,014
050014801001004,014
050014801001005,014
050014801001006,014
050014801001007,014
050014801001008,014
050014801001009,014
050014801001010,014
050014801001011,014
050014801001012,014
050014801001013,014
050014801001014,014
050014801001015,014
050014801001016,014
050014801001017,014
050014801001018,014
050014801001019,014
050014801001020,014
050014801001021,014
050014801001022,014
050014801001023,014
050014801001024,014
050014801001025,014
050014801001026,014
050014801001027,014
050014801001028,014
050014801001029,014
050014801001030,014
050014801001031,014
050014801001032,014
050014801001033,014
050014801001034,014
050014801001035,014
050014801001036,014
050014801001037,014
050014801001038,014
050014801001039,014
050014801001040,014
050014801001041,014
050014801001042,014
050014801001043,014
050014801001044,014
050014801001045,014
050014801001046,014
050014801001047,012
050014801001048,012
050014801001049,012
050014801001050,012
050014801001051,012
050014801001052,012
050014801001053,012
050014801001054,012
050014801001055,012
050014801001056,012
050014801001057,012
050014801001058,012
050014801001059,012
050014801001060,012
050014801001061,012
050014801001062,012
050014801001063,012
050014801001064,014
050014801001065,014
050014801001066,012
050014801001067,012
050014801001068,012
050014801001069,014
050014801001070,014
050014801001071,014
050014801001072,014
050014801001073,014
050014801001074,014
050014801001075,014
050014801001076,014
050014801001077,014
050014801001078,014
050014801001079,014
050014801001080,014
050014801001081,014
050014801001082,014
050014801001083,014
050014801001084,014
050014801001085,014
050014801001086,014
050014801001087,014
050014801001088,014
050014801001089,014
050014801001090,012
050014801001091,012
050014801001092,012
050014801001093,012
050014801001094,012
050014801001095,012
050014801001096,012
050014801001097,014
050014801001098,014
050014801001099,014
050014801001100,014
050014801001101,014
050014801001102,014
050014801001103,014
050014801001104,014
050014801001105,014
050014801001106,012
050014801001107,012
050014801001108,012
050014801001109,012
050014801001110,012
050014801001111,012
050014801001112,012
050014801001113,012
050014801001114,012
050014801001115,012
050014801001116,012
050014801001117,012
050014801001118,012
050014801001119,012
050014801001120,012
050014801001121,012
050014801001122,012
050014801001123,012
050014801001124,012
050014801001125,012
050014801001126,012
050014801001127,012
050014801001128,012
050014801001129,014
050014801001130,014
050014801001131,014
050014801001132,014
050014801001133,014
050014801001134,014
050014801001135,014
050014801001136,014
050014801001137,014
050014801001138,012
050014801002000,012
050014801002001,012
050014801002002,012
050014801002003,012
050014801002004,012
050014801002005,012
050014801002006,012
050014801002007,012
050014801002008,012
050014801002009,012
050014801002010,012
050014801002011,012
050014801002012,012
050014801002013,012
050014801002014,012
050014801002015,012
050014801002016,012
050014801002017,014
050014801002018,012
050014801002019,012
050014801002020,012
050014801002021,012
050014801002022,012
050014801002023,012
050014801002024,012
050014801002025,012
050014801002026,012
050014801002027,012
050014801002028,012
050014801002029,012
050014801002030,012
050014801002031,012
050014801002032,012
050014801002033,012
050014801002034,012
050014801002035,012
050014801002036,012
050014801002037,012
050014801002038,012
050014801002039,012
050014801002040,012
050014801002041,012
050014801002042,012
050014801002043,012
050014801002044,012
050014801002045,012
050014801002046,012
050014801002047,012
050014801002048,012
050014801002049,012
050014801002050,012
050014801002051,012
050014801002052,012
050014801002053,012
050014801002054,012
050014801002055,012
050014801002056,012
050014801002057,012
050014801002058,012
050014801002059,012
050014801002060,012
050014801002061,012
050014801002062,012
050014801002063,012
050014801002064,012
050014801002065,012
050014801002066,012
050014801002067,012
050014801002068,012
050014801002069,012
050014801002070,012
050014801002071,012
050014801002072,012
050014801002073,012
050014801002074,012
050014801002075,012
050014801002076,012
050014801002077,012
050014801002078,012
050014801002079,012
050014801002080,012
050014801002081,012
050014801002082,012
050014801002083,012
050014801002084,012
050014801002085,012
050014801002086,012
050014801002087,012
050014801002088,012
050014801002089,012
050014801002090,012
050014801002091,012
050014801002092,012
050014801002093,012
050014801002094,012
050014801002095,012
050014801002096,012
050014801002097,012
050014801002098,012
050014801002099,012
050014801002100,012
050014801002101,012
050014801002102,012
050014801002103,012
050014801002104,012
050014801002105,012
050014801002106,012
050014801002107,012
050014801002108,012
050014801002109,012
050014801002110,012
050014801002111,012
050014801002112,012
050014801002113,012
050014801002114,012
050014801002115,012
050014801002116,012
050014801002117,012
050014801002118,012
050014801002119,012
050014801002120,012
050014801002121,012
050014801002122,012
050014801002123,012
050014801002124,012
050014801002125,012
050014801002126,012
050014801002127,012
050014801002128,012
050014801002129,012
050014801002130,012
050014801002131,012
050014801002132,012
050014801002133,012
050014801002134,012
050014801002135,012
050014801002136,012
050014801002137,012
050014801002138,012
050014801002139,012
050014801002140,012
050014801002141,012
050014801002142,012
050014801002143,012
050014801002144,012
050014801002145,012
050014801002146,012
050014801002147,012
050014801002148,012
050014801002149,012
050014801002150,014
050014801002151,012
050014801002152,014
050014801002153,014
050014801002154,014
050014801002155,012
050014801002156,012
050014801002157,012
050014801002158,012
050014801002159,012
050014801002160,012
050014801002161,012
050014801002162,012
050014801002163,012
050014801002164,014
050014801002165,012
050014801002166,012
050014801002167,014
050014801002168,014
050014801002169,012
050014801002170,012
050014801002171,014
050014801002172,012
050014801002173,014
050014801002174,012
050014801002175,012
050014801002176,012
050014801002177,012
050014801002178,012
050014801002179,012
050014801002180,012
050014801002181,012
050014801002182,012
050014801002183,012
050014801002184,014
050014801002185,014
050014801002186,014
050014801002187,012
050014801002188,012
050014801002189,012
050014801002190,012
050014801002191,012
050014801002192,012
050014801002193,012
050014801002194,012
050014801002195,012
050014801002196,012
050014801002197,012
050014801002198,012
050014801002199,012
050014801002200,012
050014801002201,012
050014801002202,012
050014801002203,012
050014801002204,014
050014801002205,014
050014801002206,014
050014801002207,012
050014801002208,012
