BLOCKID,DISTRICT
050014801001000,028
050014801001001,028
050014801001002,028
050014801001003,028
050014801001004,028
050014801001005,028
050014801001006,028
050014801001007,028
050014801001008,028
050014801001009,028
050014801001010,028
050014801001011,028
050014801001012,028
050014801001013,028
050014801001014,028
050014801001015,028
050014801001016,028
050014801001017,028
050014801001018,028
050014801001019,028
050014801001020,028
050014801001021,028
050014801001022,028
050014801001023,028
050014801001024,028
050014801001025,028
050014801001026,028
050014801001027,028
050014801001028,028
050014801001029,028
050014801001030,028
050014801001031,028
050014801001032,028
050014801001033,028
050014801001034,028
050014801001035,028
050014801001036,028
050014801001037,028
050014801001038,028
050014801001039,028
050014801001040,028
050014801001041,028
050014801001042,028
050014801001043,028
050014801001044,028
050014801001045,028
050014801001046,028
050014801001047,028
050014801001048,028
050014801001049,028
050014801001050,028
050014801001051,028
050014801001052,028
050014801001053,028
050014801001054,028
050014801001055,028
050014801001056,028
050014801001057,028
050014801001058,028
050014801001059,028
050014801001060,028
050014801001061,028
050014801001062,028
050014801001063,028
050014801001064,028
050014801001065,028
050014801001066,028
050014801001067,028
050014801001068,028
050014801001069,028
050014801001070,028
050014801001071,028
050014801001072,028
050014801001073,028
050014801001074,028
050014801001075,028
050014801001076,028
050014801001077,028
050014801001078,028
050014801001079,028
050014801001080,028
050014801001081,028
050014801001082,028
050014801001083,028
050014801001084,028
050014801001085,028
050014801001086,028
050014801001087,028
050014801001088,028
050014801001089,028
050014801001090,028
050014801001091,028
050014801001092,028
050014801001093,028
050014801001094,028
050014801001095,028
050014801001096,028
050014801001097,028
050014801001098,028
050014801001099,028
050014801001100,028
050014801001101,028
050014801001102,028
050014801001103,028
050014801001104,028
050014801001105,028
050014801001106,028
050014801001107,028
050014801001108,028
050014801001109,028
050014801001110,028
050014801001111,028
050014801001112,028
050014801001113,028
050014801001114,028
050014801001115,028
050014801001116,028
050014801001117,028
050014801001118,028
050014801001119,028
050014801001120,028
050014801001121,028
050014801001122,028
050014801001123,028
050014801001124,028
050014801001125,028
050014801001126,028
050014801001127,028
050014801001128,028
050014801001129,028
050014801001130,028
050014801001131,028
050014801001132,028
050014801001133,028
050014801001134,028
050014801001135,028
050014801001136,028
050014801001137,028
050014801001138,028
050014801002000,028
050014801002001,028
050014801002002,028
050014801002003,028
050014801002004,028
050014801002005,028
050014801002006,028
050014801002007,028
050014801002008,028
050014801002009,028
050014801002010,028
050014801002011,028
050014801002012,028
050014801002013,028
050014801002014,028
050014801002015,028
050014801002016,028
050014801002017,028
050014801002018,028
050014801002019,028
050014801002020,005
050014801002021,005
050014801002022,005
050014801002023,005
050014801002024,028
050014801002025,005
050014801002026,005
050014801002027,005
050014801002028,005
050014801002029,005
050014801002030,005
050014801002031,005
050014801002032,005
050014801002033,005
050014801002034,005
050014801002035,005
050014801002036,005
050014801002037,005
050014801002038,005
050014801002039,028
050014801002040,028
050014801002041,028
050014801002042,005
050014801002043,005
050014801002044,005
050014801002045,005
050014801002046,005
050014801002047,005
050014801002048,005
050014801002049,028
050014801002050,028
050014801002051,028
050014801002052,005
050014801002053,005
050014801002054,005
050014801002055,005
050014801002056,005
050014801002057,005
050014801002058,005
050014801002059,005
050014801002060,005
050014801002061,005
050014801002062,005
050014801002063,005
050014801002064,005
050014801002065,005
050014801002066,005
050014801002067,005
050014801002068,005
050014801002069,005
050014801002070,005
050014801002071,005
050014801002072,005
050014801002073,005
050014801002074,005
050014801002075,005
050014801002076,005
050014801002077,005
050014801002078,005
050014801002079,005
050014801002080,005
050014801002081,005
050014801002082,005
050014801002083,005
050014801002084,005
050014801002085,005
050014801002086,005
050014801002087,005
050014801002088,005
050014801002089,005
050014801002090,005
050014801002091,005
