BLOCKID,PLACEFP
080010078011000,04000
080010078011001,04000
080010078011002,04000
080010078011003,04000
080010078011004,04000
080010078011005,04000
080010078011006,04000
080010078011007,04000
080010078011008,04000
080010078011009,04000
080010078011010,04000
080010078011011,04000
080010078011012,04000
080010078011013,04000
080010078011014,04000
080010078012000,04000
080010078012001,04000
080010078012002,04000
080010078012003,04000
080010078012004,04000
080010078012005,04000
080010078012006,04000
080010078012007,04000
080010078012008,04000
080010078012009,04000
080010078012010,04000
080010078012011,04000
080010078012012,04000
080010078012013,04000
080010078012014,04000
080010078021000,04000
080010078021001,04000
080010078021002,04000
080010078021003,04000
080010078021004,04000
080010078021005,04000
080010078021006,04000
080010078021007,04000
080010078021008,04000
080010078021009,04000
080010078021010,04000
080010078021011,04000
080010078022000,04000
080010078022001,04000
080010078022002,04000
080010078022003,04000
080010078022004,04000
080010078022005,04000
080010078023000,04000
080010078023001,04000
080010078023002,04000
080010078023003,04000
080010078023004,04000
080010078023005,04000
080010078023006,04000
080010079001000,04000
080010079001001,04000
080010079001002,04000
080010079001003,04000
080010079001004,04000
080010079001005,04000
080010079001006,04000
080010079001007,04000
080010079001008,04000
080010079001009,04000
080010079001010,04000
080010079001011,04000
080010079001012,04000
080010079001013,04000
080010079001014,04000
080010079001015,04000
080010079001016,04000
080010079001017,04000
080010079001018,04000
080010079001019,04000
080010079001020,04000
080010079001021,04000
080010079001022,04000
080010079001023,04000
080010079001024,04000
080010079001025,04000
080010079001026,04000
080010079001027,04000
080010079001028,04000
080010079001029,04000
080010079001030,04000
080010079001031,04000
080010079001032,04000
080010079001033,04000
080010079001034,04000
080010079001035,04000
080010079002000,04000
080010079002001,04000
080010079002002,04000
080010079002003,04000
080010079002004,04000
080010079002005,04000
080010079002006,04000
080010079002007,04000
080010079002008,04000
080010079002009,04000
080010079002010,04000
080010079002011,04000
080010079003000,04000
080010079003001,04000
080010079003002,04000
080010079003003,04000
080010079003004,04000
080010079003005,04000
080010079003006,04000
080010079003007,04000
080010079003008,04000
080010079003009,04000
080010079003010,04000
080010079003011,04000
080010079003012,04000
080010079003013,04000
080010079004000,04000
080010079004001,04000
080010079004002,04000
080010079004003,04000
080010079004004,04000
080010079004005,04000
080010079004006,04000
080010079004007,04000
080010079004008,04000
080010079004009,04000
080010079004010,04000
080010079004011,04000
080010079004012,04000
080010079004013,04000
080010079004014,04000
080010079004015,04000
080010080001000,04000
080010080001001,04000
080010080001002,04000
080010080001003,04000
080010080001004,04000
080010080001005,04000
080010080001006,04000
080010080001007,04000
080010080001008,04000
080010080001009,04000
080010080001010,04000
080010080001011,04000
080010080001012,04000
080010080001013,04000
080010080001014,04000
080010080002000,04000
080010080002001,04000
080010080002002,04000
080010080002003,04000
080010080002004,04000
080010080002005,04000
080010080002006,04000
080010080002007,04000
080010080002008,04000
080010080002009,04000
080010080002010,04000
080010080002011,04000
080010080002012,04000
080010080002013,04000
080010080002014,04000
080010080002015,04000
080010080002016,04000
080010080002017,04000
080010080003000,04000
080010080003001,04000
080010080003002,04000
080010080003003,04000
080010080003004,04000
080010080003005,04000
080010080003006,04000
080010080003007,04000
080010080003008,04000
080010080003009,04000
080010080003010,04000
080010080003011,04000
080010080003012,04000
080010080003013,04000
080010080004000,04000
080010080004001,04000
080010080004002,04000
080010080004003,04000
080010080004004,04000
080010080004005,04000
080010080004006,04000
080010080004007,04000
080010080004008,04000
080010080004009,04000
080010080004010,04000
080010080004011,04000
080010080004012,04000
080010080005000,04000
080010080005001,04000
080010080005002,04000
080010080005003,04000
080010080005004,04000
080010080005005,04000
080010080005006,04000
080010080005007,04000
080010080005008,04000
080010080005009,04000
080010080005010,04000
080010080005011,04000
080010080005012,04000
080010080005013,04000
080010080005014,04000
080010080006000,04000
080010080006001,04000
080010080006002,04000
080010080006003,04000
080010080006004,04000
080010080006005,04000
080010080006006,04000
080010080006007,04000
080010080006008,04000
080010080006009,04000
080010080006010,04000
080010080006011,04000
080010080006012,04000
080010080006013,04000
080010080006014,04000
080010081001000,04000
080010081001001,04000
080010081001002,04000
080010081001003,04000
080010081001004,04000
080010081001005,04000
080010081001006,04000
080010081001007,04000
080010081001008,04000
080010081001009,04000
080010081001010,04000
080010081001011,04000
080010081001012,04000
080010081001013,04000
080010081001014,04000
080010081001015,04000
080010081001016,04000
080010081001017,04000
080010081001018,04000
080010081001019,04000
080010081001020,04000
080010081001021,04000
080010081001022,04000
080010081001023,04000
080010081001024,04000
080010081001025,04000
080010081001026,04000
080010081001027,04000
080010081001028,04000
080010081001029,04000
080010081001030,04000
080010081001031,04000
080010081001032,04000
080010081001033,04000
080010081001034,04000
080010081001035,04000
080010081001036,04000
080010081001037,04000
080010081001038,04000
080010081001039,04000
080010081001040,04000
080010081001041,04000
080010081001042,04000
080010081001043,04000
080010081001044,04000
080010081001045,04000
080010081001046,04000
