BLOCKID,DISTRICT
080010078011000,030
080010078011001,030
080010078011002,030
080010078011003,030
080010078011004,030
080010078011005,030
080010078011006,030
080010078011007,030
080010078011008,030
080010078011009,030
080010078011010,030
080010078011011,030
080010078011012,030
080010078011013,030
080010078011014,030
080010078012000,030
080010078012001,030
080010078012002,030
080010078012003,030
080010078012004,030
080010078012005,030
080010078012006,030
080010078012007,030
080010078012008,030
080010078012009,030
080010078012010,030
080010078012011,030
080010078012012,030
080010078012013,030
080010078012014,030
080010078021000,030
080010078021001,030
080010078021002,030
080010078021003,030
080010078021004,030
080010078021005,030
080010078021006,030
080010078021007,030
080010078021008,030
080010078021009,030
080010078021010,030
080010078021011,030
080010078022000,030
080010078022001,030
080010078022002,030
080010078022003,030
080010078022004,030
080010078022005,030
080010078023000,030
080010078023001,030
080010078023002,030
080010078023003,030
080010078023004,030
080010078023005,030
080010078023006,030
080010079001000,030
080010079001001,030
080010079001002,030
080010079001003,030
080010079001004,030
080010079001005,030
080010079001006,030
080010079001007,030
080010079001008,030
080010079001009,030
080010079001010,030
080010079001011,030
080010079001012,030
080010079001013,030
080010079001014,030
080010079001015,030
080010079001016,030
080010079001017,030
080010079001018,030
080010079001019,030
080010079001020,030
080010079001021,030
080010079001022,030
080010079001023,030
080010079001024,030
080010079001025,030
080010079001026,030
080010079001027,030
080010079001028,030
080010079001029,030
080010079001030,030
080010079001031,030
080010079001032,030
080010079001033,030
080010079001034,030
080010079001035,030
080010079002000,030
080010079002001,030
080010079002002,030
080010079002003,030
080010079002004,030
080010079002005,030
080010079002006,030
080010079002007,030
080010079002008,030
080010079002009,030
080010079002010,030
080010079002011,030
080010079003000,030
080010079003001,030
080010079003002,030
080010079003003,030
080010079003004,030
080010079003005,030
080010079003006,030
080010079003007,030
080010079003008,030
080010079003009,030
080010079003010,030
080010079003011,030
080010079003012,030
080010079003013,030
080010079004000,030
080010079004001,030
080010079004002,030
080010079004003,030
080010079004004,030
080010079004005,030
080010079004006,030
080010079004007,030
080010079004008,030
080010079004009,030
080010079004010,030
080010079004011,030
080010079004012,030
080010079004013,030
080010079004014,030
080010079004015,030
080010080001000,030
080010080001001,030
080010080001002,030
080010080001003,030
080010080001004,030
080010080001005,030
080010080001006,030
080010080001007,030
080010080001008,030
080010080001009,030
080010080001010,030
080010080001011,030
080010080001012,030
080010080001013,030
080010080001014,030
080010080002000,030
080010080002001,030
080010080002002,030
080010080002003,030
080010080002004,030
080010080002005,030
080010080002006,030
080010080002007,030
080010080002008,030
080010080002009,030
080010080002010,030
080010080002011,030
080010080002012,030
080010080002013,030
080010080002014,030
080010080002015,030
080010080002016,030
080010080002017,030
080010080003000,030
080010080003001,030
080010080003002,030
080010080003003,030
080010080003004,030
080010080003005,030
080010080003006,030
080010080003007,030
080010080003008,030
080010080003009,030
080010080003010,030
080010080003011,030
080010080003012,030
080010080003013,030
080010080004000,030
080010080004001,030
080010080004002,030
080010080004003,030
080010080004004,030
080010080004005,030
080010080004006,030
080010080004007,030
080010080004008,030
080010080004009,030
080010080004010,030
080010080004011,030
080010080004012,030
080010080005000,030
080010080005001,030
080010080005002,030
080010080005003,030
080010080005004,030
080010080005005,030
080010080005006,030
080010080005007,030
080010080005008,030
080010080005009,030
080010080005010,030
080010080005011,030
080010080005012,030
080010080005013,030
080010080005014,030
080010080006000,030
080010080006001,030
080010080006002,030
080010080006003,030
080010080006004,030
080010080006005,030
080010080006006,030
080010080006007,030
080010080006008,030
080010080006009,030
080010080006010,030
080010080006011,030
080010080006012,030
080010080006013,030
080010080006014,030
080010081001000,030
080010081001001,030
080010081001002,030
080010081001003,030
080010081001004,030
080010081001005,030
080010081001006,030
080010081001007,030
080010081001008,030
080010081001009,030
080010081001010,030
080010081001011,030
080010081001012,030
080010081001013,030
080010081001014,030
080010081001015,030
080010081001016,030
080010081001017,030
080010081001018,030
080010081001019,030
080010081001020,030
080010081001021,030
080010081001022,030
080010081001023,030
080010081001024,030
080010081001025,030
080010081001026,030
080010081001027,030
080010081001028,030
080010081001029,030
