BLOCKID,DISTRICT
080010078011000,025
080010078011001,025
080010078011002,025
080010078011003,025
080010078011004,025
080010078011005,025
080010078011006,025
080010078011007,025
080010078011008,025
080010078011009,025
080010078011010,025
080010078011011,025
080010078011012,025
080010078011013,025
080010078011014,025
080010078012000,025
080010078012001,025
080010078012002,025
080010078012003,025
080010078012004,025
080010078012005,025
080010078012006,025
080010078012007,025
080010078012008,025
080010078012009,025
080010078012010,025
080010078012011,025
080010078012012,025
080010078012013,025
080010078012014,025
080010078021000,025
080010078021001,025
080010078021002,025
080010078021003,025
080010078021004,025
080010078021005,025
080010078021006,025
080010078021007,025
080010078021008,025
080010078021009,025
080010078021010,025
080010078021011,025
080010078022000,025
080010078022001,025
080010078022002,025
080010078022003,025
080010078022004,025
080010078022005,025
080010078023000,025
080010078023001,025
080010078023002,025
080010078023003,025
080010078023004,025
080010078023005,025
080010078023006,025
080010079001000,025
080010079001001,025
080010079001002,025
080010079001003,025
080010079001004,025
080010079001005,025
080010079001006,025
080010079001007,025
080010079001008,025
080010079001009,025
080010079001010,025
080010079001011,025
080010079001012,025
080010079001013,025
080010079001014,025
080010079001015,025
080010079001016,025
080010079001017,025
080010079001018,025
080010079001019,025
080010079001020,025
080010079001021,025
080010079001022,025
080010079001023,025
080010079001024,025
080010079001025,025
080010079001026,025
080010079001027,025
080010079001028,025
080010079001029,025
080010079001030,025
080010079001031,025
080010079001032,025
080010079001033,025
080010079001034,025
080010079001035,025
080010079002000,025
080010079002001,025
080010079002002,025
080010079002003,025
080010079002004,025
080010079002005,025
080010079002006,025
080010079002007,025
080010079002008,025
080010079002009,025
080010079002010,025
080010079002011,025
080010079003000,025
080010079003001,025
080010079003002,025
080010079003003,025
080010079003004,025
080010079003005,025
080010079003006,025
080010079003007,025
080010079003008,025
080010079003009,025
080010079003010,025
080010079003011,025
080010079003012,025
080010079003013,025
080010079004000,025
080010079004001,025
080010079004002,025
080010079004003,025
080010079004004,025
080010079004005,025
080010079004006,025
080010079004007,025
080010079004008,025
080010079004009,025
080010079004010,025
080010079004011,025
080010079004012,025
080010079004013,025
080010079004014,025
080010079004015,025
080010080001000,025
080010080001001,025
080010080001002,025
080010080001003,025
080010080001004,025
080010080001005,025
080010080001006,025
080010080001007,025
080010080001008,025
080010080001009,025
080010080001010,025
080010080001011,025
080010080001012,025
080010080001013,025
080010080001014,025
080010080002000,025
080010080002001,025
080010080002002,025
080010080002003,025
080010080002004,025
080010080002005,025
080010080002006,025
080010080002007,025
080010080002008,025
080010080002009,025
080010080002010,025
080010080002011,025
080010080002012,025
080010080002013,025
080010080002014,025
080010080002015,025
080010080002016,025
080010080002017,025
080010080003000,025
080010080003001,025
080010080003002,025
080010080003003,025
080010080003004,025
080010080003005,025
080010080003006,025
080010080003007,025
080010080003008,025
080010080003009,025
080010080003010,025
080010080003011,025
080010080003012,025
080010080003013,025
080010080004000,025
080010080004001,025
080010080004002,025
080010080004003,025
080010080004004,025
080010080004005,025
080010080004006,025
080010080004007,025
080010080004008,025
080010080004009,025
080010080004010,025
080010080004011,025
080010080004012,025
080010080005000,025
080010080005001,025
080010080005002,025
080010080005003,025
080010080005004,025
080010080005005,025
080010080005006,025
080010080005007,025
080010080005008,025
080010080005009,025
080010080005010,025
080010080005011,025
080010080005012,025
080010080005013,025
080010080005014,025
080010080006000,025
080010080006001,025
080010080006002,025
080010080006003,025
080010080006004,025
080010080006005,025
080010080006006,025
080010080006007,025
080010080006008,025
080010080006009,025
080010080006010,025
080010080006011,025
080010080006012,025
080010080006013,025
080010080006014,025
080010081001000,025
080010081001001,025
080010081001002,025
080010081001003,025
