BLOCKID,PLACEFP
090010101011000,
090010101011001,
090010101011002,
090010101011003,
090010101011004,
090010101011005,
090010101011006,
090010101011007,
090010101011008,
090010101011009,
090010101011010,
090010101011011,
090010101011012,
090010101011013,
090010101011014,
090010101011015,
090010101011016,
090010101012000,
090010101012001,
090010101012002,
090010101012003,
090010101012004,
090010101012005,
090010101012006,
090010101012007,
090010101012008,
090010101012009,
090010101012010,31520
090010101012011,31520
090010101012012,31520
090010101012013,31520
090010101012014,31520
090010101012015,31520
090010101012016,31520
090010101012017,31520
090010101013000,
090010101013001,
090010101013002,
090010101013003,
090010101013004,
090010101013005,
090010101013006,
090010101013007,
090010101013008,
090010101013009,
090010101013010,
090010101013011,
090010101013012,
090010101013013,
090010101013014,
090010101013015,
090010101013016,
090010101013017,
090010101013018,
090010101013019,
090010101013020,
090010101013021,
090010101013022,
090010101013023,
090010101013024,
090010101013025,
090010101013026,
090010101013027,
090010101013028,
090010101013029,
090010101013030,
090010101013031,
090010101013032,
090010101013033,
090010101013034,
090010101013035,
090010101013036,
090010101013037,
090010101013038,
090010101013039,
090010101013040,
090010101013041,
090010101013042,
090010101013043,
090010101013044,
090010101013045,
090010101013046,
090010101013047,
090010101013048,
090010101013049,
090010101013050,
090010101013051,
090010101013052,
090010101013053,
090010101013054,
090010101013055,
090010101013056,
090010101014000,
090010101014001,
090010101014002,
090010101014003,
090010101014004,
090010101014005,
090010101014006,
090010101014007,
090010101014008,
090010101014009,
090010101014010,
090010101014011,
090010101014012,
090010101014013,
090010101014014,
090010101014015,
090010101014016,
090010101014017,
090010101014018,
090010101014019,
090010101014020,
090010101014021,
090010101014022,
090010101014023,
090010101014024,
090010101014025,
090010101014026,
090010101014027,
090010101014028,
090010101014029,
090010101014030,
090010101014031,
090010101014032,
090010101014033,
090010101014034,
090010101014035,
090010101014036,
090010101014037,
090010101014038,
090010101014039,
090010101014040,
090010101014041,
090010101014042,
090010101014043,
090010101014044,
090010101014045,
090010101014046,
090010101014047,
090010101014048,
090010101014049,
090010101014050,
090010101014051,
090010101021000,
090010101021001,
090010101021002,
090010101021003,
090010101021004,
090010101021005,
090010101021006,
090010101021007,
090010101021008,
090010101021009,
090010101021010,
090010101021011,
090010101021012,
090010101021013,
090010101021014,
090010101021015,
090010101021016,
090010101021017,
090010101021018,
090010101021019,
090010101021020,
090010101021021,
090010101021022,
090010101021023,
090010101021024,
090010101021025,
090010101021026,
090010101021027,
090010101021028,
090010101021029,
090010101021030,
090010101021031,
090010101021032,
090010101021033,
090010101021034,
090010101021035,
090010101022000,
090010101022001,
090010101022002,
090010101022003,
090010101022004,
090010101022005,
090010101022006,
090010101022007,
090010101022008,
090010101022009,
090010101022010,
090010101022011,
090010101022012,
090010101022013,
090010101022014,
090010101022015,
090010101022016,
090010101022017,
090010101022018,
090010101022019,
090010101022020,
090010101022021,
090010101022022,
090010101022023,
090010101022024,
090010101022025,
090010101022026,
090010101022027,
090010101022028,
090010101022029,
090010101022030,
090010101022031,
090010101022032,
090010101022033,
090010101022034,
090010101022035,
090010101022036,
090010101022037,
090010101022038,
090010101022039,
090010101022040,
090010101022041,
090010101022042,
090010101022043,
090010101022044,
090010101023000,
090010101023001,
090010101023002,
090010101023003,
090010101023004,
090010101023005,
090010101023006,
090010101023007,
090010101023008,
090010101023009,
090010101023010,
090010101023011,
090010101023012,
090010101023013,
090010101023014,
090010101023015,
090010101023016,
090010101023017,
090010101023018,
090010101023019,
090010101023020,
090010101023021,
090010101023022,
090010101023023,
090010101023024,
090010101023025,
090010101023026,
090010101023027,
090010101023028,
090010101023029,
090010101023030,
090010101023031,
090010101023032,
090010101023033,
090010101023034,
090010101023035,
090010101023036,
090010101023037,
090010101023038,
090010101023039,
090010101023040,
090010101023041,
090010101023042,
090010101023043,
090010101023044,
090010101023045,
090010101023046,
090010101023047,
090010101023048,
090010101023049,
090010101023050,
090010101023051,
090010101023052,
090010101023053,
090010101023054,
090010101023055,
090010101023056,
090010101023057,
090010101023058,
090010101023059,
090010101023060,
090010101023061,
090010101023062,
090010101023063,
090010101023064,
090010101023065,
090010101023066,
090010101023067,
090010101023068,
090010101023069,
090010101023070,
090010101023071,
090010101023072,
090010101023073,
090010102011000,
090010102011001,
090010102011002,
090010102011003,
090010102011004,
090010102011005,
090010102011006,
090010102011007,
090010102011008,
090010102011009,
090010102011010,
090010102011011,
090010102011012,
090010102011013,
090010102011014,
090010102011015,
090010102011016,
090010102011017,
090010102011018,
090010102011019,
090010102011020,
090010102011021,
090010102011022,
090010102011023,
090010102011024,
090010102011025,
090010102011026,
090010102011027,
090010102011028,
090010102011029,
090010102011030,
090010102011031,
090010102011032,
090010102011033,
090010102012000,
090010102012001,
090010102012002,
090010102012003,
090010102012004,
090010102012005,
090010102012006,
090010102012007,
090010102012008,
090010102012009,
090010102012010,
090010102012011,
090010102012012,
090010102012013,
090010102012014,
090010102012015,
090010102012016,
090010102012017,
090010102012018,
090010102012019,
090010102012020,
090010102012021,
090010102012022,
090010102013000,
090010102013001,
090010102013002,
090010102013003,
090010102013004,
090010102013005,
090010102013006,
090010102013007,
090010102013008,
090010102013009,
090010102013010,
090010102013011,
090010102013012,
090010102013013,
090010102013014,
