BLOCKID,DISTRICT
090010101011000,01710
090010101011001,01710
090010101011002,01710
090010101011003,01710
090010101011004,01710
090010101011005,01710
090010101011006,01710
090010101011007,01710
090010101011008,01710
090010101011009,01710
090010101011010,01710
090010101011011,01710
090010101011012,01710
090010101011013,01710
090010101011014,01710
090010101011015,01710
090010101011016,01710
090010101012000,01710
090010101012001,01710
090010101012002,01710
090010101012003,01710
090010101012004,01710
090010101012005,01710
090010101012006,01710
090010101012007,01710
090010101012008,01710
090010101012009,01710
090010101012010,01710
090010101012011,01710
090010101012012,01710
090010101012013,01710
090010101012014,01710
090010101012015,01710
090010101012016,01710
090010101012017,01710
090010101013000,01710
090010101013001,01710
090010101013002,01710
090010101013003,01710
090010101013004,01710
090010101013005,01710
090010101013006,01710
090010101013007,01710
090010101013008,01710
090010101013009,01710
090010101013010,01710
090010101013011,01710
090010101013012,01710
090010101013013,01710
090010101013014,01710
090010101013015,01710
090010101013016,01710
090010101013017,01710
090010101013018,01710
090010101013019,01710
090010101013020,01710
090010101013021,01710
090010101013022,01710
090010101013023,01710
090010101013024,01710
090010101013025,01710
090010101013026,01710
090010101013027,01710
090010101013028,01710
090010101013029,01710
090010101013030,01710
090010101013031,01710
090010101013032,01710
090010101013033,01710
090010101013034,01710
090010101013035,01710
090010101013036,01710
090010101013037,01710
090010101013038,01710
090010101013039,01710
090010101013040,01710
090010101013041,01710
090010101013042,01710
090010101013043,01710
090010101013044,01710
090010101013045,01710
090010101013046,01710
090010101013047,01710
090010101013048,01710
090010101013049,01710
090010101013050,01710
090010101013051,01710
090010101013052,01710
090010101013053,01710
090010101013054,01710
090010101013055,01710
090010101013056,01710
090010101014000,01710
090010101014001,01710
090010101014002,01710
090010101014003,01710
090010101014004,01710
090010101014005,01710
090010101014006,01710
090010101014007,01710
090010101014008,01710
090010101014009,01710
090010101014010,01710
090010101014011,01710
090010101014012,01710
090010101014013,01710
090010101014014,01710
090010101014015,01710
090010101014016,01710
090010101014017,01710
090010101014018,01710
090010101014019,01710
090010101014020,01710
090010101014021,01710
090010101014022,01710
090010101014023,01710
090010101014024,01710
090010101014025,01710
090010101014026,01710
090010101014027,01710
090010101014028,01710
090010101014029,01710
090010101014030,01710
090010101014031,01710
090010101014032,01710
090010101014033,01710
090010101014034,01710
090010101014035,01710
090010101014036,01710
090010101014037,01710
090010101014038,01710
090010101014039,01710
090010101014040,01710
090010101014041,01710
090010101014042,01710
090010101014043,01710
090010101014044,01710
090010101014045,01710
090010101014046,01710
090010101014047,01710
090010101014048,01710
090010101014049,01710
090010101014050,01710
090010101014051,01710
090010101021000,01710
090010101021001,01710
090010101021002,01710
090010101021003,01710
090010101021004,01710
090010101021005,01710
090010101021006,01710
090010101021007,01710
090010101021008,01710
090010101021009,01710
090010101021010,01710
090010101021011,01710
090010101021012,01710
090010101021013,01710
090010101021014,01710
090010101021015,01710
090010101021016,01710
090010101021017,01710
090010101021018,01710
090010101021019,01710
090010101021020,01710
090010101021021,01710
090010101021022,01710
090010101021023,01710
090010101021024,01710
090010101021025,01710
090010101021026,01710
090010101021027,01710
090010101021028,01710
090010101021029,01710
090010101021030,01710
090010101021031,01710
090010101021032,01710
090010101021033,01710
090010101021034,01710
090010101021035,01710
090010101022000,01710
090010101022001,01710
090010101022002,01710
090010101022003,01710
090010101022004,01710
090010101022005,01710
090010101022006,01710
090010101022007,01710
090010101022008,01710
090010101022009,01710
090010101022010,01710
090010101022011,01710
090010101022012,01710
090010101022013,01710
090010101022014,01710
090010101022015,01710
090010101022016,01710
090010101022017,01710
090010101022018,01710
090010101022019,01710
090010101022020,01710
090010101022021,01710
090010101022022,01710
090010101022023,01710
090010101022024,01710
090010101022025,01710
090010101022026,01710
090010101022027,01710
090010101022028,01710
090010101022029,01710
090010101022030,01710
090010101022031,01710
090010101022032,01710
090010101022033,01710
090010101022034,01710
090010101022035,01710
090010101022036,01710
090010101022037,01710
090010101022038,01710
090010101022039,01710
090010101022040,01710
090010101022041,01710
090010101022042,01710
090010101022043,01710
090010101022044,01710
090010101023000,01710
090010101023001,01710
090010101023002,01710
090010101023003,01710
090010101023004,01710
090010101023005,01710
090010101023006,01710
090010101023007,01710
090010101023008,01710
090010101023009,01710
090010101023010,01710
090010101023011,01710
090010101023012,01710
090010101023013,01710
090010101023014,01710
090010101023015,01710
090010101023016,01710
090010101023017,01710
090010101023018,01710
090010101023019,01710
090010101023020,01710
090010101023021,01710
090010101023022,01710
090010101023023,01710
090010101023024,01710
090010101023025,01710
090010101023026,01710
090010101023027,01710
090010101023028,01710
090010101023029,01710
090010101023030,01710
090010101023031,01710
090010101023032,01710
090010101023033,01710
090010101023034,01710
090010101023035,01710
090010101023036,01710
090010101023037,01710
090010101023038,01710
090010101023039,01710
090010101023040,01710
090010101023041,01710
090010101023042,01710
090010101023043,01710
090010101023044,01710
090010101023045,01710
090010101023046,01710
090010101023047,01710
090010101023048,01710
090010101023049,01710
090010101023050,01710
090010101023051,01710
090010101023052,01710
090010101023053,01710
090010101023054,01710
090010101023055,01710
090010101023056,01710
090010101023057,01710
090010101023058,01710
090010101023059,01710
090010101023060,01710
090010101023061,01710
090010101023062,01710
090010101023063,01710
090010101023064,01710
090010101023065,01710
090010101023066,01710
090010101023067,01710
090010101023068,01710
090010101023069,01710
090010101023070,01710
090010101023071,01710
090010101023072,01710
090010101023073,01710
090010102011000,01710
090010102011001,01710
090010102011002,01710
090010102011003,01710
090010102011004,01710
090010102011005,01710
090010102011006,01710
090010102011007,01710
090010102011008,01710
090010102011009,01710
090010102011010,01710
090010102011011,01710
090010102011012,01710
090010102011013,01710
090010102011014,01710
090010102011015,01710
090010102011016,01710
090010102011017,01710
090010102011018,01710
090010102011019,01710
090010102011020,01710
090010102011021,01710
090010102011022,01710
090010102011023,01710
090010102011024,01710
090010102011025,01710
090010102011026,01710
090010102011027,01710
090010102011028,01710
090010102011029,01710
090010102011030,01710
090010102011031,01710
090010102011032,01710
090010102011033,01710
090010102012000,01710
090010102012001,01710
090010102012002,01710
090010102012003,01710
090010102012004,01710
090010102012005,01710
090010102012006,01710
090010102012007,01710
090010102012008,01710
090010102012009,01710
090010102012010,01710
090010102012011,01710
090010102012012,01710
090010102012013,01710
090010102012014,01710
090010102012015,01710
090010102012016,01710
090010102012017,01710
090010102012018,01710
090010102012019,01710
090010102012020,01710
090010102012021,01710
090010102012022,01710
090010102013000,01710
090010102013001,01710
090010102013002,01710
090010102013003,01710
090010102013004,01710
090010102013005,01710
090010102013006,01710
090010102013007,01710
090010102013008,01710
090010102013009,01710
090010102013010,01710
090010102013011,01710
090010102013012,01710
090010102013013,01710
090010102013014,01710
090010102013015,01710
090010102013016,01710
090010102013017,01710
090010102013018,01710
090010102013019,01710
090010102013020,01710
090010102013021,01710
090010102013022,01710
090010102021000,01710
090010102021001,01710
090010102021002,01710
090010102021003,01710
090010102021004,01710
090010102021005,01710
090010102021006,01710
090010102021007,01710
090010102021008,01710
090010102021009,01710
090010102021010,01710
090010102021011,01710
090010102021012,01710
090010102022000,01710
090010102022001,01710
090010102022002,01710
090010102022003,01710
