BLOCKID,DISTRICT
090010101011000,149
090010101011001,149
090010101011002,149
090010101011003,149
090010101011004,149
090010101011005,149
090010101011006,149
090010101011007,149
090010101011008,149
090010101011009,149
090010101011010,149
090010101011011,149
090010101011012,149
090010101011013,149
090010101011014,149
090010101011015,149
090010101011016,149
090010101012000,149
090010101012001,149
090010101012002,149
090010101012003,149
090010101012004,149
090010101012005,149
090010101012006,149
090010101012007,149
090010101012008,149
090010101012009,149
090010101012010,149
090010101012011,149
090010101012012,149
090010101012013,149
090010101012014,149
090010101012015,149
090010101012016,149
090010101012017,149
090010101013000,149
090010101013001,149
090010101013002,149
090010101013003,149
090010101013004,149
090010101013005,149
090010101013006,149
090010101013007,149
090010101013008,149
090010101013009,149
090010101013010,149
090010101013011,149
090010101013012,149
090010101013013,149
090010101013014,149
090010101013015,149
090010101013016,149
090010101013017,149
090010101013018,149
090010101013019,149
090010101013020,149
090010101013021,149
090010101013022,149
090010101013023,149
090010101013024,149
090010101013025,149
090010101013026,149
090010101013027,149
090010101013028,149
090010101013029,149
090010101013030,149
090010101013031,149
090010101013032,149
090010101013033,149
090010101013034,149
090010101013035,149
090010101013036,149
090010101013037,149
090010101013038,149
090010101013039,149
090010101013040,149
090010101013041,149
090010101013042,149
090010101013043,149
090010101013044,149
090010101013045,149
090010101013046,149
090010101013047,149
090010101013048,149
090010101013049,149
090010101013050,149
090010101013051,149
090010101013052,149
090010101013053,149
090010101013054,149
090010101013055,149
090010101013056,149
090010101014000,149
090010101014001,149
090010101014002,149
090010101014003,149
090010101014004,149
090010101014005,149
090010101014006,149
090010101014007,149
090010101014008,149
090010101014009,149
090010101014010,149
090010101014011,149
090010101014012,149
090010101014013,149
090010101014014,149
090010101014015,149
090010101014016,149
090010101014017,149
090010101014018,149
090010101014019,149
090010101014020,149
090010101014021,149
090010101014022,149
090010101014023,149
090010101014024,149
090010101014025,149
090010101014026,149
090010101014027,149
090010101014028,149
090010101014029,149
090010101014030,149
090010101014031,149
090010101014032,149
090010101014033,149
090010101014034,149
090010101014035,149
090010101014036,149
090010101014037,149
090010101014038,149
090010101014039,149
090010101014040,149
090010101014041,149
090010101014042,149
090010101014043,149
090010101014044,149
090010101014045,149
090010101014046,149
090010101014047,149
090010101014048,149
090010101014049,149
090010101014050,149
090010101014051,149
090010101021000,149
090010101021001,149
090010101021002,149
090010101021003,149
090010101021004,149
090010101021005,149
090010101021006,149
090010101021007,149
090010101021008,149
090010101021009,149
090010101021010,149
090010101021011,149
090010101021012,149
090010101021013,151
090010101021014,151
090010101021015,151
090010101021016,151
090010101021017,151
090010101021018,151
090010101021019,151
090010101021020,151
090010101021021,151
090010101021022,151
090010101021023,151
090010101021024,151
090010101021025,151
090010101021026,149
090010101021027,149
090010101021028,149
090010101021029,149
090010101021030,149
090010101021031,149
090010101021032,151
090010101021033,151
090010101021034,151
090010101021035,149
090010101022000,149
090010101022001,149
090010101022002,149
090010101022003,149
090010101022004,149
090010101022005,149
090010101022006,149
090010101022007,149
090010101022008,149
090010101022009,149
090010101022010,149
090010101022011,149
090010101022012,149
090010101022013,149
090010101022014,149
090010101022015,149
090010101022016,149
090010101022017,149
090010101022018,149
090010101022019,149
090010101022020,149
090010101022021,149
090010101022022,149
090010101022023,149
090010101022024,149
090010101022025,149
090010101022026,149
090010101022027,149
090010101022028,149
090010101022029,149
090010101022030,149
090010101022031,149
090010101022032,149
090010101022033,149
090010101022034,149
090010101022035,149
090010101022036,149
090010101022037,149
090010101022038,149
090010101022039,149
090010101022040,149
090010101022041,149
090010101022042,149
090010101022043,149
090010101022044,149
090010101023000,149
090010101023001,149
090010101023002,149
090010101023003,149
090010101023004,149
090010101023005,149
090010101023006,149
090010101023007,149
090010101023008,149
090010101023009,149
090010101023010,149
090010101023011,149
090010101023012,149
090010101023013,149
090010101023014,149
090010101023015,149
090010101023016,149
090010101023017,149
090010101023018,149
090010101023019,149
090010101023020,149
090010101023021,149
090010101023022,149
090010101023023,149
090010101023024,149
090010101023025,149
090010101023026,149
090010101023027,149
090010101023028,149
090010101023029,149
090010101023030,149
090010101023031,149
090010101023032,149
090010101023033,149
090010101023034,149
090010101023035,149
090010101023036,149
090010101023037,149
090010101023038,149
090010101023039,149
090010101023040,149
090010101023041,149
090010101023042,149
090010101023043,149
090010101023044,149
090010101023045,149
090010101023046,149
090010101023047,149
090010101023048,149
090010101023049,149
090010101023050,149
090010101023051,149
090010101023052,149
090010101023053,149
090010101023054,149
090010101023055,149
090010101023056,149
090010101023057,149
090010101023058,149
090010101023059,149
090010101023060,149
090010101023061,149
090010101023062,149
090010101023063,149
090010101023064,149
090010101023065,149
090010101023066,149
090010101023067,149
090010101023068,149
090010101023069,149
090010101023070,149
090010101023071,149
090010101023072,149
090010101023073,149
090010102011000,151
090010102011001,151
090010102011002,151
090010102011003,151
090010102011004,151
090010102011005,151
090010102011006,151
090010102011007,151
090010102011008,151
090010102011009,151
090010102011010,151
090010102011011,149
090010102011012,151
090010102011013,151
090010102011014,151
090010102011015,151
090010102011016,151
090010102011017,151
090010102011018,151
090010102011019,151
090010102011020,151
090010102011021,151
090010102011022,151
090010102011023,151
090010102011024,151
090010102011025,151
090010102011026,151
090010102011027,151
090010102011028,151
090010102011029,151
090010102011030,151
090010102011031,149
090010102011032,151
090010102011033,151
090010102012000,151
090010102012001,151
090010102012002,151
090010102012003,151
090010102012004,151
090010102012005,151
090010102012006,151
090010102012007,151
090010102012008,151
090010102012009,151
090010102012010,151
090010102012011,151
090010102012012,151
090010102012013,151
090010102012014,151
090010102012015,151
090010102012016,151
090010102012017,151
090010102012018,151
090010102012019,151
090010102012020,151
090010102012021,151
090010102012022,151
090010102013000,151
090010102013001,151
090010102013002,151
090010102013003,151
090010102013004,151
090010102013005,151
090010102013006,151
090010102013007,151
090010102013008,151
090010102013009,151
090010102013010,151
090010102013011,151
090010102013012,151
090010102013013,151
090010102013014,151
090010102013015,151
090010102013016,151
090010102013017,151
090010102013018,151
090010102013019,151
090010102013020,151
090010102013021,151
090010102013022,151
090010102021000,151
090010102021001,151
090010102021002,151
090010102021003,151
090010102021004,151
090010102021005,151
090010102021006,151
090010102021007,151
090010102021008,151
090010102021009,151
090010102021010,151
090010102021011,151
090010102021012,151
090010102022000,151
090010102022001,151
090010102022002,151
090010102022003,151
090010102022004,151
090010102022005,151
090010102022006,151
090010102022007,151
090010102022008,151
