BLOCKID,DISTRICT
090010101011000,036
090010101011001,036
090010101011002,036
090010101011003,036
090010101011004,036
090010101011005,036
090010101011006,036
090010101011007,036
090010101011008,036
090010101011009,036
090010101011010,036
090010101011011,036
090010101011012,036
090010101011013,036
090010101011014,036
090010101011015,036
090010101011016,036
090010101012000,036
090010101012001,036
090010101012002,036
090010101012003,036
090010101012004,036
090010101012005,036
090010101012006,036
090010101012007,036
090010101012008,036
090010101012009,036
090010101012010,036
090010101012011,036
090010101012012,036
090010101012013,036
090010101012014,036
090010101012015,036
090010101012016,036
090010101012017,036
090010101013000,036
090010101013001,036
090010101013002,036
090010101013003,036
090010101013004,036
090010101013005,036
090010101013006,036
090010101013007,036
090010101013008,036
090010101013009,036
090010101013010,036
090010101013011,036
090010101013012,036
090010101013013,036
090010101013014,036
090010101013015,036
090010101013016,036
090010101013017,036
090010101013018,036
090010101013019,036
090010101013020,036
090010101013021,036
090010101013022,036
090010101013023,036
090010101013024,036
090010101013025,036
090010101013026,036
090010101013027,036
090010101013028,036
090010101013029,036
090010101013030,036
090010101013031,036
090010101013032,036
090010101013033,036
090010101013034,036
090010101013035,036
090010101013036,036
090010101013037,036
090010101013038,036
090010101013039,036
090010101013040,036
090010101013041,036
090010101013042,036
090010101013043,036
090010101013044,036
090010101013045,036
090010101013046,036
090010101013047,036
090010101013048,036
090010101013049,036
090010101013050,036
090010101013051,036
090010101013052,036
090010101013053,036
090010101013054,036
090010101013055,036
090010101013056,036
090010101014000,036
090010101014001,036
090010101014002,036
090010101014003,036
090010101014004,036
090010101014005,036
090010101014006,036
090010101014007,036
090010101014008,036
090010101014009,036
090010101014010,036
090010101014011,036
090010101014012,036
090010101014013,036
090010101014014,036
090010101014015,036
090010101014016,036
090010101014017,036
090010101014018,036
090010101014019,036
090010101014020,036
090010101014021,036
090010101014022,036
090010101014023,036
090010101014024,036
090010101014025,036
090010101014026,036
090010101014027,036
090010101014028,036
090010101014029,036
090010101014030,036
090010101014031,036
090010101014032,036
090010101014033,036
090010101014034,036
090010101014035,036
090010101014036,036
090010101014037,036
090010101014038,036
090010101014039,036
090010101014040,036
090010101014041,036
090010101014042,036
090010101014043,036
090010101014044,036
090010101014045,036
090010101014046,036
090010101014047,036
090010101014048,036
090010101014049,036
090010101014050,036
090010101014051,036
090010101021000,036
090010101021001,036
090010101021002,036
090010101021003,036
