BLOCKID,COUNTYFP,DISTRICT
090010101011000,001,01-072
090010101011001,001,01-072
090010101011002,001,01-072
090010101011003,001,01-072
090010101011004,001,01-072
090010101011005,001,01-072
090010101011006,001,01-072
090010101011007,001,01-072
090010101011008,001,01-072
090010101011009,001,01-072
090010101011010,001,01-072
090010101011011,001,01-072
090010101011012,001,01-072
090010101011013,001,01-072
090010101011014,001,01-072
090010101011015,001,01-072
090010101011016,001,01-072
090010101012000,001,01-091
090010101012001,001,01-091
090010101012002,001,01-091
090010101012003,001,01-091
090010101012004,001,01-091
090010101012005,001,01-091
090010101012006,001,01-091
090010101012007,001,01-091
090010101012008,001,01-091
090010101012009,001,01-091
090010101012010,001,01-091
090010101012011,001,01-091
090010101012012,001,01-091
090010101012013,001,01-091
090010101012014,001,01-091
090010101012015,001,01-091
090010101012016,001,01-091
090010101012017,001,01-091
090010101013000,001,01-072
090010101013001,001,01-072
090010101013002,001,01-072
090010101013003,001,01-072
090010101013004,001,01-072
090010101013005,001,01-072
090010101013006,001,01-072
090010101013007,001,01-072
090010101013008,001,01-072
090010101013009,001,01-072
090010101013010,001,01-072
090010101013011,001,01-072
090010101013012,001,01-072
090010101013013,001,01-072
090010101013014,001,01-072
090010101013015,001,01-072
090010101013016,001,01-072
090010101013017,001,01-072
090010101013018,001,01-072
090010101013019,001,01-072
090010101013020,001,01-072
090010101013021,001,01-072
090010101013022,001,01-072
090010101013023,001,01-072
090010101013024,001,01-072
090010101013025,001,01-072
090010101013026,001,01-072
090010101013027,001,01-072
090010101013028,001,01-072
090010101013029,001,01-072
090010101013030,001,01-072
090010101013031,001,01-072
090010101013032,001,01-072
090010101013033,001,01-072
090010101013034,001,01-072
090010101013035,001,01-072
090010101013036,001,01-072
090010101013037,001,01-072
090010101013038,001,01-072
090010101013039,001,01-072
090010101013040,001,01-072
090010101013041,001,01-072
090010101013042,001,01-072
090010101013043,001,01-072
090010101013044,001,01-072
090010101013045,001,01-072
090010101013046,001,01-072
090010101013047,001,01-072
090010101013048,001,01-072
090010101013049,001,01-072
090010101013050,001,01-072
090010101013051,001,01-072
090010101013052,001,01-072
090010101013053,001,01-072
090010101013054,001,01-072
090010101013055,001,01-072
090010101013056,001,01-072
090010101014000,001,01-072
090010101014001,001,01-072
090010101014002,001,01-072
090010101014003,001,01-072
090010101014004,001,01-072
090010101014005,001,01-072
090010101014006,001,01-072
090010101014007,001,01-072
090010101014008,001,01-072
090010101014009,001,01-072
090010101014010,001,01-072
090010101014011,001,01-072
090010101014012,001,01-072
090010101014013,001,01-072
090010101014014,001,01-072
090010101014015,001,01-072
090010101014016,001,01-072
090010101014017,001,01-072
090010101014018,001,01-072
090010101014019,001,01-072
090010101014020,001,01-072
090010101014021,001,01-072
090010101014022,001,01-072
090010101014023,001,01-072
090010101014024,001,01-072
090010101014025,001,01-072
090010101014026,001,01-072
090010101014027,001,01-072
090010101014028,001,01-072
090010101014029,001,01-072
090010101014030,001,01-072
090010101014031,001,01-072
090010101014032,001,01-072
090010101014033,001,01-072
090010101014034,001,01-072
090010101014035,001,01-072
090010101014036,001,01-072
090010101014037,001,01-072
090010101014038,001,01-072
090010101014039,001,01-072
090010101014040,001,01-072
090010101014041,001,01-072
090010101014042,001,01-072
090010101014043,001,01-072
090010101014044,001,01-072
090010101014045,001,01-072
090010101014046,001,01-072
090010101014047,001,01-072
090010101014048,001,01-072
090010101014049,001,01-072
090010101014050,001,01-072
090010101014051,001,01-072
090010101021000,001,01-075
090010101021001,001,01-075
090010101021002,001,01-075
090010101021003,001,01-075
090010101021004,001,01-075
090010101021005,001,01-075
090010101021006,001,01-075
090010101021007,001,01-075
090010101021008,001,01-075
090010101021009,001,01-075
090010101021010,001,01-075
090010101021011,001,01-075
090010101021012,001,01-075
090010101021013,001,01-074
090010101021014,001,01-074
090010101021015,001,01-074
090010101021016,001,01-074
090010101021017,001,01-074
090010101021018,001,01-074
090010101021019,001,01-074
090010101021020,001,01-074
090010101021021,001,01-074
090010101021022,001,01-074
090010101021023,001,01-074
090010101021024,001,01-074
090010101021025,001,01-074
090010101021026,001,01-075
090010101021027,001,01-075
090010101021028,001,01-075
090010101021029,001,01-075
090010101021030,001,01-075
090010101021031,001,01-075
090010101021032,001,01-074
090010101021033,001,01-074
090010101021034,001,01-074
090010101021035,001,01-075
090010101022000,001,01-075
090010101022001,001,01-075
090010101022002,001,01-075
090010101022003,001,01-075
090010101022004,001,01-075
090010101022005,001,01-075
090010101022006,001,01-075
090010101022007,001,01-075
090010101022008,001,01-075
090010101022009,001,01-075
090010101022010,001,01-075
090010101022011,001,01-075
090010101022012,001,01-075
090010101022013,001,01-075
090010101022014,001,01-075
090010101022015,001,01-075
090010101022016,001,01-075
090010101022017,001,01-072
090010101022018,001,01-072
090010101022019,001,01-072
090010101022020,001,01-072
090010101022021,001,01-072
090010101022022,001,01-072
090010101022023,001,01-072
090010101022024,001,01-072
090010101022025,001,01-075
090010101022026,001,01-075
090010101022027,001,01-075
090010101022028,001,01-075
090010101022029,001,01-075
090010101022030,001,01-072
090010101022031,001,01-072
090010101022032,001,01-072
090010101022033,001,01-072
090010101022034,001,01-072
090010101022035,001,01-072
090010101022036,001,01-075
090010101022037,001,01-075
090010101022038,001,01-075
090010101022039,001,01-075
090010101022040,001,01-075
090010101022041,001,01-075
090010101022042,001,01-072
090010101022043,001,01-075
090010101022044,001,01-075
090010101023000,001,01-075
090010101023001,001,01-075
090010101023002,001,01-075
090010101023003,001,01-075
090010101023004,001,01-075
090010101023005,001,01-075
090010101023006,001,01-075
090010101023007,001,01-075
090010101023008,001,01-075
090010101023009,001,01-075
090010101023010,001,01-072
090010101023011,001,01-072
090010101023012,001,01-072
090010101023013,001,01-072
090010101023014,001,01-072
090010101023015,001,01-072
090010101023016,001,01-072
090010101023017,001,01-075
090010101023018,001,01-075
090010101023019,001,01-075
090010101023020,001,01-075
090010101023021,001,01-075
090010101023022,001,01-075
090010101023023,001,01-075
090010101023024,001,01-075
090010101023025,001,01-075
090010101023026,001,01-075
090010101023027,001,01-075
090010101023028,001,01-075
090010101023029,001,01-075
090010101023030,001,01-075
090010101023031,001,01-075
090010101023032,001,01-075
090010101023033,001,01-075
090010101023034,001,01-075
090010101023035,001,01-075
090010101023036,001,01-075
090010101023037,001,01-075
090010101023038,001,01-075
090010101023039,001,01-075
090010101023040,001,01-075
090010101023041,001,01-075
090010101023042,001,01-075
090010101023043,001,01-075
090010101023044,001,01-075
090010101023045,001,01-075
090010101023046,001,01-075
090010101023047,001,01-072
090010101023048,001,01-072
090010101023049,001,01-072
090010101023050,001,01-072
090010101023051,001,01-072
090010101023052,001,01-072
090010101023053,001,01-072
090010101023054,001,01-072
090010101023055,001,01-075
090010101023056,001,01-072
090010101023057,001,01-072
090010101023058,001,01-072
090010101023059,001,01-072
090010101023060,001,01-072
090010101023061,001,01-072
090010101023062,001,01-072
090010101023063,001,01-072
090010101023064,001,01-075
090010101023065,001,01-072
090010101023066,001,01-072
090010101023067,001,01-072
090010101023068,001,01-072
090010101023069,001,01-072
090010101023070,001,01-072
090010101023071,001,01-072
090010101023072,001,01-072
090010101023073,001,01-072
090010102011000,001,01-074
090010102011001,001,01-074
090010102011002,001,01-074
090010102011003,001,01-073
090010102011004,001,01-073
090010102011005,001,01-074
090010102011006,001,01-074
090010102011007,001,01-074
090010102011008,001,01-074
090010102011009,001,01-074
090010102011010,001,01-073
090010102011011,001,01-075
090010102011012,001,01-073
090010102011013,001,01-073
090010102011014,001,01-073
090010102011015,001,01-073
090010102011016,001,01-073
090010102011017,001,01-073
090010102011018,001,01-073
090010102011019,001,01-073
090010102011020,001,01-073
090010102011021,001,01-073
090010102011022,001,01-073
090010102011023,001,01-074
090010102011024,001,01-074
090010102011025,001,01-074
090010102011026,001,01-074
090010102011027,001,01-073
090010102011028,001,01-073
090010102011029,001,01-073
090010102011030,001,01-074
090010102011031,001,01-088
090010102011032,001,01-074
090010102011033,001,01-073
090010102012000,001,01-074
090010102012001,001,01-074
090010102012002,001,01-074
090010102012003,001,01-074
090010102012004,001,01-074
090010102012005,001,01-074
090010102012006,001,01-074
090010102012007,001,01-074
090010102012008,001,01-074
090010102012009,001,01-074
090010102012010,001,01-074
090010102012011,001,01-074
090010102012012,001,01-074
090010102012013,001,01-074
090010102012014,001,01-089
090010102012015,001,01-089
090010102012016,001,01-089
090010102012017,001,01-089
090010102012018,001,01-089
090010102012019,001,01-089
090010102012020,001,01-089
090010102012021,001,01-089
090010102012022,001,01-090
090010102013000,001,01-074
090010102013001,001,01-074
090010102013002,001,01-074
090010102013003,001,01-074
090010102013004,001,01-074
090010102013005,001,01-074
090010102013006,001,01-074
090010102013007,001,01-074
090010102013008,001,01-074
090010102013009,001,01-074
090010102013010,001,01-074
090010102013011,001,01-074
090010102013012,001,01-074
090010102013013,001,01-074
090010102013014,001,01-074
090010102013015,001,01-074
090010102013016,001,01-074
090010102013017,001,01-074
090010102013018,001,01-074
090010102013019,001,01-074
090010102013020,001,01-074
090010102013021,001,01-074
090010102013022,001,01-074
090010102021000,001,01-090
090010102021001,001,01-090
090010102021002,001,01-090
090010102021003,001,01-090
090010102021004,001,01-090
090010102021005,001,01-090
090010102021006,001,01-090
090010102021007,001,01-090
090010102021008,001,01-090
090010102021009,001,01-090
090010102021010,001,01-090
090010102021011,001,01-090
090010102021012,001,01-090
090010102022000,001,01-090
090010102022001,001,01-090
090010102022002,001,01-090
090010102022003,001,01-090
090010102022004,001,01-090
090010102022005,001,01-090
090010102022006,001,01-090
090010102022007,001,01-090
090010102022008,001,01-090
090010102022009,001,01-090
090010102022010,001,01-090
090010102022011,001,01-090
090010102022012,001,01-090
090010102022013,001,01-090
090010102022014,001,01-090
090010102023000,001,01-076
090010102023001,001,01-090
090010102023002,001,01-076
090010102023003,001,01-076
090010102023004,001,01-076
090010102023005,001,01-076
090010102023006,001,01-076
090010102023007,001,01-076
090010102023008,001,01-090
090010102023009,001,01-090
090010102023010,001,01-090
090010102023011,001,01-090
090010102023012,001,01-090
090010102023013,001,01-090
090010102023014,001,01-090
090010102023015,001,01-076
090010102023016,001,01-076
090010102024000,001,01-090
090010102024001,001,01-090
090010102024002,001,01-090
090010102024003,001,01-090
090010102024004,001,01-090
090010102024005,001,01-090
090010102024006,001,01-090
090010102024007,001,01-090
090010102024008,001,01-090
090010102024009,001,01-090
090010102024010,001,01-090
090010102024011,001,01-090
090010102024012,001,01-090
090010103001000,001,01-074
090010103001001,001,01-089
090010103001002,001,01-089
090010103001003,001,01-089
090010103001004,001,01-074
090010103001005,001,01-074
090010103001006,001,01-074
090010103001007,001,01-089
090010103001008,001,01-077
090010103001009,001,01-089
090010103001010,001,01-089
090010103001011,001,01-089
090010103002000,001,01-089
090010103002001,001,01-089
090010103002002,001,01-089
090010103002003,001,01-089
090010103002004,001,01-089
090010103002005,001,01-089
090010103002006,001,01-089
090010103002007,001,01-089
090010103002008,001,01-089
090010103002009,001,01-089
090010103002010,001,01-089
090010103002011,001,01-077
090010103002012,001,01-077
090010103002013,001,01-089
090010103002014,001,01-089
090010103002015,001,01-089
090010103002016,001,01-089
090010103002017,001,01-089
090010103002018,001,01-077
090010103002019,001,01-089
090010103003000,001,01-088
090010103003001,001,01-088
090010103003002,001,01-088
090010103003003,001,01-088
090010103003004,001,01-089
090010103003005,001,01-088
090010103003006,001,01-088
090010103003007,001,01-088
090010103003008,001,01-088
090010103003009,001,01-088
090010103003010,001,01-088
090010103003011,001,01-088
090010103003012,001,01-088
090010103003013,001,01-089
090010103003014,001,01-089
090010103003015,001,01-088
090010103003016,001,01-089
090010103003017,001,01-088
090010103003018,001,01-088
090010103003019,001,01-088
090010103004000,001,01-088
090010103004001,001,01-088
090010103004002,001,01-088
090010103004003,001,01-088
090010103004004,001,01-088
090010103004005,001,01-088
090010103004006,001,01-088
090010103004007,001,01-088
090010103004008,001,01-088
090010103004009,001,01-088
090010103004010,001,01-088
090010103004011,001,01-088
090010103004012,001,01-088
090010103004013,001,01-088
090010103004014,001,01-088
090010103004015,001,01-088
090010103004016,001,01-088
090010103004017,001,01-088
090010103004018,001,01-088
090010103004019,001,01-088
090010103004020,001,01-088
