BLOCKID,PLACEFP
100010401001000,
100010401001001,
100010401001002,
100010401001003,
100010401001004,
100010401001005,
100010401001006,
100010401001007,
100010401001008,
100010401001009,
100010401001010,
100010401001011,
100010401001012,
100010401001013,
100010401001014,
100010401001015,
100010401001016,
100010401001017,
100010401001018,
100010401001019,
100010401001020,
100010401001021,
100010401001022,
100010401001023,
100010401001024,
100010401001025,
100010401001026,
100010401001027,
100010401001028,
100010401001029,
100010401001030,
100010401001031,
100010401001032,
100010401001033,
100010401001034,
100010401001035,
100010401001036,
100010401001037,
100010401001038,
100010401001039,
100010401001040,
100010401001041,
100010401001042,
100010401001043,
100010401001044,
100010401001045,
100010401002000,
100010401002001,
100010401002002,
100010401002003,
100010401002004,
100010401002005,
100010401002006,
100010401002007,
100010401002008,
100010401002009,
100010401002010,
100010401002011,
100010401002012,
100010401002013,
100010401002014,
100010401002015,
100010401002016,
100010401002017,
100010401002018,39100
100010401002019,
100010401002020,
100010401002021,
100010401002022,
100010401002023,
100010401002024,
100010401002025,
100010401002026,
100010401002027,
100010401002028,39100
100010401002029,39100
100010401002030,39100
100010401002031,39100
100010401002032,39100
100010401002033,39100
100010401002034,39100
100010401002035,
100010401002036,
100010401002037,
100010401002038,
100010401002039,
100010401002040,
100010401002041,
100010401002042,
100010401002043,
100010401002044,
100010401002045,
100010401002046,39100
100010401002047,39100
100010401002048,39100
100010401002049,
100010401003000,
100010401003001,
100010401003002,
100010401003003,
100010401003004,
100010401003005,
100010401003006,
100010401003007,
100010401003008,
100010401003009,
100010401003010,
100010401003011,
100010401003012,
100010401003013,
100010401003014,
100010401003015,
100010401003016,
100010401003017,
100010401003018,
100010401003019,
100010401003020,
100010401003021,
100010401003022,
100010401003023,
100010401003024,
100010401003025,
100010401003026,
100010401003027,
100010401003028,
100010401003029,
100010401003030,
100010401003031,
100010401003032,
100010401003033,
100010401003034,
100010401003035,
100010401003036,
100010401003037,
100010401003038,
100010401003039,
100010401003040,
100010401003041,
100010401003042,
100010401003043,
100010401003044,
100010401003045,
100010401003046,
100010401003047,
100010402011000,67310
100010402011001,
100010402011002,
100010402011003,67310
100010402011004,67310
100010402011005,67310
100010402011006,15440
100010402011007,15440
100010402011008,
100010402011009,
100010402011010,
100010402011011,15440
100010402011012,15440
100010402011013,67310
100010402011014,67310
100010402011015,67310
100010402011016,67310
100010402011017,67310
100010402011018,15440
100010402011019,15440
100010402011020,
100010402011021,67310
100010402011022,15440
100010402011023,15440
100010402011024,15440
100010402011025,15440
100010402011026,15440
100010402011027,15440
100010402011028,
100010402011029,
100010402011030,
