BLOCKID,DISTRICT
100010401001000,01620
100010401001001,01620
100010401001002,01620
100010401001003,01620
100010401001004,01620
100010401001005,01620
100010401001006,01620
100010401001007,01620
100010401001008,01620
100010401001009,01620
100010401001010,01620
100010401001011,01620
100010401001012,01620
100010401001013,01620
100010401001014,01620
100010401001015,01620
100010401001016,01620
100010401001017,01620
100010401001018,01620
100010401001019,01620
100010401001020,01620
100010401001021,01620
100010401001022,01620
100010401001023,01620
100010401001024,01620
100010401001025,01620
100010401001026,01620
100010401001027,01620
100010401001028,01620
100010401001029,01620
100010401001030,01620
100010401001031,01620
100010401001032,01620
100010401001033,01620
100010401001034,01620
100010401001035,01620
100010401001036,01620
100010401001037,01620
100010401001038,01620
100010401001039,01620
100010401001040,01620
100010401001041,01620
100010401001042,01620
100010401001043,01620
100010401001044,01620
100010401001045,01620
100010401002000,01620
100010401002001,01620
100010401002002,01620
100010401002003,01620
100010401002004,01620
100010401002005,01620
100010401002006,01620
100010401002007,01620
100010401002008,01620
100010401002009,01620
100010401002010,01620
100010401002011,01620
100010401002012,01620
100010401002013,01620
100010401002014,01620
100010401002015,01620
100010401002016,01620
100010401002017,01620
100010401002018,01620
100010401002019,01620
100010401002020,01620
100010401002021,01620
100010401002022,01620
100010401002023,01620
100010401002024,01620
100010401002025,01620
100010401002026,01620
100010401002027,01620
100010401002028,01620
100010401002029,01620
100010401002030,01620
100010401002031,01620
100010401002032,01620
100010401002033,01620
100010401002034,01620
100010401002035,01620
100010401002036,01620
100010401002037,01620
100010401002038,01620
100010401002039,01620
100010401002040,01620
100010401002041,01620
100010401002042,01620
100010401002043,01620
100010401002044,01620
100010401002045,01620
100010401002046,01620
100010401002047,01620
100010401002048,01620
100010401002049,01620
100010401003000,00190
100010401003001,00190
100010401003002,01620
100010401003003,01620
100010401003004,01620
100010401003005,01620
100010401003006,01620
100010401003007,01620
100010401003008,01620
100010401003009,01620
100010401003010,00190
100010401003011,00190
100010401003012,01620
100010401003013,01620
100010401003014,01620
100010401003015,01620
100010401003016,01620
100010401003017,01620
100010401003018,01620
100010401003019,01620
100010401003020,01620
100010401003021,01620
100010401003022,01620
100010401003023,01620
100010401003024,00190
100010401003025,00190
100010401003026,01620
100010401003027,01620
100010401003028,01620
100010401003029,01620
100010401003030,01620
100010401003031,01620
100010401003032,01620
100010401003033,00190
100010401003034,00190
100010401003035,00190
100010401003036,00190
100010401003037,00190
100010401003038,00190
100010401003039,00190
100010401003040,01620
100010401003041,01620
100010401003042,00190
100010401003043,00190
