BLOCKID,DISTRICT
100010401001000,008
100010401001001,008
100010401001002,008
100010401001003,008
100010401001004,008
100010401001005,008
100010401001006,008
100010401001007,008
100010401001008,008
100010401001009,008
100010401001010,029
100010401001011,029
100010401001012,029
100010401001013,029
100010401001014,029
100010401001015,029
100010401001016,029
100010401001017,029
100010401001018,029
100010401001019,029
100010401001020,029
100010401001021,029
100010401001022,029
100010401001023,029
100010401001024,029
100010401001025,029
100010401001026,029
100010401001027,008
100010401001028,008
100010401001029,008
100010401001030,029
100010401001031,029
100010401001032,029
100010401001033,029
100010401001034,029
100010401001035,029
100010401001036,029
100010401001037,029
100010401001038,029
100010401001039,029
100010401001040,029
100010401001041,029
100010401001042,029
100010401001043,029
100010401001044,029
100010401001045,029
100010401002000,029
100010401002001,029
100010401002002,029
100010401002003,029
100010401002004,029
100010401002005,029
100010401002006,029
100010401002007,029
100010401002008,029
100010401002009,029
100010401002010,029
100010401002011,029
100010401002012,029
100010401002013,029
100010401002014,029
100010401002015,029
100010401002016,029
100010401002017,029
100010401002018,029
100010401002019,029
100010401002020,029
100010401002021,029
100010401002022,029
100010401002023,029
100010401002024,029
100010401002025,029
100010401002026,029
100010401002027,029
100010401002028,029
100010401002029,029
100010401002030,029
100010401002031,029
100010401002032,029
100010401002033,029
100010401002034,029
100010401002035,029
100010401002036,029
100010401002037,029
100010401002038,029
100010401002039,029
100010401002040,029
100010401002041,029
100010401002042,029
100010401002043,029
100010401002044,029
100010401002045,029
100010401002046,029
100010401002047,029
100010401002048,029
100010401002049,029
100010401003000,029
100010401003001,029
100010401003002,029
100010401003003,029
100010401003004,029
100010401003005,029
100010401003006,029
100010401003007,029
100010401003008,029
100010401003009,029
100010401003010,029
100010401003011,029
100010401003012,029
100010401003013,029
100010401003014,029
100010401003015,029
100010401003016,029
100010401003017,029
100010401003018,029
100010401003019,029
100010401003020,029
100010401003021,029
100010401003022,029
100010401003023,029
100010401003024,029
100010401003025,029
100010401003026,029
100010401003027,029
100010401003028,029
100010401003029,029
100010401003030,029
100010401003031,029
100010401003032,029
100010401003033,029
100010401003034,029
100010401003035,029
100010401003036,029
100010401003037,029
100010401003038,029
100010401003039,029
100010401003040,029
100010401003041,029
100010401003042,029
100010401003043,029
100010401003044,029
100010401003045,029
100010401003046,029
100010401003047,029
100010402011000,008
100010402011001,008
100010402011002,008
100010402011003,008
100010402011004,008
100010402011005,008
100010402011006,008
100010402011007,008
100010402011008,008
100010402011009,008
100010402011010,008
100010402011011,008
100010402011012,008
100010402011013,008
100010402011014,008
100010402011015,008
100010402011016,008
100010402011017,008
100010402011018,008
100010402011019,008
100010402011020,008
100010402011021,008
100010402011022,008
100010402011023,008
100010402011024,008
100010402011025,008
100010402011026,008
100010402011027,008
100010402011028,008
100010402011029,008
100010402011030,008
100010402011031,008
100010402011032,008
100010402011033,008
100010402011034,008
100010402011035,008
100010402011036,008
100010402011037,008
100010402011038,008
100010402011039,008
100010402011040,008
100010402011041,008
100010402011042,008
100010402011043,008
100010402011044,008
100010402011045,008
100010402011046,008
100010402011047,008
100010402011048,008
100010402011049,008
100010402011050,008
100010402011051,008
100010402011052,008
100010402011053,008
100010402011054,008
100010402011055,008
100010402011056,008
100010402011057,008
100010402011058,008
100010402011059,008
100010402011060,008
100010402011061,008
100010402011062,008
100010402011063,008
100010402011064,008
100010402011065,008
100010402011066,008
100010402011067,008
100010402011068,008
100010402011069,008
100010402011070,008
100010402011071,029
100010402011072,029
100010402011073,029
100010402011074,029
100010402011075,029
100010402011076,029
100010402011077,029
100010402011078,029
100010402011079,029
100010402011080,008
100010402011081,008
100010402011082,008
100010402011083,008
100010402011084,008
100010402011085,008
100010402011086,008
100010402011087,008
100010402011088,008
100010402011089,008
100010402011090,008
100010402011091,008
100010402011092,008
100010402011093,008
100010402011094,008
100010402011095,008
100010402011096,029
100010402011097,029
100010402011098,008
100010402011099,029
100010402011100,029
100010402012000,028
100010402012001,028
100010402012002,028
100010402012003,028
100010402012004,028
100010402012005,028
100010402012006,028
100010402012007,028
100010402012008,028
100010402012009,028
100010402012010,028
100010402012011,028
100010402012012,028
100010402012013,028
100010402012014,028
100010402012015,028
100010402012016,028
100010402012017,028
100010402012018,028
100010402012019,028
100010402012020,028
100010402012021,028
100010402012022,028
100010402012023,028
100010402012024,028
100010402012025,028
100010402012026,028
100010402012027,028
100010402012028,028
100010402012029,028
100010402012030,028
100010402012031,028
100010402012032,028
100010402012033,028
100010402012034,028
100010402012035,028
100010402012036,028
100010402012037,028
100010402012038,028
100010402012039,028
100010402012040,028
100010402012041,028
100010402012042,028
100010402012043,028
100010402012044,028
100010402012045,028
100010402012046,028
100010402012047,028
100010402012048,028
100010402012049,028
100010402012050,028
100010402012051,028
100010402012052,028
100010402012053,028
100010402012054,028
100010402012055,028
100010402012056,028
100010402012057,028
100010402012058,008
100010402021000,028
100010402021001,028
100010402021002,028
100010402021003,028
100010402021004,028
100010402021005,028
100010402021006,028
100010402021007,028
100010402021008,028
100010402021009,028
100010402021010,028
100010402021011,028
100010402021012,028
100010402021013,028
100010402021014,028
100010402021015,028
100010402021016,028
100010402021017,028
100010402021018,028
100010402021019,028
100010402021020,028
100010402021021,028
100010402021022,028
100010402021023,028
100010402021024,028
100010402021025,028
100010402021026,028
100010402021027,028
100010402021028,028
100010402021029,028
100010402021030,028
100010402021031,028
100010402021032,028
100010402021033,028
100010402021034,028
100010402021035,028
100010402021036,028
100010402021037,028
100010402021038,028
100010402021039,028
100010402021040,028
100010402021041,028
100010402021042,028
100010402021043,028
100010402021044,028
100010402021045,028
100010402021046,028
100010402021047,028
100010402021048,028
100010402021049,028
100010402021050,028
100010402021051,028
100010402021052,028
100010402021053,028
100010402021054,028
100010402021055,029
100010402021056,028
100010402021057,028
100010402021058,028
100010402021059,028
100010402021060,028
100010402021061,028
100010402021062,028
100010402021063,028
100010402021064,028
100010402021065,028
100010402021066,028
100010402021067,028
100010402021068,028
100010402021069,028
100010402021070,028
100010402021071,028
100010402021072,028
100010402021073,028
100010402021074,028
100010402021075,028
100010402021076,028
100010402021077,028
100010402021078,028
100010402021079,028
100010402021080,028
100010402021081,028
100010402021082,028
100010402021083,028
100010402021084,028
100010402021085,028
100010402021086,028
100010402021087,028
100010402021088,028
100010402021089,028
100010402021090,028
100010402021091,028
100010402021092,028
100010402021093,028
100010402021094,028
100010402021095,028
100010402021096,028
100010402021097,028
100010402021098,028
100010402021099,028
100010402021100,029
100010402021101,029
100010402021102,028
100010402021103,028
100010402021104,028
100010402021105,028
100010402021106,029
100010402021107,029
100010402021108,029
100010402021109,029
100010402021110,029
100010402021111,029
100010402021112,029
100010402021113,029
100010402021114,029
100010402021115,029
100010402021116,029
100010402021117,028
100010402021118,028
100010402021119,028
100010402021120,028
100010402021121,028
100010402021122,028
100010402021123,028
100010402021124,028
100010402021125,028
100010402021126,029
100010402021127,029
100010402021128,029
100010402021129,029
100010402021130,029
100010402021131,029
100010402021132,029
100010402021133,029
100010402021134,029
100010402021135,029
100010402021136,029
100010402021137,029
100010402021138,029
100010402021139,029
100010402021140,029
100010402021141,029
100010402021142,029
100010402021143,029
100010402021144,029
100010402021145,029
100010402021146,029
100010402021147,029
100010402021148,029
100010402021149,029
100010402021150,029
100010402021151,029
100010402021152,029
100010402021153,029
100010402021154,029
100010402021155,029
100010402021156,029
100010402021157,029
100010402021158,029
100010402021159,028
100010402021160,028
100010402021161,028
100010402021162,028
100010402021163,028
100010402021164,028
100010402021165,028
100010402021166,028
100010402021167,028
100010402021168,028
100010402021169,028
100010402021170,029
100010402021171,028
100010402021172,029
100010402021173,029
100010402021174,029
100010402021175,028
100010402022000,028
100010402022001,028
100010402022002,028
100010402022003,028
100010402022004,028
100010402022005,028
100010402022006,028
100010402022007,028
100010402022008,028
100010402022009,028
100010402022010,028
100010402022011,028
100010402022012,028
100010402022013,028
100010402022014,028
100010402022015,028
100010402022016,028
100010402022017,028
100010402022018,028
100010402022019,028
100010402022020,028
100010402022021,028
100010402022022,028
100010402022023,028
100010402022024,028
100010402022025,028
100010402022026,028
100010402022027,028
100010402022028,028
100010402022029,028
100010402022030,028
100010402022031,028
100010402022032,028
100010402022033,028
