BLOCKID,COUNTYFP,DISTRICT
100010401001000,001,09-08
100010401001001,001,09-08
100010401001002,001,09-08
100010401001003,001,09-08
100010401001004,001,09-08
100010401001005,001,09-08
100010401001006,001,09-08
100010401001007,001,09-08
100010401001008,001,09-08
100010401001009,001,09-08
100010401001010,001,01-29
100010401001011,001,01-29
100010401001012,001,01-29
100010401001013,001,01-29
100010401001014,001,01-29
100010401001015,001,01-29
100010401001016,001,01-29
100010401001017,001,01-29
100010401001018,001,01-29
100010401001019,001,01-29
100010401001020,001,01-29
100010401001021,001,01-29
100010401001022,001,01-29
100010401001023,001,01-29
100010401001024,001,01-29
100010401001025,001,01-29
100010401001026,001,01-29
100010401001027,001,09-08
100010401001028,001,09-08
100010401001029,001,09-08
100010401001030,001,01-29
100010401001031,001,01-29
100010401001032,001,01-29
100010401001033,001,01-29
100010401001034,001,01-29
100010401001035,001,01-29
100010401001036,001,01-29
100010401001037,001,01-29
100010401001038,001,01-29
100010401001039,001,01-29
100010401001040,001,01-29
100010401001041,001,01-29
100010401001042,001,01-29
100010401001043,001,01-29
100010401001044,001,01-29
100010401001045,001,01-29
100010401002000,001,01-29
100010401002001,001,01-29
100010401002002,001,01-29
100010401002003,001,01-29
100010401002004,001,01-29
100010401002005,001,01-29
100010401002006,001,01-29
100010401002007,001,01-29
100010401002008,001,01-29
100010401002009,001,01-29
100010401002010,001,01-29
100010401002011,001,01-29
100010401002012,001,01-29
100010401002013,001,01-29
100010401002014,001,01-29
100010401002015,001,01-29
100010401002016,001,01-29
100010401002017,001,01-29
100010401002018,001,01-29
100010401002019,001,01-29
100010401002020,001,01-29
100010401002021,001,01-29
100010401002022,001,01-29
100010401002023,001,01-29
100010401002024,001,01-29
100010401002025,001,01-29
100010401002026,001,01-29
100010401002027,001,01-29
100010401002028,001,01-29
100010401002029,001,01-29
100010401002030,001,01-29
100010401002031,001,01-29
100010401002032,001,01-29
100010401002033,001,01-29
100010401002034,001,01-29
100010401002035,001,01-29
100010401002036,001,01-29
100010401002037,001,01-29
100010401002038,001,01-29
100010401002039,001,01-29
100010401002040,001,01-29
100010401002041,001,01-29
100010401002042,001,01-29
100010401002043,001,01-29
100010401002044,001,01-29
100010401002045,001,01-29
100010401002046,001,01-29
100010401002047,001,01-29
100010401002048,001,01-29
100010401002049,001,01-29
100010401003000,001,03-29
100010401003001,001,03-29
100010401003002,001,03-29
100010401003003,001,03-29
100010401003004,001,01-29
100010401003005,001,01-29
100010401003006,001,01-29
100010401003007,001,01-29
100010401003008,001,01-29
100010401003009,001,01-29
100010401003010,001,03-29
100010401003011,001,03-29
100010401003012,001,01-29
100010401003013,001,01-29
100010401003014,001,01-29
100010401003015,001,01-29
100010401003016,001,01-29
100010401003017,001,01-29
100010401003018,001,01-29
100010401003019,001,01-29
100010401003020,001,01-29
100010401003021,001,01-29
100010401003022,001,01-29
100010401003023,001,01-29
100010401003024,001,01-29
100010401003025,001,01-29
100010401003026,001,01-29
100010401003027,001,01-29
100010401003028,001,01-29
100010401003029,001,01-29
100010401003030,001,01-29
100010401003031,001,01-29
100010401003032,001,01-29
100010401003033,001,01-29
100010401003034,001,01-29
100010401003035,001,01-29
100010401003036,001,01-29
100010401003037,001,01-29
100010401003038,001,01-29
100010401003039,001,03-29
100010401003040,001,01-29
100010401003041,001,01-29
100010401003042,001,01-29
100010401003043,001,01-29
100010401003044,001,01-29
100010401003045,001,01-29
100010401003046,001,01-29
100010401003047,001,03-29
100010402011000,001,10-08
100010402011001,001,10-08
100010402011002,001,10-08
100010402011003,001,10-08
100010402011004,001,10-08
100010402011005,001,10-08
100010402011006,001,10-08
100010402011007,001,10-08
100010402011008,001,10-08
100010402011009,001,10-08
100010402011010,001,10-08
100010402011011,001,10-08
100010402011012,001,10-08
100010402011013,001,10-08
100010402011014,001,10-08
100010402011015,001,10-08
100010402011016,001,10-08
100010402011017,001,10-08
100010402011018,001,10-08
100010402011019,001,10-08
100010402011020,001,10-08
100010402011021,001,10-08
100010402011022,001,10-08
100010402011023,001,10-08
100010402011024,001,10-08
100010402011025,001,10-08
100010402011026,001,10-08
100010402011027,001,10-08
100010402011028,001,10-08
100010402011029,001,11-08
100010402011030,001,11-08
100010402011031,001,10-08
100010402011032,001,10-08
100010402011033,001,10-08
100010402011034,001,10-08
100010402011035,001,10-08
100010402011036,001,10-08
100010402011037,001,10-08
100010402011038,001,10-08
100010402011039,001,10-08
100010402011040,001,10-08
100010402011041,001,09-08
100010402011042,001,09-08
100010402011043,001,09-08
100010402011044,001,09-08
100010402011045,001,09-08
100010402011046,001,09-08
100010402011047,001,09-08
100010402011048,001,09-08
100010402011049,001,09-08
100010402011050,001,09-08
100010402011051,001,09-08
100010402011052,001,09-08
100010402011053,001,10-08
100010402011054,001,09-08
100010402011055,001,09-08
100010402011056,001,09-08
100010402011057,001,09-08
100010402011058,001,09-08
100010402011059,001,09-08
