BLOCKID,PLACEFP
110010001001000,50000
110010001001001,50000
110010001001002,50000
110010001001003,50000
110010001001004,50000
110010001001005,50000
110010001001006,50000
110010001001007,50000
110010001001008,50000
110010001001009,50000
110010001001010,50000
110010001001011,50000
110010001002000,50000
110010001002001,50000
110010001002002,50000
110010001002003,50000
110010001002004,50000
110010001002005,50000
110010001002006,50000
110010001002007,50000
110010001002008,50000
110010001002009,50000
110010001003000,50000
110010001003001,50000
110010001003002,50000
110010001003003,50000
110010001003004,50000
110010001003005,50000
110010001003006,50000
110010001003007,50000
110010001003008,50000
110010001003009,50000
110010001003010,50000
110010001003011,50000
110010001003012,50000
110010001004000,50000
110010001004001,50000
110010001004002,50000
110010001004003,50000
110010001004004,50000
110010001004005,50000
110010001004006,50000
110010001004007,50000
110010001004008,50000
110010001004009,50000
110010001004010,50000
110010001004011,50000
110010001004012,50000
110010001004013,50000
110010001004014,50000
110010001004015,50000
110010001004016,50000
110010001004017,50000
110010001004018,50000
110010001004019,50000
110010001004020,50000
110010001004021,50000
110010001004022,50000
110010001004023,50000
110010001004024,50000
110010001004025,50000
110010001004026,50000
110010001004027,50000
110010001004028,50000
110010001004029,50000
110010001004030,50000
110010001004031,50000
110010001004032,50000
110010001004033,50000
110010001004034,50000
110010001004035,50000
110010001004036,50000
110010001004037,50000
110010001004038,50000
110010001004039,50000
110010001004040,50000
110010001004041,50000
110010001004042,50000
110010001004043,50000
110010001004044,50000
110010001004045,50000
110010001004046,50000
110010001004047,50000
110010001004048,50000
110010001004049,50000
110010001004050,50000
110010002011000,50000
110010002011001,50000
110010002011002,50000
110010002021000,50000
110010002021001,50000
110010002021002,50000
110010002021003,50000
110010002021004,50000
110010002021005,50000
110010002021006,50000
110010002021007,50000
110010002021008,50000
110010002021009,50000
110010002021010,50000
110010002021011,50000
110010002022000,50000
110010002022001,50000
110010002022002,50000
110010002022003,50000
110010002022004,50000
110010002022005,50000
110010002022006,50000
110010002022007,50000
110010002022008,50000
110010002023000,50000
110010002023001,50000
110010002023002,50000
110010002023003,50000
110010002023004,50000
110010002023005,50000
110010002023006,50000
110010002023007,50000
110010002023008,50000
110010002023009,50000
110010002023010,50000
110010002023011,50000
110010002023012,50000
110010002023013,50000
110010002024000,50000
110010002024001,50000
110010002024002,50000
110010002024003,50000
110010002024004,50000
110010002024005,50000
110010002024006,50000
110010002024007,50000
110010002024008,50000
110010002024009,50000
110010002024010,50000
110010002024011,50000
110010002024012,50000
110010002024013,50000
110010002024014,50000
110010002024015,50000
110010002024016,50000
110010002024017,50000
110010002024018,50000
110010002024019,50000
110010002024020,50000
110010002024021,50000
110010002024022,50000
110010002024023,50000
110010002024024,50000
110010002024025,50000
110010002024026,50000
110010002024027,50000
110010002024028,50000
110010002024029,50000
110010002024030,50000
110010002024031,50000
110010002024032,50000
110010002024033,50000
110010002024034,50000
110010003001000,50000
110010003001001,50000
110010003001002,50000
110010003001003,50000
110010003001004,50000
110010003001005,50000
110010003001006,50000
110010003001007,50000
110010003001008,50000
110010003001009,50000
110010003001010,50000
110010003001011,50000
110010003001012,50000
110010003002000,50000
110010003002001,50000
110010003002002,50000
110010003002003,50000
110010003002004,50000
110010003002005,50000
110010003002006,50000
110010003003000,50000
110010003003001,50000
110010003003002,50000
110010003003003,50000
110010003003004,50000
110010003003005,50000
110010003003006,50000
110010003003007,50000
110010003003008,50000
110010003003009,50000
110010003003010,50000
110010003003011,50000
110010003003012,50000
110010003003013,50000
110010003004000,50000
110010003004001,50000
110010003004002,50000
110010003004003,50000
110010003004004,50000
110010003004005,50000
110010003004006,50000
110010003004007,50000
110010003004008,50000
110010003004009,50000
110010003004010,50000
110010003004011,50000
110010004001000,50000
110010004001001,50000
110010004001002,50000
110010004001003,50000
110010004001004,50000
110010004001005,50000
110010004001006,50000
110010004001007,50000
110010004001008,50000
110010004001009,50000
110010004001010,50000
110010004001011,50000
110010004001012,50000
110010004001013,50000
110010004001014,50000
110010004001015,50000
110010004001016,50000
110010004001017,50000
110010004001018,50000
110010004001019,50000
110010004001020,50000
110010004001021,50000
110010004001022,50000
110010004002000,50000
110010004002001,50000
110010004002002,50000
110010004002003,50000
110010004002004,50000
110010004002005,50000
110010004002006,50000
110010004002007,50000
110010004002008,50000
110010004002009,50000
110010004002010,50000
110010004002011,50000
110010004002012,50000
110010004002013,50000
110010004002014,50000
110010004002015,50000
110010004002016,50000
110010004002017,50000
110010004002018,50000
110010004002019,50000
110010004002020,50000
110010004002021,50000
110010004002022,50000
110010004002023,50000
110010004002024,50000
110010004002025,50000
110010004002026,50000
110010004002027,50000
110010004002028,50000
110010004002029,50000
110010004002030,50000
110010005011000,50000
110010005011001,50000
110010005011002,50000
110010005011003,50000
110010005011004,50000
110010005011005,50000
110010005011006,50000
110010005011007,50000
110010005011008,50000
110010005011009,50000
110010005011010,50000
110010005011011,50000
110010005011012,50000
110010005011013,50000
110010005011014,50000
110010005012000,50000
110010005012001,50000
110010005012002,50000
110010005012003,50000
110010005012004,50000
110010005012005,50000
110010005021000,50000
110010005021001,50000
110010005021002,50000
110010005021003,50000
110010005021004,50000
110010005021005,50000
110010005021006,50000
110010005021007,50000
110010005021008,50000
110010005021009,50000
110010005021010,50000
110010005021011,50000
110010005021012,50000
110010005021013,50000
110010005021014,50000
110010005022000,50000
110010005022001,50000
110010005022002,50000
110010005022003,50000
110010005022004,50000
110010005022005,50000
110010005022006,50000
110010006001000,50000
110010006001001,50000
110010006001002,50000
110010006001003,50000
110010006001004,50000
110010006001005,50000
110010006002000,50000
110010006002001,50000
110010006002002,50000
110010006002003,50000
110010006002004,50000
110010006002005,50000
110010006002006,50000
110010006002007,50000
110010006002008,50000
110010006002009,50000
110010006003000,50000
110010006003001,50000
110010006003002,50000
110010006003003,50000
110010006003004,50000
110010006003005,50000
110010006003006,50000
110010006003007,50000
110010006003008,50000
110010006004000,50000
110010006004001,50000
110010006004002,50000
110010006004003,50000
110010006004004,50000
110010006004005,50000
110010006004006,50000
110010006004007,50000
110010006004008,50000
110010006004009,50000
110010006004010,50000
110010006004011,50000
110010006004012,50000
110010006004013,50000
110010006004014,50000
110010006004015,50000
110010006004016,50000
110010006004017,50000
110010006004018,50000
110010006004019,50000
110010006004020,50000
110010006004021,50000
110010007011000,50000
110010007011001,50000
110010007011002,50000
110010007011003,50000
110010007011004,50000
110010007011005,50000
110010007011006,50000
110010007011007,50000
110010007012000,50000
110010007012001,50000
110010007013000,50000
110010007013001,50000
110010007013002,50000
110010007013003,50000
110010007014000,50000
110010007014001,50000
110010007014002,50000
110010007014003,50000
110010007014004,50000
110010007014005,50000
110010007014006,50000
110010007014007,50000
110010007014008,50000
110010007014009,50000
110010007021000,50000
110010007021001,50000
110010007021002,50000
110010007021003,50000
110010007021004,50000
110010007021005,50000
110010007021006,50000
110010007021007,50000
110010007022000,50000
110010007023000,50000
110010007023001,50000
110010007023002,50000
110010008011000,50000
110010008011001,50000
110010008012000,50000
110010008012001,50000
110010008012002,50000
110010008012003,50000
110010008012004,50000
110010008012005,50000
110010008012006,50000
110010008012007,50000
110010008012008,50000
110010008012009,50000
110010008012010,50000
110010008012011,50000
110010008012012,50000
110010008012013,50000
110010008012014,50000
110010008012015,50000
110010008013000,50000
110010008013001,50000
110010008013002,50000
110010008013003,50000
110010008013004,50000
110010008013005,50000
110010008013006,50000
110010008013007,50000
110010008013008,50000
110010008013009,50000
110010008013010,50000
110010008013011,50000
110010008013012,50000
110010008013013,50000
110010008013014,50000
110010008013015,50000
110010008013016,50000
110010008013017,50000
110010008013018,50000
110010008013019,50000
110010008013020,50000
110010008013021,50000
110010008013022,50000
110010008013023,50000
110010008013024,50000
110010008013025,50000
110010008013026,50000
110010008013027,50000
110010008013028,50000
110010008013029,50000
110010008013030,50000
110010008013031,50000
110010008013032,50000
110010008013033,50000
110010008013034,50000
110010008013035,50000
110010008014000,50000
110010008014001,50000
110010008014002,50000
110010008014003,50000
110010008014004,50000
110010008014005,50000
110010008014006,50000
110010008014007,50000
110010008014008,50000
110010008014009,50000
110010008014010,50000
110010008014011,50000
110010008014012,50000
110010008014013,50000
110010008014014,50000
110010008021000,50000
110010008021001,50000
110010008021002,50000
110010008021003,50000
110010008021004,50000
110010008021005,50000
110010008021006,50000
110010008021007,50000
110010008021008,50000
110010008021009,50000
110010008021010,50000
110010008021011,50000
