BLOCKID,DISTRICT
110010001001000,00030
110010001001001,00030
110010001001002,00030
110010001001003,00030
110010001001004,00030
110010001001005,00030
110010001001006,00030
110010001001007,00030
110010001001008,00030
110010001001009,00030
110010001001010,00030
110010001001011,00030
110010001002000,00030
110010001002001,00030
110010001002002,00030
110010001002003,00030
110010001002004,00030
110010001002005,00030
110010001002006,00030
110010001002007,00030
110010001002008,00030
110010001002009,00030
110010001003000,00030
110010001003001,00030
110010001003002,00030
110010001003003,00030
110010001003004,00030
110010001003005,00030
110010001003006,00030
110010001003007,00030
110010001003008,00030
110010001003009,00030
110010001003010,00030
110010001003011,00030
110010001003012,00030
110010001004000,00030
110010001004001,00030
110010001004002,00030
110010001004003,00030
110010001004004,00030
110010001004005,00030
110010001004006,00030
110010001004007,00030
110010001004008,00030
110010001004009,00030
110010001004010,00030
110010001004011,00030
110010001004012,00030
110010001004013,00030
110010001004014,00030
110010001004015,00030
110010001004016,00030
110010001004017,00030
110010001004018,00030
110010001004019,00030
110010001004020,00030
110010001004021,00030
110010001004022,00030
110010001004023,00030
110010001004024,00030
110010001004025,00030
110010001004026,00030
110010001004027,00030
110010001004028,00030
110010001004029,00030
110010001004030,00030
110010001004031,00030
110010001004032,00030
110010001004033,00030
110010001004034,00030
110010001004035,00030
110010001004036,00030
110010001004037,00030
110010001004038,00030
110010001004039,00030
110010001004040,00030
110010001004041,00030
110010001004042,00030
110010001004043,00030
110010001004044,00030
110010001004045,00030
110010001004046,00030
110010001004047,00030
110010001004048,00030
110010001004049,00030
110010001004050,00030
110010002011000,00030
110010002011001,00030
110010002011002,00030
110010002021000,00030
110010002021001,00030
110010002021002,00030
110010002021003,00030
110010002021004,00030
110010002021005,00030
110010002021006,00030
110010002021007,00030
110010002021008,00030
110010002021009,00030
110010002021010,00030
110010002021011,00030
110010002022000,00030
110010002022001,00030
110010002022002,00030
110010002022003,00030
110010002022004,00030
110010002022005,00030
110010002022006,00030
110010002022007,00030
110010002022008,00030
110010002023000,00030
110010002023001,00030
110010002023002,00030
110010002023003,00030
110010002023004,00030
110010002023005,00030
110010002023006,00030
110010002023007,00030
110010002023008,00030
110010002023009,00030
110010002023010,00030
110010002023011,00030
110010002023012,00030
110010002023013,00030
110010002024000,00030
110010002024001,00030
110010002024002,00030
110010002024003,00030
110010002024004,00030
110010002024005,00030
110010002024006,00030
110010002024007,00030
110010002024008,00030
110010002024009,00030
110010002024010,00030
110010002024011,00030
110010002024012,00030
110010002024013,00030
110010002024014,00030
110010002024015,00030
110010002024016,00030
110010002024017,00030
110010002024018,00030
110010002024019,00030
110010002024020,00030
110010002024021,00030
110010002024022,00030
110010002024023,00030
110010002024024,00030
110010002024025,00030
110010002024026,00030
110010002024027,00030
110010002024028,00030
110010002024029,00030
110010002024030,00030
110010002024031,00030
110010002024032,00030
110010002024033,00030
110010002024034,00030
110010003001000,00030
110010003001001,00030
110010003001002,00030
110010003001003,00030
110010003001004,00030
110010003001005,00030
110010003001006,00030
110010003001007,00030
110010003001008,00030
110010003001009,00030
110010003001010,00030
110010003001011,00030
110010003001012,00030
110010003002000,00030
110010003002001,00030
110010003002002,00030
110010003002003,00030
110010003002004,00030
110010003002005,00030
110010003002006,00030
110010003003000,00030
110010003003001,00030
110010003003002,00030
110010003003003,00030
110010003003004,00030
110010003003005,00030
110010003003006,00030
110010003003007,00030
110010003003008,00030
110010003003009,00030
110010003003010,00030
110010003003011,00030
110010003003012,00030
110010003003013,00030
110010003004000,00030
110010003004001,00030
110010003004002,00030
110010003004003,00030
110010003004004,00030
110010003004005,00030
110010003004006,00030
110010003004007,00030
110010003004008,00030
110010003004009,00030
