BLOCKID,DISTRICT
110010001001000,002
110010001001001,002
110010001001002,002
110010001001003,002
110010001001004,002
110010001001005,002
110010001001006,002
110010001001007,002
110010001001008,002
110010001001009,002
110010001001010,002
110010001001011,002
110010001002000,002
110010001002001,002
110010001002002,002
110010001002003,002
110010001002004,002
110010001002005,002
110010001002006,002
110010001002007,002
110010001002008,002
110010001002009,002
110010001003000,002
110010001003001,002
110010001003002,002
110010001003003,002
110010001003004,002
110010001003005,002
110010001003006,002
110010001003007,002
110010001003008,002
110010001003009,002
110010001003010,002
110010001003011,002
110010001003012,002
110010001004000,002
110010001004001,002
110010001004002,002
110010001004003,002
110010001004004,002
110010001004005,002
110010001004006,002
110010001004007,002
110010001004008,002
110010001004009,002
110010001004010,002
110010001004011,002
110010001004012,002
110010001004013,002
110010001004014,002
110010001004015,002
110010001004016,002
110010001004017,002
110010001004018,002
110010001004019,002
110010001004020,002
110010001004021,002
110010001004022,002
110010001004023,002
110010001004024,002
110010001004025,002
110010001004026,002
110010001004027,002
110010001004028,002
110010001004029,002
110010001004030,002
110010001004031,002
110010001004032,002
110010001004033,002
110010001004034,002
110010001004035,002
110010001004036,002
110010001004037,002
110010001004038,002
110010001004039,002
110010001004040,002
110010001004041,002
110010001004042,002
110010001004043,002
110010001004044,002
110010001004045,002
110010001004046,002
110010001004047,002
110010001004048,002
110010001004049,002
110010001004050,002
110010002011000,002
110010002011001,002
110010002011002,003
110010002021000,002
110010002021001,002
110010002021002,002
110010002021003,002
110010002021004,002
110010002021005,002
110010002021006,002
110010002021007,002
110010002021008,002
110010002021009,002
110010002021010,002
110010002021011,002
110010002022000,002
110010002022001,002
110010002022002,002
110010002022003,002
110010002022004,002
110010002022005,002
110010002022006,002
110010002022007,002
110010002022008,002
110010002023000,002
110010002023001,002
110010002023002,002
110010002023003,002
110010002023004,002
110010002023005,002
110010002023006,002
110010002023007,002
110010002023008,002
110010002023009,002
110010002023010,002
110010002023011,002
110010002023012,002
110010002023013,002
110010002024000,002
110010002024001,002
110010002024002,002
110010002024003,002
110010002024004,002
