BLOCKID,COUNTYFP,DISTRICT
110010001001000,001,02-005
110010001001001,001,02-005
110010001001002,001,02-005
110010001001003,001,02-005
110010001001004,001,02-005
110010001001005,001,02-005
110010001001006,001,02-005
110010001001007,001,02-005
110010001001008,001,02-005
110010001001009,001,02-005
110010001001010,001,02-005
110010001001011,001,02-005
110010001002000,001,02-005
110010001002001,001,02-005
110010001002002,001,02-005
110010001002003,001,02-005
110010001002004,001,02-005
110010001002005,001,02-005
110010001002006,001,02-005
110010001002007,001,02-005
110010001002008,001,02-005
110010001002009,001,02-005
110010001003000,001,02-005
110010001003001,001,02-005
110010001003002,001,02-005
110010001003003,001,02-005
110010001003004,001,02-005
110010001003005,001,02-005
110010001003006,001,02-005
110010001003007,001,02-005
110010001003008,001,02-005
110010001003009,001,02-005
110010001003010,001,02-005
110010001003011,001,02-005
110010001003012,001,02-005
110010001004000,001,02-005
110010001004001,001,02-005
110010001004002,001,02-005
110010001004003,001,02-005
110010001004004,001,02-005
110010001004005,001,02-005
110010001004006,001,02-005
110010001004007,001,02-005
110010001004008,001,02-005
110010001004009,001,02-005
110010001004010,001,02-005
110010001004011,001,02-005
110010001004012,001,02-005
110010001004013,001,02-005
110010001004014,001,02-005
110010001004015,001,02-005
110010001004016,001,02-005
110010001004017,001,02-005
110010001004018,001,02-005
110010001004019,001,02-005
110010001004020,001,02-005
110010001004021,001,02-005
110010001004022,001,02-005
110010001004023,001,02-005
110010001004024,001,02-005
110010001004025,001,02-005
110010001004026,001,02-005
110010001004027,001,02-005
110010001004028,001,02-004
110010001004029,001,02-005
110010001004030,001,02-005
110010001004031,001,02-005
110010001004032,001,02-005
110010001004033,001,02-005
110010001004034,001,02-005
110010001004035,001,02-004
110010001004036,001,02-005
110010001004037,001,02-005
110010001004038,001,02-005
110010001004039,001,02-005
110010001004040,001,02-005
110010001004041,001,02-005
110010001004042,001,02-005
110010001004043,001,02-005
110010001004044,001,02-005
110010001004045,001,02-005
110010001004046,001,02-005
110010001004047,001,02-006
110010001004048,001,02-006
110010001004049,001,02-003
110010001004050,001,02-004
110010002011000,001,02-006
110010002011001,001,02-006
110010002011002,001,02-007
110010002021000,001,02-006
110010002021001,001,02-006
110010002021002,001,02-006
110010002021003,001,02-006
110010002021004,001,02-006
110010002021005,001,02-006
110010002021006,001,02-006
110010002021007,001,02-006
110010002021008,001,02-006
110010002021009,001,02-006
110010002021010,001,02-006
110010002021011,001,02-006
110010002022000,001,02-006
110010002022001,001,02-006
110010002022002,001,02-006
110010002022003,001,02-006
110010002022004,001,02-006
110010002022005,001,02-006
110010002022006,001,02-006
110010002022007,001,02-006
110010002022008,001,02-006
110010002023000,001,02-006
110010002023001,001,02-006
110010002023002,001,02-006
110010002023003,001,02-006
110010002023004,001,02-006
110010002023005,001,02-006
110010002023006,001,02-006
110010002023007,001,02-006
110010002023008,001,02-006
110010002023009,001,02-006
110010002023010,001,02-006
110010002023011,001,02-006
110010002023012,001,02-006
110010002023013,001,02-006
110010002024000,001,02-006
110010002024001,001,02-006
110010002024002,001,02-006
110010002024003,001,02-006
110010002024004,001,02-006
110010002024005,001,02-006
110010002024006,001,02-006
110010002024007,001,02-006
110010002024008,001,02-006
110010002024009,001,02-006
110010002024010,001,02-007
110010002024011,001,02-007
110010002024012,001,02-006
110010002024013,001,02-006
110010002024014,001,02-006
110010002024015,001,02-006
110010002024016,001,02-006
110010002024017,001,02-006
110010002024018,001,02-007
110010002024019,001,02-006
110010002024020,001,02-006
110010002024021,001,02-006
110010002024022,001,02-006
110010002024023,001,02-006
110010002024024,001,02-006
110010002024025,001,02-006
110010002024026,001,02-006
110010002024027,001,02-006
110010002024028,001,02-006
110010002024029,001,02-006
110010002024030,001,02-006
110010002024031,001,02-006
110010002024032,001,02-006
110010002024033,001,02-005
110010002024034,001,02-006
110010003001000,001,02-011
110010003001001,001,02-011
110010003001002,001,02-011
110010003001003,001,02-006
110010003001004,001,02-006
110010003001005,001,02-006
110010003001006,001,02-006
110010003001007,001,02-006
110010003001008,001,02-006
110010003001009,001,02-006
110010003001010,001,02-006
110010003001011,001,02-006
110010003001012,001,02-011
110010003002000,001,02-011
110010003002001,001,02-011
110010003002002,001,02-011
110010003002003,001,02-011
110010003002004,001,02-011
110010003002005,001,02-011
110010003002006,001,02-011
110010003003000,001,02-011
110010003003001,001,02-011
110010003003002,001,02-006
110010003003003,001,02-006
110010003003004,001,02-006
110010003003005,001,02-006
110010003003006,001,02-006
110010003003007,001,02-006
110010003003008,001,02-006
110010003003009,001,02-006
110010003003010,001,02-006
110010003003011,001,02-006
110010003003012,001,02-006
110010003003013,001,02-006
110010003004000,001,02-011
110010003004001,001,02-011
110010003004002,001,02-011
110010003004003,001,02-011
110010003004004,001,02-011
110010003004005,001,02-011
110010003004006,001,02-011
110010003004007,001,02-011
110010003004008,001,02-011
110010003004009,001,02-011
110010003004010,001,02-011
110010003004011,001,02-011
110010004001000,001,02-012
110010004001001,001,02-012
110010004001002,001,02-012
110010004001003,001,02-012
110010004001004,001,02-012
110010004001005,001,02-012
110010004001006,001,02-012
110010004001007,001,02-012
110010004001008,001,02-012
110010004001009,001,02-012
110010004001010,001,02-012
110010004001011,001,02-012
110010004001012,001,02-012
110010004001013,001,02-012
110010004001014,001,02-012
110010004001015,001,02-012
110010004001016,001,02-012
110010004001017,001,02-012
110010004001018,001,02-012
110010004001019,001,02-012
110010004001020,001,02-011
110010004001021,001,02-011
110010004001022,001,02-011
110010004002000,001,02-012
110010004002001,001,02-012
110010004002002,001,02-012
110010004002003,001,02-012
110010004002004,001,02-012
110010004002005,001,02-012
110010004002006,001,02-012
110010004002007,001,02-012
110010004002008,001,02-012
110010004002009,001,02-012
110010004002010,001,02-012
110010004002011,001,02-026
110010004002012,001,02-026
110010004002013,001,02-026
110010004002014,001,02-026
110010004002015,001,02-012
110010004002016,001,02-012
110010004002017,001,02-012
110010004002018,001,02-012
110010004002019,001,02-012
110010004002020,001,02-012
110010004002021,001,02-026
110010004002022,001,02-026
110010004002023,001,02-026
110010004002024,001,02-026
110010004002025,001,02-026
110010004002026,001,02-026
110010004002027,001,02-011
110010004002028,001,02-012
110010004002029,001,02-012
110010004002030,001,02-012
110010005011000,001,02-034
110010005011001,001,02-034
110010005011002,001,02-136
110010005011003,001,02-136
110010005011004,001,02-136
110010005011005,001,02-136
110010005011006,001,02-136
110010005011007,001,02-136
110010005011008,001,02-136
110010005011009,001,02-136
110010005011010,001,02-136
110010005011011,001,02-136
110010005011012,001,02-136
110010005011013,001,02-136
110010005011014,001,02-136
110010005012000,001,02-026
110010005012001,001,02-026
110010005012002,001,02-026
110010005012003,001,02-026
110010005012004,001,02-026
110010005012005,001,02-026
110010005021000,001,02-026
110010005021001,001,02-026
110010005021002,001,02-026
110010005021003,001,02-026
110010005021004,001,02-026
110010005021005,001,02-026
110010005021006,001,02-026
110010005021007,001,02-026
110010005021008,001,02-026
110010005021009,001,02-026
110010005021010,001,02-026
110010005021011,001,02-026
110010005021012,001,02-012
110010005021013,001,02-012
110010005021014,001,02-012
110010005022000,001,02-026
110010005022001,001,02-026
110010005022002,001,02-026
110010005022003,001,02-026
110010005022004,001,02-026
110010005022005,001,02-026
110010005022006,001,02-026
110010006001000,001,02-027
110010006001001,001,02-027
110010006001002,001,02-027
110010006001003,001,02-027
110010006001004,001,02-027
110010006001005,001,02-027
110010006002000,001,02-027
110010006002001,001,02-027
110010006002002,001,02-027
110010006002003,001,02-027
110010006002004,001,02-027
110010006002005,001,02-027
110010006002006,001,02-027
110010006002007,001,02-027
110010006002008,001,02-027
110010006002009,001,02-027
110010006003000,001,02-027
110010006003001,001,02-027
110010006003002,001,02-027
110010006003003,001,02-027
110010006003004,001,02-027
110010006003005,001,02-027
110010006003006,001,02-027
110010006003007,001,02-027
110010006003008,001,02-027
110010006004000,001,02-029
110010006004001,001,02-029
110010006004002,001,02-029
110010006004003,001,02-029
110010006004004,001,02-029
110010006004005,001,02-027
110010006004006,001,02-027
110010006004007,001,02-027
110010006004008,001,02-027
110010006004009,001,02-027
110010006004010,001,02-027
110010006004011,001,02-027
110010006004012,001,02-027
110010006004013,001,02-027
110010006004014,001,02-027
110010006004015,001,02-027
110010006004016,001,02-027
110010006004017,001,02-027
110010006004018,001,02-029
110010006004019,001,02-029
110010006004020,001,02-029
110010006004021,001,02-027
110010007011000,001,02-028
110010007011001,001,02-028
110010007011002,001,02-028
110010007011003,001,02-028
110010007011004,001,02-028
110010007011005,001,02-028
110010007011006,001,02-028
110010007011007,001,02-028
110010007012000,001,02-028
110010007012001,001,02-028
110010007013000,001,02-028
110010007013001,001,02-028
110010007013002,001,02-028
110010007013003,001,02-028
110010007014000,001,02-028
110010007014001,001,02-028
110010007014002,001,02-028
110010007014003,001,02-028
110010007014004,001,02-028
110010007014005,001,02-028
110010007014006,001,02-028
110010007014007,001,02-028
110010007014008,001,02-011
110010007014009,001,02-011
110010007021000,001,02-011
110010007021001,001,02-011
110010007021002,001,02-011
110010007021003,001,02-011
110010007021004,001,02-011
110010007021005,001,02-011
110010007021006,001,02-011
110010007021007,001,02-011
110010007022000,001,02-011
110010007023000,001,02-011
110010007023001,001,02-011
110010007023002,001,02-011
110010008011000,001,02-010
110010008011001,001,02-028
110010008012000,001,02-010
110010008012001,001,02-008
110010008012002,001,02-010
110010008012003,001,02-010
110010008012004,001,02-010
110010008012005,001,02-008
110010008012006,001,02-008
110010008012007,001,02-008
110010008012008,001,02-008
110010008012009,001,02-008
110010008012010,001,02-008
110010008012011,001,02-008
110010008012012,001,02-008
110010008012013,001,02-008
110010008012014,001,02-008
110010008012015,001,02-008
110010008013000,001,02-010
110010008013001,001,02-010
110010008013002,001,02-009
110010008013003,001,02-009
110010008013004,001,02-010
110010008013005,001,02-010
110010008013006,001,02-010
110010008013007,001,02-010
110010008013008,001,02-010
110010008013009,001,02-010
110010008013010,001,02-010
110010008013011,001,02-010
110010008013012,001,02-010
110010008013013,001,02-010
110010008013014,001,02-010
110010008013015,001,02-010
110010008013016,001,02-010
110010008013017,001,02-010
110010008013018,001,02-010
110010008013019,001,02-010
110010008013020,001,02-010
110010008013021,001,02-010
110010008013022,001,02-010
110010008013023,001,02-010
110010008013024,001,02-028
110010008013025,001,02-011
110010008013026,001,02-010
110010008013027,001,02-010
110010008013028,001,02-010
110010008013029,001,02-010
110010008013030,001,02-010
110010008013031,001,02-010
110010008013032,001,02-008
110010008013033,001,02-008
110010008013034,001,02-008
110010008013035,001,02-010
110010008014000,001,02-008
110010008014001,001,02-008
110010008014002,001,02-008
110010008014003,001,02-008
110010008014004,001,02-008
110010008014005,001,02-008
110010008014006,001,02-008
110010008014007,001,02-008
110010008014008,001,02-008
110010008014009,001,02-008
110010008014010,001,02-008
110010008014011,001,02-008
110010008014012,001,02-007
110010008014013,001,02-008
110010008014014,001,02-008
110010008021000,001,02-007
110010008021001,001,02-007
110010008021002,001,02-007
110010008021003,001,02-007
110010008021004,001,02-007
110010008021005,001,02-007
110010008021006,001,02-007
110010008021007,001,02-007
110010008021008,001,02-007
110010008021009,001,02-007
110010008021010,001,02-007
110010008021011,001,02-007
110010008021012,001,02-007
110010008021013,001,02-007
110010008021014,001,02-007
110010008021015,001,02-007
110010008021016,001,02-007
110010008021017,001,02-006
110010008021018,001,02-007
110010008021019,001,02-007
110010008022000,001,02-011
110010008022001,001,02-007
110010008022002,001,02-007
110010008022003,001,02-007
110010008022004,001,02-007
110010008022005,001,02-007
110010008022006,001,02-007
110010008022007,001,02-007
110010008022008,001,02-007
110010008022009,001,02-007
110010008022010,001,02-007
110010008022011,001,02-007
110010008022012,001,02-006
110010008022013,001,02-007
110010008022014,001,02-007
110010008022015,001,02-007
110010008022016,001,02-007
110010008022017,001,02-007
110010008022018,001,02-007
110010008022019,001,02-007
110010008022020,001,02-007
110010008022021,001,02-007
110010008022022,001,02-006
110010009011000,001,02-008
110010009011001,001,02-008
110010009011002,001,02-008
110010009011003,001,02-008
110010009011004,001,02-008
110010009011005,001,02-008
110010009011006,001,02-008
110010009011007,001,02-008
110010009011008,001,02-008
110010009011009,001,02-008
110010009011010,001,02-008
110010009011011,001,02-008
110010009011012,001,02-008
110010009011013,001,02-008
110010009011014,001,02-008
110010009011015,001,02-008
110010009011016,001,02-008
110010009011017,001,02-008
110010009012000,001,02-031
110010009012001,001,02-009
110010009012002,001,02-009
110010009012003,001,02-009
110010009012004,001,02-009
110010009012005,001,02-009
110010009012006,001,02-009
110010009012007,001,02-009
110010009012008,001,02-009
110010009012009,001,02-009
110010009012010,001,02-009
110010009012011,001,02-009
110010009012012,001,02-009
110010009012013,001,02-009
110010009012014,001,02-009
110010009012015,001,02-009
110010009012016,001,02-009
110010009012017,001,02-009
110010009012018,001,02-009
110010009012019,001,02-009
110010009012020,001,02-009
110010009012021,001,02-009
110010009012022,001,02-009
110010009012023,001,02-009
110010009012024,001,02-009
110010009012025,001,02-009
110010009012026,001,02-009
110010009013000,001,02-009
110010009013001,001,02-009
110010009013002,001,02-009
110010009013003,001,02-009
110010009013004,001,02-009
110010009013005,001,02-009
110010009013006,001,02-009
110010009013007,001,02-009
110010009013008,001,02-009
110010009013009,001,02-009
110010009013010,001,02-009
110010009013011,001,02-009
110010009013012,001,02-009
110010009013013,001,02-009
110010009013014,001,02-009
110010009013015,001,02-009
110010009013016,001,02-009
110010009013017,001,02-009
110010009013018,001,02-009
110010009013019,001,02-009
110010009013020,001,02-009
110010009013021,001,02-030
110010009013022,001,02-030
110010009013023,001,02-010
110010009013024,001,02-010
110010009013025,001,02-009
110010009013026,001,02-009
110010009013027,001,02-009
110010009013028,001,02-009
110010009013029,001,02-009
110010009013030,001,02-009
