BLOCKID,PLACEFP
150010201001000,61700
150010201001001,61700
150010201001002,61700
150010201001003,61700
150010201001004,
150010201001005,
150010201001006,
150010201001007,
150010201001008,
150010201001009,
150010201001010,
150010201001011,
150010201001012,
150010201001013,
150010201001014,
150010201001015,
150010201001016,
150010201001017,
150010201001018,
150010201001019,
150010201001020,
150010201001021,
150010201001022,
150010201001023,
150010201001024,
150010201001025,
150010201001026,
150010201001027,
150010201001028,
150010201001029,
150010201001030,
150010201001031,
150010201001032,
150010201001033,
150010201001034,
150010201001035,
150010201001036,
150010201001037,
150010201001038,
150010201001039,
150010201001040,
150010201001041,
150010201001042,
150010201001043,
150010201001044,
150010201001045,
150010201001046,
150010201001047,
150010201001048,
150010201001049,
150010201001050,
150010201001051,
150010201001052,
150010201001053,
150010201001054,
150010201001055,
150010201001056,
150010201001057,
150010201001058,
150010201001059,
150010201001060,
150010201001061,
150010201001062,
150010201001063,
150010201001064,
150010201001065,
150010201001066,
150010201001067,
150010201001068,
150010201001069,
150010201001070,
150010201001071,
150010201001072,
150010201001073,
150010201001074,
150010201001075,
150010201001076,
150010201001077,
150010201001078,
150010201001079,
150010201001080,
150010201001081,
150010201001082,
150010201001083,
150010201001084,
150010201001085,
150010201001086,
150010201001087,
150010201001088,
150010201001089,
150010201001090,
150010201001091,
150010201001092,
150010201001093,
150010201001094,
150010201001095,
150010201001096,
150010201001097,
150010201001098,
150010201001099,
150010201001100,
150010201001101,
150010201001102,
150010201001103,
150010201001104,
150010201001105,
150010201001106,
150010201001107,
150010201001108,
150010201001109,
150010201001110,
150010201001111,
150010201001112,
150010201001113,
150010201001114,
150010201001115,
150010201001116,
150010201001117,
150010201001118,
150010201001119,
150010201001120,
150010201001121,
150010201001122,
150010201001123,
150010201001124,
150010201001125,
150010201001126,
150010201001127,
150010201001128,
150010201001129,
150010201001130,
150010201001131,
150010201001132,
150010201001133,
150010201001134,
150010201001135,
150010201001136,
150010201001137,
150010201001138,
150010201001139,
150010201001140,
150010201001141,
150010201001142,
150010201001143,
150010201001144,
150010201001145,
150010201001146,
150010201001147,
150010201001148,
150010201001149,
150010201001150,
150010201001151,
150010201001152,
150010201001153,
150010201001154,
150010201001155,63650
150010201001156,63650
150010201001157,63650
150010201001158,63650
150010201001159,63650
150010201001160,63650
150010201001161,63650
150010201001162,63650
150010201001163,63650
150010201001164,63650
150010201001165,63650
150010201001166,63650
150010201001167,63650
150010201001168,63650
150010201001169,63650
150010201001170,63650
150010201001171,63650
150010201001172,63650
150010201001173,
150010201001174,
150010201001175,
150010201001176,
150010201001177,
150010201001178,
150010201001179,
150010201001180,
150010201001181,
150010201001182,
150010201001183,
150010201001184,
150010201001185,
150010201001186,
150010201001187,
150010201001188,
150010201001189,
150010201001190,
150010201001191,
150010201001192,
150010201001193,
150010201001194,
150010201001195,63650
150010201001196,
150010201001197,
150010201001198,
150010201001199,
150010201001200,
150010201001201,
150010201001202,
150010201001203,
150010201001204,
150010201001205,
150010201001206,
150010201001207,
150010201001208,
150010201001209,
150010201001210,
150010201001211,
150010201001212,
150010201001213,
150010201001214,
150010201001215,
150010201001216,
150010201001217,
150010201001218,
150010201001219,
150010201001220,
150010201001221,
150010201001222,
150010201001223,
150010201001224,
150010201001225,
150010201001226,
150010201001227,
150010201001228,
150010201001229,
150010201001230,
150010201001231,
150010201001232,
150010201001233,
150010201001234,
150010201001235,
150010201001236,
150010201001237,
150010201001238,
150010201001239,
150010201001240,
150010201001241,
150010201001242,
150010201001243,
150010201001244,
150010201001245,
150010201001246,
150010201001247,
150010201001248,
150010201001249,
150010201001250,
150010201001251,
150010201001252,
150010201001253,
150010201001254,
150010201001255,
150010201001256,
150010201001257,
150010201001258,
150010201001259,
150010201001260,
150010201001261,
150010201001262,
150010201001263,
150010201001264,
150010201001265,
150010201001266,
150010201001267,
150010201001268,61550
150010201001269,
150010201001270,
150010201001271,
150010201001272,
150010201001273,
150010201001274,
150010201001275,
150010201001276,
150010201001277,
150010201001278,
150010201001279,
150010201001280,
150010201001281,
150010201001282,
150010201001283,
150010201001284,
150010201001285,
150010201001286,
150010201001287,
150010201001288,
150010201001289,
150010201001290,
150010201001291,
150010201001292,
150010201001293,
150010201001294,
150010201001295,
150010201001296,
150010201001297,
150010201001298,
150010201001299,
150010201001300,
150010201001301,
150010201001302,
150010201001303,
150010201001304,
150010201001305,
150010201001306,
150010201001307,
150010201001308,
150010201001309,
150010201001310,
150010201001311,
150010201001312,
150010201001313,
150010201001314,
150010201001315,
150010201001316,
150010201001317,
150010201001318,
150010201001319,
150010201001320,
150010201001321,
150010201001322,
