BLOCKID,DISTRICT
150010201001000,00030
150010201001001,00030
150010201001002,00030
150010201001003,00030
150010201001004,00030
150010201001005,00030
150010201001006,00030
150010201001007,00030
150010201001008,00030
150010201001009,00030
150010201001010,00030
150010201001011,00030
150010201001012,00030
150010201001013,00030
150010201001014,00030
150010201001015,00030
150010201001016,00030
150010201001017,00030
150010201001018,00030
150010201001019,00030
150010201001020,00030
150010201001021,00030
150010201001022,00030
150010201001023,00030
150010201001024,00030
150010201001025,00030
150010201001026,00030
150010201001027,00030
150010201001028,00030
150010201001029,00030
150010201001030,00030
150010201001031,00030
150010201001032,00030
150010201001033,00030
150010201001034,00030
150010201001035,00030
150010201001036,00030
150010201001037,00030
150010201001038,00030
150010201001039,00030
150010201001040,00030
150010201001041,00030
150010201001042,00030
150010201001043,00030
150010201001044,00030
150010201001045,00030
150010201001046,00030
150010201001047,00030
150010201001048,00030
150010201001049,00030
150010201001050,00030
150010201001051,00030
150010201001052,00030
150010201001053,00030
150010201001054,00030
150010201001055,00030
150010201001056,00030
150010201001057,00030
150010201001058,00030
150010201001059,00030
150010201001060,00030
150010201001061,00030
150010201001062,00030
150010201001063,00030
150010201001064,00030
150010201001065,00030
150010201001066,00030
150010201001067,00030
150010201001068,00030
150010201001069,00030
150010201001070,00030
150010201001071,00030
150010201001072,00030
150010201001073,00030
150010201001074,00030
150010201001075,00030
150010201001076,00030
150010201001077,00030
150010201001078,00030
150010201001079,00030
150010201001080,00030
150010201001081,00030
150010201001082,00030
150010201001083,00030
150010201001084,00030
150010201001085,00030
150010201001086,00030
150010201001087,00030
150010201001088,00030
150010201001089,00030
150010201001090,00030
150010201001091,00030
150010201001092,00030
150010201001093,00030
150010201001094,00030
150010201001095,00030
150010201001096,00030
150010201001097,00030
150010201001098,00030
150010201001099,00030
150010201001100,00030
150010201001101,00030
150010201001102,00030
150010201001103,00030
150010201001104,00030
150010201001105,00030
150010201001106,00030
150010201001107,00030
150010201001108,00030
150010201001109,00030
150010201001110,00030
150010201001111,00030
150010201001112,00030
150010201001113,00030
150010201001114,00030
150010201001115,00030
150010201001116,00030
150010201001117,00030
150010201001118,00030
150010201001119,00030
150010201001120,00030
150010201001121,00030
150010201001122,00030
150010201001123,00030
150010201001124,00030
150010201001125,00030
150010201001126,00030
150010201001127,00030
150010201001128,00030
150010201001129,00030
150010201001130,00030
150010201001131,00030
150010201001132,00030
150010201001133,00030
150010201001134,00030
150010201001135,00030
150010201001136,00030
150010201001137,00030
150010201001138,00030
150010201001139,00030
150010201001140,00030
150010201001141,00030
150010201001142,00030
150010201001143,00030
150010201001144,00030
150010201001145,00030
150010201001146,00030
150010201001147,00030
150010201001148,00030
150010201001149,00030
150010201001150,00030
150010201001151,00030
150010201001152,00030
150010201001153,00030
150010201001154,00030
150010201001155,00030
150010201001156,00030
150010201001157,00030
150010201001158,00030
150010201001159,00030
150010201001160,00030
