BLOCKID,DISTRICT
160010001001000,00360
160010001001001,00360
160010001001002,00360
160010001001003,00360
160010001001004,00360
160010001001005,00360
160010001001006,00360
160010001001007,00360
160010001001008,00360
160010001001009,00360
160010001001010,00360
160010001001011,00360
160010001001012,00360
160010001001013,00360
160010001001014,00360
160010001001015,00360
160010001001016,00360
160010001001017,00360
160010001001018,00360
160010001001019,00360
160010001001020,00360
160010001001021,00360
160010001001022,00360
160010001001023,00360
160010001001024,00360
160010001001025,00360
160010001001026,00360
160010001001027,00360
160010001001028,00360
160010001001029,00360
160010001001030,00360
160010001001031,00360
160010001001032,00360
160010001001033,00360
160010001001034,00360
160010001001035,00360
160010001001036,00360
160010001001037,00360
160010001001038,00360
160010001001039,00360
160010001001040,00360
160010001001041,00360
160010001001042,00360
160010001001043,00360
160010001001044,00360
160010001001045,00360
160010001001046,00360
160010001001047,00360
160010001001048,00360
160010001001049,00360
160010001001050,00360
160010001001051,00360
160010001001052,00360
160010001001053,00360
160010001001054,00360
160010001001055,00360
160010001001056,00360
160010001001057,00360
160010001001058,00360
160010001001059,00360
160010001001060,00360
160010001002000,00360
160010001002001,00360
160010001002002,00360
160010001002003,00360
160010001002004,00360
160010001002005,00360
160010001002006,00360
160010001002007,00360
160010001002008,00360
160010001002009,00360
160010001002010,00360
160010001002011,00360
160010001002012,00360
160010001002013,00360
160010001002014,00360
160010001002015,00360
160010001002016,00360
160010001002017,00360
160010001002018,00360
160010001002019,00360
160010001002020,00360
160010001002021,00360
160010001002022,00360
160010001002023,00360
160010001002024,00360
160010001002025,00360
160010001002026,00360
160010001002027,00360
160010001002028,00360
160010001002029,00360
160010001002030,00360
160010001002031,00360
160010001002032,00360
160010001002033,00360
160010001002034,00360
160010001002035,00360
160010001002036,00360
160010001002037,00360
160010001002038,00360
160010001002039,00360
160010001002040,00360
160010001002041,00360
160010001002042,00360
160010001002043,00360
160010001002044,00360
160010001002045,00360
160010001002046,00360
160010001002047,00360
160010001002048,00360
160010001002049,00360
160010001002050,00360
160010001002051,00360
