BLOCKID,COUNTYFP,DISTRICT
160010001001000,001,60
160010001001001,001,60
160010001001002,001,60
160010001001003,001,60
160010001001004,001,60
160010001001005,001,60
160010001001006,001,60
160010001001007,001,60
160010001001008,001,60
160010001001009,001,60
160010001001010,001,60
160010001001011,001,60
160010001001012,001,60
160010001001013,001,60
160010001001014,001,60
160010001001015,001,60
160010001001016,001,60
160010001001017,001,60
160010001001018,001,60
160010001001019,001,60
160010001001020,001,60
160010001001021,001,60
160010001001022,001,60
160010001001023,001,60
160010001001024,001,60
160010001001025,001,60
160010001001026,001,60
160010001001027,001,60
160010001001028,001,60
160010001001029,001,60
160010001001030,001,60
160010001001031,001,60
160010001001032,001,60
160010001001033,001,60
160010001001034,001,60
160010001001035,001,60
160010001001036,001,60
160010001001037,001,60
160010001001038,001,60
160010001001039,001,60
160010001001040,001,60
160010001001041,001,60
160010001001042,001,60
160010001001043,001,60
160010001001044,001,60
160010001001045,001,60
160010001001046,001,60
160010001001047,001,60
160010001001048,001,60
160010001001049,001,60
160010001001050,001,60
160010001001051,001,60
160010001001052,001,60
160010001001053,001,60
160010001001054,001,60
160010001001055,001,60
160010001001056,001,60
160010001001057,001,60
160010001001058,001,72
160010001001059,001,72
160010001001060,001,72
160010001002000,001,60
160010001002001,001,60
160010001002002,001,60
160010001002003,001,60
160010001002004,001,60
160010001002005,001,60
160010001002006,001,60
160010001002007,001,60
160010001002008,001,72
160010001002009,001,72
160010001002010,001,60
160010001002011,001,60
160010001002012,001,60
160010001002013,001,60
160010001002014,001,60
160010001002015,001,60
160010001002016,001,60
160010001002017,001,60
160010001002018,001,60
160010001002019,001,60
160010001002020,001,60
160010001002021,001,60
160010001002022,001,60
160010001002023,001,60
160010001002024,001,60
160010001002025,001,60
160010001002026,001,72
160010001002027,001,72
160010001002028,001,72
160010001002029,001,72
160010001002030,001,72
160010001002031,001,72
160010001002032,001,72
160010001002033,001,60
160010001002034,001,60
160010001002035,001,60
160010001002036,001,60
160010001002037,001,60
160010001002038,001,60
160010001002039,001,60
160010001002040,001,60
160010001002041,001,60
160010001002042,001,60
160010001002043,001,60
160010001002044,001,60
160010001002045,001,60
160010001002046,001,60
160010001002047,001,60
160010001002048,001,60
160010001002049,001,60
160010001002050,001,60
160010001002051,001,60
160010001002052,001,60
160010001002053,001,60
160010001002054,001,60
160010001002055,001,60
160010001002056,001,60
160010001002057,001,60
160010001002058,001,60
160010001002059,001,60
160010001002060,001,60
160010001002061,001,60
160010001002062,001,60
160010001002063,001,60
160010001002064,001,60
160010001002065,001,60
160010001002066,001,72
160010001002067,001,72
160010001002068,001,60
160010001002069,001,72
160010001002070,001,72
160010001003000,001,60
160010001003001,001,60
160010001003002,001,60
160010001003003,001,59
160010001003004,001,60
160010001003005,001,60
160010001003006,001,60
160010001003007,001,60
160010001003008,001,60
160010001003009,001,60
160010001003010,001,60
160010001003011,001,60
160010001003012,001,60
160010001003013,001,60
160010001003014,001,60
160010001003015,001,60
160010001003016,001,60
160010001003017,001,60
160010001003018,001,60
160010001003019,001,60
160010001003020,001,60
160010001003021,001,60
160010001003022,001,60
160010001003023,001,60
160010001003024,001,60
160010001003025,001,60
160010001003026,001,60
160010001003027,001,60
160010001003028,001,60
160010001003029,001,60
160010001003030,001,60
160010001003031,001,60
160010001003032,001,60
160010001003033,001,60
160010001003034,001,60
160010001003035,001,60
160010001003036,001,60
160010001003037,001,60
160010001003038,001,60
160010001003039,001,59
160010001003040,001,59
160010001003041,001,59
160010001003042,001,59
160010001003043,001,58
160010001003044,001,58
160010001003045,001,58
160010001003046,001,59
160010001003047,001,59
160010001003048,001,59
160010001003049,001,59
160010001003050,001,59
160010001003051,001,60
160010001003052,001,60
160010001003053,001,60
160010001003054,001,60
160010001003055,001,60
160010001003056,001,60
160010001003057,001,60
160010001003058,001,60
160010001003059,001,59
160010001003060,001,59
160010001003061,001,59
160010001003062,001,59
160010001003063,001,59
160010001003064,001,59
160010001003065,001,69
160010001003066,001,69
160010001003067,001,69
160010001003068,001,60
160010001003069,001,60
160010001003070,001,60
160010001003071,001,59
160010001003072,001,60
160010001003073,001,60
160010001003074,001,60
160010001003075,001,60
160010001003076,001,60
160010001003077,001,60
160010001003078,001,60
160010001003079,001,60
160010001003080,001,60
160010001003081,001,60
160010001003082,001,60
160010001003083,001,60
160010001003084,001,60
160010001003085,001,60
160010001003086,001,60
160010001003087,001,60
160010001003088,001,60
160010001003089,001,60
160010001003090,001,60
160010001003091,001,60
160010001003092,001,60
160010001003093,001,60
160010001003094,001,60
160010001003095,001,60
160010001003096,001,60
160010001003097,001,59
160010001003098,001,59
160010001003099,001,59
160010001003100,001,59
160010001003101,001,59
160010001003102,001,59
160010001003103,001,60
160010001003104,001,60
160010001003105,001,60
160010001003106,001,60
160010001003107,001,60
160010001003108,001,60
160010001003109,001,60
160010001003110,001,60
160010001003111,001,60
160010001003112,001,60
160010001003113,001,60
160010001003114,001,60
160010001003115,001,60
160010001003116,001,60
160010001003117,001,60
160010001003118,001,60
160010001003119,001,60
160010001003120,001,60
160010001003121,001,60
160010001003122,001,60
160010001003123,001,60
160010001003124,001,60
160010001003125,001,60
160010001003126,001,60
160010001003127,001,60
160010001003128,001,60
160010001003129,001,60
160010001003130,001,60
160010001003131,001,60
160010001003132,001,60
160010001003133,001,60
160010001003134,001,60
160010001003135,001,60
160010001003136,001,60
160010001003137,001,60
160010001003138,001,60
160010002011000,001,41
160010002011001,001,41
160010002011002,001,41
160010002011003,001,41
160010002011004,001,41
160010002011005,001,41
160010002011006,001,41
160010002011007,001,41
160010002011008,001,41
160010002011009,001,41
160010002011010,001,73
160010002011011,001,41
160010002011012,001,41
160010002011013,001,41
160010002011014,001,41
160010002011015,001,41
160010002011016,001,41
160010002011017,001,41
160010002011018,001,41
160010002011019,001,41
160010002011020,001,41
160010002011021,001,41
160010002011022,001,41
160010002011023,001,41
160010002011024,001,41
160010002011025,001,41
160010002011026,001,41
160010002011027,001,72
160010002011028,001,41
160010002011029,001,41
160010002011030,001,41
160010002011031,001,41
160010002011032,001,41
160010002011033,001,72
160010002011034,001,73
160010002011035,001,73
160010002011036,001,72
160010002011037,001,41
160010002011038,001,72
160010002012000,001,38
160010002012001,001,38
160010002012002,001,38
160010002012003,001,38
160010002012004,001,38
160010002012005,001,38
160010002012006,001,40
160010002013000,001,41
160010002013001,001,41
160010002013002,001,41
160010002013003,001,41
160010002013004,001,41
160010002013005,001,41
160010002013006,001,41
160010002021000,001,3
160010002021001,001,16
160010002021002,001,16
160010002021003,001,16
160010002021004,001,16
160010002021005,001,16
160010002021006,001,16
160010002021007,001,16
160010002021008,001,16
160010002021009,001,16
160010002021010,001,16
160010002021011,001,16
160010002021012,001,16
160010002021013,001,16
160010002021014,001,16
160010002021015,001,16
160010002021016,001,16
160010002021017,001,16
160010002021018,001,16
160010002021019,001,16
160010002021020,001,16
160010002021021,001,16
160010002021022,001,15
160010002021023,001,15
160010002021024,001,15
160010002021025,001,15
160010002021026,001,15
160010002021027,001,15
160010002021028,001,16
160010002021029,001,16
160010002021030,001,16
160010002021031,001,16
160010002021032,001,16
160010002021033,001,16
160010002021034,001,15
160010002021035,001,16
160010002021036,001,16
160010002021037,001,16
160010002021038,001,15
160010002021039,001,15
160010002021040,001,16
160010002021041,001,15
160010002021042,001,16
160010002021043,001,16
160010002021044,001,16
160010002021045,001,16
160010002021046,001,16
160010002021047,001,16
160010002022000,001,15
160010002022001,001,15
160010002022002,001,15
160010002022003,001,15
160010002022004,001,15
160010002022005,001,15
160010002022006,001,15
160010002022007,001,15
160010002022008,001,15
160010002022009,001,15
160010002022010,001,15
160010002022011,001,15
160010002022012,001,15
160010002022013,001,15
160010002022014,001,16
160010002022015,001,16
160010002022016,001,16
160010002022017,001,16
160010002022018,001,16
160010002022019,001,15
160010002022020,001,15
160010002022021,001,15
160010002023000,001,16
160010002023001,001,16
160010002023002,001,16
160010002023003,001,16
160010002023004,001,16
160010002023005,001,16
160010002023006,001,16
160010002023007,001,16
160010002023008,001,38
160010002023009,001,16
160010002023010,001,16
160010002023011,001,16
160010002023012,001,16
160010002023013,001,16
160010002023014,001,16
160010002023015,001,16
160010002023016,001,38
160010002023017,001,38
160010002024000,001,38
160010002024001,001,38
160010002024002,001,38
160010002024003,001,38
160010002024004,001,38
160010002024005,001,38
160010002024006,001,38
160010002024007,001,38
160010002024008,001,38
160010003021000,001,26
160010003021001,001,26
160010003021002,001,26
160010003021003,001,26
160010003021004,001,26
