BLOCKID,PLACEFP
210019701001000,
210019701001001,
210019701001002,
210019701001003,
210019701001004,
210019701001005,
210019701001006,
210019701001007,
210019701001008,
210019701001009,
210019701001010,
210019701001011,
210019701001012,
210019701001013,
210019701001014,
210019701001015,
210019701001016,
210019701001017,
210019701001018,
210019701001019,
210019701001020,
210019701001021,
210019701001022,
210019701001023,
210019701001024,
210019701001025,
210019701001026,
210019701001027,
210019701001028,
210019701001029,
210019701001030,
210019701001031,
210019701001032,
210019701001033,
210019701001034,
210019701001035,
210019701001036,
210019701001037,
210019701001038,
210019701001039,
210019701001040,
210019701001041,
210019701001042,
210019701001043,
210019701001044,
210019701001045,
210019701001046,
210019701001047,
210019701001048,
210019701001049,
210019701001050,
210019701001051,
210019701001052,
210019701001053,
210019701001054,
210019701001055,
210019701001056,
210019701001057,
210019701001058,
210019701001059,
210019701001060,
210019701002000,
210019701002001,
210019701002002,
210019701002003,
210019701002004,
210019701002005,
210019701002006,
210019701002007,
210019701002008,
210019701002009,
210019701002010,
210019701002011,
210019701002012,
210019701002013,
210019701002014,
210019701002015,
210019701002016,
210019701002017,
210019701002018,
210019701002019,
210019701002020,
210019701002021,
210019701002022,
210019701002023,
210019701002024,
210019701002025,
210019701002026,
210019701002027,
210019701002028,
210019701002029,
210019701002030,
210019701002031,
210019701002032,
210019701002033,
210019701002034,
210019701002035,
210019701002036,
210019701002037,
210019701002038,
210019701002039,
210019701002040,
210019701002041,
210019701002042,
210019701002043,
210019701002044,
210019701002045,
210019701002046,
210019701002047,
210019701002048,
210019701002049,
210019701002050,
210019701002051,
210019701002052,
210019701002053,
210019701002054,
210019701002055,
210019701002056,
210019701002057,
210019701002058,
210019701002059,
210019701002060,
210019701002061,
210019701002062,
210019701002063,
210019701002064,
210019701002065,
210019701002066,
210019701002067,
210019701002068,
210019701002069,
210019701002070,
210019701002071,
210019701002072,
210019701002073,
210019701002074,
210019701002075,
210019701002076,
210019701002077,
210019701002078,
210019701002079,
210019701002080,
210019701002081,
210019701002082,
210019701002083,
210019701002084,
210019701002085,
210019701002086,
210019701002087,
210019701002088,
210019701002089,
210019702001000,
210019702001001,
210019702001002,
210019702001003,
210019702001004,
210019702001005,
210019702001006,
210019702001007,
210019702001008,
210019702001009,
210019702001010,
210019702001011,
210019702001012,
210019702001013,
210019702001014,
210019702001015,
210019702001016,
210019702001017,
210019702001018,
210019702001019,
210019702001020,
210019702001021,
210019702001022,
210019702001023,
210019702001024,
210019702001025,
210019702001026,
210019702001027,
210019702001028,
210019702001029,
210019702001030,
210019702001031,
210019702001032,
210019702001033,
210019702001034,
210019702001035,
210019702001036,
210019702001037,
210019702001038,
210019702001039,
210019702001040,
210019702001041,
210019702001042,
210019702001043,
210019702001044,
210019702001045,
210019702001046,
210019702001047,
210019702001048,
210019702001049,
210019702001050,
210019702001051,
210019702001052,
210019702001053,
210019702001054,
210019702001055,
210019702001056,
210019702001057,
210019702001058,
210019702001059,
210019702001060,
210019702001061,
210019702001062,
210019702001063,
210019702001064,
210019702001065,
210019702001066,
210019702001067,
210019702001068,
210019702001069,
210019702001070,
210019702001071,
210019702001072,
210019702001073,
210019702001074,
210019702001075,
210019702001076,
210019702001077,
210019702001078,
210019702001079,
210019702001080,
210019702001081,
210019702001082,
210019702001083,
210019702001084,
210019702001085,
210019702001086,
210019702001087,
210019702001088,
210019702001089,
210019702001090,
210019702001091,
210019702001092,
210019702001093,
210019702001094,
210019702001095,
210019702001096,
210019702001097,
210019702001098,
210019702001099,
210019702001100,
210019702001101,
210019702001102,
210019702001103,
210019703001000,
210019703001001,
210019703001002,
210019703001003,
210019703001004,
210019703001005,
210019703001006,
210019703001007,
210019703001008,
210019703001009,
210019703001010,
210019703001011,
210019703001012,
210019703001013,
210019703001014,
210019703001015,
210019703001016,
210019703001017,
210019703001018,
210019703001019,
210019703001020,
210019703001021,
210019703001022,
210019703001023,
210019703001024,
210019703001025,
210019703001026,
210019703001027,
210019703001028,
210019703001029,
210019703001030,
210019703001031,
210019703001032,
210019703001033,
210019703002000,
210019703002001,
210019703002002,
210019703002003,
210019703002004,
210019703002005,
210019703002006,
210019703002007,
210019703002008,
210019703002009,
210019703002010,
210019703002011,
210019703002012,
210019703002013,
210019703002014,
210019703002015,
210019703002016,
210019703002017,
210019703002018,
210019703002019,
210019703002020,
210019703002021,
210019703002022,
210019703002023,
210019703002024,
210019703002025,
210019703002026,
210019703002027,
210019703002028,
210019703002029,
210019703002030,
210019703002031,
210019703002032,
210019703002033,
210019703002034,
210019703002035,
210019703002036,
210019703003000,
210019703003001,
210019703003002,
210019703003003,
210019703003004,
210019703003005,
210019703003006,
210019703003007,
210019703003008,
210019703003009,
210019703003010,
210019703003011,
210019703003012,
210019703003013,
210019703003014,
210019703003015,
210019703003016,
210019703003017,
210019703003018,
210019703003019,
210019703003020,
210019703003021,
210019703003022,
210019703003023,
210019703003024,
210019703003025,
210019703003026,
210019703003027,
210019703003028,
210019703003029,
210019703003030,
210019703003031,
210019703003032,
210019703003033,
210019703003034,
210019703003035,
210019703003036,
210019703003037,
210019703003038,
210019703003039,
210019703003040,
210019703003041,
210019703003042,
210019703003043,
210019703003044,
210019703003045,
210019703003046,
210019703003047,
210019703003048,
210019703003049,
210019703003050,
210019703003051,
210019703003052,
210019703003053,
210019703003054,
210019703003055,
210019703003056,
210019703003057,
210019703003058,
210019703003059,
210019703003060,
210019703003061,
210019703003062,
210019703003063,
210019703003064,
210019703003065,
210019703003066,
210019704011000,
210019704011001,
210019704011002,
210019704011003,
210019704011004,
210019704011005,
210019704011006,
210019704011007,
210019704011008,16750
210019704011009,16750
210019704011010,
210019704011011,
210019704011012,
210019704011013,
210019704011014,
210019704011015,
210019704011016,
210019704011017,
210019704011018,
210019704011019,16750
210019704011020,16750
210019704011021,16750
210019704011022,
210019704011023,
210019704011024,16750
210019704011025,16750
210019704011026,16750
210019704011027,16750
210019704011028,16750
210019704011029,
210019704011030,
210019704011031,
210019704011032,
210019704011033,
210019704011034,
210019704011035,
210019704011036,
210019704011037,16750
210019704011038,
210019704011039,
210019704011040,
210019704011041,
210019704011042,16750
210019704011043,16750
210019704011044,
210019704011045,
210019704011046,
210019704011047,
210019704011048,
210019704011049,
210019704011050,
210019704011051,
210019704011052,
210019704011053,
210019704011054,
210019704011055,
210019704011056,
210019704011057,
210019704011058,
210019704011059,
210019704011060,
210019704011061,
210019704011062,
210019704011063,
210019704011064,
210019704011065,
210019704011066,
210019704011067,
210019704011068,
210019704011069,
210019704011070,
210019704011071,
210019704011072,
210019704011073,
210019704011074,
210019704011075,
210019704011076,
210019704011077,
210019704011078,
210019704011079,
210019704011080,
210019704011081,
210019704011082,
210019704011083,
210019704011084,
210019704011085,
210019704011086,
210019704011087,
210019704011088,
210019704011089,
210019704011090,16750
210019704011091,
210019704011092,
210019704011093,
210019704011094,16750
210019704011095,
210019704011096,
210019704011097,16750
210019704012000,16750
210019704012001,16750
210019704012002,16750
210019704012003,16750
210019704012004,16750
210019704012005,16750
210019704012006,16750
210019704012007,16750
210019704012008,16750
210019704012009,16750
210019704012010,16750
210019704012011,16750
210019704012012,16750
210019704012013,16750
210019704012014,16750
210019704012015,16750
210019704012016,16750
210019704012017,16750
210019704012018,16750
210019704012019,16750
210019704012020,16750
210019704012021,16750
210019704012022,16750
210019704012023,16750
210019704012024,16750
210019704012025,
210019704012026,
210019704012027,
210019704012028,
210019704012029,
210019704012030,
210019704012031,16750
210019704012032,16750
210019704012033,16750
210019704012034,16750
210019704012035,16750
