BLOCKID,DISTRICT
210019701001000,051
210019701001001,051
210019701001002,051
210019701001003,051
210019701001004,051
210019701001005,051
210019701001006,051
210019701001007,051
210019701001008,051
210019701001009,051
210019701001010,051
210019701001011,051
210019701001012,051
210019701001013,051
210019701001014,051
210019701001015,051
210019701001016,051
210019701001017,051
210019701001018,051
210019701001019,051
210019701001020,051
210019701001021,051
210019701001022,051
210019701001023,051
210019701001024,051
210019701001025,051
210019701001026,051
210019701001027,051
210019701001028,051
210019701001029,051
210019701001030,051
210019701001031,051
210019701001032,051
210019701001033,051
210019701001034,051
210019701001035,051
210019701001036,051
210019701001037,051
210019701001038,051
210019701001039,051
210019701001040,051
210019701001041,051
210019701001042,051
210019701001043,051
210019701001044,051
210019701001045,051
210019701001046,051
210019701001047,051
210019701001048,051
210019701001049,051
210019701001050,051
210019701001051,051
210019701001052,051
210019701001053,051
210019701001054,051
210019701001055,051
210019701001056,051
210019701001057,051
210019701001058,051
210019701001059,051
210019701001060,051
210019701002000,051
210019701002001,051
210019701002002,051
210019701002003,051
210019701002004,051
210019701002005,051
210019701002006,051
210019701002007,051
210019701002008,051
210019701002009,051
210019701002010,051
210019701002011,051
210019701002012,051
210019701002013,051
210019701002014,051
210019701002015,051
210019701002016,051
210019701002017,051
210019701002018,051
210019701002019,051
210019701002020,051
210019701002021,051
210019701002022,051
210019701002023,051
210019701002024,051
210019701002025,051
210019701002026,051
210019701002027,051
210019701002028,051
210019701002029,051
210019701002030,051
210019701002031,051
210019701002032,051
210019701002033,051
210019701002034,051
210019701002035,051
210019701002036,051
210019701002037,051
210019701002038,051
210019701002039,051
210019701002040,051
210019701002041,051
210019701002042,051
210019701002043,051
210019701002044,051
210019701002045,051
210019701002046,051
210019701002047,051
210019701002048,051
210019701002049,051
210019701002050,051
210019701002051,051
210019701002052,051
210019701002053,051
210019701002054,051
210019701002055,051
210019701002056,051
210019701002057,051
210019701002058,051
210019701002059,051
210019701002060,051
210019701002061,051
210019701002062,051
210019701002063,051
210019701002064,051
210019701002065,051
210019701002066,051
210019701002067,051
210019701002068,051
210019701002069,051
210019701002070,051
210019701002071,051
210019701002072,051
210019701002073,051
210019701002074,051
210019701002075,051
210019701002076,051
210019701002077,051
210019701002078,051
210019701002079,051
210019701002080,051
210019701002081,051
210019701002082,051
210019701002083,051
210019701002084,051
210019701002085,051
210019701002086,051
210019701002087,051
210019701002088,051
210019701002089,051
210019702001000,051
210019702001001,051
210019702001002,051
210019702001003,051
210019702001004,051
210019702001005,051
210019702001006,051
210019702001007,051
210019702001008,051
210019702001009,051
210019702001010,051
210019702001011,051
210019702001012,051
210019702001013,051
210019702001014,051
210019702001015,051
210019702001016,051
210019702001017,051
210019702001018,051
210019702001019,051
210019702001020,051
210019702001021,051
210019702001022,051
210019702001023,051
210019702001024,051
210019702001025,051
210019702001026,051
210019702001027,051
210019702001028,051
210019702001029,051
210019702001030,051
210019702001031,051
210019702001032,051
210019702001033,051
210019702001034,051
210019702001035,051
210019702001036,051
210019702001037,051
210019702001038,051
210019702001039,051
210019702001040,051
210019702001041,051
210019702001042,051
210019702001043,051
210019702001044,051
210019702001045,051
210019702001046,051
210019702001047,051
210019702001048,051
210019702001049,051
210019702001050,051
210019702001051,051
210019702001052,051
210019702001053,051
210019702001054,051
210019702001055,051
210019702001056,051
210019702001057,051
210019702001058,051
210019702001059,051
210019702001060,051
210019702001061,051
210019702001062,051
210019702001063,051
210019702001064,051
210019702001065,051
210019702001066,051
210019702001067,051
210019702001068,051
210019702001069,051
210019702001070,051
210019702001071,051
210019702001072,051
210019702001073,051
210019702001074,051
210019702001075,051
210019702001076,051
210019702001077,051
210019702001078,051
210019702001079,051
210019702001080,051
210019702001081,051
210019702001082,051
210019702001083,051
210019702001084,051
210019702001085,051
210019702001086,051
210019702001087,051
210019702001088,051
210019702001089,051
210019702001090,051
210019702001091,051
210019702001092,051
210019702001093,051
210019702001094,051
210019702001095,051
210019702001096,051
210019702001097,051
210019702001098,051
210019702001099,051
210019702001100,051
210019702001101,051
210019702001102,051
210019702001103,051
210019703001000,051
210019703001001,051
210019703001002,051
210019703001003,051
210019703001004,051
210019703001005,051
210019703001006,051
210019703001007,051
210019703001008,051
210019703001009,051
210019703001010,051
210019703001011,051
210019703001012,051
210019703001013,051
210019703001014,051
210019703001015,051
210019703001016,051
210019703001017,051
210019703001018,051
210019703001019,051
210019703001020,051
210019703001021,051
210019703001022,051
210019703001023,051
210019703001024,051
210019703001025,051
