BLOCKID,DISTRICT
210019701001000,015
210019701001001,015
210019701001002,015
210019701001003,015
210019701001004,015
210019701001005,015
210019701001006,015
210019701001007,015
210019701001008,015
210019701001009,015
210019701001010,015
210019701001011,015
210019701001012,015
210019701001013,015
210019701001014,015
210019701001015,015
210019701001016,015
210019701001017,015
210019701001018,015
210019701001019,015
210019701001020,015
210019701001021,015
210019701001022,015
210019701001023,015
210019701001024,015
210019701001025,015
210019701001026,015
210019701001027,015
210019701001028,015
210019701001029,015
210019701001030,015
210019701001031,015
210019701001032,015
210019701001033,015
210019701001034,015
210019701001035,015
210019701001036,015
210019701001037,015
210019701001038,015
210019701001039,015
210019701001040,015
210019701001041,015
210019701001042,015
210019701001043,015
210019701001044,015
210019701001045,015
210019701001046,015
210019701001047,015
210019701001048,015
210019701001049,015
210019701001050,015
210019701001051,015
210019701001052,015
210019701001053,015
210019701001054,015
210019701001055,015
210019701001056,015
210019701001057,015
210019701001058,015
210019701001059,015
210019701001060,015
210019701002000,015
210019701002001,015
210019701002002,015
210019701002003,015
210019701002004,015
210019701002005,015
210019701002006,015
210019701002007,015
210019701002008,015
210019701002009,015
210019701002010,015
210019701002011,015
210019701002012,015
210019701002013,015
210019701002014,015
210019701002015,015
210019701002016,015
210019701002017,015
210019701002018,015
210019701002019,015
210019701002020,015
210019701002021,015
210019701002022,015
210019701002023,015
210019701002024,015
210019701002025,015
210019701002026,015
210019701002027,015
210019701002028,015
210019701002029,015
210019701002030,015
210019701002031,015
210019701002032,015
210019701002033,015
210019701002034,015
210019701002035,015
210019701002036,015
210019701002037,015
210019701002038,015
210019701002039,015
210019701002040,015
210019701002041,015
210019701002042,015
210019701002043,015
210019701002044,015
210019701002045,015
210019701002046,015
210019701002047,015
210019701002048,015
210019701002049,015
210019701002050,015
210019701002051,015
210019701002052,015
210019701002053,015
210019701002054,015
210019701002055,015
210019701002056,015
210019701002057,015
210019701002058,015
210019701002059,015
210019701002060,015
210019701002061,015
210019701002062,015
210019701002063,015
210019701002064,015
210019701002065,015
210019701002066,015
210019701002067,015
210019701002068,015
210019701002069,015
210019701002070,015
210019701002071,015
210019701002072,015
210019701002073,015
210019701002074,015
210019701002075,015
210019701002076,015
210019701002077,015
210019701002078,015
210019701002079,015
210019701002080,015
210019701002081,015
210019701002082,015
210019701002083,015
210019701002084,015
210019701002085,015
210019701002086,015
210019701002087,015
210019701002088,015
210019701002089,015
210019702001000,015
210019702001001,015
210019702001002,015
210019702001003,015
210019702001004,015
210019702001005,015
210019702001006,015
210019702001007,015
210019702001008,015
210019702001009,015
210019702001010,015
210019702001011,015
210019702001012,015
210019702001013,015
210019702001014,015
210019702001015,015
210019702001016,015
210019702001017,015
210019702001018,015
210019702001019,015
210019702001020,015
210019702001021,015
210019702001022,015
210019702001023,015
210019702001024,015
210019702001025,015
210019702001026,015
210019702001027,015
210019702001028,015
210019702001029,015
210019702001030,015
210019702001031,015
210019702001032,015
210019702001033,015
210019702001034,015
210019702001035,015
210019702001036,015
