BLOCKID,PLACEFP
220019601001000,
220019601001001,
220019601001002,
220019601001003,
220019601001004,
220019601001005,
220019601001006,
220019601001007,
220019601001008,
220019601001009,
220019601001010,
220019601001011,
220019601001012,
220019601001013,
220019601001014,15465
220019601001015,15465
220019601001016,15465
220019601001017,15465
220019601001018,15465
220019601001019,15465
220019601001020,15465
220019601001021,15465
220019601001022,15465
220019601001023,15465
220019601001024,15465
220019601001025,15465
220019601001026,15465
220019601001027,15465
220019601001028,15465
220019601001029,15465
220019601001030,15465
220019601001031,15465
220019601001032,15465
220019601001033,15465
220019601001034,15465
220019601001035,15465
220019601001036,
220019601001037,15465
220019601001038,15465
220019601001039,15465
220019601002000,
220019601002001,
220019601002002,
220019601002003,
220019601002004,
220019601002005,
220019601002006,
220019601002007,
220019601002008,
220019601002009,
220019601002010,
220019601002011,
220019601002012,
220019601002013,
220019601002014,
220019601002015,
220019601002016,
220019601002017,
220019601002018,
220019601002019,
220019601002020,
220019601002021,15465
220019601002022,
220019601002023,
220019601002024,
220019601002025,
220019601002026,15465
220019601002027,15465
220019601002028,15465
220019601002029,15465
220019601002030,15465
220019601002031,15465
220019601002032,15465
220019601002033,15465
220019601002034,15465
220019601002035,15465
220019601002036,15465
220019601002037,15465
220019601002038,15465
220019601002039,15465
220019601002040,15465
220019601002041,15465
220019601002042,
220019601002043,
220019601002044,
220019601002045,
220019601003000,15465
220019601003001,15465
220019601003002,15465
220019601003003,15465
220019601003004,15465
220019601003005,15465
220019601003006,15465
220019601003007,15465
220019601003008,15465
220019601003009,15465
220019601003010,15465
220019601003011,15465
220019601003012,15465
220019601003013,15465
220019601003014,15465
220019601003015,15465
220019601003016,15465
220019601003017,15465
220019601003018,15465
220019601003019,15465
220019601003020,15465
220019601003021,15465
220019601003022,
220019601003023,
220019601003024,
220019601003025,
220019601003026,
220019601003027,
220019601003028,
220019601003029,15465
220019601003030,15465
220019601003031,15465
220019601003032,15465
220019601003033,
220019601003034,15465
220019601003035,
220019601004000,15465
220019601004001,15465
220019601004002,15465
220019601004003,15465
220019601004004,15465
220019601004005,15465
220019601004006,15465
220019601004007,15465
220019601004008,15465
220019601004009,15465
220019601004010,15465
220019601004011,15465
220019601004012,15465
220019601004013,15465
220019601004014,15465
220019601004015,
220019601004016,15465
220019601004017,15465
220019601004018,15465
220019601004019,15465
220019601004020,15465
220019601004021,15465
220019601004022,15465
220019601004023,15465
220019601004024,15465
220019601004025,15465
220019601004026,15465
220019601004027,15465
220019601004028,15465
220019601004029,15465
220019601004030,
220019601004031,
220019601004032,
220019601004033,15465
220019601004034,15465
220019601004035,15465
220019601004036,
220019601004037,
220019601004038,15465
220019601004039,15465
220019601005000,
220019601005001,
220019601005002,
220019601005003,15465
220019601005004,15465
220019601005005,
220019601005006,
220019601005007,15465
220019601005008,15465
220019601005009,15465
220019601005010,
220019601005011,
220019601005012,15465
220019601005013,15465
220019601005014,15465
220019601005015,15465
220019601005016,15465
220019601005017,15465
220019601005018,15465
220019601005019,15465
220019601005020,15465
220019601005021,15465
220019601005022,15465
220019601005023,15465
220019601005024,15465
220019601005025,15465
220019601005026,15465
220019601005027,15465
220019601005028,15465
220019601005029,15465
220019601005030,15465
220019601005031,15465
220019601005032,15465
220019601005033,15465
220019601005034,15465
220019601005035,15465
220019601005036,15465
220019601005037,15465
220019601005038,15465
220019601005039,15465
220019601005040,15465
220019601005041,15465
220019601005042,15465
220019601005043,15465
220019601005044,15465
220019601005045,15465
220019601005046,15465
220019601005047,15465
220019601005048,15465
220019601005049,15465
220019601005050,
220019601005051,
220019601005052,15465
220019602001000,
220019602001001,
220019602001002,
220019602001003,
220019602001004,
220019602001005,
220019602001006,
220019602001007,
220019602001008,
220019602001009,
220019602001010,
220019602001011,
220019602001012,
220019602001013,
220019602001014,
220019602001015,
220019602001016,
220019602001017,
220019602001018,
220019602001019,
220019602001020,
220019602001021,
220019602001022,
220019602001023,
220019602001024,
220019602001025,
220019602001026,
220019602001027,
220019602001028,
220019602001029,
220019602001030,
220019602001031,
220019602001032,
220019602001033,
220019602001034,
220019602001035,
220019602001036,
220019602001037,
220019602001038,
220019602001039,
220019602001040,
220019602001041,
220019602001042,
220019602001043,
220019602001044,
220019602001045,
220019602001046,
220019602001047,
220019602001048,
220019602001049,
220019602001050,
220019602001051,
220019602001052,
220019602001053,
220019602001054,
220019602001055,
220019602001056,
220019602001057,
220019602001058,
220019602001059,
220019602001060,
220019602001061,
220019602001062,
220019602001063,
220019602001064,
220019602001065,
220019602001066,
220019602001067,
220019602001068,
220019602001069,
220019602001070,
220019602001071,
220019602001072,
220019602001073,
220019602001074,
220019602001075,
220019602001076,
220019602001077,
220019602001078,
220019602001079,
220019602001080,
220019602001081,
220019602001082,
220019602001083,
220019602001084,
220019602001085,
220019602001086,
220019602001087,
220019602001088,
220019602001089,
220019602001090,
220019602001091,
220019602001092,
220019602001093,
220019602001094,
220019602001095,
220019602001096,
220019602001097,
220019602001098,
220019602001099,
220019602001100,
220019602001101,
220019602001102,
220019602001103,
220019602001104,
220019602001105,
220019602001106,
220019602001107,
220019602001108,
220019602001109,
220019602002000,
220019602002001,
220019602002002,
220019602002003,24565
220019602002004,
220019602002005,
220019602002006,
220019602002007,24565
220019602002008,24565
220019602002009,24565
220019602002010,
220019602002011,
220019602002012,24565
220019602002013,24565
220019602002014,
220019602002015,24565
220019602002016,24565
220019602002017,24565
220019602002018,
220019602002019,
220019602002020,
220019602002021,
220019602002022,
220019602002023,
220019602002024,
220019602002025,
220019602002026,
220019602002027,
220019602002028,
220019602002029,
220019602002030,
220019602002031,24565
220019602002032,
220019602002033,
220019602002034,
220019602002035,
220019602002036,
220019602002037,
220019602002038,
220019602002039,
220019602002040,
220019602002041,
220019602002042,
220019602002043,
220019602002044,
220019602002045,
220019602002046,
220019602002047,
220019602002048,
220019602002049,
220019602002050,
220019602002051,
220019602002052,
220019602002053,
220019602002054,
220019602002055,
220019602002056,
220019602002057,24565
220019602002058,24565
220019602002059,24565
220019602002060,24565
220019602002061,24565
220019602002062,
220019602002063,
220019602002064,
220019602002065,24565
220019602003000,
220019602003001,
220019602003002,
220019602003003,
220019602003004,
220019602003005,
220019602003006,
220019602003007,
220019602003008,
220019602003009,
220019602003010,
220019602003011,
220019602003012,
220019602003013,
220019602003014,
220019602003015,
220019602003016,
220019602003017,
220019602003018,
220019602003019,
220019602003020,
220019602003021,
220019602003022,
220019602003023,
220019602003024,
220019602003025,
220019602003026,
220019602003027,
220019602003028,
220019602003029,
220019602003030,
220019602003031,
220019602003032,
220019602003033,
220019602003034,
220019602003035,
220019602003036,
220019602003037,
220019602003038,
220019602003039,
220019602003040,
220019602003041,
220019602003042,
220019602003043,
220019602003044,
220019602003045,
220019602003046,
220019602003047,
220019602003048,
220019602003049,
220019602003050,
220019602003051,
220019602003052,
220019602003053,
220019602003054,
220019602003055,
220019602003056,
220019602003057,
220019602003058,
220019602003059,
220019602003060,
220019602003061,
220019602003062,
220019602003063,
220019602003064,
220019602003065,
220019602003066,
220019602003067,
220019602003068,
220019602003069,
220019602003070,
220019602003071,
220019602003072,
220019602003073,
220019602003074,
220019602003075,
220019602003076,
220019602003077,
220019602003078,
220019602003079,
220019602003080,
220019602003081,
220019602003082,
220019602003083,
220019602003084,
220019602003085,
220019602003086,
220019602003087,
220019602003088,
220019602003089,
220019602003090,
220019602003091,
220019602003092,
220019602003093,
220019602003094,
220019602003095,
220019602003096,
220019602003097,
220019602003098,
220019602003099,
220019602003100,
220019602003101,
220019602003102,
220019602003103,
220019602003104,
220019602003105,
220019602003106,
220019602003107,
220019602003108,
220019602003109,
220019602003110,
220019602003111,
220019602003112,
220019602003113,
220019602003114,
220019602003115,
220019602003116,
220019602003117,
220019602003118,
220019602003119,
220019602003120,
220019602003121,
220019602003122,
220019602003123,
220019602003124,
220019602003125,
220019602003126,
220019602003127,
220019602003128,
220019603001000,
220019603001001,
220019603001002,
220019603001003,
220019603001004,
220019603001005,
220019603001006,
220019603001007,
220019603001008,
220019603001009,
220019603001010,
220019603001011,
220019603001012,
220019603001013,
220019603001014,
220019603001015,04580
220019603001016,04580
220019603001017,04580
220019603001018,
220019603001019,04580
220019603001020,
220019603001021,
220019603001022,
220019603001023,
220019603001024,
220019603001025,
220019603001026,
220019603001027,
220019603001028,
220019603001029,
220019603001030,
220019603001031,
220019603001032,
220019603001033,
220019603001034,
220019603001035,
220019603001036,
220019603001037,
220019603001038,
220019603001039,
220019603001040,
220019603001041,
220019603001042,
220019603001043,
220019603001044,
220019603001045,
220019603001046,
220019603001047,
220019603001048,
220019603001049,
220019603001050,
220019603001051,
220019603001052,
220019603001053,
220019603001054,
220019603001055,
220019603001056,
220019603001057,
220019603001058,
220019603001059,
220019603001060,04580
220019603001061,04580
220019603001062,04580
220019603001063,04580
220019603002000,
220019603002001,
220019603002002,
220019603002003,
220019603002004,
220019603002005,
220019603002006,
220019603002007,
220019603002008,
220019603002009,
220019603002010,
220019603002011,
220019603002012,
220019603002013,
220019603002014,
220019603002015,
220019603002016,
220019603002017,
220019603002018,
220019603002019,
220019603002020,
220019603002021,
220019603002022,
220019603002023,
220019603002024,
220019603002025,
220019603002026,
220019603002027,
220019603002028,
220019603002029,
220019603002030,
220019603002031,
220019603002032,
220019603002033,
220019603002034,
220019603002035,
220019603002036,
220019603002037,
220019603002038,
220019603002039,
220019603003000,
220019603003001,
220019603003002,
220019603003003,
220019603003004,
220019603003005,
220019603003006,
220019603003007,
220019603003008,
220019603003009,
220019603003010,
220019603003011,
220019603003012,
220019603003013,
220019603003014,
220019603003015,
220019603003016,
220019603003017,
220019603003018,
220019603003019,
220019603003020,
220019603003021,
220019603003022,
220019603003023,
220019603003024,
220019603003025,
220019603003026,
220019603003027,
220019603003028,
220019603003029,
220019603003030,
220019603003031,
220019604001000,
220019604001001,
220019604001002,
220019604001003,
220019604001004,
220019604001005,
220019604001006,
220019604001007,
220019604001008,
220019604001009,
220019604001010,
220019604001011,
220019604001012,
220019604001013,
220019604001014,
220019604001015,
220019604001016,
220019604001017,
220019604001018,
220019604001019,
220019604001020,
220019604001021,
220019604001022,
220019604001023,
220019604001024,
220019604001025,
220019604001026,
220019604001027,
220019604001028,
220019604001029,
220019604001030,
220019604001031,
220019604001032,
220019604001033,
220019604001034,
220019604001035,
220019604001036,
220019604001037,
220019604001038,
220019604001039,
220019604001040,
220019604001041,
220019604001042,
220019604001043,
220019604001044,
220019604001045,
220019604001046,
220019604001047,
220019604001048,
220019604001049,
220019604001050,
220019604001051,
220019604001052,
220019604001053,
220019604001054,
220019604001055,
220019604001056,
220019604001057,
220019604001058,
220019604001059,
220019604001060,
220019604001061,
220019604001062,
220019604001063,
220019604001064,
220019604001065,
220019604001066,
220019604001067,
220019604001068,
220019604001069,
220019604001070,
220019604001071,
220019604001072,
220019604001073,
220019604001074,
220019604001075,
220019604001076,
220019604001077,
220019604001078,
220019604001079,
220019604001080,
220019604001081,
220019604001082,
220019604001083,
220019604001084,
220019604001085,
220019604001086,
220019604001087,
220019604001088,
220019604001089,
220019604001090,
220019604001091,
220019604001092,
220019604001093,
220019604001094,
220019604001095,
220019604001096,
220019604001097,
220019604001098,
220019604001099,
220019604001100,
220019604002000,
220019604002001,37410
220019604002002,
220019604002003,37410
220019604002004,
220019604002005,
220019604002006,
220019604002007,37410
220019604002008,37410
220019604002009,37410
220019604002010,37410
220019604002011,37410
220019604002012,37410
220019604002013,37410
220019604002014,37410
220019604002015,37410
220019604002016,37410
220019604002017,37410
220019604002018,37410
220019604002019,37410
220019604002020,37410
220019604002021,37410
220019604002022,
220019604002023,
220019604002024,
220019604002025,
220019604002026,37410
220019604002027,37410
220019604002028,37410
220019604002029,37410
220019604002030,37410
220019604002031,37410
220019604002032,37410
220019604002033,37410
220019604002034,37410
220019604002035,37410
220019604002036,37410
220019604002037,37410
220019604002038,37410
220019604002039,37410
220019604002040,37410
220019604002041,37410
220019604002042,37410
220019604002043,37410
220019604002044,
220019604002045,
220019604002046,
220019604002047,37410
220019604002048,37410
220019604002049,37410
220019604002050,37410
220019604002051,37410
220019604002052,37410
220019604002053,37410
220019604002054,37410
220019604002055,37410
220019604002056,37410
220019604002057,37410
220019604002058,37410
220019604002059,37410
220019604002060,37410
220019604002061,37410
220019604002062,37410
220019604002063,37410
220019604002064,37410
220019604002065,37410
220019604002066,37410
220019604002067,37410
220019604002068,37410
220019604002069,37410
220019604002070,37410
220019604002071,37410
220019604002072,37410
220019604002073,37410
220019604002074,37410
220019604002075,37410
220019604002076,37410
220019604002077,37410
220019604002078,37410
220019604002079,37410
220019604002080,37410
220019604002081,37410
220019604002082,37410
220019604002083,37410
220019604002084,37410
220019604002085,37410
220019604002086,37410
220019604002087,
220019604002088,37410
220019604002089,37410
220019604002090,37410
220019604002091,37410
220019604002092,37410
220019604002093,
220019604002094,
220019604002095,37410
220019604002096,37410
220019604002097,37410
220019604002098,
220019604002099,37410
220019604003000,
220019604003001,
220019604003002,
220019604003003,
220019604003004,
220019604003005,
220019604003006,
220019604003007,
220019604003008,
220019604003009,
220019604003010,
220019604003011,
220019604003012,
220019604003013,
220019604003014,
220019604003015,
220019604003016,
220019604003017,
220019604003018,
220019604003019,
220019604003020,
220019604003021,
220019604003022,
220019604003023,
220019604003024,
220019604003025,
220019604003026,
220019604003027,
220019604003028,
220019604003029,
220019604003030,
220019604003031,
220019604003032,
220019604003033,
220019604003034,
220019604003035,
220019604003036,
220019604003037,
220019604003038,
220019604003039,
220019604003040,
220019604003041,
220019604003042,37410
220019604003043,37410
220019604003044,
220019604003045,
220019604003046,
220019604003047,
220019604003048,
220019604003049,
220019604003050,
220019604003051,
220019604003052,
220019604003053,
220019604003054,
220019604003055,
220019604003056,
220019604003057,
220019604003058,
220019604003059,
220019604003060,
220019604003061,
220019604003062,
220019604003063,
220019604003064,
220019604003065,
220019604003066,
220019604003067,
220019604003068,
220019604003069,
220019604003070,
220019604003071,
220019604003072,
220019604003073,
220019604003074,
220019604003075,
220019604003076,
220019604003077,
220019604003078,
220019604003079,
220019604003080,
220019604003081,
220019604003082,
220019604003083,
220019604003084,
220019604003085,
220019604003086,
220019604003087,
220019604003088,
220019604003089,
220019604003090,
220019604004000,
220019604004001,
220019604004002,
220019604004003,
220019604004004,
220019604004005,
220019604004006,
220019604004007,
220019604004008,
220019604004009,
220019604004010,
220019604004011,
220019604004012,
220019604004013,
220019604004014,
220019604004015,23025
220019604004016,
220019604004017,
220019604004018,23025
220019604004019,23025
220019604004020,23025
220019604004021,23025
220019604004022,
220019604004023,
220019604004024,23025
220019604004025,
