BLOCKID,DISTRICT
230010101001000,02610
230010101001001,02610
230010101001002,02610
230010101001003,02610
230010101001004,02610
230010101001005,02610
230010101001006,02610
230010101001007,02610
230010101001008,02610
230010101001009,02610
230010101001010,02610
230010101001011,02610
230010101001012,02610
230010101001013,02610
230010101001014,02610
230010101001015,02610
230010101001016,02610
230010101001017,02610
230010101001018,02610
230010101001019,02610
230010101002000,02610
230010101002001,02610
230010101002002,02610
230010101002003,02610
230010101002004,02610
230010101002005,02610
230010101002006,02610
230010101002007,02610
230010101002008,02610
230010101002009,02610
230010101002010,02610
230010101002011,02610
230010101002012,02610
230010101002013,02610
230010101002014,02610
230010101002015,02610
230010101002016,02610
230010101002017,02610
230010101002018,02610
230010101002019,02610
230010101002020,02610
230010101002021,02610
230010101002022,02610
230010101002023,02610
230010101002024,02610
230010101002025,02610
230010101002026,02610
230010101002027,02610
230010101002028,02610
230010102001000,02610
230010102001001,02610
230010102001002,02610
230010102001003,02610
230010102001004,02610
230010102001005,02610
230010102001006,02610
230010102001007,02610
230010102001008,02610
230010102001009,02610
230010102001010,02610
230010102001011,02610
230010102001012,02610
230010102001013,02610
230010102001014,02610
230010102001015,02610
230010102001016,02610
230010102001017,02610
230010102001018,02610
230010102001019,02610
230010102001020,02610
230010102002000,02610
230010102002001,02610
230010102002002,02610
230010102002003,02610
230010102002004,02610
230010102002005,02610
230010102002006,02610
230010102002007,02610
230010102002008,02610
230010102002009,02610
230010102002010,02610
230010102002011,02610
230010102002012,02610
230010102002013,02610
230010102002014,02610
230010102002015,02610
230010102002016,02610
230010102002017,02610
230010102002018,02610
230010102002019,02610
230010102002020,02610
230010102002021,02610
230010102002022,02610
230010102002023,02610
230010102002024,02610
230010102002025,02610
230010102002026,02610
230010102002027,02610
230010102002028,02610
230010102002029,02610
230010102002030,02610
230010102002031,02610
230010102003000,02610
230010102003001,02610
230010102003002,02610
230010102003003,02610
230010102003004,02610
230010102003005,02610
230010102003006,02610
230010102003007,02610
230010102003008,02610
230010102003009,02610
230010102003010,02610
230010102003011,02610
230010102003012,02610
230010102003013,02610
230010102003014,02610
230010102003015,02610
230010102003016,02610
230010102003017,02610
230010102003018,02610
230010102003019,02610
230010102003020,02610
230010102003021,02610
230010102003022,02610
230010102003023,02610
230010102003024,02610
230010102003025,02610
230010102003026,02610
230010102003027,02610
