BLOCKID,DISTRICT
230010101001000,069
230010101001001,069
230010101001002,069
230010101001003,069
230010101001004,069
230010101001005,069
230010101001006,069
230010101001007,069
230010101001008,069
230010101001009,069
230010101001010,069
230010101001011,069
230010101001012,069
230010101001013,069
230010101001014,069
230010101001015,069
230010101001016,069
230010101001017,069
230010101001018,069
230010101001019,069
230010101002000,069
230010101002001,069
230010101002002,069
230010101002003,069
230010101002004,069
230010101002005,069
230010101002006,069
230010101002007,069
230010101002008,069
230010101002009,069
230010101002010,069
230010101002011,069
230010101002012,068
230010101002013,069
230010101002014,069
230010101002015,069
230010101002016,069
230010101002017,069
230010101002018,069
230010101002019,069
230010101002020,069
230010101002021,070
230010101002022,069
230010101002023,070
230010101002024,070
230010101002025,070
230010101002026,069
230010101002027,068
230010101002028,068
230010102001000,069
230010102001001,069
230010102001002,069
230010102001003,069
230010102001004,069
230010102001005,069
230010102001006,069
230010102001007,069
230010102001008,069
230010102001009,069
230010102001010,069
230010102001011,069
230010102001012,069
230010102001013,069
230010102001014,069
230010102001015,069
230010102001016,069
230010102001017,069
230010102001018,069
230010102001019,069
230010102001020,069
230010102002000,068
230010102002001,068
230010102002002,068
230010102002003,068
230010102002004,068
230010102002005,068
230010102002006,068
230010102002007,068
230010102002008,068
230010102002009,068
230010102002010,068
230010102002011,068
230010102002012,069
230010102002013,069
230010102002014,069
230010102002015,069
230010102002016,069
230010102002017,069
230010102002018,069
230010102002019,069
230010102002020,069
230010102002021,069
230010102002022,069
230010102002023,069
230010102002024,069
230010102002025,069
230010102002026,069
230010102002027,069
230010102002028,069
230010102002029,069
230010102002030,069
230010102002031,069
230010102003000,068
230010102003001,068
230010102003002,068
230010102003003,068
230010102003004,068
230010102003005,068
230010102003006,068
230010102003007,068
230010102003008,068
230010102003009,068
230010102003010,068
230010102003011,068
230010102003012,068
230010102003013,068
230010102003014,068
230010102003015,068
230010102003016,068
230010102003017,068
230010102003018,068
230010102003019,068
230010102003020,068
230010102003021,068
230010102003022,068
230010102003023,068
230010102003024,068
230010102003025,068
230010102003026,068
230010102003027,068
230010102003028,068
230010102003029,068
230010102003030,068
230010102003031,068
230010102003032,068
230010102003033,068
230010102003034,068
230010102003035,068
230010102003036,068
230010102003037,068
230010102003038,068
230010102003039,068
230010102003040,068
230010102003041,068
230010102003042,068
230010102003043,068
230010102003044,068
230010102003045,068
230010102003046,068
230010102003047,068
230010102003048,068
230010102003049,068
230010102003050,068
230010102003051,068
230010102003052,068
230010102003053,068
230010102003054,068
230010102003055,068
230010102003056,068
230010102003057,068
230010102003058,069
230010102003059,069
230010102003060,068
230010102003061,068
230010102003062,068
230010102003063,068
230010102003064,068
230010102003065,068
230010102003066,069
230010102003067,068
230010102003068,068
230010102003069,068
230010102003070,068
230010102003071,068
230010103001000,069
230010103001001,069
230010103001002,069
230010103001003,069
230010103001004,069
230010103001005,069
230010103001006,069
230010103001007,069
230010103001008,069
230010103001009,069
230010103001010,069
230010103001011,069
230010103001012,069
230010103001013,069
230010103001014,069
230010103001015,069
230010103001016,069
230010103001017,069
230010103001018,069
230010103001019,069
230010103002000,068
230010103002001,068
230010103002002,068
230010103002003,068
230010103002004,068
230010103002005,068
230010103002006,068
230010103002007,068
230010103002008,068
230010103002009,069
230010103002010,069
230010103002011,069
230010103002012,069
230010103002013,068
230010103002014,068
230010103002015,068
230010103002016,069
230010103002017,068
230010103002018,069
230010103002019,068
230010103002020,068
230010103002021,069
230010103002022,068
230010104001000,068
230010104001001,068
230010104001002,068
230010104001003,068
230010104001004,068
230010104001005,068
230010104001006,068
230010104001007,068
230010104001008,068
230010104001009,068
230010104001010,068
230010104001011,068
230010104001012,068
230010104001013,068
230010104001014,068
230010104001015,068
230010104001016,068
230010104001017,070
230010104001018,070
230010104001019,070
230010104001020,070
230010104001021,068
230010104001022,068
230010104001023,070
230010104001024,070
230010104001025,070
230010104002000,068
230010104002001,068
230010104002002,068
230010104002003,068
230010104002004,068
230010104002005,070
230010104002006,070
230010104002007,070
230010104002008,070
230010104002009,070
230010104002010,070
230010104002011,070
230010104002012,070
230010104002013,070
230010104002014,070
230010104002015,070
230010104002016,070
230010104002017,070
230010104002018,070
230010104002019,070
230010104002020,070
230010104002021,070
230010104002022,070
230010105001000,069
230010105001001,069
230010105001002,069
230010105001003,069
230010105001004,069
230010105001005,069
230010105001006,069
230010105001007,069
230010105001008,069
230010105001009,069
230010105001010,069
230010105001011,069
230010105001012,069
230010105001013,069
230010105001014,069
230010105001015,069
230010105001016,069
230010105001017,069
230010105001018,069
230010105001019,070
230010105001020,069
230010105001021,069
230010105001022,069
230010105001023,069
230010105001024,070
230010105001025,070
230010105001026,069
230010105001027,069
230010105002000,069
230010105002001,069
230010105002002,069
230010105002003,069
230010105002004,070
230010105002005,069
230010105002006,069
230010105002007,069
230010105002008,069
230010105002009,069
230010105002010,069
230010105002011,069
230010105002012,069
230010105002013,069
230010105002014,069
230010105002015,069
230010105002016,069
230010105002017,069
230010105002018,069
230010105002019,069
230010105002020,069
230010105002021,069
230010105002022,069
230010105002023,069
230010105002024,069
230010105002025,069
230010105002026,070
230010105002027,069
230010105002028,069
230010105002029,070
230010105002030,070
230010105002031,069
230010105002032,069
230010106001000,070
230010106001001,070
230010106001002,070
230010106001003,070
230010106001004,070
230010106001005,070
230010106001006,070
230010106001007,070
230010106001008,069
230010106001009,069
230010106001010,069
230010106001011,069
230010106001012,069
230010106001013,069
230010106001014,070
230010106001015,070
230010106001016,070
230010106002000,069
230010106002001,070
230010106002002,070
230010106002003,070
230010106002004,070
230010106002005,070
230010106002006,070
230010106002007,070
230010106002008,070
230010106002009,070
230010106002010,070
230010106002011,070
230010106002012,070
230010106002013,070
230010106002014,070
230010106002015,070
230010106002016,070
230010106002017,070
230010106002018,070
230010106002019,070
230010106002020,070
230010106002021,070
230010106002022,070
230010106002023,070
230010106002024,070
230010106002025,070
230010106002026,070
230010106002027,070
230010106002028,070
230010106002029,070
230010106002030,070
230010106002031,070
230010106002032,070
230010106002033,070
230010106002034,070
230010106002035,070
230010106002036,070
230010106002037,070
230010106002038,070
230010106002039,070
230010106002040,070
230010106002041,070
230010106002042,070
230010106002043,070
230010106002044,070
230010106002045,070
230010106002046,070
230010106002047,070
230010106002048,070
230010106002049,070
230010106002050,070
230010106002051,070
230010106002052,070
230010106002053,070
230010106002054,070
230010106002055,070
230010106002056,070
230010106002057,070
230010106002058,070
230010106002059,070
230010106002060,070
230010106002061,070
230010106002062,070
230010106002063,070
230010106002064,070
230010106002065,070
230010106002066,070
230010106002067,070
230010106002068,070
230010106002069,070
230010106002070,070
230010106002071,070
230010106002072,070
230010106002073,070
230010106002074,070
230010106002075,070
230010106002076,070
230010106002077,070
230010106002078,070
230010106002079,070
230010106002080,070
230010106002081,070
230010106002082,070
230010106002083,070
230010106002084,070
230010106002085,070
230010106002086,070
230010106002087,070
230010106002088,070
230010106002089,070
230010106002090,070
230010106002091,070
230010106002092,070
230010106002093,070
230010106002094,070
230010106002095,070
230010106002096,070
230010106002097,070
230010106002098,070
230010106002099,070
230010106002100,070
230010106002101,070
230010107001000,070
230010107001001,070
230010107001002,070
230010107001003,070
230010107001004,070
230010107001005,070
230010107001006,070
230010107001007,070
230010107001008,070
230010107001009,070
230010107001010,070
230010107001011,070
230010107001012,068
230010107001013,068
230010107001014,068
230010107001015,068
230010107001016,068
230010107001017,068
230010107001018,068
230010107001019,068
230010107001020,070
230010107001021,070
230010107001022,070
230010107001023,070
230010107001024,070
230010107001025,070
230010107001026,070
230010107001027,068
230010107002000,068
230010107002001,070
230010107002002,068
230010107002003,068
230010107002004,068
230010107002005,068
230010107002006,068
230010107002007,070
230010107002008,070
230010107002009,070
230010107002010,070
230010107002011,070
230010107002012,070
230010107002013,070
230010107002014,070
230010107002015,070
230010107002016,070
230010107002017,070
230010107002018,070
230010107002019,070
230010107002020,070
230010107002021,070
230010107002022,070
230010107002023,070
230010107002024,070
230010107002025,070
230010107002026,070
230010107002027,070
230010107002028,070
230010107002029,070
230010107002030,070
230010107002031,070
230010107002032,070
230010107002033,070
230010107002034,070
230010107002035,070
230010107002036,070
230010107002037,070
230010107002038,070
230010107002039,070
230010107002040,070
230010107002041,070
230010107002042,070
230010107002043,070
230010107002044,070
230010107002045,070
230010107002046,070
230010107002047,070
230010107002048,070
230010107002049,070
230010107002050,070
230010107002051,070
230010107002052,070
230010107002053,070
230010107002054,070
230010107002055,070
230010107002056,070
230010107002057,070
230010107002058,070
230010107002059,070
230010107002060,070
230010107002061,070
230010107002062,070
230010107002063,070
230010107002064,070
230010107002065,070
230010107002066,070
230010107002067,070
230010107002068,070
230010107002069,070
230010107002070,070
230010107002071,070
230010107002072,070
230010107002073,070
230010107002074,070
230010107002075,070
230010108001000,068
230010108001001,068
230010108001002,068
230010108001003,068
230010108001004,068
230010108001005,068
230010108001006,068
230010108001007,068
230010108001008,068
230010108001009,068
230010108001010,068
230010108001011,068
230010108001012,068
230010108001013,068
230010108001014,068
230010108001015,068
230010108001016,068
230010108001017,068
230010108001018,068
230010108001019,068
230010108001020,068
230010108001021,068
230010108001022,068
230010108002000,068
230010108002001,068
230010108002002,068
230010108002003,068
230010108002004,068
230010108002005,068
230010108002006,068
230010108002007,068
230010108002008,068
230010108002009,068
230010108002010,068
230010108002011,068
230010108002012,068
230010108002013,068
230010108002014,068
230010108002015,068
230010108002016,068
230010108002017,068
230010108002018,068
230010108002019,068
230010108002020,068
230010108002021,068
230010108002022,068
230010108002023,068
230010108002024,068
230010108002025,068
230010108002026,068
230010108002027,068
230010108002028,068
230010108002029,068
230010108002030,068
230010108002031,068
230010108002032,068
230010108002033,068
230010108002034,068
230010108002035,068
230010108002036,068
230010108002037,068
230010108002038,068
230010108002039,068
230010108002040,068
230010108002041,068
230010108002042,068
230010108002043,068
230010108002044,068
230010108002045,068
230010108002046,068
230010108002047,068
230010201001000,073
230010201001001,073
230010201001002,073
230010201001003,073
230010201001004,073
230010201001005,073
230010201001006,073
230010201001007,073
230010201001008,073
230010201001009,073
230010201001010,073
230010201001011,072
230010201001012,072
230010201001013,073
230010201001014,073
230010201001015,073
230010201001016,073
230010201001017,073
230010201001018,073
230010201001019,072
230010201001020,072
230010201001021,072
230010201001022,073
230010201001023,072
230010201001024,072
230010201001025,072
230010201001026,072
230010201001027,072
230010201001028,072
230010201001029,072
230010201001030,072
230010201001031,072
230010201001032,072
230010201001033,072
230010201001034,073
230010201001035,073
230010201001036,073
230010201001037,072
230010201001038,073
230010201001039,073
230010201001040,073
230010201001041,073
230010201001042,073
230010201001043,073
230010201001044,073
230010201001045,073
230010201001046,073
230010201001047,072
230010201001048,072
230010201001049,072
230010201001050,073
230010201001051,073
230010201001052,073
230010201001053,073
230010201001054,072
230010201001055,073
230010201001056,073
230010201001057,073
230010201001058,073
230010201001059,073
230010201001060,072
230010201001061,072
230010201001062,072
230010201001063,072
230010201001064,072
230010201001065,073
230010201001066,072
230010201001067,073
230010202001000,073
230010202001001,073
230010202001002,073
230010202001003,073
230010202001004,073
230010202001005,073
230010202001006,073
230010202001007,073
230010202001008,073
230010202001009,073
230010202001010,073
230010202001011,073
230010202001012,073
230010202001013,073
230010202001014,073
230010202001015,073
230010202001016,073
230010202002000,073
230010202002001,073
230010202002002,073
230010202002003,073
230010202002004,073
230010202002005,073
230010202002006,073
230010202002007,073
230010202002008,073
230010202002009,073
230010202002010,073
230010202002011,073
230010202002012,073
230010202002013,073
230010202002014,073
230010202002015,073
230010202002016,073
230010202002017,073
230010203001000,074
230010203001001,074
230010203001002,074
230010203001003,073
230010203001004,073
230010203001005,073
230010203001006,073
230010203001007,073
230010203001008,073
230010203001009,073
230010203001010,073
230010203001011,073
230010203001012,073
230010203001013,073
230010203001014,073
230010203001015,073
230010203001016,073
230010203001017,073
230010203001018,073
230010203001019,073
230010203001020,073
230010203001021,073
230010203001022,073
230010203001023,073
230010203002000,073
230010203002001,073
230010203002002,073
230010203002003,073
230010203002004,073
230010203002005,073
230010203002006,073
230010203002007,073
230010203002008,073
230010203002009,073
230010203002010,073
230010203002011,073
230010203002012,073
230010203002013,073
230010203002014,072
230010203002015,072
230010203002016,072
230010203002017,073
230010203002018,073
230010203002019,073
230010203002020,073
230010203002021,072
230010203002022,072
230010203002023,072
230010203002024,073
230010203003000,072
230010203003001,072
230010203003002,072
230010203003003,073
230010203003004,073
230010203003005,072
230010203003006,073
230010203003007,072
230010203003008,072
230010203003009,072
230010203003010,072
230010203003011,072
230010203003012,072
230010203003013,072
230010203003014,072
230010203003015,072
230010203004000,072
230010203004001,072
230010203004002,072
230010203004003,072
230010203004004,072
230010203004005,072
230010203004006,072
230010203004007,072
230010203004008,072
230010203004009,072
230010203004010,072
230010203004011,072
230010204001000,072
230010204001001,072
230010204001002,072
230010204001003,072
230010204001004,072
230010204001005,072
230010204001006,072
230010204001007,072
230010204001008,072
230010204001009,072
230010204001010,072
230010204001011,072
230010204001012,072
230010204001013,072
230010204001014,072
230010204001015,072
230010204002000,072
230010204002001,072
230010204002002,072
230010204002003,072
230010204002004,072
230010204002005,072
230010204002006,072
230010204002007,072
230010204002008,072
230010204002009,072
230010204002010,072
230010204002011,072
230010204002012,072
230010204002013,072
230010204002014,072
230010204002015,072
230010204002016,072
230010204002017,072
230010204002018,072
230010204002019,072
230010204002020,072
230010204002021,072
230010204002022,072
230010204003000,072
230010204003001,072
230010204003002,072
230010204003003,072
230010204003004,072
230010204003005,072
230010204003006,072
230010204003007,072
230010205001000,073
230010205001001,073
230010205001002,073
230010205001003,073
230010205001004,073
230010205001005,073
230010205001006,073
230010205001007,073
230010205001008,072
230010205001009,072
230010205001010,072
230010205001011,072
230010205001012,072
230010205001013,072
230010205001014,072
230010205001015,072
230010205001016,072
230010205001017,072
230010205001018,072
230010205001019,072
230010205001020,072
230010205001021,072
230010205002000,072
230010205002001,071
230010205002002,071
230010205002003,071
230010205002004,071
230010205002005,071
230010205002006,071
230010205002007,071
230010205002008,071
230010205002009,071
230010205002010,072
230010205002011,072
230010205002012,072
230010205002013,072
230010205002014,072
230010205002015,072
230010205002016,072
230010205002017,072
230010205002018,072
230010205002019,072
230010205002020,072
230010205002021,072
230010205002022,072
230010205003000,072
230010205003001,072
230010205003002,072
230010205003003,072
230010205003004,072
230010205003005,072
230010205003006,070
230010205003007,070
230010205003008,070
230010205003009,070
230010205003010,070
230010205003011,072
230010205003012,072
230010205003013,072
230010205003014,072
230010205003015,070
230010205003016,070
230010205003017,070
230010205003018,070
230010205003019,070
230010205003020,070
230010205003021,070
230010205003022,070
230010205003023,072
230010205003024,070
230010205003025,070
230010205003026,070
230010205003027,070
230010205003028,070
230010205003029,070
230010205003030,070
230010205003031,070
230010205003032,070
230010206001000,071
230010206001001,071
230010206001002,071
230010206001003,071
230010206001004,071
230010206001005,071
230010206001006,071
230010206001007,071
230010206001008,071
230010206001009,071
230010206001010,071
230010206001011,071
230010206001012,071
