BLOCKID,DISTRICT
230010101001000,015
230010101001001,015
230010101001002,015
230010101001003,015
230010101001004,015
230010101001005,015
230010101001006,015
230010101001007,015
230010101001008,015
230010101001009,015
230010101001010,015
230010101001011,015
230010101001012,015
230010101001013,015
230010101001014,015
230010101001015,015
230010101001016,015
230010101001017,015
230010101001018,015
230010101001019,015
230010101002000,015
230010101002001,015
230010101002002,015
230010101002003,015
230010101002004,015
230010101002005,015
230010101002006,015
230010101002007,015
230010101002008,015
230010101002009,015
230010101002010,015
230010101002011,015
230010101002012,015
230010101002013,015
230010101002014,015
230010101002015,015
230010101002016,015
230010101002017,015
230010101002018,015
230010101002019,015
230010101002020,015
230010101002021,015
230010101002022,015
230010101002023,015
230010101002024,015
230010101002025,015
230010101002026,015
230010101002027,015
230010101002028,015
230010102001000,015
230010102001001,015
230010102001002,015
230010102001003,015
230010102001004,015
230010102001005,015
230010102001006,015
230010102001007,015
230010102001008,015
230010102001009,015
230010102001010,015
230010102001011,015
230010102001012,015
230010102001013,015
230010102001014,015
230010102001015,015
230010102001016,015
230010102001017,015
230010102001018,015
230010102001019,015
230010102001020,015
230010102002000,015
230010102002001,015
230010102002002,015
230010102002003,015
230010102002004,015
230010102002005,015
230010102002006,015
230010102002007,015
230010102002008,015
230010102002009,015
230010102002010,015
230010102002011,015
230010102002012,015
230010102002013,015
230010102002014,015
230010102002015,015
230010102002016,015
230010102002017,015
230010102002018,015
230010102002019,015
230010102002020,015
230010102002021,015
230010102002022,015
230010102002023,015
230010102002024,015
230010102002025,015
230010102002026,015
230010102002027,015
230010102002028,015
230010102002029,015
230010102002030,015
230010102002031,015
230010102003000,015
230010102003001,015
230010102003002,015
230010102003003,015
230010102003004,015
230010102003005,015
230010102003006,015
230010102003007,015
230010102003008,015
230010102003009,015
230010102003010,015
230010102003011,015
230010102003012,015
230010102003013,015
230010102003014,015
230010102003015,015
230010102003016,015
230010102003017,015
230010102003018,015
230010102003019,015
230010102003020,015
230010102003021,015
230010102003022,015
230010102003023,015
230010102003024,015
230010102003025,015
230010102003026,015
230010102003027,015
230010102003028,015
230010102003029,015
230010102003030,015
230010102003031,015
230010102003032,015
230010102003033,015
230010102003034,015
230010102003035,015
230010102003036,015
230010102003037,015
230010102003038,015
230010102003039,015
230010102003040,015
230010102003041,015
230010102003042,015
230010102003043,015
230010102003044,015
230010102003045,015
230010102003046,015
230010102003047,015
230010102003048,015
230010102003049,015
230010102003050,015
230010102003051,015
230010102003052,015
230010102003053,015
230010102003054,015
230010102003055,015
230010102003056,015
230010102003057,015
230010102003058,015
230010102003059,015
230010102003060,015
230010102003061,015
230010102003062,015
230010102003063,015
230010102003064,015
230010102003065,015
230010102003066,015
230010102003067,015
230010102003068,015
230010102003069,015
230010102003070,015
230010102003071,015
230010103001000,015
230010103001001,015
230010103001002,015
230010103001003,015
230010103001004,015
230010103001005,015
230010103001006,015
230010103001007,015
230010103001008,015
230010103001009,015
230010103001010,015
230010103001011,015
230010103001012,015
230010103001013,015
230010103001014,015
230010103001015,015
230010103001016,015
230010103001017,015
230010103001018,015
230010103001019,015
230010103002000,015
230010103002001,015
230010103002002,015
230010103002003,015
230010103002004,015
230010103002005,015
230010103002006,015
230010103002007,015
230010103002008,015
230010103002009,015
230010103002010,015
230010103002011,015
230010103002012,015
230010103002013,015
230010103002014,015
230010103002015,015
230010103002016,015
230010103002017,015
230010103002018,015
230010103002019,015
230010103002020,015
230010103002021,015
230010103002022,015
230010104001000,015
230010104001001,015
230010104001002,015
230010104001003,015
230010104001004,015
230010104001005,015
230010104001006,015
230010104001007,015
230010104001008,015
230010104001009,015
230010104001010,015
230010104001011,015
230010104001012,015
230010104001013,015
230010104001014,015
230010104001015,015
230010104001016,015
230010104001017,015
230010104001018,015
230010104001019,015
230010104001020,015
230010104001021,015
230010104001022,015
230010104001023,015
230010104001024,015
230010104001025,015
230010104002000,015
230010104002001,015
230010104002002,015
230010104002003,015
230010104002004,015
230010104002005,015
230010104002006,015
230010104002007,015
230010104002008,015
230010104002009,015
230010104002010,015
230010104002011,015
230010104002012,015
230010104002013,015
230010104002014,015
230010104002015,015
230010104002016,015
230010104002017,015
230010104002018,015
230010104002019,015
230010104002020,015
230010104002021,015
230010104002022,015
230010105001000,015
230010105001001,015
230010105001002,015
230010105001003,015
230010105001004,015
230010105001005,015
230010105001006,015
230010105001007,015
230010105001008,015
230010105001009,015
230010105001010,015
230010105001011,015
230010105001012,015
230010105001013,015
230010105001014,015
230010105001015,015
230010105001016,015
230010105001017,015
230010105001018,015
230010105001019,015
230010105001020,015
230010105001021,015
230010105001022,015
230010105001023,015
230010105001024,015
230010105001025,015
230010105001026,015
230010105001027,015
230010105002000,015
230010105002001,015
230010105002002,015
230010105002003,015
230010105002004,015
230010105002005,015
230010105002006,015
230010105002007,015
230010105002008,015
230010105002009,015
230010105002010,015
230010105002011,015
230010105002012,015
230010105002013,015
230010105002014,015
230010105002015,015
230010105002016,015
230010105002017,015
230010105002018,015
230010105002019,015
230010105002020,015
230010105002021,015
230010105002022,015
230010105002023,015
230010105002024,015
230010105002025,015
230010105002026,015
230010105002027,015
230010105002028,015
230010105002029,015
230010105002030,015
230010105002031,015
230010105002032,015
230010106001000,015
230010106001001,015
230010106001002,015
230010106001003,015
230010106001004,015
230010106001005,015
230010106001006,015
230010106001007,015
230010106001008,015
230010106001009,015
230010106001010,015
230010106001011,015
230010106001012,015
230010106001013,015
230010106001014,015
230010106001015,015
230010106001016,015
230010106002000,015
230010106002001,015
230010106002002,015
230010106002003,015
230010106002004,015
230010106002005,015
230010106002006,015
230010106002007,015
230010106002008,015
230010106002009,015
230010106002010,015
230010106002011,015
230010106002012,015
230010106002013,015
230010106002014,015
230010106002015,015
230010106002016,015
230010106002017,015
230010106002018,015
230010106002019,015
230010106002020,015
230010106002021,015
230010106002022,015
230010106002023,015
230010106002024,015
230010106002025,015
230010106002026,015
230010106002027,015
230010106002028,015
230010106002029,015
230010106002030,015
230010106002031,015
230010106002032,015
230010106002033,015
230010106002034,015
230010106002035,015
230010106002036,015
230010106002037,015
230010106002038,015
230010106002039,015
230010106002040,015
230010106002041,015
230010106002042,015
230010106002043,015
230010106002044,015
230010106002045,015
230010106002046,015
230010106002047,015
230010106002048,015
230010106002049,015
230010106002050,015
230010106002051,015
230010106002052,015
230010106002053,015
230010106002054,015
230010106002055,015
230010106002056,015
230010106002057,015
230010106002058,015
230010106002059,015
230010106002060,015
230010106002061,015
230010106002062,015
230010106002063,015
230010106002064,015
230010106002065,015
230010106002066,015
230010106002067,015
230010106002068,015
230010106002069,015
230010106002070,015
230010106002071,015
230010106002072,015
230010106002073,015
230010106002074,015
230010106002075,015
230010106002076,015
230010106002077,015
230010106002078,015
230010106002079,015
230010106002080,015
230010106002081,015
230010106002082,015
230010106002083,015
230010106002084,015
230010106002085,015
230010106002086,015
230010106002087,015
230010106002088,015
230010106002089,015
230010106002090,015
230010106002091,015
230010106002092,015
230010106002093,015
230010106002094,015
230010106002095,015
230010106002096,015
230010106002097,015
230010106002098,015
230010106002099,015
230010106002100,015
230010106002101,015
230010107001000,015
230010107001001,015
230010107001002,015
230010107001003,015
230010107001004,015
230010107001005,015
230010107001006,015
230010107001007,015
230010107001008,015
230010107001009,015
230010107001010,015
230010107001011,015
230010107001012,015
230010107001013,015
230010107001014,015
230010107001015,015
230010107001016,015
230010107001017,015
230010107001018,015
