BLOCKID,COUNTYFP,DISTRICT
230010101001000,001,150692
230010101001001,001,150692
230010101001002,001,150692
230010101001003,001,150692
230010101001004,001,150692
230010101001005,001,150692
230010101001006,001,150692
230010101001007,001,150692
230010101001008,001,150692
230010101001009,001,150692
230010101001010,001,150692
230010101001011,001,150692
230010101001012,001,150692
230010101001013,001,150692
230010101001014,001,150692
230010101001015,001,150692
230010101001016,001,150692
230010101001017,001,150692
230010101001018,001,150692
230010101001019,001,150692
230010101002000,001,150692
230010101002001,001,150692
230010101002002,001,150692
230010101002003,001,150692
230010101002004,001,150692
230010101002005,001,150692
230010101002006,001,150692
230010101002007,001,150692
230010101002008,001,150692
230010101002009,001,150692
230010101002010,001,150692
230010101002011,001,150692
230010101002012,001,150682
230010101002013,001,150692
230010101002014,001,150692
230010101002015,001,150692
230010101002016,001,150692
230010101002017,001,150692
230010101002018,001,150692
230010101002019,001,150692
230010101002020,001,150702
230010101002021,001,150702
230010101002022,001,150702
230010101002023,001,150702
230010101002024,001,150702
230010101002025,001,150702
230010101002026,001,150692
230010101002027,001,150682
230010101002028,001,150682
230010102001000,001,150692
230010102001001,001,150692
230010102001002,001,150692
230010102001003,001,150692
230010102001004,001,150692
230010102001005,001,150692
230010102001006,001,150692
230010102001007,001,150692
230010102001008,001,150692
230010102001009,001,150692
230010102001010,001,150692
230010102001011,001,150692
230010102001012,001,150692
230010102001013,001,150692
230010102001014,001,150692
230010102001015,001,150692
230010102001016,001,150692
230010102001017,001,150692
230010102001018,001,150692
230010102001019,001,150692
230010102001020,001,150692
230010102002000,001,150682
230010102002001,001,150682
230010102002002,001,150682
230010102002003,001,150682
230010102002004,001,150682
230010102002005,001,150682
230010102002006,001,150682
230010102002007,001,150682
230010102002008,001,150682
230010102002009,001,150682
230010102002010,001,150682
230010102002011,001,150682
230010102002012,001,150692
230010102002013,001,150692
230010102002014,001,150692
230010102002015,001,150692
230010102002016,001,150692
230010102002017,001,150692
230010102002018,001,150692
230010102002019,001,150692
230010102002020,001,150692
230010102002021,001,150692
230010102002022,001,150692
230010102002023,001,150692
230010102002024,001,150692
230010102002025,001,150692
230010102002026,001,150692
230010102002027,001,150692
230010102002028,001,150692
230010102002029,001,150692
230010102002030,001,150692
230010102002031,001,150692
230010102003000,001,150682
230010102003001,001,150682
230010102003002,001,150682
230010102003003,001,150682
230010102003004,001,150682
