BLOCKID,PLACEFP
240010001001000,
240010001001001,
240010001001002,
240010001001003,
240010001001004,
240010001001005,
240010001001006,
240010001001007,
240010001001008,
240010001001009,
240010001001010,
240010001001011,
240010001001012,
240010001001013,
240010001001014,
240010001001015,
240010001001016,
240010001001017,
240010001001018,
240010001001019,
240010001001020,
240010001001021,
240010001001022,
240010001001023,
240010001001024,
240010001001025,
240010001001026,
240010001001027,
240010001001028,
240010001001029,
240010001001030,
240010001001031,
240010001001032,
240010001001033,
240010001001034,
240010001001035,
240010001001036,
240010001001037,
240010001001038,
240010001001039,
240010001001040,
240010001001041,
240010001001042,
240010001001043,
240010001001044,
240010001001045,
240010001001046,
240010001001047,
240010001001048,
240010001001049,
240010001001050,
240010001001051,
240010001001052,
240010001001053,
240010001001054,
240010001001055,
240010001001056,
240010001001057,
240010001001058,
240010001001059,
240010001001060,
240010001001061,
240010001001062,
240010001001063,
240010001001064,
240010001001065,
240010001001066,
240010001001067,
240010001001068,
240010001001069,
240010001001070,
240010001001071,
240010001001072,
240010001001073,
240010001001074,
240010001001075,
240010001001076,
240010001001077,
240010001001078,
240010001001079,
240010001001080,
240010001001081,
240010001001082,
240010001001083,
240010001001084,
240010001001085,
240010001001086,
240010001001087,
240010001001088,
240010001001089,
240010001001090,
240010001001091,
240010001001092,
240010001001093,
240010001001094,
240010001001095,
240010001001096,
240010001001097,
240010001001098,
240010001001099,
240010001001100,
240010001001101,
240010001001102,
240010001001103,
240010001001104,
240010001001105,
240010001001106,
240010001001107,
240010001001108,
240010001001109,
240010001001110,47275
240010001001111,47275
240010001001112,47275
240010001001113,47275
240010001001114,
240010001001115,47275
240010001001116,47275
240010001001117,47275
240010001001118,47275
240010001001119,
240010001001120,47275
240010001001121,
240010001001122,
240010001001123,
240010001001124,47275
240010001001125,47275
240010001001126,47275
240010001001127,
240010001001128,
240010001001129,
240010001001130,
240010001001131,
240010001001132,47275
240010001001133,47275
240010001001134,
240010001001135,
240010001001136,47275
240010001001137,
240010001001138,
240010001001139,
240010001001140,
240010001001141,
240010001001142,
240010001001143,
240010001001144,
240010001001145,
240010001001146,
240010001001147,
240010001001148,
240010001001149,
240010001001150,
240010001001151,
240010001001152,
240010001001153,
240010001001154,
240010001001155,
240010001001156,
240010001001157,
240010001001158,
240010001001159,47275
240010001001160,
240010001001161,
240010001001162,
240010001001163,
240010001001164,
240010001001165,
240010001001166,
240010001001167,47275
240010001001168,47275
240010001001169,
240010001002000,
240010001002001,
240010001002002,
240010001002003,
240010001002004,
240010001002005,
240010001002006,
240010001002007,
240010001002008,
240010001002009,
240010001002010,
240010001002011,
240010001002012,
240010001002013,
240010001002014,
240010001002015,
240010001002016,
240010001002017,
240010001002018,
240010001002019,
240010001002020,
240010001002021,
240010001002022,
240010001002023,
240010001002024,
240010001002025,
240010001002026,
240010001002027,
240010001002028,
240010001002029,
240010001002030,
240010001002031,
240010001002032,
240010001002033,
240010001002034,
240010001002035,
240010001002036,
240010001002037,
240010001002038,
240010001002039,
240010001002040,
240010001002041,
240010001002042,
240010001002043,
240010001002044,
240010001002045,
240010001002046,
240010001002047,
240010001002048,
240010001002049,
240010001002050,
240010001002051,
240010001002052,
240010001002053,
240010001002054,
240010001002055,
240010001002056,
240010001002057,28425
240010001002058,28425
240010001002059,28425
240010001002060,
240010001002061,
240010001002062,
240010001002063,
