BLOCKID,DISTRICT
240010001001000,00030
240010001001001,00030
240010001001002,00030
240010001001003,00030
240010001001004,00030
240010001001005,00030
240010001001006,00030
240010001001007,00030
240010001001008,00030
240010001001009,00030
240010001001010,00030
240010001001011,00030
240010001001012,00030
240010001001013,00030
240010001001014,00030
240010001001015,00030
240010001001016,00030
240010001001017,00030
240010001001018,00030
240010001001019,00030
240010001001020,00030
240010001001021,00030
240010001001022,00030
240010001001023,00030
240010001001024,00030
240010001001025,00030
240010001001026,00030
240010001001027,00030
240010001001028,00030
240010001001029,00030
240010001001030,00030
240010001001031,00030
240010001001032,00030
240010001001033,00030
240010001001034,00030
240010001001035,00030
240010001001036,00030
240010001001037,00030
240010001001038,00030
240010001001039,00030
240010001001040,00030
240010001001041,00030
240010001001042,00030
240010001001043,00030
240010001001044,00030
240010001001045,00030
240010001001046,00030
240010001001047,00030
240010001001048,00030
240010001001049,00030
240010001001050,00030
240010001001051,00030
240010001001052,00030
240010001001053,00030
240010001001054,00030
240010001001055,00030
240010001001056,00030
240010001001057,00030
240010001001058,00030
240010001001059,00030
240010001001060,00030
240010001001061,00030
240010001001062,00030
240010001001063,00030
240010001001064,00030
240010001001065,00030
240010001001066,00030
240010001001067,00030
240010001001068,00030
240010001001069,00030
240010001001070,00030
240010001001071,00030
240010001001072,00030
240010001001073,00030
240010001001074,00030
240010001001075,00030
240010001001076,00030
240010001001077,00030
240010001001078,00030
240010001001079,00030
240010001001080,00030
240010001001081,00030
240010001001082,00030
240010001001083,00030
240010001001084,00030
240010001001085,00030
240010001001086,00030
240010001001087,00030
240010001001088,00030
240010001001089,00030
240010001001090,00030
240010001001091,00030
240010001001092,00030
240010001001093,00030
240010001001094,00030
240010001001095,00030
240010001001096,00030
240010001001097,00030
240010001001098,00030
240010001001099,00030
240010001001100,00030
240010001001101,00030
240010001001102,00030
240010001001103,00030
240010001001104,00030
240010001001105,00030
240010001001106,00030
240010001001107,00030
240010001001108,00030
240010001001109,00030
240010001001110,00030
240010001001111,00030
240010001001112,00030
240010001001113,00030
240010001001114,00030
240010001001115,00030
240010001001116,00030
240010001001117,00030
240010001001118,00030
240010001001119,00030
240010001001120,00030
240010001001121,00030
240010001001122,00030
240010001001123,00030
240010001001124,00030
240010001001125,00030
240010001001126,00030
240010001001127,00030
240010001001128,00030
240010001001129,00030
240010001001130,00030
240010001001131,00030
240010001001132,00030
240010001001133,00030
240010001001134,00030
240010001001135,00030
240010001001136,00030
240010001001137,00030
240010001001138,00030
240010001001139,00030
240010001001140,00030
240010001001141,00030
240010001001142,00030
240010001001143,00030
240010001001144,00030
240010001001145,00030
240010001001146,00030
240010001001147,00030
240010001001148,00030
240010001001149,00030
240010001001150,00030
240010001001151,00030
240010001001152,00030
240010001001153,00030
240010001001154,00030
240010001001155,00030
240010001001156,00030
240010001001157,00030
240010001001158,00030
240010001001159,00030
240010001001160,00030
240010001001161,00030
240010001001162,00030
240010001001163,00030
240010001001164,00030
240010001001165,00030
240010001001166,00030
240010001001167,00030
240010001001168,00030
240010001001169,00030
240010001002000,00030
240010001002001,00030
240010001002002,00030
240010001002003,00030
240010001002004,00030
240010001002005,00030
240010001002006,00030
240010001002007,00030
240010001002008,00030
240010001002009,00030
240010001002010,00030
240010001002011,00030
240010001002012,00030
240010001002013,00030
240010001002014,00030
240010001002015,00030
240010001002016,00030
240010001002017,00030
240010001002018,00030
240010001002019,00030
240010001002020,00030
240010001002021,00030
240010001002022,00030
240010001002023,00030
240010001002024,00030
240010001002025,00030
240010001002026,00030
240010001002027,00030
240010001002028,00030
240010001002029,00030
240010001002030,00030
240010001002031,00030
240010001002032,00030
240010001002033,00030
240010001002034,00030
240010001002035,00030
240010001002036,00030
240010001002037,00030
240010001002038,00030
240010001002039,00030
240010001002040,00030
240010001002041,00030
240010001002042,00030
240010001002043,00030
240010001002044,00030
240010001002045,00030
240010001002046,00030
240010001002047,00030
240010001002048,00030
240010001002049,00030
240010001002050,00030
240010001002051,00030
240010001002052,00030
240010001002053,00030
240010001002054,00030
240010001002055,00030
240010001002056,00030
240010001002057,00030
240010001002058,00030
240010001002059,00030
240010001002060,00030
240010001002061,00030
240010001002062,00030
240010001002063,00030
240010001002064,00030
240010001002065,00030
240010001002066,00030
240010001002067,00030
240010001002068,00030
240010001002069,00030
240010001002070,00030
240010001002071,00030
240010001002072,00030
240010001002073,00030
240010001002074,00030
240010001002075,00030
240010001002076,00030
240010001002077,00030
240010001002078,00030
