BLOCKID,DISTRICT
240010001001000,01C
240010001001001,01C
240010001001002,01C
240010001001003,01C
240010001001004,01C
240010001001005,01C
240010001001006,01C
240010001001007,01C
240010001001008,01C
240010001001009,01C
240010001001010,01C
240010001001011,01C
240010001001012,01C
240010001001013,01C
240010001001014,01C
240010001001015,01C
240010001001016,01C
240010001001017,01C
240010001001018,01C
240010001001019,01C
240010001001020,01C
240010001001021,01C
240010001001022,01C
240010001001023,01C
240010001001024,01C
240010001001025,01C
240010001001026,01C
240010001001027,01C
240010001001028,01C
240010001001029,01C
240010001001030,01C
240010001001031,01C
240010001001032,01C
240010001001033,01C
240010001001034,01C
240010001001035,01C
240010001001036,01C
240010001001037,01C
240010001001038,01C
240010001001039,01C
240010001001040,01C
240010001001041,01C
240010001001042,01C
240010001001043,01C
240010001001044,01C
240010001001045,01C
240010001001046,01C
240010001001047,01C
240010001001048,01C
240010001001049,01C
240010001001050,01C
240010001001051,01C
240010001001052,01C
240010001001053,01C
240010001001054,01C
240010001001055,01C
240010001001056,01C
240010001001057,01C
240010001001058,01C
240010001001059,01C
240010001001060,01C
240010001001061,01C
240010001001062,01C
240010001001063,01C
240010001001064,01C
240010001001065,01C
240010001001066,01C
240010001001067,01C
240010001001068,01C
240010001001069,01C
240010001001070,01C
240010001001071,01C
240010001001072,01C
240010001001073,01C
240010001001074,01C
240010001001075,01C
240010001001076,01C
240010001001077,01C
240010001001078,01C
240010001001079,01C
240010001001080,01C
240010001001081,01C
240010001001082,01C
240010001001083,01C
240010001001084,01C
240010001001085,01C
240010001001086,01C
240010001001087,01C
240010001001088,01C
240010001001089,01C
240010001001090,01C
240010001001091,01C
240010001001092,01C
240010001001093,01C
240010001001094,01C
240010001001095,01C
240010001001096,01C
240010001001097,01C
240010001001098,01C
240010001001099,01C
240010001001100,01C
240010001001101,01C
240010001001102,01C
240010001001103,01C
240010001001104,01C
240010001001105,01C
240010001001106,01C
240010001001107,01C
240010001001108,01C
240010001001109,01C
240010001001110,01C
240010001001111,01C
240010001001112,01C
240010001001113,01C
240010001001114,01C
240010001001115,01C
240010001001116,01C
240010001001117,01C
240010001001118,01C
240010001001119,01C
240010001001120,01C
240010001001121,01C
240010001001122,01C
240010001001123,01C
240010001001124,01C
240010001001125,01C
240010001001126,01C
240010001001127,01C
240010001001128,01C
240010001001129,01C
240010001001130,01C
240010001001131,01C
240010001001132,01C
240010001001133,01C
240010001001134,01C
240010001001135,01C
240010001001136,01C
240010001001137,01C
240010001001138,01C
240010001001139,01C
240010001001140,01C
240010001001141,01C
240010001001142,01C
240010001001143,01C
240010001001144,01C
240010001001145,01C
240010001001146,01C
240010001001147,01C
240010001001148,01C
240010001001149,01C
240010001001150,01C
240010001001151,01C
240010001001152,01C
240010001001153,01C
240010001001154,01C
240010001001155,01C
240010001001156,01C
240010001001157,01C
240010001001158,01C
240010001001159,01C
240010001001160,01C
240010001001161,01C
240010001001162,01C
240010001001163,01C
240010001001164,01C
240010001001165,01C
240010001001166,01C
240010001001167,01C
240010001001168,01C
240010001001169,01C
240010001002000,01C
240010001002001,01C
240010001002002,01C
240010001002003,01C
240010001002004,01C
240010001002005,01C
240010001002006,01C
240010001002007,01C
240010001002008,01C
240010001002009,01C
240010001002010,01C
240010001002011,01C
240010001002012,01C
240010001002013,01C
240010001002014,01C
240010001002015,01C
240010001002016,01C
240010001002017,01C
240010001002018,01C
240010001002019,01C
240010001002020,01C
240010001002021,01C
240010001002022,01C
240010001002023,01C
240010001002024,01C
240010001002025,01C
240010001002026,01C
240010001002027,01C
240010001002028,01C
240010001002029,01C
240010001002030,01C
240010001002031,01C
240010001002032,01C
240010001002033,01C
240010001002034,01C
240010001002035,01C
240010001002036,01C
240010001002037,01C
240010001002038,01C
240010001002039,01C
240010001002040,01C
240010001002041,01C
240010001002042,01C
240010001002043,01C
240010001002044,01C
240010001002045,01C
240010001002046,01C
240010001002047,01C
240010001002048,01C
240010001002049,01C
240010001002050,01C
240010001002051,01C
240010001002052,01C
240010001002053,01C
240010001002054,01C
240010001002055,01C
240010001002056,01C
240010001002057,01C
240010001002058,01C
240010001002059,01B
240010001002060,01C
240010001002061,01C
240010001002062,01C
240010001002063,01C
240010001002064,01C
240010001002065,01C
240010001002066,01C
240010001002067,01C
240010001002068,01B
240010001002069,01B
240010001002070,01B
240010001002071,01B
240010001002072,01C
240010001002073,01C
240010001002074,01C
240010001002075,01C
240010001002076,01C
240010001002077,01C
240010001002078,01C
240010001002079,01C
240010001002080,01C
240010001002081,01C
240010001002082,01C
240010001002083,01C
240010001002084,01C
240010001002085,01C
240010001002086,01C
240010001002087,01C
240010001002088,01B
240010001002089,01B
240010001002090,01B
240010001002091,01B
240010001002092,01B
240010001002093,01B
240010001002094,01B
240010001002095,01B
240010001002096,01B
240010001002097,01B
240010001002098,01B
240010001002099,01B
240010001002100,01B
240010001002101,01B
240010001002102,01B
240010001002103,01B
240010001002104,01B
240010001002105,01B
240010001002106,01B
240010001002107,01B
240010001002108,01B
240010001002109,01B
240010001002110,01B
240010001002111,01B
240010001002112,01B
240010001002113,01B
240010001002114,01B
240010001002115,01B
240010001002116,01B
240010001002117,01B
240010001002118,01B
240010001002119,01B
240010001002120,01B
240010001002121,01B
240010001002122,01B
240010001002123,01B
240010001002124,01B
240010001002125,01B
240010001002126,01B
240010001002127,01B
240010001002128,01B
240010001002129,01C
240010001002130,01B
240010001002131,01B
240010001002132,01B
240010001002133,01B
240010001002134,01B
240010001002135,01B
240010001002136,01B
240010001002137,01B
240010001002138,01B
240010001002139,01B
240010001002140,01B
240010001002141,01B
240010001002142,01B
240010001002143,01B
240010001002144,01B
240010001002145,01C
240010001002146,01C
240010001002147,01C
240010001002148,01C
240010001002149,01C
240010001002150,01C
240010001002151,01C
240010001002152,01C
240010001002153,01C
240010001002154,01C
240010001002155,01C
240010001002156,01C
240010001002157,01C
240010001002158,01C
240010001002159,01C
240010001002160,01C
240010001002161,01C
240010001002162,01C
240010001002163,01C
240010001002164,01C
240010001002165,01C
240010001002166,01C
240010001002167,01C
240010001002168,01C
240010001002169,01C
240010001002170,01C
240010001002171,01C
240010001002172,01C
240010001002173,01C
240010001002174,01C
240010001002175,01C
240010001002176,01C
240010001002177,01C
240010001002178,01C
240010001002179,01C
240010001002180,01C
240010001002181,01C
240010001002182,01C
240010001002183,01C
240010001002184,01C
240010001002185,01C
240010001002186,01C
240010001002187,01C
240010001002188,01C
240010001002189,01C
240010001002190,01C
240010001002191,01C
240010001002192,01C
240010001002193,01C
240010001002194,01C
240010001002195,01C
240010001002196,01C
240010001002197,01C
240010001002198,01C
240010001002199,01C
240010001002200,01C
240010001002201,01C
240010001002202,01C
240010001002203,01C
240010001002204,01C
240010001002205,01C
240010001002206,01C
240010001002207,01C
240010001002208,01C
240010001002209,01C
240010001002210,01C
240010001002211,01C
240010001002212,01C
240010001002213,01C
240010001002214,01C
240010001002215,01C
240010001002216,01C
240010001002217,01C
240010001002218,01C
240010001002219,01B
240010001002220,01C
240010001002221,01B
240010001002222,01B
240010001002223,01B
240010001002224,01B
240010001002225,01C
240010001002226,01B
240010001002227,01B
240010001002228,01C
240010001002229,01C
240010001002230,01B
240010001002231,01C
240010001002232,01C
240010001002233,01C
240010001002234,01C
240010001002235,01C
240010001002236,01C
240010001002237,01C
240010001002238,01C
240010001002239,01C
240010001002240,01C
240010001002241,01C
240010001002242,01C
240010001002243,01C
240010001002244,01C
240010001002245,01C
240010001002246,01C
240010001002247,01C
240010001002248,01C
240010001002249,01C
240010001002250,01C
240010001002251,01C
240010001002252,01C
240010001002253,01C
240010001002254,01C
240010001002255,01C
240010001002256,01C
240010001002257,01C
240010001002258,01C
240010001002259,01C
240010001002260,01C
240010001002261,01C
240010001002262,01C
240010001002263,01C
240010001002264,01C
240010001002265,01C
240010001002266,01C
240010001002267,01C
240010001002268,01C
240010001002269,01C
240010001002270,01C
240010001002271,01C
240010001002272,01C
240010001002273,01B
240010001002274,01B
240010001002275,01B
240010001002276,01B
240010001002277,01C
240010001002278,01C
240010001002279,01C
240010001002280,01C
240010001002281,01C
240010001002282,01C
240010001002283,01C
240010001002284,01C
240010001002285,01C
240010001002286,01C
240010001002287,01C
240010001002288,01C
240010001002289,01C
240010001002290,01C
240010001002291,01C
