BLOCKID,DISTRICT
240010001001000,001
240010001001001,001
240010001001002,001
240010001001003,001
240010001001004,001
240010001001005,001
240010001001006,001
240010001001007,001
240010001001008,001
240010001001009,001
240010001001010,001
240010001001011,001
240010001001012,001
240010001001013,001
240010001001014,001
240010001001015,001
240010001001016,001
240010001001017,001
240010001001018,001
240010001001019,001
240010001001020,001
240010001001021,001
240010001001022,001
240010001001023,001
240010001001024,001
240010001001025,001
240010001001026,001
240010001001027,001
240010001001028,001
240010001001029,001
240010001001030,001
240010001001031,001
240010001001032,001
240010001001033,001
240010001001034,001
240010001001035,001
240010001001036,001
240010001001037,001
240010001001038,001
240010001001039,001
240010001001040,001
240010001001041,001
240010001001042,001
240010001001043,001
240010001001044,001
240010001001045,001
240010001001046,001
240010001001047,001
240010001001048,001
240010001001049,001
240010001001050,001
240010001001051,001
240010001001052,001
240010001001053,001
240010001001054,001
240010001001055,001
240010001001056,001
240010001001057,001
240010001001058,001
240010001001059,001
240010001001060,001
240010001001061,001
240010001001062,001
240010001001063,001
240010001001064,001
240010001001065,001
240010001001066,001
240010001001067,001
240010001001068,001
240010001001069,001
240010001001070,001
240010001001071,001
240010001001072,001
240010001001073,001
240010001001074,001
240010001001075,001
240010001001076,001
240010001001077,001
240010001001078,001
240010001001079,001
240010001001080,001
240010001001081,001
240010001001082,001
240010001001083,001
240010001001084,001
240010001001085,001
240010001001086,001
240010001001087,001
240010001001088,001
240010001001089,001
240010001001090,001
240010001001091,001
240010001001092,001
240010001001093,001
240010001001094,001
240010001001095,001
240010001001096,001
240010001001097,001
240010001001098,001
240010001001099,001
240010001001100,001
240010001001101,001
240010001001102,001
240010001001103,001
240010001001104,001
240010001001105,001
240010001001106,001
240010001001107,001
240010001001108,001
240010001001109,001
240010001001110,001
240010001001111,001
240010001001112,001
240010001001113,001
240010001001114,001
240010001001115,001
240010001001116,001
240010001001117,001
240010001001118,001
240010001001119,001
240010001001120,001
240010001001121,001
240010001001122,001
240010001001123,001
240010001001124,001
240010001001125,001
240010001001126,001
240010001001127,001
240010001001128,001
240010001001129,001
240010001001130,001
240010001001131,001
240010001001132,001
240010001001133,001
240010001001134,001
240010001001135,001
240010001001136,001
240010001001137,001
240010001001138,001
240010001001139,001
240010001001140,001
240010001001141,001
240010001001142,001
240010001001143,001
240010001001144,001
240010001001145,001
240010001001146,001
240010001001147,001
240010001001148,001
240010001001149,001
240010001001150,001
240010001001151,001
240010001001152,001
240010001001153,001
240010001001154,001
240010001001155,001
240010001001156,001
240010001001157,001
240010001001158,001
240010001001159,001
240010001001160,001
240010001001161,001
240010001001162,001
240010001001163,001
240010001001164,001
240010001001165,001
240010001001166,001
240010001001167,001
240010001001168,001
240010001001169,001
240010001002000,001
240010001002001,001
240010001002002,001
240010001002003,001
240010001002004,001
240010001002005,001
240010001002006,001
240010001002007,001
240010001002008,001
240010001002009,001
240010001002010,001
240010001002011,001
240010001002012,001
240010001002013,001
240010001002014,001
240010001002015,001
240010001002016,001
240010001002017,001
240010001002018,001
240010001002019,001
240010001002020,001
240010001002021,001
240010001002022,001
240010001002023,001
240010001002024,001
240010001002025,001
240010001002026,001
240010001002027,001
240010001002028,001
240010001002029,001
240010001002030,001
240010001002031,001
240010001002032,001
240010001002033,001
240010001002034,001
240010001002035,001
240010001002036,001
240010001002037,001
240010001002038,001
240010001002039,001
240010001002040,001
240010001002041,001
240010001002042,001
240010001002043,001
240010001002044,001
240010001002045,001
240010001002046,001
240010001002047,001
240010001002048,001
240010001002049,001
240010001002050,001
240010001002051,001
