BLOCKID,COUNTYFP,DISTRICT
240010001001000,001,01-000
240010001001001,001,01-000
240010001001002,001,01-000
240010001001003,001,01-000
240010001001004,001,01-000
240010001001005,001,01-000
240010001001006,001,01-000
240010001001007,001,01-000
240010001001008,001,01-000
240010001001009,001,01-000
240010001001010,001,01-000
240010001001011,001,01-000
240010001001012,001,01-000
240010001001013,001,01-000
240010001001014,001,01-000
240010001001015,001,01-000
240010001001016,001,01-000
240010001001017,001,01-000
240010001001018,001,01-000
240010001001019,001,01-000
240010001001020,001,01-000
240010001001021,001,01-000
240010001001022,001,01-000
240010001001023,001,01-000
240010001001024,001,01-000
240010001001025,001,01-000
240010001001026,001,01-000
240010001001027,001,01-000
240010001001028,001,01-000
240010001001029,001,01-000
240010001001030,001,01-000
240010001001031,001,01-000
240010001001032,001,01-000
240010001001033,001,01-000
240010001001034,001,01-000
240010001001035,001,01-000
240010001001036,001,01-000
240010001001037,001,01-000
240010001001038,001,01-000
240010001001039,001,01-000
240010001001040,001,01-000
240010001001041,001,01-000
240010001001042,001,01-000
240010001001043,001,01-000
240010001001044,001,01-000
240010001001045,001,01-000
240010001001046,001,01-000
240010001001047,001,01-000
240010001001048,001,01-000
240010001001049,001,01-000
240010001001050,001,01-000
240010001001051,001,01-000
240010001001052,001,01-000
240010001001053,001,01-000
240010001001054,001,01-000
240010001001055,001,01-000
240010001001056,001,01-000
240010001001057,001,01-000
240010001001058,001,01-000
240010001001059,001,01-000
240010001001060,001,01-000
240010001001061,001,01-000
240010001001062,001,01-000
240010001001063,001,01-000
240010001001064,001,01-000
240010001001065,001,01-000
240010001001066,001,01-000
240010001001067,001,01-000
240010001001068,001,01-000
240010001001069,001,01-000
240010001001070,001,01-000
240010001001071,001,01-000
240010001001072,001,01-000
240010001001073,001,01-000
240010001001074,001,01-000
240010001001075,001,01-000
240010001001076,001,01-000
240010001001077,001,01-000
240010001001078,001,01-000
240010001001079,001,01-000
240010001001080,001,01-000
240010001001081,001,01-000
240010001001082,001,01-000
240010001001083,001,01-000
240010001001084,001,01-000
240010001001085,001,01-000
240010001001086,001,01-000
240010001001087,001,01-000
240010001001088,001,01-000
240010001001089,001,01-000
240010001001090,001,01-000
240010001001091,001,01-000
240010001001092,001,01-000
240010001001093,001,01-000
240010001001094,001,01-000
240010001001095,001,01-000
240010001001096,001,01-000
240010001001097,001,01-000
240010001001098,001,01-000
240010001001099,001,01-000
240010001001100,001,01-000
240010001001101,001,01-000
240010001001102,001,01-000
240010001001103,001,01-000
240010001001104,001,01-000
240010001001105,001,01-000
240010001001106,001,01-000
240010001001107,001,01-000
240010001001108,001,01-000
240010001001109,001,01-000
240010001001110,001,01-000
240010001001111,001,01-000
240010001001112,001,01-000
240010001001113,001,01-000
240010001001114,001,01-000
240010001001115,001,01-000
240010001001116,001,01-000
240010001001117,001,01-000
240010001001118,001,01-000
240010001001119,001,01-000
240010001001120,001,01-000
240010001001121,001,01-000
