BLOCKID,PLACEFP
250010101001000,
250010101001001,
250010101001002,
250010101001003,
250010101001004,
250010101001005,
250010101001006,
250010101001007,
250010101001008,
250010101001009,
250010101001010,
250010101001011,
250010101001012,
250010101001013,
250010101001014,
250010101001015,
250010101001016,
250010101001017,
250010101001018,
250010101001019,
250010101001020,
250010101001021,
250010101001022,
250010101001023,
250010101001024,55535
250010101001025,
250010101001026,55535
250010101001027,55535
250010101001028,
250010101001029,
250010101001030,
250010101001031,
250010101001032,
250010101001033,
250010101001034,
250010101001035,
250010101001036,55535
250010101001037,
250010101001038,
250010101001039,
250010101001040,
250010101001041,
250010101001042,
250010101001043,
250010101001044,
250010101001045,
250010101001046,
250010101001047,
250010101001048,
250010101001049,
250010101001050,
250010101001051,
250010101001052,
250010101001053,
250010101001054,
250010101001055,
250010101001056,
250010101001057,
250010101001058,
250010101001059,
250010101001060,
250010101001061,
250010101001062,
250010101001063,
250010101001064,
250010101001065,
250010101001066,
250010101001067,
250010101001068,
250010101001069,
250010101001070,
250010101001071,
250010101001072,
250010101001073,
250010101001074,
250010101001075,
250010101001076,55535
250010101001077,55535
250010101001078,55535
250010101001079,
250010101001080,
250010101001081,
250010101001082,
250010101001083,
250010101001084,
250010101001085,55535
250010101001086,55535
250010101001087,55535
250010101001088,55535
250010101001089,55535
250010101001090,55535
250010101001091,55535
250010101001092,55535
250010101001093,
250010101001094,55535
250010101001095,55535
250010101001096,55535
250010101001097,55535
250010101001098,55535
250010101001099,55535
250010101001100,55535
250010101001101,55535
250010101001102,55535
250010101001103,55535
250010101001104,
250010101001105,55535
250010101001106,55535
250010101001107,55535
250010101001108,55535
250010101001109,55535
250010101001110,55535
250010101001111,
250010101001112,
250010101001113,55535
250010101001114,55535
250010101001115,55535
250010101001116,55535
250010101001117,55535
250010101001118,55535
250010101001119,55535
250010101001120,55535
250010101001121,55535
250010101001122,55535
250010101001123,55535
250010101001124,55535
250010101001125,55535
250010101001126,55535
250010101001127,55535
250010101001128,55535
250010101001129,55535
250010101001130,
250010101001131,
250010101001132,
250010101001133,55535
250010101001134,55535
250010101001135,55535
250010101001136,55535
250010101001137,55535
250010101001138,
250010101001139,55535
250010101002000,55535
250010101002001,55535
250010101002002,55535
250010101002003,55535
250010101002004,55535
250010101002005,55535
250010101002006,55535
250010101002007,55535
250010101002008,55535
250010101002009,55535
250010101002010,55535
250010101002011,55535
250010101002012,55535
250010101002013,55535
250010101002014,55535
250010101002015,55535
250010101002016,55535
250010101002017,55535
250010101002018,55535
250010101002019,55535
250010101002020,55535
250010101002021,55535
250010101002022,55535
250010101002023,55535
250010101002024,55535
250010101002025,55535
250010101002026,55535
250010101002027,55535
250010101002028,55535
250010101002029,55535
250010101002030,55535
250010101002031,55535
250010101002032,55535
250010101002033,55535
250010101002034,55535
250010101002035,55535
250010101002036,55535
250010101003000,55535
250010101003001,55535
250010101003002,55535
250010101003003,55535
250010101003004,55535
250010101003005,55535
250010101003006,55535
250010101003007,55535
250010101003008,55535
250010101003009,55535
250010101003010,55535
250010101003011,55535
250010101003012,55535
250010101003013,55535
250010101003014,55535
250010101003015,55535
250010101003016,55535
250010101003017,55535
250010101003018,55535
250010101003019,55535
250010101003020,55535
250010101003021,55535
250010101003022,55535
250010101003023,55535
250010101003024,55535
250010101004000,55535
250010101004001,55535
250010101004002,55535
250010101004003,55535
250010101004004,55535
250010101004005,55535
250010101004006,55535
250010101004007,55535
250010101004008,55535
250010101004009,55535
250010101004010,55535
250010101004011,55535
250010101004012,55535
250010101004013,55535
250010101004014,55535
250010101004015,55535
250010101004016,55535
250010101004017,55535
250010101004018,55535
250010101004019,55535
250010101004020,55535
250010101004021,55535
250010101004022,55535
250010101004023,55535
250010101004024,55535
250010101004025,55535
250010101004026,55535
250010101004027,55535
250010101004028,55535
250010101004029,55535
250010101004030,55535
250010101004031,55535
250010101004032,55535
250010101004033,55535
250010101004034,55535
250010101004035,55535
250010101004036,55535
250010101004037,55535
250010101004038,55535
250010101004039,55535
250010101004040,55535
250010101004041,55535
250010101004042,55535
250010101004043,55535
250010101004044,55535
250010101004045,55535
250010101005000,55535
250010101005001,55535
250010101005002,55535
250010101005003,55535
250010101005004,55535
250010101005005,55535
250010101005006,55535
250010101005007,55535
250010101005008,55535
250010101005009,55535
250010101005010,55535
250010101005011,55535
250010101005012,55535
250010101005013,55535
250010101005014,55535
250010101005015,55535
250010101005016,55535
250010101005017,55535
250010101005018,55535
250010101005019,55535
250010101005020,55535
250010101005021,55535
250010101005022,55535
250010101005023,55535
250010101005024,55535
250010101005025,55535
250010101005026,55535
250010101005027,55535
250010101005028,55535
250010101005029,55535
250010101005030,55535
250010101005031,55535
250010101005032,55535
250010101005033,55535
250010101005034,55535
250010101005035,55535
250010101005036,55535
250010101005037,55535
250010101005038,55535
250010102061000,
250010102061001,
250010102061002,
250010102061003,
250010102061004,
250010102061005,
250010102061006,
250010102061007,
250010102061008,
250010102061009,
250010102061010,
250010102061011,
250010102061012,
250010102061013,
250010102061014,
250010102061015,
250010102061016,
250010102061017,
250010102061018,
250010102061019,
250010102061020,
250010102061021,
250010102061022,
250010102061023,
250010102061024,
250010102061025,
250010102061026,
250010102061027,
250010102061028,
250010102061029,
250010102061030,
250010102061031,
250010102061032,
250010102061033,
250010102061034,
250010102061035,
250010102061036,
250010102061037,
250010102061038,
250010102061039,
250010102061040,
250010102061041,
250010102061042,
250010102061043,
250010102061044,
250010102061045,
250010102061046,
250010102061047,
250010102061048,
250010102061049,
250010102061050,
250010102061051,
250010102061052,
250010102061053,
250010102061054,
250010102061055,
250010102061056,
250010102061057,
250010102061058,
250010102061059,
250010102061060,
250010102061061,
250010102061062,
250010102061063,
250010102061064,
250010102061065,
250010102061066,
250010102061067,
250010102061068,
250010102061069,
250010102061070,
250010102061071,
250010102061072,
250010102061073,
250010102061074,
250010102061075,
250010102061076,
250010102061077,
250010102061078,
250010102061079,
250010102061080,
250010102061081,
250010102061082,
250010102061083,
250010102061084,
250010102061085,
250010102061086,
250010102061087,
250010102061088,
250010102061089,
250010102061090,
250010102061091,
250010102061092,
250010102061093,
250010102061094,
250010102061095,
250010102061096,
250010102061097,
250010102061098,
250010102061099,
250010102061100,
250010102061101,
250010102061102,
250010102061103,
250010102061104,
250010102061105,
250010102061106,
250010102061107,
250010102061108,
250010102061109,
250010102061110,
250010102061111,
250010102061112,
250010102061113,
250010102062000,
250010102062001,
250010102062002,
250010102062003,
250010102062004,
250010102062005,
250010102062006,
250010102062007,
250010102062008,
250010102062009,
250010102062010,
250010102062011,
250010102062012,
250010102062013,
250010102062014,
250010102062015,
250010102062016,
250010102062017,
250010102062018,
250010102062019,
250010102062020,
250010102062021,
250010102062022,
250010102062023,
250010102062024,
250010102062025,
250010102062026,
250010102062027,
250010102062028,
250010102062029,
250010102062030,
250010102062031,
250010102062032,
250010102062033,
250010102062034,
250010102062035,
250010102062036,
250010102062037,
250010102062038,
250010102062039,
250010102062040,
250010102062041,
250010102062042,
250010102062043,
250010102062044,
250010102062045,
250010102062046,
250010102062047,
250010102062048,
250010102062049,
250010102062050,
250010102062051,
250010102062052,
250010102062053,
250010102062054,
250010102062055,
250010102062056,
250010102062057,
250010102062058,
250010102062059,
250010102062060,
250010102062061,
250010102062062,
250010102062063,
250010102062064,
250010102062065,
250010102062066,
250010102062067,
250010102062068,
250010102062069,
250010102062070,
250010102062071,
250010102062072,
250010102062073,
250010102062074,
250010102062075,
250010102062076,
250010102062077,
250010102062078,
250010102062079,
250010102062080,
250010102062081,
250010102062082,
250010102062083,
250010102062084,
250010102062085,
250010102062086,
250010102062087,
250010102062088,
250010102062089,
250010102062090,
250010102062091,
250010102062092,
250010102062093,
250010102062094,
250010102062095,
250010102062096,
250010102062097,
250010102062098,
250010102062099,
250010102062100,
250010102062101,
250010102062102,
250010102062103,
250010102062104,
250010102062105,
250010102062106,
250010102062107,
250010102062108,
250010102062109,
250010102062110,
250010102062111,
250010102062112,
250010102062113,
250010102062114,
250010102062115,
250010102062116,
250010102062117,
250010102062118,
250010102062119,
250010102062120,
250010102062121,
250010102062122,
250010102062123,
250010102062124,
250010102062125,
250010102062126,
250010102062127,
250010102062128,
250010102062129,
250010102062130,
250010102062131,
250010102062132,
250010102062133,
250010102062134,
250010102063000,
250010102063001,
250010102063002,
250010102063003,
250010102063004,
250010102063005,
250010102063006,
250010102063007,
250010102063008,
250010102063009,
250010102063010,
250010102063011,
250010102063012,
250010102063013,
250010102063014,
250010102063015,
250010102063016,
250010102063017,
250010102063018,
250010102063019,
250010102063020,
250010102063021,
250010102063022,
250010102063023,
250010102063024,
250010102063025,
250010102063026,
250010102063027,
250010102063028,
250010102063029,
250010102063030,
250010102063031,
250010102063032,
250010102063033,
250010102063034,
250010102063035,
250010102063036,
250010102063037,
250010102063038,
250010102063039,
250010102063040,
250010102063041,
250010102063042,
250010102063043,
250010102063044,
250010102063045,
250010102063046,
250010102063047,
250010102063048,
250010102063049,
250010102063050,
250010102063051,
250010102063052,
