BLOCKID,DISTRICT
250010101001000,09840
250010101001001,09840
250010101001002,09840
250010101001003,09840
250010101001004,09840
250010101001005,09840
250010101001006,09840
250010101001007,09840
250010101001008,09840
250010101001009,09840
250010101001010,09840
250010101001011,09840
250010101001012,09840
250010101001013,09840
250010101001014,09840
250010101001015,09840
250010101001016,09840
250010101001017,09840
250010101001018,09840
250010101001019,09840
250010101001020,09840
250010101001021,09840
250010101001022,09840
250010101001023,09840
250010101001024,09840
250010101001025,09840
250010101001026,09840
250010101001027,09840
250010101001028,09840
250010101001029,09840
250010101001030,09840
250010101001031,09840
250010101001032,09840
250010101001033,09840
250010101001034,09840
250010101001035,09840
250010101001036,09840
250010101001037,09840
250010101001038,09840
250010101001039,09840
250010101001040,09840
250010101001041,09840
250010101001042,09840
250010101001043,09840
250010101001044,09840
250010101001045,09840
250010101001046,09840
250010101001047,09840
250010101001048,09840
250010101001049,09840
250010101001050,09840
250010101001051,09840
250010101001052,09840
250010101001053,09840
250010101001054,09840
250010101001055,09840
250010101001056,09840
250010101001057,09840
250010101001058,09840
250010101001059,09840
250010101001060,09840
250010101001061,09840
250010101001062,09840
250010101001063,09840
250010101001064,09840
250010101001065,09840
250010101001066,09840
250010101001067,09840
250010101001068,09840
250010101001069,09840
250010101001070,09840
250010101001071,09840
250010101001072,09840
250010101001073,09840
250010101001074,09840
250010101001075,09840
250010101001076,09840
250010101001077,09840
250010101001078,09840
250010101001079,09840
250010101001080,09840
250010101001081,09840
250010101001082,09840
250010101001083,09840
250010101001084,09840
250010101001085,09840
250010101001086,09840
250010101001087,09840
250010101001088,09840
250010101001089,09840
250010101001090,09840
250010101001091,09840
250010101001092,09840
250010101001093,09840
250010101001094,09840
250010101001095,09840
250010101001096,09840
250010101001097,09840
250010101001098,09840
250010101001099,09840
250010101001100,09840
250010101001101,09840
250010101001102,09840
250010101001103,09840
250010101001104,09840
250010101001105,09840
250010101001106,09840
250010101001107,09840
250010101001108,09840
250010101001109,09840
250010101001110,09840
250010101001111,09840
250010101001112,09840
250010101001113,09840
250010101001114,09840
250010101001115,09840
250010101001116,09840
250010101001117,09840
250010101001118,09840
250010101001119,09840
250010101001120,09840
250010101001121,09840
250010101001122,09840
250010101001123,09840
250010101001124,09840
250010101001125,09840
250010101001126,09840
250010101001127,09840
250010101001128,09840
250010101001129,09840
250010101001130,09840
250010101001131,09840
250010101001132,09840
250010101001133,09840
250010101001134,09840
250010101001135,09840
250010101001136,09840
250010101001137,09840
250010101001138,09840
250010101001139,09840
250010101002000,09840
250010101002001,09840
250010101002002,09840
250010101002003,09840
250010101002004,09840
250010101002005,09840
250010101002006,09840
250010101002007,09840
250010101002008,09840
250010101002009,09840
250010101002010,09840
250010101002011,09840
250010101002012,09840
250010101002013,09840
250010101002014,09840
250010101002015,09840
250010101002016,09840
250010101002017,09840
250010101002018,09840
250010101002019,09840
250010101002020,09840
250010101002021,09840
250010101002022,09840
250010101002023,09840
250010101002024,09840
250010101002025,09840
250010101002026,09840
250010101002027,09840
250010101002028,09840
250010101002029,09840
250010101002030,09840
250010101002031,09840
250010101002032,09840
250010101002033,09840
250010101002034,09840
250010101002035,09840
250010101002036,09840
250010101003000,09840
250010101003001,09840
250010101003002,09840
250010101003003,09840
250010101003004,09840
250010101003005,09840
250010101003006,09840
250010101003007,09840
250010101003008,09840
250010101003009,09840
250010101003010,09840
250010101003011,09840
250010101003012,09840
250010101003013,09840
250010101003014,09840
250010101003015,09840
250010101003016,09840
250010101003017,09840
250010101003018,09840
250010101003019,09840
250010101003020,09840
250010101003021,09840
250010101003022,09840
250010101003023,09840
250010101003024,09840
250010101004000,09840
250010101004001,09840
250010101004002,09840
250010101004003,09840
250010101004004,09840
250010101004005,09840
250010101004006,09840
250010101004007,09840
250010101004008,09840
250010101004009,09840
250010101004010,09840
250010101004011,09840
250010101004012,09840
250010101004013,09840
250010101004014,09840
250010101004015,09840
250010101004016,09840
250010101004017,09840
250010101004018,09840
250010101004019,09840
250010101004020,09840
250010101004021,09840
250010101004022,09840
250010101004023,09840
250010101004024,09840
250010101004025,09840
250010101004026,09840
250010101004027,09840
250010101004028,09840
250010101004029,09840
250010101004030,09840
250010101004031,09840
250010101004032,09840
250010101004033,09840
250010101004034,09840
250010101004035,09840
250010101004036,09840
250010101004037,09840
250010101004038,09840
250010101004039,09840
250010101004040,09840
250010101004041,09840
250010101004042,09840
250010101004043,09840
250010101004044,09840
250010101004045,09840
250010101005000,09840
250010101005001,09840
250010101005002,09840
250010101005003,09840
250010101005004,09840
250010101005005,09840
250010101005006,09840
250010101005007,09840
250010101005008,09840
250010101005009,09840
250010101005010,09840
250010101005011,09840
250010101005012,09840
250010101005013,09840
250010101005014,09840
250010101005015,09840
250010101005016,09840
250010101005017,09840
250010101005018,09840
250010101005019,09840
250010101005020,09840
250010101005021,09840
250010101005022,09840
250010101005023,09840
250010101005024,09840
250010101005025,09840
250010101005026,09840
250010101005027,09840
250010101005028,09840
250010101005029,09840
250010101005030,09840
250010101005031,09840
250010101005032,09840
250010101005033,09840
250010101005034,09840
250010101005035,09840
250010101005036,09840
250010101005037,09840
250010101005038,09840
250010102061000,
250010102061001,
250010102061002,
250010102061003,
250010102061004,
250010102061005,
250010102061006,
250010102061007,
250010102061008,
250010102061009,
250010102061010,
250010102061011,
250010102061012,
250010102061013,
250010102061014,
250010102061015,
250010102061016,
250010102061017,
250010102061018,
250010102061019,
250010102061020,
250010102061021,
250010102061022,
250010102061023,
250010102061024,
250010102061025,
250010102061026,
250010102061027,
250010102061028,
250010102061029,
250010102061030,
250010102061031,
250010102061032,
250010102061033,
250010102061034,
250010102061035,
250010102061036,
250010102061037,
250010102061038,
250010102061039,
250010102061040,
250010102061041,
250010102061042,
250010102061043,
250010102061044,
250010102061045,
250010102061046,
250010102061047,
250010102061048,
250010102061049,
250010102061050,
250010102061051,
250010102061052,
250010102061053,
250010102061054,
250010102061055,
250010102061056,
250010102061057,
250010102061058,
250010102061059,
250010102061060,
250010102061061,
250010102061062,
250010102061063,
250010102061064,
250010102061065,
250010102061066,
250010102061067,
250010102061068,
250010102061069,
250010102061070,
250010102061071,
250010102061072,
250010102061073,
250010102061074,
250010102061075,
250010102061076,
250010102061077,
250010102061078,
250010102061079,
250010102061080,
250010102061081,
250010102061082,
250010102061083,
250010102061084,
250010102061085,
250010102061086,
250010102061087,
250010102061088,
250010102061089,
250010102061090,
250010102061091,
250010102061092,
250010102061093,
250010102061094,
250010102061095,
250010102061096,
250010102061097,
250010102061098,
250010102061099,
250010102061100,
250010102061101,
250010102061102,
250010102061103,
250010102061104,
250010102061105,
250010102061106,
250010102061107,
250010102061108,
250010102061109,
250010102061110,
250010102061111,
250010102061112,
250010102061113,
250010102062000,
250010102062001,
250010102062002,
250010102062003,
250010102062004,
250010102062005,
250010102062006,
250010102062007,
250010102062008,
250010102062009,
250010102062010,
250010102062011,
250010102062012,
250010102062013,
250010102062014,
250010102062015,
250010102062016,
250010102062017,
250010102062018,
250010102062019,
250010102062020,
250010102062021,
250010102062022,
250010102062023,
250010102062024,
250010102062025,
250010102062026,
250010102062027,
250010102062028,
250010102062029,
250010102062030,
250010102062031,
250010102062032,
250010102062033,
250010102062034,
250010102062035,
250010102062036,
250010102062037,
250010102062038,
250010102062039,
250010102062040,
250010102062041,
250010102062042,
250010102062043,
250010102062044,
250010102062045,
250010102062046,
250010102062047,
250010102062048,
250010102062049,
250010102062050,
250010102062051,
250010102062052,
250010102062053,
250010102062054,
250010102062055,
250010102062056,
250010102062057,
250010102062058,
250010102062059,
250010102062060,
250010102062061,
250010102062062,
250010102062063,
250010102062064,
250010102062065,
250010102062066,
250010102062067,
250010102062068,
250010102062069,
250010102062070,
250010102062071,
250010102062072,
250010102062073,
250010102062074,
250010102062075,
250010102062076,
250010102062077,
250010102062078,
250010102062079,
250010102062080,
250010102062081,
250010102062082,
250010102062083,
250010102062084,
250010102062085,
250010102062086,
250010102062087,
250010102062088,
250010102062089,
250010102062090,
250010102062091,
250010102062092,
250010102062093,
250010102062094,
250010102062095,
250010102062096,
250010102062097,
250010102062098,
250010102062099,
250010102062100,
250010102062101,
250010102062102,
250010102062103,
250010102062104,
250010102062105,
250010102062106,
250010102062107,
250010102062108,
250010102062109,
250010102062110,
250010102062111,
250010102062112,
250010102062113,
250010102062114,
250010102062115,
250010102062116,
250010102062117,
250010102062118,
250010102062119,
250010102062120,
250010102062121,
250010102062122,
250010102062123,
250010102062124,
250010102062125,
250010102062126,
250010102062127,
250010102062128,
250010102062129,
250010102062130,
250010102062131,
250010102062132,
250010102062133,
250010102062134,
250010102063000,99998
250010102063001,
250010102063002,
250010102063003,
250010102063004,
250010102063005,
250010102063006,
250010102063007,
250010102063008,
250010102063009,
250010102063010,
250010102063011,
250010102063012,
250010102063013,
250010102063014,
250010102063015,
250010102063016,
250010102063017,
250010102063018,
250010102063019,
250010102063020,
250010102063021,
