BLOCKID,COUNTYFP,DISTRICT
250010101001000,001,ZZZZZZ
250010101001001,001,ZZZZZZ
250010101001002,001,2208
250010101001003,001,2208
250010101001004,001,2208
250010101001005,001,2208
250010101001006,001,2208
250010101001007,001,2208
250010101001008,001,2208
250010101001009,001,2208
250010101001010,001,2208
250010101001011,001,2208
250010101001012,001,2208
250010101001013,001,2208
250010101001014,001,2208
250010101001015,001,2208
250010101001016,001,2208
250010101001017,001,2208
250010101001018,001,2208
250010101001019,001,2208
250010101001020,001,ZZZZZZ
250010101001021,001,ZZZZZZ
250010101001022,001,ZZZZZZ
250010101001023,001,2208
250010101001024,001,2208
250010101001025,001,ZZZZZZ
250010101001026,001,2208
250010101001027,001,2208
250010101001028,001,2208
250010101001029,001,ZZZZZZ
250010101001030,001,ZZZZZZ
250010101001031,001,2208
250010101001032,001,2208
250010101001033,001,2208
250010101001034,001,2208
250010101001035,001,2208
250010101001036,001,2208
250010101001037,001,2208
250010101001038,001,2208
250010101001039,001,ZZZZZZ
250010101001040,001,2208
250010101001041,001,2208
250010101001042,001,2208
250010101001043,001,2208
250010101001044,001,2208
250010101001045,001,2208
250010101001046,001,2208
250010101001047,001,2208
250010101001048,001,2208
250010101001049,001,2208
250010101001050,001,2208
250010101001051,001,2208
250010101001052,001,ZZZZZZ
250010101001053,001,2208
250010101001054,001,2208
250010101001055,001,2208
250010101001056,001,2208
250010101001057,001,2208
250010101001058,001,2208
250010101001059,001,2208
250010101001060,001,2208
250010101001061,001,2208
250010101001062,001,2208
250010101001063,001,2208
250010101001064,001,2208
250010101001065,001,2208
250010101001066,001,2208
250010101001067,001,2208
250010101001068,001,2208
250010101001069,001,2208
250010101001070,001,2208
250010101001071,001,2208
250010101001072,001,2208
250010101001073,001,2208
250010101001074,001,2208
250010101001075,001,2208
250010101001076,001,2208
250010101001077,001,2208
250010101001078,001,2208
250010101001079,001,2208
250010101001080,001,2208
250010101001081,001,2208
250010101001082,001,2208
250010101001083,001,2208
250010101001084,001,2208
250010101001085,001,2208
250010101001086,001,2208
250010101001087,001,2208
250010101001088,001,2208
250010101001089,001,2208
250010101001090,001,2208
250010101001091,001,2208
250010101001092,001,2208
250010101001093,001,2208
250010101001094,001,2208
250010101001095,001,2208
