BLOCKID,COUNTYFP,DISTRICT
280010001001000,001,504
280010001001001,001,504
280010001001002,001,504
280010001001003,001,504
280010001001004,001,504
280010001001005,001,504
280010001001006,001,504
280010001001007,001,502
280010001001008,001,502
280010001001009,001,502
280010001001010,001,502
280010001001011,001,502
280010001001012,001,502
280010001001013,001,502
280010001001014,001,502
280010001001015,001,502
280010001001016,001,502
280010001001017,001,504
280010001001018,001,502
280010001001019,001,502
280010001001020,001,502
280010001001021,001,502
280010001001022,001,502
280010001001023,001,502
280010001001024,001,502
280010001001025,001,504
280010001001026,001,504
280010001001027,001,504
280010001001028,001,504
280010001001029,001,504
280010001001030,001,502
280010001001031,001,502
280010001001032,001,502
280010001001033,001,504
280010001001034,001,504
280010001001035,001,504
280010001001036,001,504
280010001001037,001,504
280010001001038,001,504
280010001001039,001,502
280010001001040,001,504
280010001001041,001,504
280010001001042,001,504
280010001001043,001,504
280010001001044,001,304
280010001001045,001,304
280010001001046,001,504
280010001001047,001,504
280010001001048,001,504
280010001001049,001,504
280010001001050,001,504
280010001001051,001,504
280010001001052,001,304
280010001001053,001,504
280010001001054,001,304
280010001001055,001,504
280010001001056,001,504
280010001001057,001,504
280010001001058,001,304
280010001001059,001,304
280010001001060,001,504
280010001001061,001,504
280010001001062,001,504
280010001001063,001,304
280010001001064,001,304
280010001001065,001,304
280010001001066,001,304
280010001001067,001,304
280010001001068,001,504
280010001001069,001,504
280010001001070,001,504
280010001001071,001,504
280010001001072,001,504
280010001001073,001,504
280010001001074,001,504
280010001001075,001,504
280010001001076,001,504
280010001001077,001,504
280010001001078,001,504
280010001001079,001,504
280010001001080,001,504
280010001001081,001,504
280010001001082,001,504
280010001001083,001,504
280010001001084,001,504
280010001001085,001,504
280010001001086,001,504
280010001001087,001,504
280010001001088,001,504
280010001001089,001,504
280010001001090,001,504
280010001001091,001,504
280010001001092,001,504
280010001001093,001,504
280010001001094,001,504
280010001001095,001,504
280010001001096,001,504
280010001001097,001,504
280010001001098,001,504
280010001001099,001,504
280010001001100,001,504
280010001001101,001,504
280010001001102,001,504
280010001001103,001,304
280010001001104,001,304
280010001001105,001,304
280010001001106,001,504
280010001001107,001,504
280010001001108,001,504
280010001001109,001,504
280010001001110,001,504
280010001001111,001,304
280010001001112,001,304
280010001001113,001,304
280010001001114,001,304
280010001001115,001,304
280010001001116,001,304
280010001001117,001,304
280010001001118,001,304
280010001001119,001,304
280010001001120,001,304
280010001001121,001,304
280010001001122,001,304
280010001001123,001,304
280010001001124,001,304
280010001001125,001,204
280010001001126,001,204
280010001001127,001,204
280010001001128,001,304
280010001001129,001,304
280010001001130,001,304
280010001001131,001,304
280010001001132,001,304
280010001001133,001,304
280010001001134,001,304
280010001001135,001,304
280010001001136,001,304
280010001001137,001,304
280010001001138,001,304
280010001001139,001,304
280010001001140,001,304
280010001001141,001,304
280010001001142,001,204
280010001001143,001,204
280010001001144,001,204
280010001001145,001,304
280010001001146,001,304
280010001001147,001,304
280010001001148,001,304
280010001001149,001,304
280010001001150,001,304
280010001001151,001,304
280010001001152,001,304
280010001001153,001,304
280010001001154,001,304
280010001001155,001,304
280010001001156,001,304
280010001001157,001,304
280010001001158,001,304
280010001001159,001,304
280010001001160,001,304
280010001001161,001,304
280010001001162,001,304
280010001001163,001,304
280010001001164,001,304
280010001001165,001,304
280010001001166,001,304
280010001001167,001,304
280010001001168,001,304
280010001001169,001,304
280010001001170,001,304
280010001001171,001,304
280010001001172,001,304
280010001001173,001,304
280010001001174,001,504
280010001001175,001,304
280010001001176,001,304
280010001001177,001,304
280010001001178,001,304
280010001001179,001,504
280010001001180,001,504
280010001001181,001,504
280010001001182,001,504
280010001001183,001,504
280010001001184,001,504
280010001001185,001,504
280010001001186,001,504
280010001001187,001,504
280010001001188,001,504
280010001001189,001,304
280010001001190,001,304
280010001001191,001,304
280010001001192,001,304
280010001001193,001,304
280010001001194,001,304
280010001001195,001,304
280010001001196,001,304
280010001001197,001,504
280010001001198,001,504
280010001001199,001,304
280010001002000,001,504
280010001002001,001,504
280010001002002,001,504
280010001002003,001,504
280010001002004,001,504
280010001002005,001,504
280010001002006,001,304
