BLOCKID,DISTRICT
300010001001000,10820
300010001001001,10820
300010001001002,10820
300010001001003,10820
300010001001004,10820
300010001001005,10820
300010001001006,10820
300010001001007,10820
300010001001008,10820
300010001001009,10820
300010001001010,10820
300010001001011,10820
300010001001012,10820
300010001001013,10820
300010001001014,10820
300010001001015,10820
300010001001016,10820
300010001001017,10820
300010001001018,10820
300010001001019,10820
300010001001020,10820
300010001001021,10820
300010001001022,10820
300010001001023,10820
300010001001024,10820
300010001001025,10820
300010001001026,10820
300010001001027,10820
300010001001028,10820
300010001001029,10820
300010001001030,28500
300010001001031,28500
300010001001032,28500
300010001001033,28500
300010001001034,10820
300010001001035,10820
300010001001036,10820
300010001001037,28500
300010001001038,28500
300010001001039,28500
300010001001040,28500
300010001001041,28500
300010001001042,28500
300010001001043,28500
300010001001044,28500
300010001001045,28500
300010001001046,28500
300010001001047,28500
300010001001048,28500
300010001001049,28500
300010001001050,28500
300010001001051,28500
300010001001052,28500
300010001001053,28500
300010001001054,28500
300010001001055,28500
300010001001056,28500
300010001001057,28500
300010001001058,28500
300010001001059,28500
300010001001060,28500
300010001001061,28500
300010001001062,28500
300010001001063,28500
300010001001064,28500
300010001001065,28500
300010001001066,28500
300010001001067,28500
300010001001068,28500
300010001001069,28500
300010001001070,28500
300010001001071,28500
300010001001072,28500
300010001001073,28500
300010001001074,28500
300010001001075,28500
300010001001076,28500
300010001001077,28500
300010001001078,28500
300010001001079,28500
300010001001080,28500
300010001001081,28500
300010001001082,28500
300010001001083,28500
300010001001084,28500
300010001001085,28500
300010001001086,28500
300010001001087,28500
300010001001088,28500
300010001001089,28500
300010001001090,28500
300010001001091,28500
300010001001092,28500
300010001001093,28500
300010001001094,28500
300010001001095,28500
300010001001096,28500
300010001001097,28500
300010001001098,28500
300010001001099,28500
300010001001100,28500
300010001001101,28500
300010001001102,28500
300010001001103,28500
300010001001104,28500
300010001001105,28500
300010001001106,28500
300010001001107,28500
300010001001108,28500
300010001001109,28500
300010001001110,28500
300010001001111,28500
300010001001112,28500
300010001001113,28500
300010001001114,28500
300010001001115,28500
300010001001116,28500
300010001001117,28500
300010001001118,28500
300010001001119,28500
300010001001120,28500
300010001001121,28500
300010001001122,28500
300010001001123,28500
300010001001124,28500
300010001001125,28500
300010001001126,28500
300010001001127,28500
300010001001128,28500
300010001001129,28500
300010001001130,28500
300010001001131,28500
300010001001132,28500
300010001001133,28500
300010001001134,28500
300010001001135,28500
300010001001136,28500
