BLOCKID,DISTRICT
300010001001000,03090
300010001001001,03090
300010001001002,03090
300010001001003,03090
300010001001004,03090
300010001001005,03090
300010001001006,03090
300010001001007,03090
300010001001008,03090
300010001001009,03090
300010001001010,03090
300010001001011,03090
300010001001012,03090
300010001001013,03090
300010001001014,03090
300010001001015,03090
300010001001016,03090
300010001001017,03090
300010001001018,03090
300010001001019,03090
300010001001020,03090
300010001001021,03090
300010001001022,03090
300010001001023,03090
300010001001024,03090
300010001001025,03090
300010001001026,03090
300010001001027,03090
300010001001028,03090
300010001001029,03090
300010001001030,03090
300010001001031,03090
300010001001032,03090
300010001001033,03090
300010001001034,03090
300010001001035,03090
300010001001036,03090
300010001001037,03090
300010001001038,03090
300010001001039,03090
300010001001040,03090
300010001001041,03090
300010001001042,03090
300010001001043,03090
300010001001044,03090
300010001001045,03090
300010001001046,03090
300010001001047,03090
300010001001048,03090
300010001001049,03090
300010001001050,03090
300010001001051,03090
300010001001052,03090
300010001001053,03090
300010001001054,03090
300010001001055,03090
300010001001056,03090
300010001001057,03090
300010001001058,03090
300010001001059,03090
300010001001060,03090
300010001001061,03090
300010001001062,03090
300010001001063,03090
300010001001064,03090
300010001001065,03090
300010001001066,03090
300010001001067,03090
300010001001068,03090
300010001001069,03090
300010001001070,03090
300010001001071,03090
300010001001072,03090
300010001001073,03090
300010001001074,03090
300010001001075,03090
300010001001076,03090
300010001001077,03090
300010001001078,03090
300010001001079,03090
300010001001080,03090
300010001001081,03090
300010001001082,03090
300010001001083,03090
300010001001084,03090
300010001001085,03090
300010001001086,03090
300010001001087,03090
300010001001088,03090
300010001001089,03090
300010001001090,03090
300010001001091,03090
300010001001092,03090
300010001001093,03090
300010001001094,03090
300010001001095,03090
300010001001096,03090
300010001001097,03090
300010001001098,03090
300010001001099,03090
300010001001100,03090
300010001001101,03090
300010001001102,03090
300010001001103,03090
300010001001104,03090
300010001001105,03090
300010001001106,03090
300010001001107,03090
300010001001108,03090
300010001001109,03090
300010001001110,03090
300010001001111,03090
300010001001112,03090
300010001001113,03090
300010001001114,03090
300010001001115,03090
300010001001116,03090
300010001001117,03090
300010001001118,03090
300010001001119,03090
300010001001120,03090
300010001001121,03090
300010001001122,03090
300010001001123,03090
300010001001124,03090
300010001001125,03090
300010001001126,03090
300010001001127,03090
300010001001128,03090
300010001001129,03090
300010001001130,03090
300010001001131,03090
300010001001132,03090
300010001001133,03090
300010001001134,03090
300010001001135,03090
300010001001136,03090
300010001001137,03090
300010001001138,03090
300010001001139,03090
300010001001140,03090
300010001001141,03090
300010001001142,03090
300010001001143,03090
300010001001144,03090
300010001001145,03090
300010001001146,03090
300010001001147,03090
300010001001148,03090
300010001001149,03090
300010001001150,03090
300010001001151,03090
300010001001152,03090
300010001001153,03090
300010001001154,03090
300010001001155,03090
300010001001156,03090
300010001001157,03090
300010001001158,03090
300010001001159,03090
300010001001160,03090
300010001001161,03090
300010001001162,03090
300010001001163,03090
300010001001164,03090
300010001001165,03090
300010001001166,03090
300010001001167,03090
300010001001168,03090
300010001001169,03090
300010001001170,03090
300010001001171,03090
300010001001172,03090
300010001001173,03090
300010001001174,03090
300010001001175,03090
300010001001176,03090
300010001001177,03090
300010001001178,03090
300010001001179,03090
300010001001180,03090
300010001001181,03090
300010001001182,03090
300010001001183,03090
300010001001184,03090
300010001001185,03090
300010001001186,03090
300010001001187,03090
300010001001188,03090
300010001001189,03090
300010001001190,03090
300010001001191,03090
300010001001192,03090
300010001001193,03090
300010001001194,03090
300010001001195,03090
300010001001196,03090
300010001001197,03090
300010001001198,03090
300010001001199,03090
300010001001200,03090
300010001001201,03090
300010001001202,03090
300010001001203,03090
300010001001204,03090
300010001001205,03090
300010001001206,03090
300010001001207,03090
300010001001208,03090
300010001001209,03090
300010001001210,03090
300010001001211,03090
300010001001212,03090
300010001001213,03090
300010001001214,03090
300010001001215,03090
300010001001216,03090
300010001001217,03090
300010001001218,03090
300010001001219,03090
300010001001220,03090
300010001001221,03090
300010001001222,03090
300010001001223,03090
300010001001224,03090
300010001001225,03090
300010001001226,03090
300010001001227,03090
300010001001228,03090
300010001001229,03090
300010001001230,03090
300010001001231,03090
300010001001232,03090
300010001001233,03090
300010001001234,03090
300010001001235,03090
300010001001236,03090
300010001001237,03090
300010001001238,03090
300010001001239,03090
300010001001240,03090
300010001001241,03090
300010001001242,03090
300010001001243,03090
300010001001244,03090
300010001001245,03090
300010001001246,03090
300010001001247,03090
300010001001248,03090
300010001001249,03090
300010001001250,03090
300010001001251,03090
300010001001252,03090
300010001001253,03090
300010001001254,03090
300010001001255,03090
300010001001256,03090
300010001001257,03090
300010001001258,03090
300010001001259,03090
300010001001260,03090
300010001001261,03090
300010001001262,03090
300010001001263,03090
300010001001264,03090
300010001001265,03090
300010001001266,03090
300010001001267,03090
300010001001268,03090
300010001001269,03090
300010001001270,03090
300010001001271,03090
300010001001272,03090
300010001001273,03090
300010001001274,03090
300010001001275,03090
300010001001276,03090
300010001001277,03090
300010001001278,03090
300010001001279,03090
300010001001280,03090
300010001001281,03090
300010001001282,03090
300010001001283,03090
300010001001284,03090
300010001001285,03090
300010001001286,03090
300010001001287,03090
300010001001288,03090
300010001001289,03090
300010001001290,03090
300010001001291,03090
300010001001292,03090
300010001001293,03090
300010001001294,03090
300010001001295,03090
300010001001296,03090
300010001001297,03090
300010001001298,03090
300010001001299,03090
300010001001300,03090
300010001001301,03090
300010001001302,03090
300010001001303,03090
300010001001304,03090
300010001001305,03090
300010001001306,03090
300010001001307,03090
300010001001308,03090
300010001001309,03090
300010001001310,03090
300010001001311,03090
300010001001312,03090
300010001001313,03090
300010001001314,03090
300010001001315,03090
300010001001316,03090
300010001001317,03090
300010001001318,03090
300010001001319,03090
300010001001320,03090
300010001001321,03090
300010001001322,03090
300010001001323,03090
300010001001324,03090
300010001001325,03090
300010001001326,03090
300010001001327,03090
300010001001328,03090
300010001001329,03090
300010001001330,03090
300010001001331,03090
300010001001332,03090
300010001001333,03090
300010001001334,03090
300010001001335,03090
300010001001336,03090
300010001001337,03090
300010001001338,03090
300010001001339,03090
300010001001340,03090
300010001001341,03090
300010001001342,03090
300010001001343,03090
300010001001344,03090
300010001001345,03090
300010001001346,03090
300010001001347,03090
300010001001348,03090
300010001001349,03090
300010001001350,03090
300010001001351,03090
300010001001352,03090
300010001001353,03090
300010001001354,03090
300010001001355,03090
300010001001356,03090
300010001001357,03090
300010001001358,03090
300010001001359,03090
300010001001360,03090
300010001001361,03090
300010001001362,03090
300010001001363,03090
300010001001364,03090
300010001001365,03090
300010001001366,03090
300010001001367,03090
300010001001368,03090
300010001001369,03090
300010001001370,03090
300010001001371,03090
300010001001372,03090
300010001001373,03090
300010001001374,03090
300010001001375,03090
300010001001376,03090
300010001001377,03090
300010001001378,03090
300010001001379,03090
300010001001380,03090
300010001001381,03090
300010001001382,03090
300010001001383,03090
300010001001384,03090
300010001001385,03090
300010001001386,03090
300010001001387,03090
