BLOCKID,DISTRICT
300010001001000,072
300010001001001,072
300010001001002,072
300010001001003,072
300010001001004,072
300010001001005,072
300010001001006,072
300010001001007,072
300010001001008,072
300010001001009,072
300010001001010,072
300010001001011,072
300010001001012,072
300010001001013,072
300010001001014,072
300010001001015,072
300010001001016,072
300010001001017,072
300010001001018,072
300010001001019,072
300010001001020,072
300010001001021,072
300010001001022,072
300010001001023,072
300010001001024,072
300010001001025,072
300010001001026,072
300010001001027,072
300010001001028,072
300010001001029,072
300010001001030,072
300010001001031,072
300010001001032,072
300010001001033,072
300010001001034,072
300010001001035,072
300010001001036,072
300010001001037,072
300010001001038,072
300010001001039,072
300010001001040,072
300010001001041,072
300010001001042,072
300010001001043,072
300010001001044,072
300010001001045,072
300010001001046,072
300010001001047,072
300010001001048,072
300010001001049,072
300010001001050,072
300010001001051,072
300010001001052,072
300010001001053,072
300010001001054,072
300010001001055,072
300010001001056,072
300010001001057,072
300010001001058,072
300010001001059,072
300010001001060,072
300010001001061,072
300010001001062,072
300010001001063,072
300010001001064,072
300010001001065,072
300010001001066,072
300010001001067,072
300010001001068,072
300010001001069,072
300010001001070,072
300010001001071,072
300010001001072,072
300010001001073,072
300010001001074,072
300010001001075,072
300010001001076,072
300010001001077,072
300010001001078,072
300010001001079,072
300010001001080,072
300010001001081,072
300010001001082,072
300010001001083,072
300010001001084,072
300010001001085,072
300010001001086,072
300010001001087,072
300010001001088,072
300010001001089,072
300010001001090,072
300010001001091,072
300010001001092,072
300010001001093,072
300010001001094,072
300010001001095,072
300010001001096,072
300010001001097,072
300010001001098,072
300010001001099,072
300010001001100,072
300010001001101,072
300010001001102,072
300010001001103,072
300010001001104,072
300010001001105,072
300010001001106,072
300010001001107,072
300010001001108,072
300010001001109,072
300010001001110,072
300010001001111,072
300010001001112,072
300010001001113,072
300010001001114,072
300010001001115,072
300010001001116,072
300010001001117,072
300010001001118,072
300010001001119,072
300010001001120,072
300010001001121,072
300010001001122,072
300010001001123,072
300010001001124,072
300010001001125,072
300010001001126,072
300010001001127,072
300010001001128,072
300010001001129,072
300010001001130,072
300010001001131,072
300010001001132,072
300010001001133,072
300010001001134,072
300010001001135,072
300010001001136,072
300010001001137,072
300010001001138,072
300010001001139,072
300010001001140,072
300010001001141,072
300010001001142,072
300010001001143,072
300010001001144,072
300010001001145,072
300010001001146,072
300010001001147,072
300010001001148,072
300010001001149,072
300010001001150,072
300010001001151,072
300010001001152,072
300010001001153,072
300010001001154,072
300010001001155,072
300010001001156,072
300010001001157,072
300010001001158,072
300010001001159,072
300010001001160,072
300010001001161,072
300010001001162,072
300010001001163,072
300010001001164,072
300010001001165,072
300010001001166,072
300010001001167,072
300010001001168,072
300010001001169,072
300010001001170,072
300010001001171,072
300010001001172,072
300010001001173,072
300010001001174,072
300010001001175,072
300010001001176,072
300010001001177,072
300010001001178,072
300010001001179,072
300010001001180,072
300010001001181,072
300010001001182,072
300010001001183,072
300010001001184,072
300010001001185,072
300010001001186,072
300010001001187,072
300010001001188,072
300010001001189,072
300010001001190,072
300010001001191,072
300010001001192,072
300010001001193,072
300010001001194,072
300010001001195,072
300010001001196,072
300010001001197,072
300010001001198,072
300010001001199,072
300010001001200,072
300010001001201,072
300010001001202,072
300010001001203,072
300010001001204,072
300010001001205,072
300010001001206,072
300010001001207,072
300010001001208,072
300010001001209,072
300010001001210,072
300010001001211,072
300010001001212,072
300010001001213,072
300010001001214,072
300010001001215,072
300010001001216,072
300010001001217,072
300010001001218,072
300010001001219,072
300010001001220,072
300010001001221,072
300010001001222,072
300010001001223,072
300010001001224,072
300010001001225,072
300010001001226,072
300010001001227,072
300010001001228,072
300010001001229,072
300010001001230,072
300010001001231,072
300010001001232,072
300010001001233,072
300010001001234,072
300010001001235,072
300010001001236,072
300010001001237,072
300010001001238,072
300010001001239,072
300010001001240,072
300010001001241,072
300010001001242,072
300010001001243,072
300010001001244,072
300010001001245,072
300010001001246,072
300010001001247,072
300010001001248,072
300010001001249,072
300010001001250,072
300010001001251,072
300010001001252,072
300010001001253,072
300010001001254,072
300010001001255,072
300010001001256,072
300010001001257,072
300010001001258,072
300010001001259,072
300010001001260,072
300010001001261,072
300010001001262,072
300010001001263,072
300010001001264,072
300010001001265,072
300010001001266,072
300010001001267,072
300010001001268,072
300010001001269,072
300010001001270,072
300010001001271,072
300010001001272,072
300010001001273,072
300010001001274,072
300010001001275,072
300010001001276,072
300010001001277,072
300010001001278,072
300010001001279,072
300010001001280,072
300010001001281,072
300010001001282,072
300010001001283,072
300010001001284,072
300010001001285,072
300010001001286,072
300010001001287,072
300010001001288,072
300010001001289,072
300010001001290,072
300010001001291,072
300010001001292,072
300010001001293,072
300010001001294,072
300010001001295,072
300010001001296,072
300010001001297,072
300010001001298,072
300010001001299,072
300010001001300,072
300010001001301,072
300010001001302,072
300010001001303,072
300010001001304,072
300010001001305,072
300010001001306,072
300010001001307,072
300010001001308,072
300010001001309,072
300010001001310,072
300010001001311,072
300010001001312,072
300010001001313,072
300010001001314,072
300010001001315,072
300010001001316,072
300010001001317,072
300010001001318,072
300010001001319,072
300010001001320,072
300010001001321,072
300010001001322,072
300010001001323,072
300010001001324,072
300010001001325,072
300010001001326,072
300010001001327,072
300010001001328,072
300010001001329,072
300010001001330,072
300010001001331,072
300010001001332,072
300010001001333,072
300010001001334,072
300010001001335,072
300010001001336,072
300010001001337,072
300010001001338,072
300010001001339,072
300010001001340,072
300010001001341,072
300010001001342,072
300010001001343,072
300010001001344,072
300010001001345,072
300010001001346,072
300010001001347,072
300010001001348,072
300010001001349,072
300010001001350,072
300010001001351,072
300010001001352,072
300010001001353,072
300010001001354,072
300010001001355,072
300010001001356,072
300010001001357,072
300010001001358,072
300010001001359,072
300010001001360,072
300010001001361,072
300010001001362,072
300010001001363,072
300010001001364,072
300010001001365,072
300010001001366,072
300010001001367,072
300010001001368,072
300010001001369,072
300010001001370,072
