BLOCKID,DISTRICT
300010001001000,036
300010001001001,036
300010001001002,036
300010001001003,036
300010001001004,036
300010001001005,036
300010001001006,036
300010001001007,036
300010001001008,036
300010001001009,036
300010001001010,036
300010001001011,036
300010001001012,036
300010001001013,036
300010001001014,036
300010001001015,036
300010001001016,036
300010001001017,036
300010001001018,036
300010001001019,036
300010001001020,036
300010001001021,036
300010001001022,036
300010001001023,036
300010001001024,036
300010001001025,036
300010001001026,036
300010001001027,036
300010001001028,036
300010001001029,036
300010001001030,036
300010001001031,036
300010001001032,036
300010001001033,036
300010001001034,036
300010001001035,036
300010001001036,036
300010001001037,036
300010001001038,036
300010001001039,036
300010001001040,036
300010001001041,036
300010001001042,036
300010001001043,036
300010001001044,036
300010001001045,036
300010001001046,036
300010001001047,036
300010001001048,036
300010001001049,036
300010001001050,036
300010001001051,036
300010001001052,036
300010001001053,036
300010001001054,036
300010001001055,036
300010001001056,036
300010001001057,036
300010001001058,036
300010001001059,036
300010001001060,036
300010001001061,036
300010001001062,036
300010001001063,036
300010001001064,036
300010001001065,036
300010001001066,036
300010001001067,036
300010001001068,036
300010001001069,036
300010001001070,036
300010001001071,036
300010001001072,036
300010001001073,036
300010001001074,036
300010001001075,036
300010001001076,036
300010001001077,036
300010001001078,036
300010001001079,036
300010001001080,036
300010001001081,036
300010001001082,036
300010001001083,036
300010001001084,036
300010001001085,036
300010001001086,036
300010001001087,036
300010001001088,036
300010001001089,036
300010001001090,036
300010001001091,036
300010001001092,036
300010001001093,036
300010001001094,036
300010001001095,036
300010001001096,036
300010001001097,036
300010001001098,036
300010001001099,036
300010001001100,036
300010001001101,036
300010001001102,036
300010001001103,036
300010001001104,036
300010001001105,036
300010001001106,036
300010001001107,036
300010001001108,036
300010001001109,036
300010001001110,036
300010001001111,036
300010001001112,036
300010001001113,036
300010001001114,036
300010001001115,036
300010001001116,036
300010001001117,036
300010001001118,036
300010001001119,036
300010001001120,036
300010001001121,036
300010001001122,036
300010001001123,036
300010001001124,036
300010001001125,036
300010001001126,036
300010001001127,036
300010001001128,036
300010001001129,036
300010001001130,036
300010001001131,036
300010001001132,036
300010001001133,036
300010001001134,036
300010001001135,036
300010001001136,036
300010001001137,036
300010001001138,036
300010001001139,036
300010001001140,036
300010001001141,036
300010001001142,036
300010001001143,036
300010001001144,036
300010001001145,036
300010001001146,036
300010001001147,036
300010001001148,036
300010001001149,036
300010001001150,036
300010001001151,036
300010001001152,036
300010001001153,036
300010001001154,036
300010001001155,036
300010001001156,036
300010001001157,036
300010001001158,036
300010001001159,036
300010001001160,036
300010001001161,036
300010001001162,036
300010001001163,036
300010001001164,036
300010001001165,036
300010001001166,036
300010001001167,036
300010001001168,036
300010001001169,036
300010001001170,036
300010001001171,036
300010001001172,036
300010001001173,036
300010001001174,036
300010001001175,036
300010001001176,036
300010001001177,036
300010001001178,036
300010001001179,036
300010001001180,036
300010001001181,036
300010001001182,036
300010001001183,036
300010001001184,036
300010001001185,036
300010001001186,036
300010001001187,036
300010001001188,036
300010001001189,036
300010001001190,036
300010001001191,036
300010001001192,036
300010001001193,036
300010001001194,036
300010001001195,036
300010001001196,036
300010001001197,036
300010001001198,036
300010001001199,036
300010001001200,036
300010001001201,036
300010001001202,036
300010001001203,036
300010001001204,036
300010001001205,036
300010001001206,036
300010001001207,036
300010001001208,036
300010001001209,036
300010001001210,036
300010001001211,036
300010001001212,036
300010001001213,036
300010001001214,036
300010001001215,036
300010001001216,036
300010001001217,036
300010001001218,036
300010001001219,036
300010001001220,036
300010001001221,036
300010001001222,036
300010001001223,036
300010001001224,036
300010001001225,036
300010001001226,036
300010001001227,036
300010001001228,036
300010001001229,036
300010001001230,036
300010001001231,036
300010001001232,036
300010001001233,036
300010001001234,036
300010001001235,036
300010001001236,036
300010001001237,036
300010001001238,036
300010001001239,036
300010001001240,036
300010001001241,036
300010001001242,036
300010001001243,036
300010001001244,036
300010001001245,036
300010001001246,036
300010001001247,036
300010001001248,036
300010001001249,036
300010001001250,036
300010001001251,036
300010001001252,036
300010001001253,036
300010001001254,036
300010001001255,036
300010001001256,036
300010001001257,036
300010001001258,036
300010001001259,036
300010001001260,036
300010001001261,036
300010001001262,036
300010001001263,036
300010001001264,036
300010001001265,036
300010001001266,036
300010001001267,036
300010001001268,036
300010001001269,036
300010001001270,036
300010001001271,036
300010001001272,036
300010001001273,036
300010001001274,036
300010001001275,036
300010001001276,036
300010001001277,036
300010001001278,036
300010001001279,036
300010001001280,036
300010001001281,036
300010001001282,036
300010001001283,036
300010001001284,036
300010001001285,036
300010001001286,036
300010001001287,036
300010001001288,036
300010001001289,036
300010001001290,036
300010001001291,036
300010001001292,036
300010001001293,036
300010001001294,036
300010001001295,036
300010001001296,036
300010001001297,036
300010001001298,036
300010001001299,036
300010001001300,036
300010001001301,036
300010001001302,036
300010001001303,036
300010001001304,036
300010001001305,036
300010001001306,036
300010001001307,036
300010001001308,036
300010001001309,036
300010001001310,036
300010001001311,036
300010001001312,036
300010001001313,036
300010001001314,036
300010001001315,036
300010001001316,036
300010001001317,036
300010001001318,036
300010001001319,036
300010001001320,036
300010001001321,036
300010001001322,036
300010001001323,036
300010001001324,036
300010001001325,036
300010001001326,036
300010001001327,036
300010001001328,036
300010001001329,036
300010001001330,036
300010001001331,036
300010001001332,036
300010001001333,036
300010001001334,036
300010001001335,036
300010001001336,036
