BLOCKID,COUNTYFP,DISTRICT
300010001001000,001,23
300010001001001,001,23
300010001001002,001,23
300010001001003,001,23
300010001001004,001,23
300010001001005,001,23
300010001001006,001,23
300010001001007,001,23
300010001001008,001,23
300010001001009,001,23
300010001001010,001,23
300010001001011,001,23
300010001001012,001,23
300010001001013,001,23
300010001001014,001,23
300010001001015,001,23
300010001001016,001,23
300010001001017,001,23
300010001001018,001,23
300010001001019,001,23
300010001001020,001,23
300010001001021,001,23
300010001001022,001,23
300010001001023,001,23
300010001001024,001,23
300010001001025,001,23
300010001001026,001,23
300010001001027,001,23
300010001001028,001,23
300010001001029,001,23
300010001001030,001,21
300010001001031,001,21
300010001001032,001,21
300010001001033,001,21
300010001001034,001,23
300010001001035,001,23
300010001001036,001,23
300010001001037,001,21
300010001001038,001,21
300010001001039,001,21
300010001001040,001,21
300010001001041,001,21
300010001001042,001,21
300010001001043,001,21
300010001001044,001,21
300010001001045,001,21
300010001001046,001,21
300010001001047,001,21
300010001001048,001,21
300010001001049,001,21
300010001001050,001,21
300010001001051,001,21
300010001001052,001,21
300010001001053,001,21
300010001001054,001,21
300010001001055,001,21
300010001001056,001,21
300010001001057,001,21
300010001001058,001,21
300010001001059,001,23
300010001001060,001,23
300010001001061,001,23
300010001001062,001,23
300010001001063,001,23
300010001001064,001,23
300010001001065,001,23
300010001001066,001,23
300010001001067,001,23
300010001001068,001,23
300010001001069,001,23
300010001001070,001,23
300010001001071,001,23
300010001001072,001,21
300010001001073,001,21
300010001001074,001,21
300010001001075,001,21
300010001001076,001,21
300010001001077,001,23
300010001001078,001,21
300010001001079,001,21
300010001001080,001,21
300010001001081,001,21
300010001001082,001,21
300010001001083,001,21
300010001001084,001,21
300010001001085,001,21
300010001001086,001,21
300010001001087,001,21
300010001001088,001,21
300010001001089,001,21
300010001001090,001,21
300010001001091,001,21
300010001001092,001,21
300010001001093,001,21
300010001001094,001,21
300010001001095,001,21
300010001001096,001,21
300010001001097,001,21
300010001001098,001,21
300010001001099,001,21
300010001001100,001,21
300010001001101,001,21
300010001001102,001,21
300010001001103,001,21
300010001001104,001,21
300010001001105,001,21
300010001001106,001,21
300010001001107,001,21
300010001001108,001,21
300010001001109,001,21
300010001001110,001,21
300010001001111,001,21
300010001001112,001,21
300010001001113,001,21
300010001001114,001,21
300010001001115,001,21
300010001001116,001,21
300010001001117,001,21
300010001001118,001,21
300010001001119,001,21
300010001001120,001,21
300010001001121,001,21
300010001001122,001,21
300010001001123,001,21
300010001001124,001,21
300010001001125,001,21
300010001001126,001,21
300010001001127,001,21
300010001001128,001,21
300010001001129,001,21
300010001001130,001,21
300010001001131,001,21
300010001001132,001,21
300010001001133,001,21
300010001001134,001,21
300010001001135,001,21
300010001001136,001,21
300010001001137,001,21
300010001001138,001,21
300010001001139,001,21
300010001001140,001,21
300010001001141,001,21
300010001001142,001,21
300010001001143,001,21
300010001001144,001,21
300010001001145,001,21
300010001001146,001,21
300010001001147,001,21
300010001001148,001,21
300010001001149,001,21
