BLOCKID,PLACEFP
310019654001000,
310019654001001,
310019654001002,
310019654001003,
310019654001004,
310019654001005,
310019654001006,
310019654001007,
310019654001008,
310019654001009,
310019654001010,
310019654001011,
310019654001012,
310019654001013,
310019654001014,
310019654001015,
310019654001016,
310019654001017,
310019654001018,
310019654001019,
310019654001020,
310019654001021,
310019654001022,
310019654001023,
310019654001024,
310019654001025,
310019654001026,
310019654001027,
310019654001028,
310019654001029,
310019654001030,
310019654001031,
310019654001032,
310019654001033,
310019654001034,
310019654001035,
310019654001036,
310019654001037,
310019654001038,
310019654001039,
310019654001040,
310019654001041,
310019654001042,
310019654001043,
310019654001044,
310019654001045,
310019654001046,
310019654001047,
310019654001048,
310019654001049,
310019654001050,
310019654001051,
310019654001052,
310019654001053,
310019654001054,
310019654001055,
310019654001056,
310019654001057,
310019654001058,21415
310019654001059,
310019654001060,
310019654001061,
310019654001062,
310019654001063,
310019654001064,
310019654001065,
310019654001066,
310019654001067,
310019654001068,
310019654001069,
310019654001070,
310019654001071,21415
310019654001072,
310019654001073,
310019654001074,
310019654001075,
310019654001076,
310019654001077,
310019654001078,
310019654001079,
310019654001080,
310019654001081,
310019654001082,
310019654001083,49285
310019654001084,
310019654001085,
310019654001086,
310019654001087,
310019654001088,
310019654001089,
310019654001090,
310019654001091,
310019654001092,
310019654001093,
310019654001094,
310019654001095,
310019654001096,21415
310019654001097,21415
310019654001098,
310019654001099,
310019654001100,
310019654001101,
310019654001102,
310019654001103,
310019654001104,
310019654001105,
310019654001106,
310019654001107,
310019654001108,
310019654001109,
310019654001110,
310019654001111,
310019654001112,
310019654001113,
310019654001114,
310019654001115,
310019654001116,
310019654001117,
310019654001118,
310019654001119,
310019654001120,
310019654001121,
310019654001122,
310019654001123,
310019654001124,
310019654001125,
310019654001126,
310019654001127,
310019654001128,
310019654001129,
310019654001130,
310019654001131,
310019654001132,21415
310019654001133,21415
310019654001134,21415
310019654001135,21415
310019654001136,
310019654001137,
310019654001138,
310019654001139,
310019654001140,
310019654001141,
310019654001142,21415
310019654001143,21415
310019654001144,21415
310019654001145,21415
310019654001146,21415
310019654001147,
310019654001148,
310019654001149,
310019654001150,21415
310019654001151,
310019654001152,21415
310019654001153,21415
310019654001154,21415
310019654001155,21415
310019654001156,21415
310019654001157,21415
310019654001158,21415
310019654001159,21415
310019654001160,21415
310019654001161,21415
310019654001162,21415
310019654001163,21415
310019654001164,21415
310019654001165,21415
310019654001166,21415
310019654001167,21415
310019654001168,21415
310019654001169,21415
310019654001170,
310019654001171,
310019654001172,21415
310019654001173,21415
310019654001174,21415
310019654001175,
310019654001176,
310019654001177,
310019654001178,
310019654001179,
310019654001180,21415
310019654001181,
310019654001182,
310019654001183,
310019654001184,
310019654001185,
310019654001186,
310019654001187,
310019654001188,
310019654001189,
310019654002000,
310019654002001,
310019654002002,
310019654002003,
310019654002004,
310019654002005,
310019654002006,
310019654002007,
310019654002008,
310019654002009,
310019654002010,
310019654002011,
310019654002012,
310019654002013,
310019654002014,
310019654002015,
310019654002016,
310019654002017,40430
310019654002018,
310019654002019,
310019654002020,
310019654002021,
310019654002022,
310019654002023,
310019654002024,
310019654002025,
310019654002026,
310019654002027,
310019654002028,
310019654002029,
310019654002030,
310019654002031,
310019654002032,
310019654002033,
310019654002034,
310019654002035,
310019654002036,
310019654002037,
310019654002038,
310019654002039,
310019654002040,
310019654002041,
310019654002042,
310019654002043,
310019654002044,
310019654002045,
310019654002046,40430
310019654002047,40430
310019654002048,40430
310019654002049,40430
310019654002050,40430
310019654002051,
310019654002052,40430
310019654002053,40430
310019654002054,40430
310019654002055,40430
310019654002056,40430
310019654002057,40430
310019654002058,40430
310019654002059,40430
310019654002060,
310019654002061,
310019654002062,
310019654002063,
310019654002064,
310019654002065,
310019654002066,
310019654002067,40430
310019654002068,
310019654002069,
310019654002070,
310019654002071,
310019654002072,
310019654002073,
310019654002074,
310019654002075,
310019654002076,
310019654002077,
310019654002078,
310019654002079,
310019654002080,
310019654002081,
310019654002082,
310019654002083,
310019654002084,
310019654002085,
310019654002086,
310019654002087,
310019654002088,
310019654002089,
310019654002090,
310019654002091,
310019654002092,
310019654002093,
310019654002094,
310019654002095,
310019654002096,
310019654002097,
310019654002098,
310019654002099,
310019654002100,
310019654002101,
310019654002102,
310019654002103,
310019654002104,
310019654002105,
310019654002106,
310019654002107,
310019654002108,
310019654002109,
310019654002110,
310019654002111,
310019654002112,25160
310019654002113,
310019654002114,
310019654002115,
310019654002116,
310019654002117,
310019654002118,
310019654002119,
310019654002120,
310019654002121,
310019654002122,25160
310019654002123,
310019654002124,25160
310019654002125,25160
310019654002126,25160
310019654002127,25160
310019654002128,25160
310019654002129,25160
310019654002130,25160
310019654002131,25160
310019654002132,25160
310019654002133,25160
310019654002134,25160
310019654002135,25160
310019654002136,25160
310019654002137,25160
310019654002138,25160
310019654002139,25160
310019654002140,25160
310019654002141,
310019654002142,
310019654002143,
310019654002144,
310019654002145,
310019654002146,
310019654002147,
310019654002148,
310019654002149,
310019654002150,
310019654002151,
310019654002152,
310019654002153,25160
310019654002154,25160
310019654002155,25160
310019654002156,25160
310019654002157,25160
310019654002158,25160
310019654002159,25160
310019654002160,25160
310019654002161,25160
310019654002162,25160
310019654002163,25160
310019654002164,25160
310019654002165,25160
310019654002166,25160
310019654002167,25160
310019654002168,25160
310019654002169,25160
310019654002170,25160
310019654002171,25160
310019654002172,25160
310019654002173,25160
310019654002174,25160
310019654002175,25160
310019654002176,25160
310019654002177,25160
310019654002178,25160
310019654002179,25160
310019654002180,25160
310019654002181,25160
310019654002182,25160
310019654002183,25160
310019654002184,25160
310019654002185,25160
310019654002186,25160
310019654002187,25160
310019654002188,25160
310019654002189,25160
310019654002190,25160
310019654002191,25160
310019654002192,25160
310019654002193,25160
310019654002194,25160
310019654002195,25160
310019654002196,25160
310019654002197,25160
310019654002198,25160
310019654002199,25160
310019654002200,25160
310019654002201,25160
310019654002202,25160
310019654002203,25160
310019654002204,25160
310019654002205,25160
310019654002206,25160
310019654002207,25160
310019654002208,25160
310019654002209,25160
310019654002210,25160
310019654002211,25160
310019654002212,
310019654002213,25160
310019654002214,25160
310019654002215,25160
310019654002216,
310019654002217,
310019654002218,25160
310019654002219,
310019654002220,
310019654002221,
310019654002222,
310019654002223,
310019654002224,
310019654002225,
310019654002226,
310019654002227,
310019654002228,
310019654002229,
310019654002230,
310019654002231,
310019654002232,
310019654002233,
310019654002234,
310019654002235,
310019654002236,
310019654002237,
310019654002238,
310019654002239,
310019654002240,
310019654002241,
310019654002242,
310019654002243,
310019654002244,
310019654002245,
310019654002246,
310019654002247,
310019654002248,
310019654002249,
310019654002250,
310019654002251,
310019654002252,
310019654002253,
310019654002254,
310019654002255,
310019654002256,
310019654002257,
310019654002258,
310019654002259,
310019654002260,
310019654002261,
310019654002262,
310019654002263,
310019654002264,
310019654002265,
310019654002266,
310019654002267,
310019654002268,
310019654002269,
310019654002270,
310019654002271,
310019654002272,
310019654002273,
310019654002274,
310019654002275,
310019654002276,
310019654002277,
310019654002278,
310019654002279,
310019654002280,
310019654002281,
310019654002282,
310019654002283,
310019654002284,
310019654002285,
310019654002286,
310019654002287,
310019654002288,
310019654002289,
310019654002290,
310019654002291,
310019654002292,
310019654002293,
310019654002294,
310019654002295,
310019654002296,
310019654002297,
310019654002298,
310019654002299,
310019654002300,
310019654002301,
310019654002302,
310019654002303,
310019654002304,
310019654002305,
310019654002306,
310019654002307,
310019654002308,
310019654002309,
310019654002310,
310019654002311,
310019654002312,
310019654002313,
310019654002314,
310019654002315,
310019654002316,
310019654002317,
310019654002318,
310019654002319,
310019654002320,
310019654002321,
310019654002322,
310019654002323,
310019654002324,
310019654002325,
310019654002326,
310019654002327,
310019654002328,
310019654002329,25160
310019654002330,25160
310019654002331,25160
310019654002332,
310019654002333,
310019654002334,
310019654002335,
310019654002336,
310019654003000,
310019654003001,
310019654003002,
310019654003003,
310019654003004,
310019654003005,
310019654003006,
310019654003007,
310019654003008,
310019654003009,
310019654003010,24950
310019654003011,
310019654003012,
