BLOCKID,PLACEFP
320019501001000,
320019501001001,
320019501001002,
320019501001003,
320019501001004,
320019501001005,
320019501001006,
320019501001007,
320019501001008,
320019501001009,
320019501001010,
320019501001011,
320019501001012,
320019501001013,
320019501001014,
320019501001015,
320019501001016,
320019501001017,
320019501001018,
320019501001019,
320019501001020,
320019501001021,
320019501001022,
320019501001023,
320019501001024,
320019501001025,
320019501001026,
320019501001027,
320019501001028,
320019501001029,
320019501001030,
320019501001031,
320019501001032,
320019501001033,
320019501001034,
320019501001035,
320019501001036,
320019501001037,
320019501001038,
320019501001039,
320019501001040,
320019501001041,
320019501001042,
320019501001043,
320019501001044,
320019501001045,
320019501001046,
320019501001047,
320019501001048,
320019501001049,
320019501001050,
320019501001051,
320019501001052,
320019501001053,
320019501001054,
320019501001055,
320019501001056,
320019501001057,
320019501001058,
320019501001059,
320019501001060,
320019501001061,
320019501001062,
320019501001063,
320019501001064,
320019501001065,
320019501001066,
320019501001067,
320019501001068,
320019501001069,
320019501001070,
320019501001071,
320019501001072,
320019501001073,
320019501001074,
320019501001075,
320019501001076,
320019501001077,
320019501001078,
320019501001079,
320019501001080,
320019501001081,
320019501001082,
320019501001083,
320019501001084,
320019501001085,
320019501001086,
320019501001087,
320019501001088,
320019501001089,
320019501001090,
320019501001091,
320019501001092,
320019501001093,
320019501001094,
320019501001095,
320019501001096,
320019501001097,
320019501001098,
320019501001099,
320019501001100,
320019501001101,
320019501001102,
320019501001103,
320019501001104,
320019501001105,
320019501001106,
320019501001107,
320019501001108,
320019501001109,
320019501001110,
320019501001111,
320019501001112,
320019501001113,
320019501001114,
320019501001115,
320019501001116,
320019501001117,
320019501001118,
320019501001119,
320019501001120,
320019501001121,
320019501001122,
320019501001123,
320019501001124,
320019501001125,
320019501001126,
320019501001127,
320019501001128,
320019501001129,
320019501001130,
320019501001131,
320019501001132,
320019501001133,
320019501001134,
320019501001135,
320019501001136,
320019501001137,
320019501001138,
320019501001139,
320019501001140,
320019501001141,
320019501001142,
320019501001143,
320019501001144,
320019501001145,
320019501001146,
320019501001147,
320019501001148,
320019501001149,
320019501001150,
320019501001151,
320019501001152,
320019501001153,
320019501001154,
320019501001155,
320019501001156,
320019501001157,
320019501001158,
320019501001159,
320019501001160,
320019501001161,
320019501001162,
320019501001163,
320019501001164,
320019501001165,
320019501001166,
320019501001167,
320019501001168,
320019501001169,
320019501001170,
320019501001171,
320019501001172,
320019501001173,
320019501001174,
320019501001175,
320019501001176,
320019501001177,
320019501001178,
320019501001179,
320019501001180,
320019501001181,
320019501001182,
320019501001183,
320019501001184,
320019501001185,
320019501001186,
320019501001187,
320019501001188,
320019501001189,
320019501001190,
320019501001191,
320019501001192,
320019501001193,
320019501001194,
320019501001195,
320019501001196,
320019501001197,
320019501001198,
320019501001199,
320019501001200,
320019501001201,
320019501001202,
320019501001203,
320019501001204,
320019501001205,
320019501001206,
320019501001207,
320019501001208,
320019501001209,
320019501001210,
320019501001211,
320019501001212,
320019501001213,
320019501001214,
320019501001215,
320019501001216,
320019501001217,
320019501001218,
320019501001219,
320019501001220,
320019501001221,
320019501001222,
320019501001223,
320019501001224,
320019501001225,
320019501001226,
320019501001227,
320019501001228,
320019501001229,
320019501001230,
320019501001231,
320019501001232,
320019501001233,
320019501001234,
320019501001235,
320019501001236,
320019501001237,
320019501001238,
320019501001239,
320019501001240,
320019501001241,
320019501001242,
320019501001243,
320019501001244,
320019501001245,
320019501001246,
320019501001247,
320019501001248,
320019501001249,
320019501001250,
320019501001251,
320019501001252,
320019501001253,
320019501001254,
320019501001255,
320019501001256,
320019501001257,
320019501001258,
320019501001259,
320019501001260,
320019501001261,
320019501001262,
320019501001263,
320019501001264,
320019501001265,
320019501001266,
320019501001267,
320019501001268,
320019501001269,
320019501001270,
320019501001271,
320019501001272,
320019501001273,
320019501001274,
320019501001275,
320019501001276,
320019501001277,
320019501001278,
320019501001279,
320019501001280,
320019501001281,
320019501001282,
320019501001283,
320019501001284,
320019501001285,
320019501001286,
320019501001287,
320019501001288,
320019501001289,
320019501001290,
320019501001291,
320019501001292,
320019501001293,
320019501001294,
320019501001295,
320019501001296,
320019501001297,
320019501001298,
320019501001299,
320019501001300,
320019501001301,
320019501001302,
320019501001303,
320019501001304,
320019501001305,
320019501001306,
320019501001307,
320019501001308,
320019501001309,
320019501001310,
320019501001311,
320019501001312,
320019501001313,
320019501001314,
320019501001315,
320019501001316,
320019501001317,
320019501001318,
320019501001319,
320019501001320,
320019501001321,
320019501001322,
320019501001323,
320019501001324,
320019501001325,
320019501001326,
320019501001327,
320019501001328,
320019501001329,
320019501001330,
320019501001331,
320019501001332,
320019501001333,
320019501001334,
320019501001335,
320019501001336,
320019501001337,
320019501001338,
320019501001339,
320019501001340,
320019501001341,
320019501001342,
320019501001343,
320019501001344,
320019501001345,
320019501001346,
320019501001347,
