BLOCKID,DISTRICT
320019501001000,00030
320019501001001,00030
320019501001002,00030
320019501001003,00030
320019501001004,00030
320019501001005,00030
320019501001006,00030
320019501001007,00030
320019501001008,00030
320019501001009,00030
320019501001010,00030
320019501001011,00030
320019501001012,00030
320019501001013,00030
320019501001014,00030
320019501001015,00030
320019501001016,00030
320019501001017,00030
320019501001018,00030
320019501001019,00030
320019501001020,00030
320019501001021,00030
320019501001022,00030
320019501001023,00030
320019501001024,00030
320019501001025,00030
320019501001026,00030
320019501001027,00030
320019501001028,00030
320019501001029,00030
320019501001030,00030
320019501001031,00030
320019501001032,00030
320019501001033,00030
320019501001034,00030
320019501001035,00030
320019501001036,00030
320019501001037,00030
320019501001038,00030
320019501001039,00030
320019501001040,00030
320019501001041,00030
320019501001042,00030
320019501001043,00030
320019501001044,00030
320019501001045,00030
320019501001046,00030
320019501001047,00030
320019501001048,00030
320019501001049,00030
320019501001050,00030
320019501001051,00030
320019501001052,00030
320019501001053,00030
320019501001054,00030
320019501001055,00030
320019501001056,00030
320019501001057,00030
320019501001058,00030
320019501001059,00030
320019501001060,00030
320019501001061,00030
320019501001062,00030
320019501001063,00030
320019501001064,00030
320019501001065,00030
320019501001066,00030
320019501001067,00030
320019501001068,00030
320019501001069,00030
320019501001070,00030
320019501001071,00030
320019501001072,00030
320019501001073,00030
320019501001074,00030
320019501001075,00030
320019501001076,00030
320019501001077,00030
320019501001078,00030
320019501001079,00030
320019501001080,00030
320019501001081,00030
320019501001082,00030
320019501001083,00030
320019501001084,00030
320019501001085,00030
320019501001086,00030
320019501001087,00030
320019501001088,00030
320019501001089,00030
320019501001090,00030
320019501001091,00030
320019501001092,00030
320019501001093,00030
320019501001094,00030
320019501001095,00030
320019501001096,00030
320019501001097,00030
320019501001098,00030
320019501001099,00030
320019501001100,00030
320019501001101,00030
320019501001102,00030
320019501001103,00030
320019501001104,00030
320019501001105,00030
320019501001106,00030
320019501001107,00030
320019501001108,00030
320019501001109,00030
320019501001110,00030
320019501001111,00030
320019501001112,00030
320019501001113,00030
320019501001114,00030
320019501001115,00030
320019501001116,00030
320019501001117,00030
320019501001118,00030
320019501001119,00030
320019501001120,00030
320019501001121,00030
320019501001122,00030
320019501001123,00030
320019501001124,00030
320019501001125,00030
320019501001126,00030
320019501001127,00030
320019501001128,00030
320019501001129,00030
320019501001130,00030
320019501001131,00030
320019501001132,00030
