BLOCKID,COUNTYFP,DISTRICT
320019501001000,001,16
320019501001001,001,16
320019501001002,001,16
320019501001003,001,16
320019501001004,001,16
320019501001005,001,16
320019501001006,001,16
320019501001007,001,16
320019501001008,001,16
320019501001009,001,16
320019501001010,001,16
320019501001011,001,16
320019501001012,001,16
320019501001013,001,16
320019501001014,001,16
320019501001015,001,16
320019501001016,001,16
320019501001017,001,16
320019501001018,001,16
320019501001019,001,16
320019501001020,001,16
320019501001021,001,16
320019501001022,001,16
320019501001023,001,16
320019501001024,001,16
320019501001025,001,16
320019501001026,001,16
320019501001027,001,16
320019501001028,001,16
320019501001029,001,16
320019501001030,001,16
320019501001031,001,16
320019501001032,001,16
320019501001033,001,16
320019501001034,001,16
320019501001035,001,16
320019501001036,001,16
320019501001037,001,16
320019501001038,001,16
320019501001039,001,16
320019501001040,001,16
320019501001041,001,16
320019501001042,001,16
320019501001043,001,09
320019501001044,001,09
320019501001045,001,09
320019501001046,001,09
320019501001047,001,09
320019501001048,001,09
320019501001049,001,09
320019501001050,001,09
320019501001051,001,09
320019501001052,001,09
320019501001053,001,09
320019501001054,001,09
320019501001055,001,09
320019501001056,001,09
320019501001057,001,09
320019501001058,001,09
320019501001059,001,09
320019501001060,001,09
320019501001061,001,09
320019501001062,001,09
320019501001063,001,09
320019501001064,001,09
320019501001065,001,09
320019501001066,001,09
320019501001067,001,09
320019501001068,001,09
320019501001069,001,09
320019501001070,001,16
320019501001071,001,09
320019501001072,001,09
320019501001073,001,16
320019501001074,001,09
320019501001075,001,09
320019501001076,001,09
320019501001077,001,16
320019501001078,001,16
320019501001079,001,16
320019501001080,001,16
320019501001081,001,16
320019501001082,001,16
320019501001083,001,16
320019501001084,001,16
320019501001085,001,16
320019501001086,001,16
320019501001087,001,16
320019501001088,001,16
320019501001089,001,16
320019501001090,001,16
320019501001091,001,16
320019501001092,001,16
320019501001093,001,16
320019501001094,001,16
320019501001095,001,16
320019501001096,001,16
320019501001097,001,16
320019501001098,001,16
320019501001099,001,16
320019501001100,001,16
320019501001101,001,16
320019501001102,001,16
320019501001103,001,16
320019501001104,001,16
320019501001105,001,16
320019501001106,001,16
320019501001107,001,16
320019501001108,001,16
320019501001109,001,16
320019501001110,001,16
320019501001111,001,16
320019501001112,001,16
320019501001113,001,16
320019501001114,001,16
320019501001115,001,16
320019501001116,001,16
320019501001117,001,16
320019501001118,001,16
320019501001119,001,16
320019501001120,001,16
320019501001121,001,16
320019501001122,001,16
320019501001123,001,16
320019501001124,001,16
320019501001125,001,16
320019501001126,001,16
320019501001127,001,16
320019501001128,001,16
320019501001129,001,16
320019501001130,001,16
320019501001131,001,16
320019501001132,001,16
320019501001133,001,16
320019501001134,001,16
320019501001135,001,16
320019501001136,001,16
320019501001137,001,16
320019501001138,001,16
320019501001139,001,16
320019501001140,001,16
320019501001141,001,16
320019501001142,001,16
320019501001143,001,16
320019501001144,001,16
320019501001145,001,16
320019501001146,001,16
320019501001147,001,16
320019501001148,001,16
320019501001149,001,16
320019501001150,001,16
320019501001151,001,16
320019501001152,001,16
320019501001153,001,16
320019501001154,001,16
320019501001155,001,16
320019501001156,001,16
320019501001157,001,16
320019501001158,001,16
320019501001159,001,16
320019501001160,001,16
320019501001161,001,16
320019501001162,001,16
320019501001163,001,16
320019501001164,001,16
320019501001165,001,16
320019501001166,001,16
320019501001167,001,16
320019501001168,001,16
320019501001169,001,16
320019501001170,001,16
320019501001171,001,16
320019501001172,001,16
320019501001173,001,16
320019501001174,001,16
320019501001175,001,16
320019501001176,001,16
320019501001177,001,16
320019501001178,001,16
320019501001179,001,16
320019501001180,001,16
320019501001181,001,16
320019501001182,001,16
320019501001183,001,16
320019501001184,001,16
320019501001185,001,16
320019501001186,001,16
320019501001187,001,16
320019501001188,001,16
320019501001189,001,16
320019501001190,001,16
320019501001191,001,16
320019501001192,001,16
320019501001193,001,16
320019501001194,001,16
320019501001195,001,16
320019501001196,001,16
320019501001197,001,16
320019501001198,001,16
320019501001199,001,16
320019501001200,001,16
320019501001201,001,16
320019501001202,001,16
320019501001203,001,16
320019501001204,001,16
320019501001205,001,16
320019501001206,001,16
320019501001207,001,16
320019501001208,001,16
320019501001209,001,16
320019501001210,001,16
320019501001211,001,16
320019501001212,001,16
320019501001213,001,16
320019501001214,001,16
320019501001215,001,16
320019501001216,001,16
320019501001217,001,16
320019501001218,001,16
320019501001219,001,16
320019501001220,001,16
320019501001221,001,16
320019501001222,001,16
320019501001223,001,16
320019501001224,001,16
320019501001225,001,16
320019501001226,001,16
320019501001227,001,16
320019501001228,001,16
320019501001229,001,16
320019501001230,001,16
320019501001231,001,16
320019501001232,001,16
320019501001233,001,16
320019501001234,001,16
320019501001235,001,16
320019501001236,001,16
320019501001237,001,16
320019501001238,001,16
320019501001239,001,16
320019501001240,001,16
320019501001241,001,16
320019501001242,001,16
320019501001243,001,16
320019501001244,001,16
320019501001245,001,16
320019501001246,001,16
320019501001247,001,16
320019501001248,001,16
320019501001249,001,16
320019501001250,001,16
320019501001251,001,16
320019501001252,001,16
320019501001253,001,16
320019501001254,001,16
320019501001255,001,16
320019501001256,001,16
320019501001257,001,16
320019501001258,001,16
320019501001259,001,16
320019501001260,001,16
320019501001261,001,16
320019501001262,001,16
320019501001263,001,16
320019501001264,001,16
320019501001265,001,16
320019501001266,001,16
320019501001267,001,16
320019501001268,001,16
320019501001269,001,16
320019501001270,001,16
320019501001271,001,16
320019501001272,001,16
320019501001273,001,16
320019501001274,001,16
320019501001275,001,16
320019501001276,001,16
320019501001277,001,16
320019501001278,001,16
320019501001279,001,16
320019501001280,001,16
320019501001281,001,16
320019501001282,001,16
320019501001283,001,16
320019501001284,001,16
320019501001285,001,16
320019501001286,001,16
320019501001287,001,16
