BLOCKID,PLACEFP
340010001001000,02080
340010001001001,02080
340010001001002,02080
340010001001003,02080
340010001001004,02080
340010001001005,02080
340010001001006,02080
340010001001007,02080
340010001001008,02080
340010001001009,02080
340010001001010,02080
340010001001011,02080
340010001001012,02080
340010001001013,02080
340010001001014,02080
340010001001015,02080
340010001001016,02080
340010001001017,02080
340010001001018,02080
340010001001019,02080
340010001001020,02080
340010001001021,02080
340010001001022,02080
340010001001023,02080
340010001001024,02080
340010001002000,02080
340010001002001,02080
340010001002002,02080
340010001002003,02080
340010001002004,02080
340010001002005,02080
340010001002006,02080
340010001002007,02080
340010001002008,02080
340010001002009,02080
340010001002010,02080
340010001002011,02080
340010001002012,02080
340010001002013,02080
340010001002014,02080
340010001002015,02080
340010001002016,02080
340010001002017,02080
340010001002018,02080
340010001002019,02080
340010001002020,02080
340010001002021,02080
340010001002022,02080
340010001002023,02080
340010001002024,02080
340010001002025,02080
340010001002026,02080
340010001002027,02080
340010001002028,02080
340010001002029,02080
340010001002030,02080
340010001002031,02080
340010002001000,02080
340010002001001,02080
340010002001002,02080
340010002001003,02080
340010002001004,02080
340010002001005,02080
340010002001006,02080
340010002001007,02080
340010002001008,02080
340010002001009,02080
340010002001010,02080
340010002001011,02080
340010002001012,02080
340010002001013,02080
340010002001014,02080
340010002001015,02080
340010002001016,02080
340010002001017,02080
340010002002000,02080
340010002002001,02080
340010002002002,02080
340010002002003,02080
340010002002004,02080
340010002002005,02080
340010002002006,02080
340010002002007,02080
340010002002008,02080
340010002002009,02080
340010002002010,02080
340010002002011,02080
340010002002012,02080
340010002002013,02080
340010002002014,02080
340010002002015,02080
340010002002016,02080
340010002003000,02080
340010002003001,02080
340010002003002,02080
340010002003003,02080
340010002003004,02080
340010002003005,02080
340010002003006,02080
340010002003007,02080
340010002003008,02080
340010002003009,02080
340010002003010,02080
340010002003011,02080
340010002003012,02080
340010002003013,02080
340010002003014,02080
340010003001000,02080
340010003001001,02080
340010003001002,02080
340010003001003,02080
340010003001004,02080
340010003001005,02080
340010003001006,02080
340010003001007,02080
340010003001008,02080
340010003001009,02080
340010003001010,02080
340010003001011,02080
340010003001012,02080
340010003001013,02080
340010003002000,02080
340010003002001,02080
340010003002002,02080
340010003002003,02080
340010003002004,02080
340010003002005,02080
340010003002006,02080
340010003002007,02080
340010003002008,02080
340010003002009,02080
340010003002010,02080
340010003002011,02080
340010003002012,02080
340010003002013,02080
340010003003000,02080
340010003003001,02080
340010003003002,02080
340010003003003,02080
340010003003004,02080
340010003003005,02080
340010003003006,02080
340010003003007,02080
340010003003008,02080
340010003003009,02080
340010003003010,02080
340010003003011,02080
340010003003012,02080
340010003003013,02080
340010003003014,02080
340010003003015,02080
340010003003016,02080
340010004001000,02080
340010004001001,02080
340010004001002,02080
340010004001003,02080
340010004001004,02080
340010004001005,02080
340010004001006,02080
340010004001007,02080
340010004001008,02080
340010004001009,02080
340010004001010,02080
340010004001011,02080
340010004001012,02080
340010004001013,02080
340010004001014,02080
340010004001015,02080
340010004001016,02080
340010004001017,02080
340010004001018,02080
340010004001019,02080
340010004001020,02080
340010004001021,02080
340010004002000,02080
340010004002001,02080
340010004002002,02080
340010004002003,02080
340010004002004,02080
340010004002005,02080
340010004002006,02080
340010004002007,02080
340010004002008,02080
340010004002009,02080
340010004002010,02080
340010004002011,02080
340010004002012,02080
340010004002013,02080
340010004003000,02080
340010004003001,02080
340010004003002,02080
340010004003003,02080
340010004003004,02080
340010004003005,02080
340010004003006,02080
340010004003007,02080
340010004003008,02080
340010004003009,02080
340010004003010,02080
340010004003011,02080
340010004003012,02080
340010004003013,02080
340010004003014,02080
340010004003015,02080
340010004003016,02080
340010005001000,02080
340010005001001,02080
340010005001002,02080
340010005001003,02080
340010005001004,02080
340010005001005,02080
340010005001006,02080
340010005001007,02080
340010005001008,02080
340010005001009,02080
340010005001010,02080
340010005002000,02080
340010005002001,02080
340010005002002,02080
340010005002003,02080
340010005002004,02080
340010005002005,02080
340010005002006,02080
340010005002007,02080
340010005002008,02080
340010005002009,02080
340010005002010,02080
340010005002011,02080
340010005002012,02080
340010005002013,02080
340010005002014,02080
340010005002015,02080
340010005002016,02080
