BLOCKID,DISTRICT
340010001001000,
340010001001001,
340010001001002,
340010001001003,
340010001001004,
340010001001005,
340010001001006,
340010001001007,
340010001001008,
340010001001009,
340010001001010,
340010001001011,
340010001001012,
340010001001013,
340010001001014,
340010001001015,
340010001001016,
340010001001017,
340010001001018,
340010001001019,
340010001001020,
340010001001021,
340010001001022,
340010001001023,
340010001001024,
340010001002000,
340010001002001,
340010001002002,
340010001002003,
340010001002004,
340010001002005,
340010001002006,
340010001002007,
340010001002008,
340010001002009,
340010001002010,
340010001002011,
340010001002012,
340010001002013,
340010001002014,
340010001002015,
340010001002016,
340010001002017,
340010001002018,
340010001002019,
340010001002020,
340010001002021,
340010001002022,
340010001002023,
340010001002024,
340010001002025,
340010001002026,
340010001002027,
340010001002028,
340010001002029,
340010001002030,
340010001002031,
340010002001000,
340010002001001,
340010002001002,
340010002001003,
340010002001004,
340010002001005,
340010002001006,
340010002001007,
340010002001008,
340010002001009,
340010002001010,
340010002001011,
340010002001012,
340010002001013,
340010002001014,
340010002001015,
340010002001016,
340010002001017,
340010002002000,
340010002002001,
340010002002002,
340010002002003,
340010002002004,
340010002002005,
340010002002006,
340010002002007,
340010002002008,
340010002002009,
340010002002010,
340010002002011,
340010002002012,
340010002002013,
340010002002014,
340010002002015,
340010002002016,
340010002003000,
340010002003001,
340010002003002,
340010002003003,
340010002003004,
340010002003005,
340010002003006,
340010002003007,
340010002003008,
340010002003009,
340010002003010,
340010002003011,
340010002003012,
340010002003013,
340010002003014,
340010003001000,
340010003001001,
340010003001002,
340010003001003,
340010003001004,
340010003001005,
340010003001006,
340010003001007,
340010003001008,
340010003001009,
340010003001010,
340010003001011,
340010003001012,
340010003001013,
340010003002000,
340010003002001,
340010003002002,
340010003002003,
340010003002004,
340010003002005,
340010003002006,
340010003002007,
340010003002008,
340010003002009,
340010003002010,
340010003002011,
340010003002012,
340010003002013,
340010003003000,
340010003003001,
340010003003002,
340010003003003,
340010003003004,
340010003003005,
340010003003006,
340010003003007,
340010003003008,
340010003003009,
340010003003010,
340010003003011,
340010003003012,
340010003003013,
340010003003014,
340010003003015,
340010003003016,
340010004001000,
340010004001001,
340010004001002,
340010004001003,
340010004001004,
340010004001005,
340010004001006,
340010004001007,
340010004001008,
340010004001009,
340010004001010,
340010004001011,
340010004001012,
340010004001013,
340010004001014,
340010004001015,
340010004001016,
340010004001017,
340010004001018,
340010004001019,
340010004001020,
340010004001021,
340010004002000,
340010004002001,
340010004002002,
340010004002003,
340010004002004,
340010004002005,
340010004002006,
340010004002007,
340010004002008,
340010004002009,
340010004002010,
340010004002011,
340010004002012,
340010004002013,
340010004003000,
340010004003001,
340010004003002,
340010004003003,
340010004003004,
340010004003005,
340010004003006,
340010004003007,
340010004003008,
340010004003009,
340010004003010,
340010004003011,
340010004003012,
340010004003013,
340010004003014,
340010004003015,
340010004003016,
340010005001000,
340010005001001,
340010005001002,
340010005001003,
340010005001004,
340010005001005,
340010005001006,
340010005001007,
340010005001008,
340010005001009,
340010005001010,
340010005002000,
340010005002001,
340010005002002,
340010005002003,
340010005002004,
340010005002005,
340010005002006,
340010005002007,
340010005002008,
340010005002009,
340010005002010,
340010005002011,
340010005002012,
340010005002013,
340010005002014,
340010005002015,
340010005002016,
340010011001000,
340010011001001,
340010011001002,
340010011001003,
340010011001004,
340010011001005,
340010011001006,
340010011001007,
340010011001008,
340010011001009,
340010011001010,
340010011001011,
340010011001012,
340010011001013,
340010011001014,
340010011001015,
340010011002000,
340010011002001,
340010011002002,
340010011002003,
340010011002004,
340010011002005,
340010011002006,
340010011002007,
340010011002008,
340010011002009,
340010011002010,
340010011002011,
340010011002012,
340010011002013,
340010011002014,
340010011002015,
340010011002016,
340010011002017,
340010011002018,
340010011002019,
340010011002020,
340010011002021,
340010012001000,
340010012001001,
340010012001002,
340010012001003,
340010012001004,
340010012001005,
340010012001006,
340010012001007,
340010012001008,
340010012001009,
340010012001010,
340010012001011,
340010012001012,
340010012001013,
340010012001014,
340010012001015,
340010012001016,
340010012001017,
340010012001018,
340010012001019,
340010012001020,
340010012001021,
340010012001022,
340010012001023,
340010012001024,
340010012001025,
340010012001026,
340010012001027,
340010012002000,
340010012002001,
340010012002002,
340010012002003,
340010012002004,
340010012002005,
340010012002006,
340010012002007,
340010012002008,
340010012002009,
340010012002010,
340010012002011,
340010012002012,
340010012002013,
340010012002014,
340010012002015,
340010012002016,
340010012002017,
340010012002018,
340010012002019,
340010012002020,
340010012002021,
340010012002022,
340010012002023,
340010012002024,
340010012002025,
340010012002026,
340010012002027,
340010012002028,
340010012002029,
340010012002030,
340010012002031,
340010012002032,
340010012002033,
340010012002034,
340010012002035,
340010012002036,
340010012002037,
340010012002038,
340010012002039,
340010012002040,
340010012002041,
340010012002042,
340010012002043,
340010012002044,
340010012002045,
340010012002046,
340010012002047,
340010012002048,
340010012002049,
340010012003000,
340010012003001,
340010012003002,
340010012003003,
340010012003004,
340010012003005,
340010012003006,
340010012003007,
340010012003008,
340010012003009,
340010012003010,
340010012003011,
340010012003012,
340010012003013,
340010012003014,
340010012003015,
340010012003016,
340010012003017,
340010012003018,
340010012003019,
340010012003020,
340010012003021,
340010012003022,
340010012003023,
340010012003024,
340010012003025,
340010012003026,
340010012003027,
340010012003028,
340010012003029,
340010012003030,
340010012003031,
340010012003032,
340010012003033,
340010012003034,
340010012003035,
340010012003036,
340010012003037,
340010012003038,
340010012003039,
340010012003040,
340010012003041,
340010013001000,
340010013001001,
340010013001002,
340010013001003,
340010013001004,
340010013001005,
340010013001006,
340010013001007,
340010013001008,
340010013001009,
340010013001010,
340010013001011,
340010013001012,
340010013001013,
340010013001014,
340010013001015,
340010013001016,
340010013001017,
340010013001018,
340010013001019,
340010013001020,
340010013001021,
340010013001022,
340010013001023,
340010013001024,
340010013001025,
340010013001026,
340010013001027,
340010013001028,
340010013001029,
340010013001030,
340010013001031,
340010013001032,
340010013002000,
340010013002001,
340010013002002,
340010013002003,
340010013002004,
340010013002005,
340010013002006,
340010013002007,
340010013002008,
340010013002009,
340010013002010,
340010013002011,
340010013002012,
340010013002013,
340010013002014,
340010013002015,
340010013002016,
340010013002017,
340010013002018,
340010013002019,
340010013002020,
340010013002021,
340010013002022,
340010013002023,
340010013002024,
340010013002025,
340010013002026,
340010013002027,
340010013002028,
340010013002029,
340010013002030,
340010013002031,
340010013002032,
340010013002033,
340010013002034,
340010013002035,
340010013002036,
340010013002037,
340010013002038,
340010013002039,
340010013002040,
340010013002041,
340010013002042,
340010013002043,
340010013002044,
340010013002045,
340010013002046,
340010013002047,
340010013002048,
340010013002049,
340010013002050,
340010013002051,
340010013002052,
340010013002053,
340010013002054,
340010013002055,
340010013002056,
340010013002057,
340010013002058,
340010013002059,
340010013002060,
340010013002061,
340010013002062,
340010013002063,
340010013002064,
340010013002065,
340010013002066,
340010013002067,
340010013002068,
340010013002069,
340010013002070,
340010013002071,
340010013002072,
340010013002073,
340010013002074,
340010013002075,
340010013002076,
340010013002077,
340010013002078,
340010013002079,
340010013002080,
340010013002081,
340010013002082,
340010013002083,
340010013002084,
340010013002085,
340010013002086,
340010013002087,
340010013002088,
340010013002089,
340010013002090,
340010013002091,
340010013002092,
340010013002093,
340010013002094,
340010013002095,
340010013002096,
340010013002097,
340010013002098,
340010013002099,
340010013002100,
340010013002101,
340010013002102,
340010013002103,
340010013002104,
340010013002105,
340010013002106,
340010013002107,
340010013002108,
340010013002109,
340010013002110,
340010013002111,
340010013002112,
340010013002113,
340010013002114,
340010013002115,
340010013002116,
340010013002117,
340010013002118,
340010013002119,
340010013002120,
340010013002121,
340010013002122,
340010013002123,
340010013002124,
340010013002125,
340010013002126,
340010013002127,
340010013002128,
340010013002129,
340010013002130,
340010013002131,
340010013002132,
340010013002133,
340010013002134,
340010013002135,
340010013002136,
340010013002137,
340010013002138,
340010013002139,
340010013002140,
340010013002141,
340010013002142,
340010013002143,
340010014001000,
340010014001001,
340010014001002,
340010014001003,
340010014001004,
340010014001005,
340010014001006,
340010014001007,
340010014001008,
340010014001009,
340010014001010,
340010014001011,
340010014001012,
340010014001013,
340010014001014,
340010014001015,
340010014001016,
340010014001017,
340010014001018,
340010014001019,
340010014001020,
340010014001021,
340010014001022,
340010014001023,
340010014001024,
340010014001025,
340010014001026,
340010014001027,
340010014001028,
340010014001029,
340010014001030,
340010014001031,
340010014001032,
340010014001033,
340010014001034,
340010014001035,
340010014001036,
340010014001037,
340010014001038,
340010014001039,
340010014001040,
340010014001041,
340010014002000,
340010014002001,
340010014002002,
340010014002003,
340010014002004,
340010014002005,
340010014002006,
340010014002007,
340010014002008,
340010014002009,
340010014002010,
340010014002011,
340010014002012,
340010014002013,
340010014002014,
340010014002015,
340010014002016,
340010014002017,
340010014002018,
340010014002019,
340010014002020,
340010014002021,
340010014002022,
340010014002023,
340010014002024,
340010014002025,
340010014002026,
340010014002027,
340010014003000,
340010014003001,
340010014003002,
340010014003003,
340010014003004,
340010014003005,
340010014003006,
340010014003007,
340010014003008,
340010014003009,
340010014003010,
340010014003011,
340010014003012,
340010014003013,
340010014003014,
340010014003015,
340010014003016,
340010014003017,
340010014003018,
340010014003019,
340010014003020,
340010014003021,
340010014003022,
340010014003023,
340010015001000,
340010015001001,
340010015001002,
340010015001003,
340010015001004,
340010015001005,
340010015001006,
340010015001007,
340010015001008,
340010015001009,
340010015001010,
340010015001011,
340010015001012,
340010015001013,
340010015001014,
340010015001015,
340010015001016,
340010015001017,
340010015001018,
340010015001019,
340010015001020,
340010015001021,
340010015001022,
340010015002000,
340010015002001,
340010015002002,
340010015002003,
340010015002004,
