BLOCKID,DISTRICT
340010001001000,00960
340010001001001,00960
340010001001002,00960
340010001001003,00960
340010001001004,00960
340010001001005,00960
340010001001006,00960
340010001001007,00960
340010001001008,00960
340010001001009,00960
340010001001010,00960
340010001001011,00960
340010001001012,00960
340010001001013,00960
340010001001014,00960
340010001001015,00960
340010001001016,00960
340010001001017,00960
340010001001018,00960
340010001001019,00960
340010001001020,00960
340010001001021,00960
340010001001022,00960
340010001001023,00960
340010001001024,00960
340010001002000,00960
340010001002001,00960
340010001002002,00960
340010001002003,00960
340010001002004,00960
340010001002005,00960
340010001002006,00960
340010001002007,00960
340010001002008,00960
340010001002009,00960
340010001002010,00960
340010001002011,00960
340010001002012,00960
340010001002013,00960
340010001002014,00960
340010001002015,00960
340010001002016,00960
340010001002017,00960
340010001002018,00960
340010001002019,00960
340010001002020,00960
340010001002021,00960
340010001002022,00960
340010001002023,00960
340010001002024,00960
340010001002025,00960
340010001002026,00960
340010001002027,00960
340010001002028,00960
340010001002029,00960
340010001002030,00960
340010001002031,00960
340010002001000,00960
340010002001001,00960
340010002001002,00960
340010002001003,00960
340010002001004,00960
340010002001005,00960
340010002001006,00960
340010002001007,00960
340010002001008,00960
340010002001009,00960
340010002001010,00960
340010002001011,00960
340010002001012,00960
340010002001013,00960
340010002001014,00960
340010002001015,00960
340010002001016,00960
340010002001017,00960
340010002002000,00960
340010002002001,00960
340010002002002,00960
340010002002003,00960
340010002002004,00960
340010002002005,00960
340010002002006,00960
340010002002007,00960
340010002002008,00960
340010002002009,00960
340010002002010,00960
340010002002011,00960
340010002002012,00960
340010002002013,00960
340010002002014,00960
340010002002015,00960
340010002002016,00960
340010002003000,00960
340010002003001,00960
340010002003002,00960
340010002003003,00960
340010002003004,00960
340010002003005,00960
340010002003006,00960
340010002003007,00960
340010002003008,00960
340010002003009,00960
340010002003010,00960
340010002003011,00960
340010002003012,00960
340010002003013,00960
340010002003014,00960
340010003001000,00960
340010003001001,00960
340010003001002,00960
340010003001003,00960
340010003001004,00960
340010003001005,00960
340010003001006,00960
340010003001007,00960
340010003001008,00960
340010003001009,00960
340010003001010,00960
340010003001011,00960
340010003001012,00960
340010003001013,00960
340010003002000,00960
340010003002001,00960
340010003002002,00960
340010003002003,00960
340010003002004,00960
340010003002005,00960
