BLOCKID,DISTRICT
340010001001000,002
340010001001001,002
340010001001002,002
340010001001003,002
340010001001004,002
340010001001005,002
340010001001006,002
340010001001007,002
340010001001008,002
340010001001009,002
340010001001010,002
340010001001011,002
340010001001012,002
340010001001013,002
340010001001014,002
340010001001015,002
340010001001016,002
340010001001017,002
340010001001018,002
340010001001019,002
340010001001020,002
340010001001021,002
340010001001022,002
340010001001023,002
340010001001024,002
340010001002000,002
340010001002001,002
340010001002002,002
340010001002003,002
340010001002004,002
340010001002005,002
340010001002006,002
340010001002007,002
340010001002008,002
340010001002009,002
340010001002010,002
340010001002011,002
340010001002012,002
340010001002013,002
340010001002014,002
340010001002015,002
340010001002016,002
340010001002017,002
340010001002018,002
340010001002019,002
340010001002020,002
340010001002021,002
340010001002022,002
340010001002023,002
340010001002024,002
340010001002025,002
340010001002026,002
340010001002027,002
340010001002028,002
340010001002029,002
340010001002030,002
340010001002031,002
340010002001000,002
340010002001001,002
340010002001002,002
340010002001003,002
340010002001004,002
340010002001005,002
340010002001006,002
340010002001007,002
340010002001008,002
340010002001009,002
340010002001010,002
340010002001011,002
340010002001012,002
340010002001013,002
340010002001014,002
340010002001015,002
340010002001016,002
340010002001017,002
340010002002000,002
340010002002001,002
340010002002002,002
340010002002003,002
340010002002004,002
340010002002005,002
340010002002006,002
340010002002007,002
340010002002008,002
340010002002009,002
340010002002010,002
340010002002011,002
340010002002012,002
340010002002013,002
340010002002014,002
340010002002015,002
340010002002016,002
340010002003000,002
340010002003001,002
340010002003002,002
340010002003003,002
340010002003004,002
340010002003005,002
340010002003006,002
340010002003007,002
340010002003008,002
340010002003009,002
340010002003010,002
340010002003011,002
340010002003012,002
340010002003013,002
340010002003014,002
340010003001000,002
340010003001001,002
340010003001002,002
340010003001003,002
340010003001004,002
340010003001005,002
340010003001006,002
340010003001007,002
340010003001008,002
340010003001009,002
340010003001010,002
340010003001011,002
340010003001012,002
340010003001013,002
340010003002000,002
340010003002001,002
340010003002002,002
340010003002003,002
340010003002004,002
340010003002005,002
340010003002006,002
340010003002007,002
340010003002008,002
340010003002009,002
340010003002010,002
340010003002011,002
340010003002012,002
340010003002013,002
340010003003000,002
340010003003001,002
340010003003002,002
340010003003003,002
340010003003004,002
340010003003005,002
340010003003006,002
340010003003007,002
340010003003008,002
340010003003009,002
340010003003010,002
340010003003011,002
340010003003012,002
340010003003013,002
340010003003014,002
340010003003015,002
340010003003016,002
340010004001000,002
340010004001001,002
340010004001002,002
340010004001003,002
340010004001004,002
340010004001005,002
340010004001006,002
340010004001007,002
340010004001008,002
340010004001009,002
340010004001010,002
340010004001011,002
340010004001012,002
340010004001013,002
340010004001014,002
340010004001015,002
340010004001016,002
340010004001017,002
340010004001018,002
340010004001019,002
340010004001020,002
340010004001021,002
340010004002000,002
340010004002001,002
340010004002002,002
340010004002003,002
340010004002004,002
340010004002005,002
340010004002006,002
340010004002007,002
340010004002008,002
340010004002009,002
340010004002010,002
340010004002011,002
340010004002012,002
340010004002013,002
340010004003000,002
340010004003001,002
340010004003002,002
340010004003003,002
340010004003004,002
340010004003005,002
340010004003006,002
340010004003007,002
340010004003008,002
340010004003009,002
340010004003010,002
340010004003011,002
340010004003012,002
340010004003013,002
340010004003014,002
340010004003015,002
340010004003016,002
340010005001000,002
340010005001001,002
340010005001002,002
340010005001003,002
340010005001004,002
340010005001005,002
340010005001006,002
340010005001007,002
340010005001008,002
340010005001009,002
340010005001010,002
340010005002000,002
340010005002001,002
340010005002002,002
340010005002003,002
340010005002004,002
340010005002005,002
340010005002006,002
340010005002007,002
340010005002008,002
340010005002009,002
340010005002010,002
340010005002011,002
340010005002012,002
340010005002013,002
340010005002014,002
340010005002015,002
340010005002016,002
340010011001000,002
340010011001001,002
340010011001002,002
340010011001003,002
340010011001004,002
340010011001005,002
340010011001006,002
340010011001007,002
340010011001008,002
340010011001009,002
340010011001010,002
340010011001011,002
340010011001012,002
340010011001013,002
340010011001014,002
340010011001015,002
340010011002000,002
340010011002001,002
340010011002002,002
340010011002003,002
340010011002004,002
340010011002005,002
340010011002006,002
340010011002007,002
340010011002008,002
340010011002009,002
340010011002010,002
340010011002011,002
340010011002012,002
340010011002013,002
340010011002014,002
340010011002015,002
340010011002016,002
340010011002017,002
340010011002018,002
340010011002019,002
340010011002020,002
340010011002021,002
340010012001000,002
340010012001001,002
340010012001002,002
340010012001003,002
340010012001004,002
340010012001005,002
340010012001006,002
340010012001007,002
340010012001008,002
340010012001009,002
340010012001010,002
340010012001011,002
340010012001012,002
340010012001013,002
340010012001014,002
340010012001015,002
340010012001016,002
340010012001017,002
340010012001018,002
340010012001019,002
340010012001020,002
340010012001021,002
340010012001022,002
340010012001023,002
340010012001024,002
340010012001025,002
340010012001026,002
340010012001027,002
340010012002000,002
340010012002001,002
340010012002002,002
340010012002003,002
340010012002004,002
340010012002005,002
340010012002006,002
340010012002007,002
340010012002008,002
340010012002009,002
340010012002010,002
