BLOCKID,DISTRICT
350010001071000,00060
350010001071001,00060
350010001071002,00060
350010001071003,00060
350010001071004,00060
350010001071005,00060
350010001071006,00060
350010001071007,00060
350010001071008,00060
350010001071009,00060
350010001071010,00060
350010001071011,00060
350010001071012,00060
350010001071013,00060
350010001071014,00060
350010001071015,00060
350010001071016,00060
350010001071017,00060
350010001072000,00060
350010001072001,00060
350010001072002,00060
350010001072003,00060
350010001072004,00060
350010001072005,00060
350010001072006,00060
350010001072007,00060
350010001072008,00060
350010001072009,00060
350010001072010,00060
350010001072011,00060
350010001072012,00060
350010001072013,00060
350010001072014,00060
350010001072015,00060
350010001072016,00060
350010001072017,00060
350010001072018,00060
350010001081000,00060
350010001081001,00060
350010001081002,00060
350010001081003,00060
350010001081004,00060
350010001081005,00060
350010001081006,00060
350010001081007,00060
350010001081008,00060
350010001081009,00060
350010001081010,00060
350010001081011,00060
350010001081012,00060
350010001082000,00060
350010001082001,00060
350010001082002,00060
350010001082003,00060
350010001082004,00060
350010001082005,00060
350010001082006,00060
350010001082007,00060
350010001082008,00060
350010001082009,00060
350010001082010,00060
350010001082011,00060
350010001091000,00060
350010001091001,00060
350010001091002,00060
350010001091003,00060
350010001091004,00060
350010001091005,00060
350010001091006,00060
350010001091007,00060
350010001091008,00060
350010001091009,00060
350010001091010,00060
350010001091011,00060
350010001091012,00060
350010001091013,00060
350010001091014,00060
350010001091015,00060
350010001092000,00060
350010001092001,00060
350010001092002,00060
350010001092003,00060
350010001092004,00060
350010001092005,00060
350010001092006,00060
350010001092007,00060
350010001092008,00060
350010001092009,00060
350010001092010,00060
350010001092011,00060
350010001092012,00060
350010001092013,00060
350010001092014,00060
350010001092015,00060
350010001092016,00060
350010001092017,00060
350010001101000,00060
350010001101001,00060
350010001101002,00060
350010001101003,00060
350010001101004,00060
350010001101005,00060
350010001101006,00060
350010001101007,00060
350010001102000,00060
350010001102001,00060
350010001102002,00060
350010001102003,00060
350010001102004,00060
350010001102005,00060
350010001102006,00060
350010001102007,00060
350010001102008,00060
350010001102009,00060
350010001102010,00060
350010001102011,00060
350010001102012,00060
350010001102013,00060
350010001102014,00060
350010001102015,00060
350010001102016,00060
350010001103000,00060
350010001103001,00060
350010001103002,00060
350010001103003,00060
350010001103004,00060
350010001103005,00060
350010001103006,00060
350010001103007,00060
350010001111000,00060
350010001111001,00060
350010001111002,00060
350010001111003,00060
350010001111004,00060
350010001111005,00060
350010001111006,00060
350010001111007,00060
350010001111008,00060
350010001111009,00060
350010001111010,00060
350010001111011,00060
350010001111012,00060
350010001111013,00060
350010001111014,00060
350010001111015,00060
350010001111016,00060
350010001111017,00060
350010001111018,00060
350010001111019,00060
350010001111020,00060
350010001111021,00060
350010001111022,00060
350010001112000,00060
350010001112001,00060
350010001112002,00060
350010001112003,00060
350010001112004,00060
350010001112005,00060
350010001112006,00060
350010001112007,00060
350010001112008,00060
350010001112009,00060
350010001112010,00060
350010001112011,00060
350010001112012,00060
350010001112013,00060
350010001121000,00060
350010001121001,00060
350010001121002,00060
350010001121003,00060
350010001121004,00060
350010001121005,00060
350010001121006,00060
350010001121007,00060
350010001121008,00060
350010001121009,00060
350010001121010,00060
350010001122000,00060
350010001122001,00060
350010001122002,00060
350010001122003,00060
350010001122004,00060
350010001122005,00060
350010001122006,00060
350010001122007,00060
350010001122008,00060
350010001122009,00060
350010001122010,00060
350010001122011,00060
350010001122012,00060
350010001122013,00060
350010001122014,00060
350010001122015,00060
350010001122016,00060
350010001122017,00060
350010001131000,00060
350010001131001,00060
350010001131002,00060
350010001131003,00060
350010001131004,00060
350010001131005,00060
350010001131006,00060
350010001131007,00060
350010001131008,00060
350010001131009,00060
350010001131010,00060
350010001131011,00060
350010001131012,00060
350010001131013,00060
350010001131014,00060
350010001131015,00060
350010001131016,00060
350010001131017,00060
350010001131018,00060
350010001131019,00060
350010001131020,00060
350010001131021,00060
350010001131022,00060
350010001131023,00060
350010001131024,00060
350010001131025,00060
350010001131026,00060
350010001131027,00060
350010001132000,00060
350010001132001,00060
350010001132002,00060
350010001132003,00060
350010001132004,00060
350010001132005,00060
350010001132006,00060
350010001132007,00060
350010001132008,00060
350010001132009,00060
350010001132010,00060
350010001132011,00060
350010001132012,00060
350010001132013,00060
350010001132014,00060
350010001132015,00060
350010001132016,00060
350010001132017,00060
350010001132018,00060
350010001132019,00060
350010001132020,00060
350010001132021,00060
350010001132022,00060
350010001141000,00060
350010001141001,00060
350010001141002,00060
350010001141003,00060
350010001141004,00060
350010001141005,00060
350010001141006,00060
350010001141007,00060
350010001141008,00060
350010001141009,00060
350010001141010,00060
350010001141011,00060
350010001141012,00060
350010001141013,00060
350010001141014,00060
350010001141015,00060
350010001141016,00060
350010001141017,00060
350010001141018,00060
350010001141019,00060
350010001141020,00060
350010001141021,00060
350010001142000,00060
350010001142001,00060
350010001142002,00060
350010001142003,00060
350010001142004,00060
350010001142005,00060
350010001142006,00060
350010001142007,00060
350010001142008,00060
350010001142009,00060
350010001142010,00060
350010001142011,00060
350010001142012,00060
350010001142013,00060
350010001142014,00060
350010001142015,00060
350010001142016,00060
350010001142017,00060
350010001142018,00060
350010001142019,00060
350010001142020,00060
350010001142021,00060
350010001142022,00060
350010001151000,00060
350010001151001,00060
350010001151002,00060
350010001151003,00060
350010001151004,00060
350010001151005,00060
350010001151006,00060
350010001151007,00060
350010001152000,00060
350010001152001,00060
350010001152002,00060
350010001152003,00060
350010001152004,00060
350010001152005,00060
350010001152006,00060
350010001152007,00060
350010001152008,00060
350010001152009,00060
350010001152010,00060
350010001152011,00060
350010001152012,00060
350010001152013,00060
350010001152014,00060
350010001152015,00060
350010001153000,00060
350010001153001,00060
350010001153002,00060
350010001153003,00060
350010001153004,00060
350010001153005,00060
350010001153006,00060
350010001153007,00060
350010001153008,00060
350010001153009,00060
350010001153010,00060
350010001153011,00060
350010001153012,00060
350010001153013,00060
350010001153014,00060
350010001153015,00060
350010001153016,00060
350010001153017,00060
350010001153018,00060
350010001153019,00060
350010001153020,00060
350010001153021,00060
350010001153022,00060
350010001153023,00060
350010001153024,00060
350010001153025,00060
350010001153026,00060
350010001153027,00060
350010001161000,00060
350010001161001,00060
350010001161002,00060
350010001161003,00060
350010001161004,00060
350010001161005,00060
350010001161006,00060
350010001161007,00060
350010001161008,00060
350010001161009,00060
350010001161010,00060
350010001161011,00060
350010001161012,00060
350010001161013,00060
350010001161014,00060
350010001161015,00060
350010001161016,00060
350010001161017,00060
350010001161018,00060
350010001161019,00060
350010001161020,00060
350010001162000,00060
350010001162001,00060
350010001162002,00060
350010001162003,00060
350010001162004,00060
350010001162005,00060
350010001162006,00060
350010001162007,00060
350010001162008,00060
350010001162009,00060
350010001162010,00060
350010001162011,00060
350010001162012,00060
350010001162013,00060
350010001162014,00060
350010001162015,00060
350010001162016,00060
350010001171000,00060
350010001171001,00060
350010001171002,00060
350010001171003,00060
350010001171004,00060
350010001171005,00060
350010001171006,00060
350010001171007,00060
350010001171008,00060
350010001171009,00060
350010001171010,00060
350010001171011,00060
350010001171012,00060
350010001171013,00060
350010001171014,00060
350010001171015,00060
350010001171016,00060
350010001171017,00060
350010001171018,00060
350010001171019,00060
350010001171020,00060
350010001171021,00060
350010001172000,00060
350010001172001,00060
350010001172002,00060
350010001172003,00060
350010001172004,00060
350010001172005,00060
350010001172006,00060
350010001172007,00060
350010001172008,00060
350010001172009,00060
350010001172010,00060
350010001172011,00060
350010001172012,00060
350010001172013,00060
350010001172014,00060
350010001172015,00060
350010001172016,00060
350010001172017,00060
350010001172018,00060
350010001172019,00060
350010001172020,00060
350010001172021,00060
350010001172022,00060
350010001172023,00060
350010001172024,00060
350010001172025,00060
350010001172026,00060
350010001172027,00060
350010001172028,00060
350010001172029,00060
350010001181000,00060
350010001181001,00060
350010001181002,00060
350010001181003,00060
350010001181004,00060
350010001181005,00060
350010001181006,00060
350010001181007,00060
350010001181008,00060
350010001181009,00060
350010001181010,00060
350010001181011,00060
350010001181012,00060
350010001182000,00060
350010001182001,00060
350010001182002,00060
350010001182003,00060
350010001182004,00060
350010001182005,00060
350010001182006,00060
350010001182007,00060
350010001182008,00060
350010001182009,00060
350010001182010,00060
350010001182011,00060
350010001182012,00060
350010001182013,00060
350010001182014,00060
350010001182015,00060
350010001191000,00060
350010001191001,00060
350010001191002,00060
350010001191003,00060
350010001191004,00060
350010001191005,00060
350010001191006,00060
350010001191007,00060
350010001191008,00060
350010001191009,00060
350010001191010,00060
350010001191011,00060
350010001191012,00060
350010001191013,00060
350010001191014,00060
350010001191015,00060
350010001191016,00060
350010001191017,00060
350010001191018,00060
350010001191019,00060
350010001191020,00060
350010001191021,00060
350010001192000,00060
350010001192001,00060
350010001192002,00060
350010001192003,00060
350010001192004,00060
350010001192005,00060
350010001192006,00060
350010001192007,00060
350010001192008,00060
350010001192009,00060
350010001192010,00060
350010001192011,00060
350010001192012,00060
350010001192013,00060
350010001192014,00060
350010001201000,00060
