BLOCKID,DISTRICT
350010001071000,028
350010001071001,028
350010001071002,028
350010001071003,028
350010001071004,028
350010001071005,028
350010001071006,028
350010001071007,028
350010001071008,028
350010001071009,028
350010001071010,028
350010001071011,028
350010001071012,028
350010001071013,028
350010001071014,028
350010001071015,028
350010001071016,028
350010001071017,028
350010001072000,028
350010001072001,028
350010001072002,028
350010001072003,028
350010001072004,028
350010001072005,028
350010001072006,028
350010001072007,028
350010001072008,028
350010001072009,028
350010001072010,028
350010001072011,028
350010001072012,028
350010001072013,028
350010001072014,028
350010001072015,028
350010001072016,028
350010001072017,028
350010001072018,028
350010001081000,028
350010001081001,028
350010001081002,028
350010001081003,028
350010001081004,028
350010001081005,024
350010001081006,024
350010001081007,024
350010001081008,024
350010001081009,024
350010001081010,024
350010001081011,024
350010001081012,024
350010001082000,028
350010001082001,028
350010001082002,028
350010001082003,028
350010001082004,024
350010001082005,024
350010001082006,024
350010001082007,024
350010001082008,024
350010001082009,024
350010001082010,024
350010001082011,024
350010001091000,024
350010001091001,024
350010001091002,024
350010001091003,024
350010001091004,024
350010001091005,024
350010001091006,024
350010001091007,024
350010001091008,024
350010001091009,024
350010001091010,024
350010001091011,024
350010001091012,024
350010001091013,024
350010001091014,024
350010001091015,024
350010001092000,024
350010001092001,024
350010001092002,024
350010001092003,024
350010001092004,024
350010001092005,024
350010001092006,024
350010001092007,024
350010001092008,024
350010001092009,024
350010001092010,024
350010001092011,024
350010001092012,024
350010001092013,024
350010001092014,024
350010001092015,024
350010001092016,024
350010001092017,024
350010001101000,024
350010001101001,024
350010001101002,024
350010001101003,024
350010001101004,024
350010001101005,024
350010001101006,024
350010001101007,024
350010001102000,024
350010001102001,024
350010001102002,024
350010001102003,024
350010001102004,024
350010001102005,024
350010001102006,024
350010001102007,024
350010001102008,024
350010001102009,024
350010001102010,024
350010001102011,024
350010001102012,024
350010001102013,024
350010001102014,024
350010001102015,024
350010001102016,024
350010001103000,024
350010001103001,024
350010001103002,024
350010001103003,024
350010001103004,024
350010001103005,024
350010001103006,024
350010001103007,024
350010001111000,028
350010001111001,028
350010001111002,028
350010001111003,028
350010001111004,024
350010001111005,024
350010001111006,024
350010001111007,028
350010001111008,028
350010001111009,028
350010001111010,028
350010001111011,028
350010001111012,028
350010001111013,028
350010001111014,028
350010001111015,028
350010001111016,028
350010001111017,028
350010001111018,028
350010001111019,028
350010001111020,028
350010001111021,028
350010001111022,028
350010001112000,024
350010001112001,024
350010001112002,024
350010001112003,024
350010001112004,024
350010001112005,024
350010001112006,028
350010001112007,028
350010001112008,028
350010001112009,028
350010001112010,028
350010001112011,028
350010001112012,028
350010001112013,028
350010001121000,028
350010001121001,028
350010001121002,028
350010001121003,028
350010001121004,028
350010001121005,028
350010001121006,028
350010001121007,028
350010001121008,028
350010001121009,028
350010001121010,028
350010001122000,020
350010001122001,020
350010001122002,020
350010001122003,020
350010001122004,028
350010001122005,028
350010001122006,028
350010001122007,028
350010001122008,028
350010001122009,020
350010001122010,020
350010001122011,020
350010001122012,020
350010001122013,020
350010001122014,028
350010001122015,028
350010001122016,028
350010001122017,020
350010001131000,028
350010001131001,028
350010001131002,028
350010001131003,028
350010001131004,028
350010001131005,028
350010001131006,028
350010001131007,028
350010001131008,028
350010001131009,028
350010001131010,028
350010001131011,028
350010001131012,028
350010001131013,028
350010001131014,028
350010001131015,028
350010001131016,028
350010001131017,028
350010001131018,028
350010001131019,028
350010001131020,028
350010001131021,028
350010001131022,028
350010001131023,028
350010001131024,028
350010001131025,028
350010001131026,028
350010001131027,028
350010001132000,028
350010001132001,028
350010001132002,028
350010001132003,028
350010001132004,028
350010001132005,028
350010001132006,028
350010001132007,028
350010001132008,028
350010001132009,028
350010001132010,028
350010001132011,028
350010001132012,028
350010001132013,028
350010001132014,028
350010001132015,028
350010001132016,028
350010001132017,028
350010001132018,028
350010001132019,028
350010001132020,028
350010001132021,028
350010001132022,028
350010001141000,024
350010001141001,024
350010001141002,024
350010001141003,024
350010001141004,024
350010001141005,024
350010001141006,024
350010001141007,024
350010001141008,024
350010001141009,024
350010001141010,024
350010001141011,024
350010001141012,024
350010001141013,024
350010001141014,024
350010001141015,024
350010001141016,024
350010001141017,024
350010001141018,024
350010001141019,024
350010001141020,024
350010001141021,024
350010001142000,028
350010001142001,028
350010001142002,028
350010001142003,028
350010001142004,028
350010001142005,028
350010001142006,028
350010001142007,028
350010001142008,028
350010001142009,028
350010001142010,028
350010001142011,028
350010001142012,028
350010001142013,028
350010001142014,028
350010001142015,028
350010001142016,028
350010001142017,028
350010001142018,028
350010001142019,028
350010001142020,028
350010001142021,028
350010001142022,028
350010001151000,024
350010001151001,024
350010001151002,024
350010001151003,024
350010001151004,024
350010001151005,024
350010001151006,024
350010001151007,024
350010001152000,024
350010001152001,024
350010001152002,024
350010001152003,024
350010001152004,024
350010001152005,028
350010001152006,028
350010001152007,028
350010001152008,028
350010001152009,028
350010001152010,024
350010001152011,028
350010001152012,028
350010001152013,028
350010001152014,028
350010001152015,028
350010001153000,028
350010001153001,028
350010001153002,028
350010001153003,028
350010001153004,028
350010001153005,028
350010001153006,028
350010001153007,028
350010001153008,028
350010001153009,028
350010001153010,028
350010001153011,028
350010001153012,028
350010001153013,028
350010001153014,028
350010001153015,028
350010001153016,028
350010001153017,028
350010001153018,028
350010001153019,028
350010001153020,028
350010001153021,028
350010001153022,028
350010001153023,028
350010001153024,028
350010001153025,028
350010001153026,028
350010001153027,028
350010001161000,028
350010001161001,028
350010001161002,028
350010001161003,028
350010001161004,028
350010001161005,028
350010001161006,028
350010001161007,028
350010001161008,028
350010001161009,028
350010001161010,028
350010001161011,028
350010001161012,028
350010001161013,028
350010001161014,028
350010001161015,028
350010001161016,028
350010001161017,028
350010001161018,028
350010001161019,028
350010001161020,028
350010001162000,028
350010001162001,028
350010001162002,028
350010001162003,028
350010001162004,028
350010001162005,028
350010001162006,028
350010001162007,028
350010001162008,028
350010001162009,028
350010001162010,028
350010001162011,028
350010001162012,028
350010001162013,028
350010001162014,028
350010001162015,028
350010001162016,028
350010001171000,030
350010001171001,030
350010001171002,030
350010001171003,030
350010001171004,030
350010001171005,030
350010001171006,030
350010001171007,030
350010001171008,030
350010001171009,030
350010001171010,024
350010001171011,024
350010001171012,024
350010001171013,024
350010001171014,024
350010001171015,024
350010001171016,024
350010001171017,024
350010001171018,024
350010001171019,024
350010001171020,024
350010001171021,024
350010001172000,030
350010001172001,030
350010001172002,030
350010001172003,030
350010001172004,030
350010001172005,030
350010001172006,030
350010001172007,030
350010001172008,024
350010001172009,024
350010001172010,024
350010001172011,024
350010001172012,030
350010001172013,030
350010001172014,030
350010001172015,030
350010001172016,030
350010001172017,024
350010001172018,024
350010001172019,024
350010001172020,030
350010001172021,024
350010001172022,030
350010001172023,024
350010001172024,024
350010001172025,030
350010001172026,030
350010001172027,030
350010001172028,030
350010001172029,024
350010001181000,030
350010001181001,030
350010001181002,030
350010001181003,024
350010001181004,024
350010001181005,024
350010001181006,030
350010001181007,024
350010001181008,024
350010001181009,024
350010001181010,024
350010001181011,024
350010001181012,024
350010001182000,030
350010001182001,030
350010001182002,030
350010001182003,030
350010001182004,030
350010001182005,030
350010001182006,030
350010001182007,030
350010001182008,030
350010001182009,030
350010001182010,030
350010001182011,030
350010001182012,030
350010001182013,030
350010001182014,030
350010001182015,030
350010001191000,030
350010001191001,030
350010001191002,030
350010001191003,030
350010001191004,030
350010001191005,030
350010001191006,030
350010001191007,030
350010001191008,030
350010001191009,030
350010001191010,030
350010001191011,030
350010001191012,030
350010001191013,030
350010001191014,030
350010001191015,030
350010001191016,030
350010001191017,030
350010001191018,030
350010001191019,030
350010001191020,030
350010001191021,030
350010001192000,024
350010001192001,024
350010001192002,024
350010001192003,024
350010001192004,024
350010001192005,024
350010001192006,024
350010001192007,024
350010001192008,024
350010001192009,024
350010001192010,024
350010001192011,024
350010001192012,024
350010001192013,024
350010001192014,024
350010001201000,024
350010001201001,024
350010001201002,024
350010001201003,024
350010001201004,024
350010001201005,024
350010001201006,024
350010001201007,024
350010001201008,024
350010001201009,024
350010001201010,024
350010001201011,024
350010001201012,024
350010001201013,024
350010001201014,024
350010001201015,024
350010001201016,024
350010001201017,024
350010001201018,024
350010001201019,024
350010001201020,024
350010001201021,024
350010001201022,024
350010001201023,024
350010001202000,024
350010001202001,024
350010001202002,024
350010001202003,024
350010001202004,024
350010001202005,024
350010001202006,024
350010001202007,024
350010001202008,024
350010001202009,024
350010001202010,024
350010001202011,024
350010001202012,024
350010001202013,024
350010001202014,024
350010001202015,024
350010001202016,024
350010001211000,024
350010001211001,024
350010001211002,024
350010001211003,024
350010001211004,024
350010001211005,024
350010001211006,024
350010001211007,024
350010001211008,024
350010001211009,024
350010001211010,024
350010001211011,024
350010001211012,024
350010001211013,024
350010001211014,024
350010001211015,024
350010001211016,024
350010001211017,024
350010001212000,024
350010001212001,024
350010001212002,024
350010001212003,024
350010001212004,024
350010001212005,024
350010001212006,024
350010001212007,024
350010001212008,024
350010001212009,024
350010001212010,024
350010001212011,024
350010001212012,024
350010001212013,024
350010001212014,024
