BLOCKID,DISTRICT
350010001071000,020
350010001071001,020
350010001071002,020
350010001071003,020
350010001071004,020
350010001071005,020
350010001071006,020
350010001071007,020
350010001071008,020
350010001071009,020
350010001071010,020
350010001071011,020
350010001071012,020
350010001071013,020
350010001071014,020
350010001071015,020
350010001071016,020
350010001071017,020
350010001072000,020
350010001072001,020
350010001072002,020
350010001072003,020
350010001072004,020
350010001072005,020
350010001072006,020
350010001072007,020
350010001072008,020
350010001072009,020
350010001072010,020
350010001072011,020
350010001072012,020
350010001072013,020
350010001072014,020
350010001072015,020
350010001072016,020
350010001072017,020
350010001072018,020
350010001081000,020
350010001081001,020
350010001081002,020
350010001081003,020
350010001081004,020
350010001081005,020
350010001081006,020
350010001081007,020
350010001081008,020
350010001081009,020
350010001081010,020
350010001081011,020
350010001081012,020
350010001082000,020
350010001082001,020
350010001082002,020
350010001082003,020
350010001082004,020
350010001082005,020
350010001082006,020
350010001082007,020
350010001082008,020
350010001082009,020
350010001082010,020
350010001082011,020
350010001091000,018
350010001091001,018
350010001091002,018
350010001091003,018
350010001091004,018
350010001091005,018
350010001091006,018
350010001091007,018
350010001091008,018
350010001091009,018
350010001091010,018
350010001091011,018
350010001091012,018
350010001091013,018
350010001091014,018
350010001091015,018
350010001092000,018
350010001092001,018
350010001092002,018
350010001092003,018
350010001092004,018
350010001092005,018
350010001092006,018
350010001092007,018
350010001092008,018
350010001092009,018
350010001092010,018
350010001092011,018
350010001092012,018
350010001092013,018
350010001092014,018
350010001092015,018
350010001092016,018
350010001092017,018
350010001101000,020
350010001101001,020
350010001101002,020
350010001101003,020
350010001101004,020
350010001101005,020
350010001101006,020
350010001101007,020
350010001102000,020
350010001102001,020
350010001102002,018
350010001102003,018
350010001102004,018
350010001102005,018
350010001102006,018
350010001102007,018
350010001102008,020
350010001102009,020
350010001102010,018
350010001102011,018
350010001102012,020
350010001102013,020
350010001102014,018
350010001102015,018
350010001102016,018
350010001103000,018
350010001103001,018
350010001103002,018
350010001103003,018
350010001103004,018
350010001103005,018
350010001103006,018
350010001103007,018
350010001111000,020
350010001111001,020
350010001111002,020
350010001111003,020
350010001111004,020
350010001111005,020
350010001111006,020
350010001111007,020
350010001111008,020
350010001111009,020
350010001111010,020
350010001111011,020
350010001111012,020
350010001111013,020
350010001111014,020
350010001111015,020
350010001111016,020
350010001111017,020
350010001111018,020
350010001111019,020
350010001111020,020
350010001111021,020
350010001111022,020
350010001112000,020
350010001112001,020
350010001112002,020
350010001112003,020
350010001112004,020
350010001112005,020
350010001112006,020
350010001112007,020
350010001112008,020
350010001112009,020
350010001112010,020
350010001112011,020
350010001112012,020
350010001112013,020
350010001121000,020
350010001121001,020
350010001121002,020
350010001121003,020
350010001121004,020
350010001121005,020
350010001121006,020
350010001121007,020
350010001121008,020
350010001121009,020
350010001121010,020
350010001122000,020
350010001122001,020
350010001122002,020
350010001122003,020
350010001122004,020
350010001122005,020
350010001122006,020
350010001122007,020
350010001122008,020
350010001122009,020
350010001122010,020
350010001122011,020
350010001122012,020
350010001122013,020
350010001122014,020
350010001122015,020
350010001122016,020
350010001122017,019
350010001131000,020
350010001131001,020
350010001131002,020
350010001131003,020
350010001131004,020
350010001131005,020
350010001131006,020
350010001131007,020
350010001131008,020
350010001131009,020
350010001131010,020
350010001131011,020
350010001131012,020
350010001131013,020
350010001131014,020
350010001131015,020
350010001131016,020
350010001131017,020
350010001131018,020
350010001131019,020
350010001131020,020
350010001131021,020
350010001131022,020
350010001131023,020
350010001131024,020
350010001131025,020
350010001131026,020
350010001131027,020
350010001132000,020
350010001132001,020
350010001132002,020
350010001132003,020
350010001132004,020
350010001132005,020
350010001132006,020
350010001132007,020
350010001132008,020
350010001132009,020
350010001132010,020
350010001132011,020
350010001132012,020
350010001132013,020
350010001132014,020
350010001132015,020
350010001132016,020
350010001132017,020
350010001132018,020
350010001132019,020
350010001132020,020
350010001132021,020
350010001132022,020
350010001141000,018
350010001141001,018
350010001141002,018
350010001141003,018
350010001141004,018
350010001141005,018
350010001141006,018
350010001141007,018
350010001141008,018
350010001141009,018
350010001141010,018
350010001141011,018
350010001141012,018
350010001141013,018
350010001141014,018
350010001141015,018
350010001141016,018
350010001141017,018
350010001141018,018
350010001141019,018
350010001141020,018
350010001141021,018
350010001142000,020
350010001142001,020
350010001142002,020
350010001142003,020
350010001142004,020
350010001142005,020
350010001142006,020
350010001142007,020
350010001142008,020
350010001142009,020
350010001142010,020
350010001142011,020
350010001142012,020
350010001142013,020
350010001142014,020
350010001142015,020
350010001142016,020
350010001142017,020
350010001142018,020
350010001142019,020
350010001142020,020
350010001142021,020
350010001142022,020
350010001151000,018
350010001151001,018
350010001151002,018
350010001151003,018
350010001151004,018
350010001151005,018
350010001151006,018
350010001151007,018
350010001152000,018
350010001152001,018
350010001152002,018
350010001152003,018
350010001152004,018
350010001152005,018
350010001152006,018
350010001152007,018
350010001152008,018
350010001152009,018
350010001152010,018
350010001152011,018
350010001152012,018
350010001152013,018
350010001152014,018
350010001152015,018
350010001153000,018
350010001153001,018
350010001153002,018
350010001153003,018
350010001153004,018
350010001153005,018
350010001153006,018
350010001153007,018
350010001153008,018
350010001153009,018
350010001153010,018
350010001153011,018
350010001153012,018
350010001153013,018
350010001153014,018
350010001153015,018
350010001153016,018
350010001153017,018
350010001153018,018
350010001153019,018
350010001153020,018
350010001153021,018
350010001153022,018
350010001153023,018
350010001153024,018
350010001153025,018
350010001153026,018
350010001153027,018
350010001161000,020
350010001161001,020
350010001161002,020
350010001161003,020
350010001161004,020
350010001161005,020
350010001161006,020
350010001161007,020
350010001161008,020
350010001161009,020
350010001161010,020
350010001161011,020
350010001161012,020
350010001161013,020
350010001161014,020
350010001161015,020
350010001161016,020
350010001161017,020
350010001161018,020
350010001161019,020
350010001161020,020
350010001162000,020
350010001162001,020
350010001162002,020
350010001162003,020
350010001162004,020
350010001162005,020
350010001162006,020
350010001162007,020
350010001162008,020
350010001162009,020
350010001162010,020
350010001162011,020
350010001162012,020
350010001162013,020
350010001162014,020
350010001162015,020
350010001162016,020
350010001171000,018
350010001171001,018
350010001171002,018
350010001171003,018
350010001171004,018
350010001171005,018
350010001171006,018
350010001171007,018
350010001171008,018
350010001171009,018
350010001171010,018
350010001171011,018
350010001171012,018
350010001171013,018
350010001171014,018
350010001171015,018
350010001171016,018
350010001171017,018
350010001171018,018
350010001171019,018
350010001171020,018
350010001171021,018
350010001172000,018
350010001172001,018
350010001172002,018
350010001172003,018
350010001172004,018
350010001172005,018
350010001172006,018
350010001172007,018
350010001172008,018
350010001172009,018
350010001172010,018
350010001172011,018
350010001172012,018
350010001172013,018
350010001172014,018
350010001172015,018
350010001172016,018
350010001172017,018
350010001172018,018
350010001172019,018
350010001172020,018
350010001172021,018
350010001172022,018
350010001172023,018
350010001172024,018
350010001172025,018
350010001172026,018
350010001172027,018
350010001172028,018
350010001172029,018
350010001181000,015
350010001181001,015
350010001181002,015
350010001181003,015
350010001181004,015
350010001181005,015
350010001181006,015
350010001181007,015
350010001181008,015
350010001181009,015
350010001181010,015
350010001181011,015
350010001181012,015
350010001182000,015
350010001182001,015
350010001182002,015
350010001182003,015
350010001182004,015
350010001182005,015
350010001182006,015
350010001182007,015
350010001182008,015
350010001182009,015
350010001182010,015
350010001182011,015
350010001182012,015
350010001182013,015
350010001182014,015
350010001182015,015
350010001191000,015
350010001191001,015
350010001191002,015
350010001191003,015
350010001191004,015
350010001191005,015
350010001191006,015
350010001191007,015
350010001191008,015
350010001191009,015
350010001191010,015
350010001191011,015
350010001191012,015
350010001191013,015
350010001191014,015
350010001191015,015
350010001191016,015
350010001191017,015
350010001191018,015
350010001191019,015
350010001191020,015
350010001191021,015
350010001192000,015
350010001192001,015
350010001192002,015
350010001192003,015
350010001192004,015
350010001192005,015
350010001192006,015
350010001192007,015
350010001192008,015
350010001192009,015
350010001192010,015
350010001192011,015
350010001192012,015
350010001192013,015
350010001192014,015
350010001201000,018
350010001201001,018
350010001201002,018
350010001201003,018
350010001201004,018
350010001201005,018
350010001201006,018
350010001201007,018
350010001201008,018
350010001201009,018
350010001201010,018
350010001201011,018
350010001201012,018
350010001201013,018
350010001201014,018
350010001201015,018
350010001201016,018
350010001201017,018
350010001201018,018
350010001201019,018
350010001201020,018
350010001201021,018
350010001201022,018
350010001201023,018
350010001202000,018
350010001202001,018
350010001202002,018
350010001202003,018
350010001202004,018
350010001202005,018
350010001202006,018
350010001202007,018
350010001202008,018
350010001202009,018
350010001202010,018
350010001202011,018
350010001202012,018
350010001202013,018
350010001202014,018
350010001202015,018
350010001202016,018
350010001211000,018
350010001211001,018
