BLOCKID,COUNTYFP,DISTRICT
350010001071000,001,564
350010001071001,001,564
350010001071002,001,564
350010001071003,001,564
350010001071004,001,565
350010001071005,001,565
350010001071006,001,565
350010001071007,001,565
350010001071008,001,565
350010001071009,001,565
350010001071010,001,565
350010001071011,001,565
350010001071012,001,565
350010001071013,001,566
350010001071014,001,564
350010001071015,001,564
350010001071016,001,307
350010001071017,001,527
350010001072000,001,526
350010001072001,001,526
350010001072002,001,526
350010001072003,001,526
350010001072004,001,526
350010001072005,001,526
350010001072006,001,526
350010001072007,001,526
350010001072008,001,526
350010001072009,001,526
350010001072010,001,526
350010001072011,001,526
350010001072012,001,526
350010001072013,001,526
350010001072014,001,526
350010001072015,001,526
350010001072016,001,526
350010001072017,001,526
350010001072018,001,526
350010001081000,001,480
350010001081001,001,480
350010001081002,001,480
350010001081003,001,480
350010001081004,001,480
350010001081005,001,521
350010001081006,001,521
350010001081007,001,521
350010001081008,001,521
350010001081009,001,521
350010001081010,001,521
350010001081011,001,521
350010001081012,001,521
350010001082000,001,480
350010001082001,001,480
350010001082002,001,480
350010001082003,001,480
350010001082004,001,521
350010001082005,001,521
350010001082006,001,521
350010001082007,001,521
350010001082008,001,521
350010001082009,001,521
350010001082010,001,521
350010001082011,001,521
350010001091000,001,528
350010001091001,001,528
350010001091002,001,528
350010001091003,001,528
350010001091004,001,528
350010001091005,001,515
350010001091006,001,515
350010001091007,001,515
350010001091008,001,515
350010001091009,001,515
350010001091010,001,515
350010001091011,001,515
350010001091012,001,515
350010001091013,001,515
350010001091014,001,515
350010001091015,001,515
350010001092000,001,514
350010001092001,001,514
350010001092002,001,514
350010001092003,001,514
350010001092004,001,514
350010001092005,001,514
350010001092006,001,514
350010001092007,001,514
350010001092008,001,514
350010001092009,001,514
350010001092010,001,514
350010001092011,001,514
350010001092012,001,514
350010001092013,001,514
350010001092014,001,514
350010001092015,001,514
350010001092016,001,514
350010001092017,001,514
350010001101000,001,516
350010001101001,001,516
350010001101002,001,516
350010001101003,001,516
350010001101004,001,516
350010001101005,001,516
350010001101006,001,516
350010001101007,001,516
350010001102000,001,516
350010001102001,001,516
350010001102002,001,506
350010001102003,001,506
350010001102004,001,507
350010001102005,001,507
350010001102006,001,507
350010001102007,001,506
350010001102008,001,516
350010001102009,001,516
350010001102010,001,506
350010001102011,001,506
350010001102012,001,516
350010001102013,001,516
350010001102014,001,507
350010001102015,001,507
350010001102016,001,507
350010001103000,001,506
350010001103001,001,506
350010001103002,001,506
350010001103003,001,506
350010001103004,001,507
350010001103005,001,507
350010001103006,001,507
350010001103007,001,506
350010001111000,001,518
350010001111001,001,518
350010001111002,001,518
350010001111003,001,518
350010001111004,001,524
350010001111005,001,524
350010001111006,001,524
350010001111007,001,517
350010001111008,001,517
350010001111009,001,517
350010001111010,001,517
350010001111011,001,518
350010001111012,001,518
350010001111013,001,518
350010001111014,001,518
350010001111015,001,518
350010001111016,001,518
350010001111017,001,518
350010001111018,001,518
350010001111019,001,517
350010001111020,001,518
350010001111021,001,518
350010001111022,001,518
350010001112000,001,524
350010001112001,001,524
350010001112002,001,524
350010001112003,001,524
350010001112004,001,524
350010001112005,001,524
350010001112006,001,517
350010001112007,001,517
350010001112008,001,517
350010001112009,001,517
350010001112010,001,517
350010001112011,001,517
350010001112012,001,517
350010001112013,001,517
350010001121000,001,530
350010001121001,001,530
350010001121002,001,530
350010001121003,001,530
350010001121004,001,530
350010001121005,001,530
350010001121006,001,530
350010001121007,001,530
350010001121008,001,530
350010001121009,001,530
350010001121010,001,530
350010001122000,001,307
350010001122001,001,307
350010001122002,001,307
350010001122003,001,530
350010001122004,001,548
350010001122005,001,548
350010001122006,001,548
350010001122007,001,548
350010001122008,001,548
350010001122009,001,307
350010001122010,001,307
350010001122011,001,307
350010001122012,001,307
350010001122013,001,307
350010001122014,001,548
350010001122015,001,548
350010001122016,001,548
350010001122017,001,307
350010001131000,001,561
350010001131001,001,561
350010001131002,001,561
350010001131003,001,561
350010001131004,001,561
350010001131005,001,561
350010001131006,001,561
350010001131007,001,561
350010001131008,001,561
350010001131009,001,561
350010001131010,001,561
350010001131011,001,561
350010001131012,001,561
350010001131013,001,561
350010001131014,001,561
350010001131015,001,561
350010001131016,001,561
350010001131017,001,561
350010001131018,001,561
350010001131019,001,561
350010001131020,001,561
350010001131021,001,561
350010001131022,001,561
350010001131023,001,561
350010001131024,001,561
350010001131025,001,561
350010001131026,001,561
350010001131027,001,561
350010001132000,001,525
350010001132001,001,525
350010001132002,001,525
350010001132003,001,525
350010001132004,001,525
350010001132005,001,519
350010001132006,001,519
350010001132007,001,525
350010001132008,001,525
350010001132009,001,519
350010001132010,001,525
350010001132011,001,519
350010001132012,001,519
350010001132013,001,519
350010001132014,001,519
350010001132015,001,519
350010001132016,001,519
350010001132017,001,525
350010001132018,001,525
350010001132019,001,519
350010001132020,001,519
350010001132021,001,519
350010001132022,001,519
350010001141000,001,504
350010001141001,001,504
350010001141002,001,504
350010001141003,001,504
350010001141004,001,504
350010001141005,001,504
350010001141006,001,504
350010001141007,001,504
350010001141008,001,504
350010001141009,001,504
350010001141010,001,504
350010001141011,001,503
350010001141012,001,503
350010001141013,001,503
350010001141014,001,503
350010001141015,001,503
350010001141016,001,503
350010001141017,001,503
350010001141018,001,503
350010001141019,001,503
350010001141020,001,503
350010001141021,001,503
350010001142000,001,525
350010001142001,001,525
350010001142002,001,525
350010001142003,001,525
350010001142004,001,525
350010001142005,001,505
350010001142006,001,505
350010001142007,001,505
350010001142008,001,505
350010001142009,001,525
350010001142010,001,525
350010001142011,001,505
350010001142012,001,505
350010001142013,001,505
350010001142014,001,505
350010001142015,001,525
350010001142016,001,525
350010001142017,001,525
350010001142018,001,525
350010001142019,001,505
350010001142020,001,505
350010001142021,001,505
350010001142022,001,505
350010001151000,001,531
350010001151001,001,531
350010001151002,001,531
350010001151003,001,531
350010001151004,001,531
350010001151005,001,531
350010001151006,001,531
350010001151007,001,531
350010001152000,001,531
350010001152001,001,531
350010001152002,001,531
350010001152003,001,531
350010001152004,001,531
350010001152005,001,533
350010001152006,001,533
350010001152007,001,533
350010001152008,001,533
350010001152009,001,533
350010001152010,001,531
350010001152011,001,533
350010001152012,001,533
350010001152013,001,533
350010001152014,001,533
350010001152015,001,533
350010001153000,001,532
350010001153001,001,532
350010001153002,001,532
350010001153003,001,532
350010001153004,001,532
350010001153005,001,532
350010001153006,001,532
350010001153007,001,532
350010001153008,001,532
350010001153009,001,532
350010001153010,001,532
350010001153011,001,532
350010001153012,001,532
350010001153013,001,532
350010001153014,001,532
350010001153015,001,532
350010001153016,001,532
350010001153017,001,532
350010001153018,001,532
350010001153019,001,532
350010001153020,001,532
350010001153021,001,533
350010001153022,001,533
350010001153023,001,533
350010001153024,001,533
350010001153025,001,533
350010001153026,001,532
350010001153027,001,533
350010001161000,001,540
350010001161001,001,540
350010001161002,001,540
350010001161003,001,540
350010001161004,001,540
350010001161005,001,540
350010001161006,001,540
350010001161007,001,540
350010001161008,001,308
350010001161009,001,308
350010001161010,001,308
350010001161011,001,308
350010001161012,001,308
350010001161013,001,308
350010001161014,001,540
350010001161015,001,540
350010001161016,001,540
350010001161017,001,540
350010001161018,001,540
350010001161019,001,308
350010001161020,001,308
350010001162000,001,540
350010001162001,001,540
350010001162002,001,540
350010001162003,001,540
350010001162004,001,540
350010001162005,001,540
350010001162006,001,540
350010001162007,001,540
350010001162008,001,540
350010001162009,001,540
350010001162010,001,540
350010001162011,001,540
350010001162012,001,540
350010001162013,001,547
350010001162014,001,547
350010001162015,001,547
350010001162016,001,547
350010001171000,001,513
350010001171001,001,513
350010001171002,001,513
350010001171003,001,513
350010001171004,001,513
350010001171005,001,513
350010001171006,001,513
350010001171007,001,513
350010001171008,001,513
350010001171009,001,513
350010001171010,001,523
350010001171011,001,523
350010001171012,001,523
350010001171013,001,523
350010001171014,001,523
350010001171015,001,523
350010001171016,001,523
350010001171017,001,523
350010001171018,001,523
350010001171019,001,523
350010001171020,001,523
350010001171021,001,523
350010001172000,001,513
350010001172001,001,513
350010001172002,001,513
350010001172003,001,513
350010001172004,001,513
350010001172005,001,513
350010001172006,001,513
350010001172007,001,513
350010001172008,001,523
350010001172009,001,523
350010001172010,001,513
350010001172011,001,523
350010001172012,001,513
350010001172013,001,513
350010001172014,001,513
350010001172015,001,513
350010001172016,001,513
350010001172017,001,523
350010001172018,001,523
350010001172019,001,523
350010001172020,001,513
350010001172021,001,513
350010001172022,001,513
350010001172023,001,523
350010001172024,001,523
350010001172025,001,513
350010001172026,001,513
350010001172027,001,513
350010001172028,001,513
350010001172029,001,523
350010001181000,001,498
350010001181001,001,498
350010001181002,001,498
350010001181003,001,496
350010001181004,001,496
350010001181005,001,496
350010001181006,001,498
350010001181007,001,496
350010001181008,001,496
350010001181009,001,496
350010001181010,001,496
350010001181011,001,496
350010001181012,001,496
350010001182000,001,498
350010001182001,001,498
350010001182002,001,498
350010001182003,001,498
350010001182004,001,498
350010001182005,001,498
350010001182006,001,498
350010001182007,001,497
350010001182008,001,497
350010001182009,001,497
350010001182010,001,497
350010001182011,001,497
350010001182012,001,497
350010001182013,001,497
350010001182014,001,497
350010001182015,001,497
350010001191000,001,497
350010001191001,001,497
350010001191002,001,497
350010001191003,001,497
350010001191004,001,493
350010001191005,001,497
350010001191006,001,493
350010001191007,001,493
350010001191008,001,493
350010001191009,001,493
350010001191010,001,493
350010001191011,001,493
350010001191012,001,493
350010001191013,001,493
350010001191014,001,493
350010001191015,001,493
350010001191016,001,493
350010001191017,001,493
350010001191018,001,493
350010001191019,001,493
350010001191020,001,493
350010001191021,001,493
350010001192000,001,494
350010001192001,001,494
350010001192002,001,494
350010001192003,001,494
350010001192004,001,494
350010001192005,001,494
350010001192006,001,494
350010001192007,001,494
350010001192008,001,494
350010001192009,001,494
350010001192010,001,494
350010001192011,001,494
350010001192012,001,494
350010001192013,001,494
350010001192014,001,494
350010001201000,001,508
350010001201001,001,508
350010001201002,001,508
350010001201003,001,508
350010001201004,001,509
350010001201005,001,509
350010001201006,001,508
350010001201007,001,508
350010001201008,001,508
350010001201009,001,509
350010001201010,001,509
350010001201011,001,509
350010001201012,001,509
350010001201013,001,509
350010001201014,001,508
350010001201015,001,508
350010001201016,001,508
350010001201017,001,508
350010001201018,001,508
350010001201019,001,509
350010001201020,001,509
350010001201021,001,509
350010001201022,001,509
350010001201023,001,508
350010001202000,001,495
350010001202001,001,495
350010001202002,001,495
350010001202003,001,495
350010001202004,001,495
350010001202005,001,495
350010001202006,001,495
350010001202007,001,495
350010001202008,001,495
350010001202009,001,495
350010001202010,001,495
350010001202011,001,495
350010001202012,001,495
350010001202013,001,495
350010001202014,001,495
350010001202015,001,495
350010001202016,001,495
350010001211000,001,502
350010001211001,001,502
350010001211002,001,502
350010001211003,001,502
350010001211004,001,502
350010001211005,001,502
350010001211006,001,502
350010001211007,001,502
350010001211008,001,502
350010001211009,001,502
350010001211010,001,502
350010001211011,001,502
350010001211012,001,502
350010001211013,001,502
350010001211014,001,502
350010001211015,001,502
350010001211016,001,502
350010001211017,001,502
350010001212000,001,463
350010001212001,001,463
350010001212002,001,463
350010001212003,001,463
350010001212004,001,463
350010001212005,001,463
350010001212006,001,463
350010001212007,001,463
350010001212008,001,463
350010001212009,001,463
350010001212010,001,464
350010001212011,001,464
350010001212012,001,464
350010001212013,001,464
350010001212014,001,464
350010001212015,001,464
350010001212016,001,463
350010001212017,001,464
350010001212018,001,464
350010001212019,001,464
350010001212020,001,464
350010001212021,001,464
350010001213000,001,465
350010001213001,001,465
350010001213002,001,465
350010001214000,001,461
350010001214001,001,461
350010001214002,001,461
350010001214003,001,461
350010001214004,001,461
350010001214005,001,461
350010001214006,001,461
350010001214007,001,461
350010001214008,001,461
350010001214009,001,461
350010001214010,001,462
350010001214011,001,462
350010001214012,001,462
350010001214013,001,462
350010001214014,001,461
350010001214015,001,461
350010001214016,001,462
350010001214017,001,462
350010001214018,001,462
350010001214019,001,462
350010001214020,001,462
350010001214021,001,462
350010001214022,001,462
350010001215000,001,463
350010001215001,001,463
350010001215002,001,465
350010001215003,001,465
350010001215004,001,465
350010001215005,001,465
350010001215006,001,465
350010001215007,001,465
350010001215008,001,465
350010001215009,001,464
350010001215010,001,464
