BLOCKID,DISTRICT
380019656001000,039
380019656001001,039
380019656001002,039
380019656001003,039
380019656001004,039
380019656001005,039
380019656001006,039
380019656001007,039
380019656001008,039
380019656001009,039
380019656001010,039
380019656001011,039
380019656001012,039
380019656001013,039
380019656001014,039
380019656001015,039
380019656001016,039
380019656001017,039
380019656001018,039
380019656001019,039
380019656001020,039
380019656001021,039
380019656001022,039
380019656001023,039
380019656001024,039
380019656001025,039
380019656001026,039
380019656001027,039
380019656001028,039
380019656001029,039
380019656001030,039
380019656001031,039
380019656001032,039
380019656001033,039
380019656001034,039
380019656001035,039
380019656001036,039
380019656001037,039
380019656001038,039
380019656001039,039
380019656001040,039
380019656001041,039
380019656001042,039
380019656001043,039
380019656001044,039
380019656001045,039
380019656001046,039
380019656001047,039
380019656001048,039
380019656001049,039
380019656001050,039
380019656001051,039
380019656001052,039
380019656001053,039
380019656001054,039
380019656001055,039
380019656001056,039
380019656001057,039
380019656001058,039
380019656001059,039
380019656001060,039
380019656001061,039
380019656001062,039
380019656001063,039
380019656001064,039
380019656001065,039
380019656001066,039
380019656001067,039
380019656001068,039
380019656001069,039
380019656001070,039
380019656001071,039
380019656001072,039
380019656001073,039
380019656001074,039
380019656001075,039
380019656001076,039
380019656001077,039
380019656001078,039
380019656001079,039
380019656001080,039
380019656001081,039
380019656001082,039
380019656001083,039
380019656001084,039
380019656001085,039
380019656001086,039
380019656001087,039
380019656001088,039
380019656001089,039
380019656001090,039
380019656001091,039
380019656001092,039
380019656001093,039
380019656001094,039
380019656001095,039
380019656001096,039
380019656001097,039
380019656001098,039
380019656001099,039
380019656001100,039
380019656001101,039
380019656001102,039
380019656001103,039
380019656001104,039
380019656001105,039
380019656001106,039
380019656001107,039
380019656001108,039
380019656001109,039
380019656001110,039
380019656001111,039
380019656001112,039
380019656001113,039
380019656001114,039
380019656001115,039
380019656001116,039
380019656001117,039
380019656001118,039
380019656001119,039
380019656001120,039
380019656001121,039
380019656001122,039
380019656001123,039
380019656001124,039
380019656001125,039
380019656001126,039
380019656001127,039
380019656001128,039
380019656001129,039
380019656001130,039
380019656001131,039
380019656001132,039
380019656001133,039
380019656001134,039
380019656001135,039
380019656001136,039
380019656001137,039
380019656001138,039
380019656001139,039
380019656001140,039
380019656001141,039
380019656001142,039
380019656001143,039
380019656001144,039
380019656001145,039
380019656001146,039
380019656001147,039
380019656001148,039
380019656001149,039
380019656001150,039
380019656001151,039
380019656001152,039
380019656001153,039
380019656001154,039
380019656001155,039
380019656001156,039
380019656001157,039
380019656001158,039
380019656001159,039
380019656001160,039
380019656001161,039
380019656001162,039
380019656001163,039
380019656001164,039
380019656001165,039
380019656001166,039
380019656001167,039
380019656001168,039
380019656001169,039
380019656001170,039
380019656001171,039
380019656001172,039
380019656001173,039
380019656001174,039
380019656001175,039
380019656001176,039
380019656001177,039
380019656001178,039
380019656001179,039
380019656001180,039
380019656001181,039
380019656001182,039
380019656001183,039
380019656001184,039
380019656001185,039
380019656001186,039
380019656001187,039
380019656001188,039
380019656001189,039
380019656001190,039
380019656001191,039
380019656001192,039
380019656001193,039
380019656001194,039
380019656001195,039
380019656001196,039
380019656001197,039
380019656001198,039
380019656001199,039
380019656001200,039
380019656001201,039
380019656001202,039
380019656001203,039
380019656001204,039
