BLOCKID,COUNTYFP,DISTRICT
380019656001000,001,39-02
380019656001001,001,39-02
380019656001002,001,39-02
380019656001003,001,39-02
380019656001004,001,39-02
380019656001005,001,39-02
380019656001006,001,39-02
380019656001007,001,39-02
380019656001008,001,39-02
380019656001009,001,39-02
380019656001010,001,39-02
380019656001011,001,39-02
380019656001012,001,39-02
380019656001013,001,39-03
380019656001014,001,39-02
380019656001015,001,39-02
380019656001016,001,39-03
380019656001017,001,39-03
380019656001018,001,39-03
380019656001019,001,39-03
380019656001020,001,39-03
380019656001021,001,39-03
380019656001022,001,39-03
380019656001023,001,39-03
380019656001024,001,39-03
380019656001025,001,39-03
380019656001026,001,39-03
380019656001027,001,39-03
380019656001028,001,39-03
380019656001029,001,39-03
380019656001030,001,39-03
380019656001031,001,39-03
380019656001032,001,39-03
380019656001033,001,39-03
380019656001034,001,39-03
380019656001035,001,39-03
380019656001036,001,39-03
380019656001037,001,39-03
380019656001038,001,39-03
380019656001039,001,39-03
380019656001040,001,39-03
380019656001041,001,39-03
380019656001042,001,39-03
380019656001043,001,39-03
380019656001044,001,39-03
380019656001045,001,39-03
380019656001046,001,39-03
380019656001047,001,39-03
380019656001048,001,39-03
380019656001049,001,39-03
380019656001050,001,39-03
380019656001051,001,39-03
380019656001052,001,39-03
380019656001053,001,39-03
380019656001054,001,39-03
380019656001055,001,39-03
380019656001056,001,39-03
380019656001057,001,39-03
380019656001058,001,39-03
380019656001059,001,39-03
380019656001060,001,39-03
380019656001061,001,39-03
380019656001062,001,39-03
380019656001063,001,39-03
380019656001064,001,39-03
380019656001065,001,39-03
380019656001066,001,39-03
380019656001067,001,39-03
380019656001068,001,39-03
380019656001069,001,39-03
380019656001070,001,39-03
380019656001071,001,39-03
380019656001072,001,39-03
380019656001073,001,39-03
380019656001074,001,39-03
380019656001075,001,39-03
380019656001076,001,39-03
380019656001077,001,39-03
380019656001078,001,39-03
380019656001079,001,39-03
380019656001080,001,39-03
380019656001081,001,39-03
380019656001082,001,39-03
380019656001083,001,39-03
380019656001084,001,39-03
380019656001085,001,39-03
380019656001086,001,39-03
380019656001087,001,39-03
380019656001088,001,39-03
380019656001089,001,39-03
380019656001090,001,39-03
380019656001091,001,39-03
380019656001092,001,39-03
380019656001093,001,39-03
380019656001094,001,39-03
380019656001095,001,39-03
380019656001096,001,39-03
380019656001097,001,39-03
380019656001098,001,39-03
380019656001099,001,39-03
380019656001100,001,39-03
380019656001101,001,39-03
380019656001102,001,39-03
380019656001103,001,39-03
380019656001104,001,39-03
380019656001105,001,39-03
380019656001106,001,39-03
380019656001107,001,39-03
380019656001108,001,39-03
380019656001109,001,39-03
380019656001110,001,39-03
380019656001111,001,39-03
380019656001112,001,39-03
380019656001113,001,39-03
380019656001114,001,39-03
380019656001115,001,39-03
380019656001116,001,39-03
380019656001117,001,39-02
380019656001118,001,39-02
380019656001119,001,39-02
380019656001120,001,39-02
380019656001121,001,39-02
380019656001122,001,39-02
380019656001123,001,39-02
380019656001124,001,39-02
380019656001125,001,39-02
380019656001126,001,39-02
380019656001127,001,39-02
380019656001128,001,39-02
380019656001129,001,39-02
380019656001130,001,39-02
380019656001131,001,39-02
380019656001132,001,39-02
380019656001133,001,39-02
380019656001134,001,39-02
380019656001135,001,39-02
380019656001136,001,39-02
380019656001137,001,39-02
