BLOCKID,PLACEFP
440010301001000,
440010301001001,
440010301001002,
440010301001003,
440010301001004,
440010301001005,
440010301001006,
440010301001007,
440010301001008,
440010301001009,
440010301001010,
440010301001011,
440010301001012,
440010301001013,
440010301001014,
440010301001015,
440010301001016,
440010301001017,
440010301001018,
440010301001019,
440010301001020,
440010301001021,
440010301001022,
440010301001023,
440010301001024,
440010301001025,
440010301001026,
440010301001027,
440010301001028,
440010301001029,
440010301001030,
440010301001031,
440010301001032,
440010301001033,
440010301001034,
440010301001035,
440010301001036,
440010301002000,
440010301002001,
440010301002002,
440010301002003,
440010301002004,
440010301002005,
440010301002006,
440010301002007,
440010301002008,
440010301002009,
440010301002010,
440010301002011,
440010301002012,
440010301002013,
440010301002014,
440010301002015,
440010301002016,
440010301002017,
440010301002018,
440010301002019,
440010301002020,
440010301002021,
440010301002022,
440010301003000,
440010301003001,
440010301003002,
440010301003003,
440010301003004,
440010301003005,
440010301003006,
440010301003007,
440010301003008,
440010301003009,
440010301003010,
440010301003011,
440010301003012,
440010301003013,
440010301003014,
440010301003015,
440010301003016,
440010301003017,
440010301003018,
440010301003019,
440010301003020,
440010301003021,
440010301003022,
440010301003023,
440010301003024,
440010301003025,
440010301003026,
440010301003027,
440010301003028,
440010301003029,
440010301003030,
440010301003031,
440010301003032,
440010301004000,
440010301004001,
440010301004002,
440010301004003,
440010301004004,
440010301004005,
440010301004006,
440010301004007,
440010301004008,
440010301004009,
440010301004010,
440010301004011,
440010301004012,
440010301004013,
440010301004014,
440010301004015,
440010301004016,
440010301004017,
440010301004018,
440010301004019,
440010301004020,
440010301004021,
440010301004022,
440010301004023,
440010301004024,
440010301004025,
440010301004026,
440010301004027,
440010301004028,
440010301004029,
440010301004030,
440010301004031,
440010302001000,
440010302001001,
440010302001002,
440010302001003,
440010302001004,
440010302001005,
440010302001006,
440010302001007,
440010302001008,
440010302001009,
440010302001010,
440010302001011,
440010302001012,
440010302001013,
440010302001014,
440010302001015,
440010302001016,
440010302001017,
440010302001018,
440010302001019,
440010302001020,
440010302001021,
440010302001022,
440010302001023,
440010302001024,
440010302001025,
440010302001026,
440010302001027,
440010302001028,
440010302001029,
440010302001030,
440010302001031,
440010302001032,
440010302001033,
440010302001034,
440010302001035,
440010302001036,
440010302001037,
440010302001038,
440010302002000,
440010302002001,
440010302002002,
440010302002003,
440010302002004,
440010302002005,
440010302002006,
440010302002007,
440010302002008,
440010302002009,
440010302002010,
440010302002011,
440010302002012,
440010302002013,
440010302002014,
440010302002015,
440010302002016,
440010302002017,
440010302002018,
440010302002019,
440010302002020,
440010302002021,
440010302002022,
440010302002023,
440010302002024,
440010302003000,
440010302003001,
440010302003002,
440010302003003,
440010302003004,
440010302003005,
440010302003006,
440010302003007,
440010302003008,
440010302003009,
440010302003010,
440010302003011,
440010302003012,
440010302003013,
440010302003014,
440010302003015,
440010302003016,
440010302003017,
440010302003018,
440010302003019,
440010302003020,
440010302003021,
440010302003022,
440010302003023,
440010302003024,
440010302003025,
440010302003026,
440010302003027,
440010302003028,
440010302003029,
440010302003030,
440010303001000,
440010303001001,
440010303001002,
440010303001003,
440010303001004,
440010303001005,
440010303001006,
440010303001007,
440010303001008,
440010303001009,
440010303001010,
440010303001011,
440010303001012,
440010303001013,
440010303001014,
440010303001015,
440010303001016,
440010303001017,
440010303001018,
440010303001019,
440010303001020,
440010303001021,
440010303001022,
440010303001023,
440010303001024,
440010303001025,
440010303001026,
440010303001027,
440010303001028,
440010303001029,
440010303002000,
440010303002001,
440010303002002,
440010303002003,
440010303002004,
440010303002005,
440010303002006,
440010303002007,
440010303002008,
440010303002009,
440010303002010,
440010303002011,
440010303002012,
440010303002013,
440010303002014,
440010303002015,
440010303002016,
440010303002017,
440010303002018,
440010303002019,
440010303002020,
440010303002021,
440010303002022,
440010303002023,
440010303002024,
440010303002025,
440010303002026,
440010303002027,
440010303002028,
440010303002029,
440010303002030,
440010303002031,
440010303002032,
440010303002033,
440010303002034,
440010303003000,
440010303003001,
440010303003002,
440010303003003,
440010303003004,
440010303003005,
440010303003006,
440010303003007,
440010303003008,
440010303003009,
440010303003010,
440010303003011,
440010303003012,
440010303003013,
440010303003014,
440010303003015,
440010303003016,
440010303003017,
440010303003018,
440010303003019,
440010303003020,
440010303003021,
440010303003022,
440010303003023,
440010303003024,
440010303003025,
440010304001000,
440010304001001,
440010304001002,
440010304001003,
440010304001004,
440010304001005,
440010304001006,
440010304001007,
440010304001008,
440010304001009,
440010304001010,
440010304001011,
440010304001012,
440010304001013,
440010304001014,
440010304001015,
440010304001016,
440010304001017,
440010304001018,
440010304001019,
440010304001020,
440010304001021,
440010304001022,
440010304001023,
440010304001024,
440010304001025,
440010304001026,
440010304002000,
440010304002001,
440010304002002,
440010304002003,
440010304002004,
440010304002005,
440010304002006,
440010304002007,
440010304002008,
440010304002009,
440010304002010,
440010304002011,
440010304002012,
440010304002013,
440010304002014,
440010304002015,
440010304002016,
440010304002017,
440010304002018,
440010304002019,
440010304002020,
440010304002021,
440010304002022,
440010304002023,
440010304002024,
440010304002025,
440010304002026,
440010304002027,
440010304002028,
440010304002029,
440010304002030,
440010304002031,
440010304003000,
440010304003001,
440010304003002,
440010304003003,
440010304003004,
440010304003005,
440010304003006,
440010304003007,
440010304003008,
