BLOCKID,DISTRICT
450019501001000,00690
450019501001001,00690
450019501001002,00690
450019501001003,00690
450019501001004,00690
450019501001005,00690
450019501001006,00690
450019501001007,00690
450019501001008,00690
450019501001009,00690
450019501001010,00690
450019501001011,00690
450019501001012,02370
450019501001013,02370
450019501001014,02370
450019501001015,02370
450019501001016,00690
450019501001017,00690
450019501001018,00690
450019501001019,00690
450019501001020,00690
450019501001021,02370
450019501001022,00690
450019501001023,00690
450019501001024,00690
450019501001025,00690
450019501001026,00690
450019501001027,00690
450019501001028,00690
450019501001029,00690
450019501001030,00690
450019501001031,00690
450019501001032,00690
450019501001033,00690
450019501001034,00690
450019501001035,00690
450019501001036,00690
450019501001037,00690
450019501001038,00690
450019501001039,00690
450019501001040,00690
450019501001041,00690
450019501001042,00690
450019501001043,00690
450019501001044,00690
450019501001045,00690
450019501001046,00690
450019501001047,00690
450019501001048,00690
450019501001049,00690
450019501001050,00690
450019501001051,00690
450019501001052,00690
450019501001053,00690
450019501001054,00690
450019501001055,00690
450019501001056,00690
450019501001057,00690
450019501001058,00690
450019501001059,00690
450019501001060,00690
450019501001061,00690
450019501001062,00690
450019501001063,00690
450019501001064,00690
450019501001065,00690
450019501001066,00690
450019501001067,00690
450019501001068,00690
450019501001069,00690
450019501001070,00690
450019501001071,00690
450019501001072,00690
450019501001073,00690
450019501001074,00690
450019501001075,00690
450019501001076,00690
450019501001077,00690
450019501001078,00690
450019501001079,00690
450019501001080,00690
450019501001081,00690
450019501001082,00690
450019501001083,00690
450019501001084,00690
450019501001085,00690
450019501001086,00690
450019501001087,00690
450019501001088,00690
450019501001089,00690
450019501001090,00690
450019501001091,00690
450019501001092,00690
450019501001093,00690
450019501001094,00690
450019501001095,00690
450019501001096,00690
450019501002000,02370
450019501002001,02370
450019501002002,02370
450019501002003,02370
450019501002004,02370
450019501002005,02370
450019501002006,02370
450019501002007,02370
450019501002008,02370
450019501002009,02370
450019501002010,02370
450019501002011,02370
450019501002012,02370
450019501002013,02370
450019501002014,02370
450019501002015,02370
