BLOCKID,DISTRICT
460039736001000,55710
460039736001001,55710
460039736001002,55710
460039736001003,55710
460039736001004,55710
460039736001005,55710
460039736001006,55710
460039736001007,55710
460039736001008,55710
460039736001009,55710
460039736001010,55710
460039736001011,55710
460039736001012,77460
460039736001013,55710
460039736001014,77460
460039736001015,55710
460039736001016,77460
460039736001017,55710
460039736001018,77460
460039736001019,77460
460039736001020,77460
460039736001021,78510
460039736001022,78510
460039736001023,38220
460039736001024,38220
460039736001025,78510
460039736001026,78510
460039736001027,78510
460039736001028,77460
460039736001029,77460
460039736001030,77460
460039736001031,55710
460039736001032,55710
460039736001033,77460
460039736001034,55710
460039736001035,77460
460039736001036,77460
460039736001037,77460
460039736001038,55710
460039736001039,55710
460039736001040,55710
460039736001041,55710
460039736001042,55710
460039736001043,55710
460039736001044,55710
460039736001045,55710
460039736001046,55710
460039736001047,55710
460039736001048,55710
460039736001049,55710
460039736001050,55710
460039736001051,55710
460039736001052,55710
460039736001053,55710
460039736001054,55710
460039736001055,55710
460039736001056,55710
460039736001057,55710
460039736001058,55710
460039736001059,55710
460039736001060,55710
460039736001061,55710
460039736001062,55710
460039736001063,55710
460039736001064,55710
460039736001065,55710
460039736001066,55710
460039736001067,55710
460039736001068,55710
460039736001069,55710
460039736001070,55710
460039736001071,55710
460039736001072,55710
460039736001073,55710
460039736001074,55710
460039736001075,55710
460039736001076,55710
460039736001077,55710
460039736001078,55710
460039736001079,55710
460039736001080,77460
460039736001081,78510
460039736001082,78510
460039736001083,78510
460039736001084,78510
460039736001085,78510
460039736001086,78510
460039736001087,78510
460039736001088,78510
460039736001089,78510
460039736001090,78510
460039736001091,78510
460039736001092,78510
460039736001093,78510
460039736001094,78510
460039736001095,78510
460039736001096,78510
460039736001097,78510
460039736001098,78510
460039736001099,78510
460039736001100,78510
460039736001101,78510
460039736001102,78510
460039736001103,78510
460039736001104,78510
460039736001105,78510
460039736001106,78510
460039736001107,78510
460039736001108,78510
460039736001109,78510
460039736001110,78510
460039736001111,78510
460039736001112,55710
460039736001113,55710
460039736001114,55710
460039736001115,55710
460039736001116,55710
460039736001117,55710
460039736001118,55710
460039736001119,55710
460039736001120,55710
460039736001121,55710
460039736001122,55710
460039736001123,55710
460039736001124,78510
460039736001125,55710
460039736001126,55710
460039736001127,55710
460039736001128,55710
460039736001129,55710
460039736001130,55710
460039736001131,55710
460039736001132,55710
460039736001133,55710
460039736001134,55710
460039736001135,55710
460039736001136,55710
460039736001137,55710
460039736001138,55710
460039736001139,49650
460039736001140,55710
460039736001141,55710
460039736001142,55710
460039736001143,55710
460039736001144,55710
460039736001145,55710
460039736001146,55710
460039736001147,55710
460039736001148,55710
460039736001149,55710
460039736001150,55710
460039736001151,55710
460039736001152,55710
460039736001153,55710
460039736001154,55710
460039736001155,55710
460039736001156,55710
460039736001157,55710
460039736001158,55710
460039736001159,55710
460039736001160,55710
460039736001161,55710
460039736001162,55710
460039736001163,55710
460039736001164,55710
460039736001165,55710
460039736001166,55710
460039736001167,55710
460039736001168,55710
460039736001169,55710
460039736001170,55710
460039736001171,55710
460039736001172,55710
460039736001173,55710
460039736001174,55710
460039736001175,55710
460039736001176,55710
460039736001177,55710
460039736001178,55710
460039736001179,55710
460039736001180,55710
460039736001181,55710
460039736001182,55710
460039736001183,55710
460039736001184,55710
460039736001185,55710
460039736001186,55710
460039736001187,55710
460039736001188,55710
460039736001189,55710
460039736001190,55710
460039736001191,55710
460039736001192,55710
460039736001193,55710
460039736001194,55710
460039736001195,78510
460039736001196,78510
460039736001197,78510
460039736001198,55710
460039736001199,55710
460039736001200,55710
460039736001201,55710
460039736001202,55710
460039736001203,55710
460039736001204,55710
460039736001205,55710
460039736001206,55710
460039736001207,55710
460039736001208,55710
460039736001209,55710
460039736001210,55710
460039736001211,55710
460039736001212,55710
460039736001213,55710
460039736001214,55710
460039736001215,55710
460039736001216,55710
460039736001217,55710
460039736001218,78510
460039736001219,78510
460039736001220,78510
460039736001221,55710
460039736001222,78510
460039736001223,78510
460039736001224,55710
460039736001225,55710
460039736001226,55710
460039736001227,55710
460039736001228,55710
460039736001229,55710
460039736001230,55710
460039736001231,55710
460039736001232,78510
460039736001233,78510
460039736001234,78510
460039736001235,78510
460039736001236,78510
460039736001237,55710
460039736001238,55710
460039736001239,78510
460039736001240,55710
460039736001241,55710
460039736001242,55710
460039736002000,55710
460039736002001,55710
460039736002002,55710
460039736002003,55710
460039736002004,55710
460039736002005,55710
460039736002006,55710
460039736002007,55710
460039736002008,55710
460039736002009,55710
460039736002010,55710
460039736002011,55710
460039736002012,55710
460039736002013,55710
460039736002014,55710
460039736002015,55710
460039736002016,55710
460039736002017,55710
460039736002018,55710
460039736002019,55710
460039736002020,55710
460039736002021,55710
460039736002022,55710
460039736002023,55710
460039736002024,55710
460039736002025,55710
460039736002026,55710
460039736002027,55710
460039736002028,55710
460039736002029,55710
460039736002030,55710
460039736002031,55710
460039736002032,55710
460039736002033,55710
460039736002034,55710
460039736002035,55710
460039736002036,55710
460039736002037,55710
460039736002038,55710
460039736002039,55710
460039736002040,55710
460039736002041,55710
460039736002042,55710
460039736002043,55710
460039736002044,55710
